# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): g
# 
# collected by: Guangtun Zhu
# 
# from http://www.ctio.noao.edu/instruments/FILTERS/index.html
# 
# on July 11th 2008, NYU:
# 
# Note 1: I only include Q.E. between  3504.0 AA and  5980.0 AA
# 
# Note 2: It seems the curves didnot include atmospheric extinction. I added it by oke way
#   oke, filter.lambda, 1., 1.3, ext
#   filter.pass=filter.pass*10.^(-0.4*ext)
# 
# Note 3: mean CCD response:http://www.ctio.noao.edu/pfccd/mosaic_ccds.html
# 
| lambda |          pass |
| 3504.0 | 0.00068612036 |
| 3508.0 | 0.00064770295 |
| 3512.0 |  0.0005914871 |
| 3516.0 | 0.00055008236 |
| 3520.0 | 0.00050728425 |
| 3524.0 | 0.00044592968 |
| 3528.0 | 0.00040006597 |
| 3532.0 | 0.00033513276 |
| 3536.0 | 0.00028614941 |
| 3540.0 |  0.0002357093 |
| 3544.0 | 0.00018380019 |
| 3548.0 | 0.00022355934 |
| 3552.0 | 0.00022657524 |
| 3556.0 | 0.00019133999 |
| 3560.0 | 0.00013571698 |
| 3564.0 |  0.0001767931 |
| 3568.0 | 9.9503181e-05 |
| 3572.0 |  8.063615e-05 |
| 3576.0 | 0.00010209445 |
| 3580.0 |  0.0001034009 |
| 3584.0 | 0.00020942923 |
| 3588.0 | 0.00019086407 |
| 3592.0 | 0.00012883666 |
| 3596.0 |  0.0002826188 |
| 3600.0 | 0.00033012772 |
| 3604.0 | 0.00033398706 |
| 3608.0 | 0.00033786418 |
| 3612.0 | 0.00031897519 |
| 3616.0 |  0.0002995824 |
| 3620.0 | 0.00027968228 |
| 3624.0 | 0.00028284136 |
| 3628.0 | 0.00028601495 |
| 3632.0 | 0.00038560404 |
| 3636.0 | 0.00026803862 |
| 3640.0 |  0.0002463526 |
| 3644.0 |  0.0002739506 |
| 3648.0 | 0.00040280272 |
| 3652.0 | 0.00045714038 |
| 3656.0 | 0.00035796277 |
| 3660.0 | 0.00046334841 |
| 3664.0 | 0.00033689637 |
| 3668.0 | 0.00031307226 |
| 3672.0 | 0.00026264336 |
| 3676.0 | 0.00026440047 |
| 3680.0 | 0.00034601448 |
| 3684.0 | 0.00034831787 |
| 3688.0 | 0.00035063087 |
| 3692.0 | 0.00029865297 |
| 3696.0 | 0.00027329678 |
| 3700.0 | 0.00035762781 |
| 3704.0 |  0.0003598762 |
| 3708.0 | 0.00041784579 |
| 3712.0 |  0.0004204596 |
| 3716.0 |  0.0004230832 |
| 3720.0 | 0.00051085994 |
| 3724.0 | 0.00045691727 |
| 3728.0 | 0.00031607639 |
| 3732.0 | 0.00026020588 |
| 3736.0 | 0.00046543963 |
| 3740.0 | 0.00052683934 |
| 3744.0 | 0.00053007115 |
| 3748.0 | 0.00047405786 |
| 3752.0 |  0.0005365712 |
| 3756.0 | 0.00050984841 |
| 3760.0 | 0.00051294651 |
| 3764.0 | 0.00054641254 |
| 3768.0 | 0.00039701819 |
| 3772.0 | 0.00036868986 |
| 3776.0 | 0.00037090958 |
| 3780.0 | 0.00040423239 |
| 3784.0 | 0.00037537396 |
| 3788.0 | 0.00056642795 |
| 3792.0 | 0.00063311926 |
| 3796.0 | 0.00050951052 |
| 3800.0 | 0.00041643615 |
| 3804.0 | 0.00041878386 |
| 3808.0 | 0.00051832525 |
| 3812.0 | 0.00068411935 |
| 3816.0 |  0.0007207091 |
| 3820.0 | 0.00072473474 |
| 3824.0 | 0.00062939554 |
| 3828.0 |  0.0005662748 |
| 3832.0 |  0.0005694165 |
| 3836.0 | 0.00067361002 |
| 3840.0 | 0.00091439619 |
| 3844.0 |  0.0010897013 |
| 3848.0 |  0.0015408186 |
| 3852.0 |  0.0017558424 |
| 3856.0 |  0.0019731559 |
| 3860.0 |  0.0022971879 |
| 3864.0 |  0.0025546791 |
| 3868.0 |  0.0030963635 |
| 3872.0 |  0.0035376926 |
| 3876.0 |  0.0039125383 |
| 3880.0 |  0.0041124872 |
| 3884.0 |  0.0045661088 |
| 3888.0 |  0.0053136246 |
| 3892.0 |  0.0061780089 |
| 3896.0 |  0.0071975896 |
| 3900.0 |  0.0088889962 |
| 3904.0 |   0.010965343 |
| 3908.0 |   0.013879094 |
| 3912.0 |   0.017232586 |
| 3916.0 |   0.021482136 |
| 3920.0 |   0.026339628 |
| 3924.0 |   0.031321533 |
| 3928.0 |   0.035820164 |
| 3932.0 |   0.039712861 |
| 3936.0 |   0.042182453 |
| 3940.0 |   0.043863971 |
| 3944.0 |   0.044745248 |
| 3948.0 |   0.045087311 |
| 3952.0 |   0.045313526 |
| 3956.0 |     0.0456587 |
| 3960.0 |   0.046243485 |
| 3964.0 |   0.047788277 |
| 3968.0 |   0.050627537 |
| 3972.0 |   0.054297753 |
| 3976.0 |    0.05921521 |
| 3980.0 |   0.065723009 |
| 3984.0 |    0.07392589 |
| 3988.0 |   0.083150879 |
| 3992.0 |   0.093783252 |
| 3996.0 |    0.10497291 |
| 4000.0 |    0.11581113 |
| 4004.0 |    0.12574755 |
| 4008.0 |    0.13337632 |
| 4012.0 |    0.13904496 |
| 4016.0 |    0.14162408 |
| 4020.0 |    0.14136946 |
| 4024.0 |    0.13948298 |
| 4028.0 |    0.13684496 |
| 4032.0 |    0.13383393 |
| 4036.0 |    0.13087866 |
| 4040.0 |    0.12898171 |
| 4044.0 |    0.12868242 |
| 4048.0 |    0.13013417 |
| 4052.0 |    0.13315569 |
| 4056.0 |    0.13762112 |
| 4060.0 |    0.14356445 |
| 4064.0 |    0.15165985 |
| 4068.0 |    0.16134256 |
| 4072.0 |    0.17253312 |
| 4076.0 |    0.18425904 |
| 4080.0 |    0.19692577 |
| 4084.0 |    0.20910524 |
| 4088.0 |    0.22012125 |
| 4092.0 |    0.22821243 |
| 4096.0 |    0.23340604 |
| 4100.0 |    0.23609073 |
| 4104.0 |    0.23626256 |
| 4108.0 |    0.23412243 |
| 4112.0 |    0.23029298 |
| 4116.0 |    0.22599332 |
| 4120.0 |    0.22163105 |
| 4124.0 |    0.21807364 |
| 4128.0 |    0.21514256 |
| 4132.0 |    0.21366653 |
| 4136.0 |    0.21383749 |
| 4140.0 |    0.21557271 |
| 4144.0 |    0.21878894 |
| 4148.0 |    0.22367914 |
| 4152.0 |    0.23020636 |
| 4156.0 |    0.23805524 |
| 4160.0 |    0.24676871 |
| 4164.0 |    0.25635153 |
| 4168.0 |     0.2657828 |
| 4172.0 |     0.2752952 |
| 4176.0 |    0.28395307 |
| 4180.0 |    0.29114205 |
| 4184.0 |     0.2967599 |
| 4188.0 |    0.30018595 |
| 4192.0 |    0.30159625 |
| 4196.0 |    0.30145189 |
| 4200.0 |    0.29950756 |
| 4204.0 |    0.29638878 |
| 4208.0 |    0.29273546 |
| 4212.0 |    0.28868756 |
| 4216.0 |    0.28524384 |
| 4220.0 |    0.28207347 |
| 4224.0 |    0.27979955 |
| 4228.0 |    0.27895406 |
| 4232.0 |    0.27872854 |
| 4236.0 |     0.2796073 |
| 4240.0 |    0.28125879 |
| 4244.0 |    0.28436276 |
| 4248.0 |    0.28829852 |
| 4252.0 |    0.29302207 |
| 4256.0 |    0.29829517 |
| 4260.0 |    0.30378029 |
| 4264.0 |    0.30991668 |
| 4268.0 |    0.31578115 |
| 4272.0 |    0.32161647 |
| 4276.0 |    0.32663932 |
| 4280.0 |    0.33104151 |
| 4284.0 |    0.33418122 |
| 4288.0 |    0.33590397 |
| 4292.0 |    0.33679378 |
| 4296.0 |    0.33719179 |
| 4300.0 |    0.33694714 |
| 4304.0 |    0.33643752 |
| 4308.0 |    0.33557808 |
| 4312.0 |     0.3347151 |
| 4316.0 |    0.33419695 |
| 4320.0 |    0.33407515 |
| 4324.0 |    0.33400199 |
| 4328.0 |    0.33457777 |
| 4332.0 |    0.33580568 |
| 4336.0 |    0.33773887 |
| 4340.0 |    0.34022993 |
| 4344.0 |    0.34353322 |
| 4348.0 |    0.34719869 |
| 4352.0 |     0.3513796 |
| 4356.0 |    0.35567367 |
| 4360.0 |    0.35992968 |
| 4364.0 |    0.36445189 |
| 4368.0 |    0.36898729 |
| 4372.0 |    0.37317988 |
| 4376.0 |    0.37667111 |
| 4380.0 |    0.37940657 |
| 4384.0 |    0.38199621 |
| 4388.0 |    0.38392738 |
| 4392.0 |    0.38519683 |
| 4396.0 |    0.38585281 |
| 4400.0 |    0.38620117 |
| 4404.0 |    0.38620338 |
| 4408.0 |    0.38568869 |
| 4412.0 |    0.38506809 |
| 4416.0 |    0.38506567 |
| 4420.0 |    0.38501039 |
| 4424.0 |    0.38562903 |
| 4428.0 |    0.38567671 |
| 4432.0 |    0.38645241 |
| 4436.0 |    0.38785505 |
| 4440.0 |    0.39035717 |
| 4444.0 |    0.39270896 |
| 4448.0 |    0.39553785 |
| 4452.0 |    0.39868885 |
| 4456.0 |    0.40268835 |
| 4460.0 |     0.4065409 |
| 4464.0 |    0.41056147 |
| 4468.0 |    0.41459295 |
| 4472.0 |    0.41874108 |
| 4476.0 |    0.42200106 |
| 4480.0 |    0.42468691 |
| 4484.0 |    0.42700821 |
| 4488.0 |    0.42901644 |
| 4492.0 |    0.43055063 |
| 4496.0 |    0.43134224 |
| 4500.0 |    0.43160141 |
| 4504.0 |    0.43124315 |
| 4508.0 |     0.4305622 |
| 4512.0 |    0.42896789 |
| 4516.0 |    0.42752966 |
| 4520.0 |    0.42608699 |
| 4524.0 |    0.42399421 |
| 4528.0 |    0.42194924 |
| 4532.0 |    0.42081487 |
| 4536.0 |    0.41983891 |
| 4540.0 |    0.41896778 |
| 4544.0 |     0.4181478 |
| 4548.0 |    0.41786683 |
| 4552.0 |    0.41812694 |
| 4556.0 |    0.41865858 |
| 4560.0 |    0.42016998 |
| 4564.0 |    0.42266482 |
| 4568.0 |    0.42538342 |
| 4572.0 |    0.42805347 |
| 4576.0 |    0.43116692 |
| 4580.0 |    0.43483493 |
| 4584.0 |    0.43878528 |
| 4588.0 |    0.44263512 |
| 4592.0 |    0.44632915 |
| 4596.0 |     0.4499768 |
| 4600.0 |    0.45324722 |
| 4604.0 |    0.45644808 |
| 4608.0 |    0.45926943 |
| 4612.0 |    0.46215212 |
| 4616.0 |    0.46476421 |
| 4620.0 |     0.4668276 |
| 4624.0 |    0.46834025 |
| 4628.0 |    0.46935567 |
| 4632.0 |    0.46987197 |
| 4636.0 |    0.47044429 |
| 4640.0 |    0.47057098 |
| 4644.0 |    0.47069746 |
| 4648.0 |    0.47043216 |
| 4652.0 |    0.47010931 |
| 4656.0 |    0.46939266 |
| 4660.0 |    0.46878564 |
| 4664.0 |    0.46828872 |
