# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): i
# 
# collected by: Guangtun Zhu
# 
# from http://www.ctio.noao.edu/instruments/FILTERS/index.html
# 
# on July 11th 2008, NYU:
# 
# Note 1: I only include Q.E. between  6540.0 AA and  8996.0 AA
# 
# Note 2: It seems the curves didnot include atmospheric extinction. I added it by oke way
#   oke, filter.lambda, 1., 1.3, ext
#   filter.pass=filter.pass*10.^(-0.4*ext)
# 
# Note 3: mean CCD response:http://www.ctio.noao.edu/pfccd/mosaic_ccds.html
# 
| lambda |          pass |
| 6540.0 | 0.00021655465 |
| 6544.0 | 0.00057738391 |
| 6548.0 | 0.00064944988 |
| 6552.0 | 0.00050504436 |
| 6556.0 | 7.2137271e-05 |
| 6592.0 | 0.00014405914 |
| 6596.0 | 0.00021605268 |
| 6600.0 | 0.00036002768 |
| 6604.0 | 0.00035996753 |
| 6608.0 | 0.00028792582 |
| 6612.0 | 0.00021590819 |
| 6620.0 | 0.00021583577 |
| 6624.0 |  0.0002157995 |
| 6628.0 | 0.00035960539 |
| 6632.0 | 0.00050336285 |
| 6636.0 | 0.00057517493 |
| 6640.0 | 0.00050319312 |
| 6644.0 | 0.00050310825 |
| 6648.0 | 0.00050302321 |
| 6652.0 | 0.00057478639 |
| 6656.0 | 0.00057468907 |
| 6660.0 | 0.00021547188 |
| 6664.0 | 0.00021543533 |
| 6668.0 | 0.00028719832 |
| 6672.0 | 0.00064608647 |
| 6676.0 | 0.00078952673 |
| 6680.0 | 0.00078939233 |
| 6684.0 | 0.00078925781 |
| 6688.0 | 0.00057390769 |
| 6692.0 | 0.00043035729 |
| 6696.0 | 0.00035856973 |
| 6700.0 | 0.00057361339 |
| 6704.0 | 0.00064520456 |
| 6708.0 |  0.0003583855 |
| 6712.0 | 0.00057331834 |
| 6716.0 | 0.00093148224 |
| 6720.0 | 0.00071640156 |
| 6724.0 | 0.00071627821 |
| 6728.0 | 0.00071615475 |
| 6732.0 | 0.00085923745 |
| 6736.0 | 0.00093067979 |
| 6740.0 |  0.0012884109 |
| 6744.0 |  0.0009303579 |
| 6748.0 |  0.0010733042 |
| 6752.0 |   0.001359283 |
| 6756.0 |  0.0015736334 |
| 6760.0 |  0.0016448764 |
| 6764.0 |  0.0020736139 |
| 6768.0 |  0.0024307105 |
| 6772.0 |  0.0027162032 |
| 6776.0 |  0.0030015956 |
| 6780.0 |  0.0034297963 |
| 6784.0 |  0.0038578468 |
| 6788.0 |  0.0044286051 |
| 6792.0 |  0.0050705797 |
| 6796.0 |   0.005712328 |
| 6800.0 |  0.0061396747 |
| 6804.0 |  0.0068523875 |
| 6808.0 |  0.0076362151 |
| 6812.0 |  0.0086338259 |
| 6816.0 |  0.0097024264 |
| 6820.0 |   0.010841976 |
| 6824.0 |   0.011767174 |
| 6828.0 |   0.012977257 |
| 6832.0 |   0.014258201 |
| 6836.0 |   0.015895082 |
| 6840.0 |   0.017460112 |
| 6844.0 |   0.019733887 |
| 6848.0 |   0.021443862 |
| 6852.0 |   0.023549411 |
| 6856.0 |   0.025044611 |
| 6860.0 |   0.026207602 |
| 6864.0 |   0.028071396 |
| 6868.0 |   0.030081429 |
| 6872.0 |   0.032275889 |
| 6876.0 |    0.03445293 |
| 6880.0 |    0.03741686 |
| 6884.0 |   0.040994301 |
| 6888.0 |   0.044299297 |
| 6892.0 |   0.047966149 |
| 6896.0 |   0.051940985 |
| 6900.0 |   0.055784661 |
| 6904.0 |   0.060148563 |
| 6908.0 |   0.064792201 |
| 6912.0 |   0.069473401 |
| 6916.0 |   0.074611396 |
| 6920.0 |   0.079586498 |
| 6924.0 |   0.085407056 |
| 6928.0 |   0.091731645 |
| 6932.0 |   0.097573735 |
| 6936.0 |    0.10313363 |
| 6940.0 |    0.10836146 |
| 6944.0 |    0.11429954 |
| 6948.0 |    0.12004843 |
| 6952.0 |    0.12574935 |
| 6956.0 |    0.13161485 |
| 6960.0 |    0.13751104 |
| 6964.0 |    0.14414443 |
| 6968.0 |    0.15034147 |
| 6972.0 |    0.15703557 |
| 6976.0 |    0.16351703 |
| 6980.0 |    0.17067003 |
| 6984.0 |    0.17657572 |
| 6988.0 |    0.18247849 |
| 6992.0 |    0.18873215 |
| 6996.0 |     0.1947705 |
| 7000.0 |     0.2009473 |
| 7004.0 |     0.2074039 |
| 7008.0 |    0.21329173 |
| 7012.0 |    0.21938866 |
| 7016.0 |    0.22555324 |
| 7020.0 |     0.2321386 |
| 7024.0 |    0.23836753 |
| 7028.0 |    0.24466398 |
| 7032.0 |    0.25088665 |
| 7036.0 |    0.25682393 |
| 7040.0 |    0.26325214 |
| 7044.0 |    0.26932439 |
| 7048.0 |    0.27616936 |
| 7052.0 |    0.28329295 |
| 7056.0 |    0.29027191 |
| 7060.0 |    0.29752931 |
| 7064.0 |    0.30499437 |
| 7068.0 |    0.31217393 |
| 7072.0 |    0.31977242 |
| 7076.0 |    0.32680386 |
| 7080.0 |    0.33439475 |
| 7084.0 |    0.34191146 |
| 7088.0 |    0.34970576 |
| 7092.0 |    0.35763678 |
| 7096.0 |    0.36563408 |
| 7100.0 |    0.37447089 |
| 7104.0 |    0.38358432 |
| 7108.0 |    0.39227152 |
| 7112.0 |    0.40158647 |
| 7116.0 |    0.41026473 |
| 7120.0 |    0.41957042 |
| 7124.0 |    0.42873099 |
| 7128.0 |    0.43802714 |
| 7132.0 |    0.44745898 |
| 7136.0 |    0.45681575 |
| 7140.0 |    0.46609768 |
| 7144.0 |    0.47513375 |
| 7148.0 |    0.48150939 |
| 7152.0 |     0.4869813 |
| 7156.0 |    0.49333969 |
| 7160.0 |    0.50001806 |
| 7164.0 |     0.5015204 |
| 7168.0 |    0.50198436 |
| 7172.0 |    0.50342053 |
| 7176.0 |    0.50526214 |
| 7180.0 |     0.5076502 |
| 7184.0 |    0.51029474 |
| 7188.0 |    0.51399499 |
| 7192.0 |    0.51936144 |
| 7196.0 |    0.52397859 |
| 7200.0 |    0.52823317 |
| 7204.0 |    0.53515208 |
| 7208.0 |    0.54183757 |
| 7212.0 |    0.54839224 |
| 7216.0 |    0.55559701 |
| 7220.0 |    0.56372219 |
| 7224.0 |    0.56224614 |
| 7228.0 |    0.56073189 |
| 7232.0 |    0.55934536 |
| 7236.0 |     0.5580911 |
| 7240.0 |    0.55666673 |
| 7244.0 |    0.55556762 |
| 7248.0 |    0.55686122 |
| 7252.0 |     0.5579775 |
| 7256.0 |    0.55872047 |
| 7260.0 |    0.55981213 |
| 7264.0 |    0.56053251 |
| 7268.0 |    0.56167161 |
| 7272.0 |    0.56231076 |
| 7276.0 |    0.56311005 |
| 7280.0 |    0.56387466 |
| 7284.0 |     0.5645417 |
| 7288.0 |    0.56511432 |
| 7292.0 |    0.56626028 |
| 7296.0 |    0.56705773 |
| 7300.0 |     0.5680446 |
| 7304.0 |    0.56943095 |
| 7308.0 |    0.57063001 |
| 7312.0 |    0.57208443 |
| 7316.0 |     0.5731886 |
| 7320.0 |    0.57399499 |
| 7324.0 |    0.57554114 |
| 7328.0 |    0.57632667 |
| 7332.0 |    0.57744527 |
| 7336.0 |    0.57962632 |
| 7340.0 |    0.58274359 |
| 7344.0 |    0.58248979 |
| 7348.0 |    0.58128738 |
| 7352.0 |    0.57989019 |
| 7356.0 |    0.57816285 |
| 7360.0 |    0.57733917 |
| 7364.0 |    0.57619053 |
| 7368.0 |     0.5749262 |
| 7372.0 |    0.57334691 |
| 7376.0 |    0.57187307 |
| 7380.0 |    0.56997412 |
| 7384.0 |    0.56734502 |
| 7388.0 |    0.56487042 |
| 7392.0 |    0.56292951 |
| 7396.0 |    0.56033969 |
| 7400.0 |    0.55782014 |
| 7404.0 |    0.55495876 |
| 7408.0 |    0.55189323 |
| 7412.0 |    0.54869258 |
| 7416.0 |    0.54542506 |
| 7420.0 |    0.54188532 |
| 7424.0 |    0.53827924 |
| 7428.0 |    0.53549761 |
| 7432.0 |    0.53244358 |
| 7436.0 |    0.52952844 |
| 7440.0 |    0.52688879 |
| 7444.0 |    0.52466124 |
| 7448.0 |    0.52229822 |
| 7452.0 |    0.52034694 |
| 7456.0 |    0.51860183 |
| 7460.0 |     0.5166527 |
| 7464.0 |    0.51518291 |
| 7468.0 |    0.51419193 |
| 7472.0 |    0.51299661 |
| 7476.0 |    0.51180196 |
| 7480.0 |    0.51101726 |
| 7484.0 |    0.51111937 |
| 7488.0 |    0.51135772 |
| 7492.0 |    0.51064152 |
| 7496.0 |    0.51060706 |
| 7500.0 |    0.51111728 |
| 7504.0 |    0.51169503 |
| 7508.0 |    0.51247638 |
| 7512.0 |    0.51325715 |
| 7516.0 |    0.51498932 |
| 7520.0 |    0.51678818 |
| 7524.0 |    0.51783794 |
| 7528.0 |    0.51915872 |
| 7532.0 |    0.52088588 |
| 7536.0 |    0.52295136 |
| 7540.0 |    0.52481157 |
| 7544.0 |     0.5272131 |
| 7548.0 |     0.5294773 |
| 7552.0 |    0.53241783 |
| 7556.0 |    0.53474617 |
| 7560.0 |    0.53653073 |
| 7564.0 |    0.52607596 |
| 7568.0 |    0.52353626 |
| 7572.0 |    0.52164203 |
| 7576.0 |    0.52002507 |
| 7580.0 |    0.49471387 |
| 7584.0 |    0.46855739 |
| 7588.0 |    0.45095459 |
| 7592.0 |    0.39091626 |
| 7596.0 |    0.33155265 |
| 7600.0 |    0.29338974 |
| 7604.0 |    0.26441655 |
| 7608.0 |     0.2631011 |
| 7612.0 |    0.26992694 |
| 7616.0 |    0.27706262 |
| 7620.0 |    0.28434405 |
| 7624.0 |     0.2924085 |
| 7628.0 |     0.3009882 |
| 7632.0 |    0.30986893 |
| 7636.0 |    0.31948063 |
| 7640.0 |    0.32992929 |
| 7644.0 |    0.34182227 |
| 7648.0 |    0.35562718 |
| 7652.0 |    0.37305921 |
| 7656.0 |    0.39387816 |
| 7660.0 |    0.42005137 |
| 7664.0 |    0.44884571 |
| 7668.0 |    0.45890304 |
| 7672.0 |    0.47074494 |
| 7676.0 |    0.48529729 |
| 7680.0 |    0.50442642 |
| 7684.0 |     0.5201174 |
| 7688.0 |     0.5244264 |
| 7692.0 |    0.52971375 |
| 7696.0 |     0.5369882 |
| 7700.0 |     0.5476107 |
| 7704.0 |     0.5498693 |
| 7708.0 |    0.55172646 |
| 7712.0 |    0.55372453 |
| 7716.0 |    0.55615419 |
| 7720.0 |     0.5587346 |
| 7724.0 |    0.56209987 |
| 7728.0 |    0.56621498 |
| 7732.0 |    0.57146597 |
| 7736.0 |     0.5743137 |
| 7740.0 |    0.57715893 |
| 7744.0 |    0.58013505 |
| 7748.0 |    0.58257604 |
| 7752.0 |    0.58488178 |
| 7756.0 |    0.58791745 |
| 7760.0 |    0.59108353 |
| 7764.0 |    0.59378159 |
| 7768.0 |    0.59714204 |
| 7772.0 |    0.60069895 |
| 7776.0 |    0.60378796 |
| 7780.0 |    0.60627711 |
| 7784.0 |    0.60803401 |
| 7788.0 |    0.61005479 |
| 7792.0 |    0.61214006 |
| 7796.0 |    0.61422348 |
| 7800.0 |    0.61564255 |
| 7804.0 |     0.6169278 |
| 7808.0 |    0.61721879 |
| 7812.0 |     0.6181711 |
| 7816.0 |    0.61832863 |
| 7820.0 |    0.61802286 |
| 7824.0 |    0.61705613 |
| 7828.0 |    0.61688286 |
| 7832.0 |    0.61611503 |
| 7836.0 |    0.61475343 |
| 7840.0 |    0.61332655 |
| 7844.0 |    0.61170262 |
| 7848.0 |    0.60935438 |
| 7852.0 |    0.60727143 |
| 7856.0 |    0.60492623 |
| 7860.0 |    0.60297793 |
| 7864.0 |    0.60043824 |
| 7868.0 |    0.59783459 |
| 7872.0 |    0.59556156 |
| 7876.0 |    0.59282988 |
| 7880.0 |    0.58970559 |
| 7884.0 |    0.58756924 |
| 7888.0 |    0.58536869 |
| 7892.0 |      0.583498 |
| 7896.0 |    0.58116907 |
| 7900.0 |    0.57916969 |
| 7904.0 |    0.57697511 |
| 7908.0 |    0.57569975 |
| 7912.0 |    0.57396644 |
| 7916.0 |    0.57223427 |
| 7920.0 |    0.57142013 |
| 7924.0 |    0.57112998 |
| 7928.0 |    0.57070905 |
| 7932.0 |    0.57028812 |
| 7936.0 |    0.57032514 |
| 7940.0 |    0.57049251 |
| 7944.0 |    0.57177019 |
| 7948.0 |    0.57245892 |
| 7952.0 |    0.57295108 |
| 7956.0 |    0.57383412 |
| 7960.0 |    0.57504237 |
| 7964.0 |    0.57637984 |
| 7968.0 |    0.57771599 |
| 7972.0 |    0.57950699 |
| 7976.0 |    0.58116609 |
| 7980.0 |    0.58288872 |
| 7984.0 |    0.58480507 |
| 7988.0 |    0.58541864 |
| 7992.0 |    0.58746201 |
| 7996.0 |    0.59015346 |
| 8000.0 |     0.5906986 |
| 8004.0 |    0.58846301 |
| 8008.0 |    0.58564854 |
| 8012.0 |    0.58368039 |
| 8016.0 |    0.58281296 |
| 8020.0 |    0.58239633 |
| 8024.0 |    0.58204222 |
| 8028.0 |    0.58136487 |
| 8032.0 |    0.58004516 |
| 8036.0 |    0.57885456 |
| 8040.0 |    0.57728112 |
| 8044.0 |    0.57500744 |
| 8048.0 |    0.57267416 |
| 8052.0 |    0.57059973 |
| 8056.0 |    0.56859255 |
| 8060.0 |    0.56671542 |
| 8064.0 |    0.56452477 |
| 8068.0 |    0.56195885 |
| 8072.0 |    0.55927193 |
| 8076.0 |    0.55709457 |
| 8080.0 |    0.55429238 |
| 8084.0 |    0.55218697 |
| 8088.0 |    0.55027342 |
| 8092.0 |     0.5482378 |
| 8096.0 |    0.54608089 |
| 8100.0 |    0.54405278 |
| 8104.0 |    0.54277551 |
| 8108.0 |     0.5371691 |
| 8112.0 |    0.53283483 |
| 8116.0 |    0.52963692 |
| 8120.0 |    0.52746606 |
| 8124.0 |    0.52632248 |
| 8128.0 |    0.52491742 |
| 8132.0 |    0.52387011 |
| 8136.0 |    0.52332932 |
| 8140.0 |    0.52374649 |
| 8144.0 |    0.51964796 |
| 8148.0 |    0.51655167 |
| 8152.0 |    0.51409048 |
| 8156.0 |    0.51235694 |
