# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): r
# 
# collected by: Guangtun Zhu
# 
# from http://www.ctio.noao.edu/instruments/FILTERS/index.html
# 
# on July 11th 2008, NYU:
# 
# Note 1: I only include Q.E. between  5006.0 AA and  7498.0 AA
# 
# Note 2: It seems the curves didnot include atmospheric extinction. I added it by oke way
#   oke, filter.lambda, 1., 1.3, ext
#   filter.pass=filter.pass*10.^(-0.4*ext)
# 
# Note 3: mean CCD response:http://www.ctio.noao.edu/pfccd/mosaic_ccds.html
# 
| lambda |          pass |
| 5006.0 | 0.00018428396 |
| 5010.0 | 0.00030739696 |
| 5014.0 | 0.00030765403 |
| 5018.0 | 0.00012316451 |
| 5022.0 | 0.00012326744 |
| 5026.0 | 0.00030842604 |
| 5038.0 | 0.00012367974 |
| 5042.0 |   0.000123783 |
| 5046.0 | 0.00012388632 |
| 5050.0 | 0.00012398968 |
| 5066.0 | 0.00012440374 |
| 5070.0 | 0.00012450741 |
| 5074.0 | 0.00012461105 |
| 5078.0 | 0.00018707218 |
| 5082.0 | 6.2409294e-05 |
| 5090.0 | 0.00012502643 |
| 5094.0 | 0.00012513043 |
| 5098.0 | 0.00018785177 |
| 5102.0 | 0.00050135457 |
| 5106.0 | 0.00037632848 |
| 5110.0 |  0.0003138677 |
| 5114.0 | 0.00031412847 |
| 5118.0 | 6.2877873e-05 |
| 5122.0 | 6.2930085e-05 |
| 5126.0 | 0.00012596465 |
| 5130.0 | 0.00044124215 |
| 5134.0 |  0.0005677818 |
| 5138.0 | 0.00018941748 |
| 5142.0 | 0.00018957452 |
| 5146.0 |  0.0001897317 |
| 5150.0 | 0.00018988895 |
| 5154.0 |  0.0003167438 |
| 5158.0 | 0.00031700617 |
| 5162.0 | 0.00038072243 |
| 5166.0 | 0.00044454396 |
| 5170.0 | 0.00044491189 |
| 5174.0 | 0.00044528008 |
| 5178.0 | 0.00031832032 |
| 5182.0 | 0.00050973368 |
| 5186.0 | 0.00038261639 |
| 5190.0 |  0.0006382211 |
| 5194.0 | 0.00063874823 |
| 5198.0 | 0.00063927565 |
| 5202.0 | 0.00044784637 |
| 5206.0 |   0.000448184 |
| 5210.0 |  0.0003203727 |
| 5214.0 | 0.00012824561 |
| 5218.0 | 0.00012834222 |
| 5222.0 | 0.00038531655 |
| 5226.0 | 0.00032133888 |
| 5230.0 | 0.00032158068 |
| 5234.0 | 0.00064364524 |
| 5238.0 | 0.00064412935 |
| 5242.0 | 0.00064461346 |
| 5246.0 | 0.00064509769 |
| 5250.0 | 0.00064558221 |
| 5254.0 | 0.00058146048 |
| 5258.0 | 0.00058189715 |
| 5262.0 | 0.00077644532 |
| 5266.0 | 0.00077702821 |
| 5270.0 | 0.00064800942 |
| 5274.0 | 0.00064849557 |
| 5278.0 | 0.00064898183 |
| 5282.0 | 0.00077936216 |
| 5286.0 | 0.00084494188 |
| 5290.0 | 0.00065044238 |
| 5294.0 | 0.00052074366 |
| 5298.0 | 0.00065141707 |
| 5302.0 | 0.00078228547 |
