# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): u
# 
# collected by: Guangtun Zhu
# 
# from http://www.ctio.noao.edu/instruments/FILTERS/index.html
# 
# on July 11th 2008, NYU:
# 
# Note 1: I only include Q.E. between  3002.0 AA and  4248.0 AA
# 
# Note 2: It seems the curves didnot include atmospheric extinction. I added it by oke way
#   oke, filter.lambda, 1., 1.3, ext
#   filter.pass=filter.pass*10.^(-0.4*ext)
# 
# Note 3: mean CCD response:http://www.ctio.noao.edu/pfccd/mosaic_ccds.html
# 
| lambda |          pass |
| 3002.0 | 4.1275746e-07 |
| 3004.0 | 4.4709358e-07 |
| 3006.0 | 4.8426841e-07 |
| 3008.0 | 5.2451503e-07 |
| 3010.0 | 6.6833678e-07 |
| 3012.0 | 7.2382812e-07 |
| 3014.0 | 9.0148518e-07 |
| 3016.0 | 9.7626764e-07 |
| 3018.0 | 9.1931912e-07 |
| 3020.0 | 1.0950636e-06 |
| 3022.0 |  1.131883e-06 |
| 3024.0 |  1.575788e-06 |
| 3026.0 | 1.8326061e-06 |
| 3028.0 | 2.0526529e-06 |
| 3030.0 | 2.5928139e-06 |
| 3032.0 | 2.8071565e-06 |
| 3034.0 | 3.1259526e-06 |
| 3036.0 |  3.572166e-06 |
| 3038.0 | 3.8671096e-06 |
| 3040.0 | 4.9574332e-06 |
| 3042.0 | 5.3664312e-06 |
| 3044.0 | 6.3253556e-06 |
| 3046.0 | 7.4057261e-06 |
| 3048.0 | 8.9234745e-06 |
| 3050.0 | 1.1131885e-05 |
| 3052.0 | 1.2757265e-05 |
| 3054.0 | 1.4957967e-05 |
| 3056.0 |  1.743404e-05 |
| 3058.0 | 1.9766516e-05 |
| 3060.0 | 2.2607226e-05 |
| 3062.0 | 2.6306911e-05 |
| 3064.0 | 2.9607187e-05 |
| 3066.0 | 3.5735855e-05 |
| 3068.0 | 4.2670454e-05 |
| 3070.0 | 5.0501581e-05 |
| 3072.0 | 5.7377674e-05 |
| 3074.0 | 6.7996894e-05 |
| 3076.0 | 8.0427126e-05 |
| 3078.0 | 9.3941904e-05 |
| 3080.0 | 0.00010805938 |
| 3082.0 | 0.00012848705 |
| 3084.0 |  0.0001546636 |
| 3086.0 | 0.00018290669 |
| 3088.0 | 0.00021619824 |
| 3090.0 | 0.00024974372 |
| 3092.0 | 0.00029590086 |
| 3094.0 | 0.00034607403 |
| 3096.0 | 0.00040346841 |
| 3098.0 | 0.00046900834 |
| 3100.0 | 0.00054372789 |
| 3102.0 | 0.00059871632 |
| 3104.0 | 0.00066452683 |
| 3106.0 |  0.0007303821 |
| 3108.0 | 0.00079876208 |
| 3110.0 | 0.00087391929 |
| 3112.0 | 0.00094226893 |
| 3114.0 |  0.0010249822 |
| 3116.0 |  0.0011093392 |
| 3118.0 |  0.0012017094 |
| 3120.0 |  0.0012926084 |
| 3122.0 |  0.0013928735 |
| 3124.0 |  0.0014929746 |
| 3126.0 |  0.0015981623 |
| 3128.0 |  0.0017124868 |
| 3130.0 |  0.0018227233 |
| 3132.0 |  0.0019420973 |
| 3134.0 |  0.0020581491 |
| 3136.0 |   0.002178947 |
| 3138.0 |  0.0023200214 |
| 3140.0 |  0.0024782559 |
| 3142.0 |  0.0026209331 |
| 3144.0 |  0.0027851646 |
| 3146.0 |  0.0029577569 |
| 3148.0 |   0.003148888 |
| 3150.0 |  0.0033545317 |
| 3152.0 |  0.0035531833 |
| 3154.0 |  0.0037658676 |
| 3156.0 |   0.003985201 |
| 3158.0 |  0.0042167678 |
| 3160.0 |  0.0044389688 |
| 3162.0 |  0.0046898397 |
| 3164.0 |   0.004916579 |
| 3166.0 |  0.0051438636 |
| 3168.0 |  0.0053892648 |
| 3170.0 |  0.0056204721 |
| 3172.0 |  0.0058579585 |
| 3174.0 |  0.0060987514 |
| 3176.0 |  0.0063333428 |
| 3178.0 |  0.0065740929 |
| 3180.0 |  0.0067818612 |
| 3182.0 |  0.0069663702 |
| 3184.0 |  0.0071547697 |
| 3186.0 |   0.007323178 |
| 3188.0 |  0.0074844835 |
| 3190.0 |  0.0076382826 |
| 3192.0 |  0.0077984617 |
| 3194.0 |  0.0079652276 |
| 3196.0 |  0.0081277378 |
| 3198.0 |  0.0082969368 |
| 3200.0 |  0.0085071893 |
| 3202.0 |  0.0086680539 |
| 3204.0 |  0.0088780904 |
| 3206.0 |  0.0090760766 |
| 3208.0 |  0.0092774266 |
| 3210.0 |   0.009494273 |
| 3212.0 |  0.0097474987 |
| 3214.0 |   0.010009442 |
| 3216.0 |   0.010292846 |
| 3218.0 |    0.01058994 |
| 3220.0 |   0.010943877 |
| 3222.0 |    0.01128489 |
| 3224.0 |   0.011675863 |
| 3226.0 |   0.012074105 |
| 3228.0 |   0.012511064 |
| 3230.0 |   0.012924528 |
| 3232.0 |   0.013377633 |
| 3234.0 |   0.013834534 |
| 3236.0 |   0.014299876 |
| 3238.0 |   0.014802193 |
| 3240.0 |   0.015285102 |
| 3242.0 |   0.015743673 |
| 3244.0 |   0.016219104 |
| 3246.0 |    0.01666249 |
| 3248.0 |   0.017117554 |
| 3250.0 |   0.017564436 |
| 3252.0 |   0.017972421 |
| 3254.0 |   0.018370954 |
| 3256.0 |   0.018759675 |
| 3258.0 |   0.019143419 |
| 3260.0 |    0.01952721 |
| 3262.0 |   0.019860931 |
| 3264.0 |   0.020192718 |
| 3266.0 |   0.020484934 |
| 3268.0 |   0.020823155 |
| 3270.0 |   0.021121258 |
| 3272.0 |   0.021427672 |
| 3274.0 |   0.021709453 |
| 3276.0 |   0.021999359 |
| 3278.0 |   0.022319853 |
| 3280.0 |   0.022620916 |
| 3282.0 |   0.022991402 |
| 3284.0 |   0.023360617 |
| 3286.0 |   0.023751523 |
| 3288.0 |   0.024170445 |
| 3290.0 |   0.024588672 |
| 3292.0 |   0.025000183 |
| 3294.0 |   0.025458457 |
| 3296.0 |   0.025946535 |
| 3298.0 |   0.026422607 |
| 3300.0 |   0.026910756 |
| 3302.0 |   0.027408833 |
| 3304.0 |   0.027943358 |
| 3306.0 |   0.028471254 |
| 3308.0 |   0.029017502 |
