# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): z
# 
# collected by: Guangtun Zhu
# 
# from http://www.ctio.noao.edu/instruments/FILTERS/index.html
# 
# on July 11th 2008, NYU:
# 
# Note 1: I only include Q.E. between  7532.0 AA and 10994.0 AA
# 
# Note 2: It seems the curves didnot include atmospheric extinction. I added it by oke way
#   oke, filter.lambda, 1., 1.3, ext
#   filter.pass=filter.pass*10.^(-0.4*ext)
# 
# Note 3: mean CCD response:http://www.ctio.noao.edu/pfccd/mosaic_ccds.html
# 
|  lambda |          pass |
|  7532.0 | 0.00013584194 |
|  7538.0 | 0.00013577339 |
|  7568.0 | 0.00013104787 |
|  7610.0 |  6.479404e-05 |
|  7682.0 | 6.2594074e-05 |
|  7688.0 | 0.00025313208 |
|  7694.0 | 6.4174375e-05 |
|  7706.0 | 0.00019732138 |
|  7712.0 | 0.00052704295 |
|  7718.0 | 0.00033006939 |
|  7724.0 | 0.00026479794 |
|  7736.0 | 6.6664375e-05 |
|  7742.0 | 0.00013325211 |
|  7748.0 | 0.00019976318 |
|  7754.0 | 0.00013309876 |
|  7760.0 | 0.00013302207 |
|  7766.0 |  0.0002658907 |
|  7772.0 | 6.6434302e-05 |
|  7778.0 | 0.00019918777 |
|  7784.0 | 0.00033178765 |
|  7790.0 | 0.00053055305 |
|  7796.0 | 0.00026512292 |
|  7808.0 | 0.00026481549 |
|  7814.0 | 0.00092631613 |
|  7820.0 | 0.00019838096 |
|  7826.0 | 0.00039653122 |
|  7832.0 | 0.00066050072 |
|  7838.0 |  0.0010561855 |
|  7844.0 | 0.00098959659 |
|  7850.0 |  0.0011868229 |
|  7856.0 |  0.0017132987 |
|  7862.0 |   0.002700161 |
|  7868.0 |  0.0025669432 |
|  7874.0 |  0.0021707576 |
|  7880.0 |  0.0026296792 |
|  7886.0 |  0.0031537646 |
|  7892.0 |  0.0029549187 |
|  7898.0 |  0.0027563041 |
|  7904.0 |  0.0032793854 |
|  7910.0 |  0.0034741026 |
|  7916.0 |  0.0040616519 |
|  7922.0 |  0.0045175613 |
|  7928.0 |  0.0045803292 |
|  7934.0 |  0.0048392038 |
|  7940.0 |    0.00555526 |
|  7946.0 |  0.0058785616 |
|  7952.0 |  0.0060709184 |
|  7958.0 |  0.0067197215 |
|  7964.0 |  0.0075633549 |
|  7970.0 |  0.0078195175 |
|  7976.0 |  0.0086614853 |
|  7982.0 |  0.0098929564 |
|  7988.0 |   0.011122955 |
|  7994.0 |   0.011441371 |
|  8000.0 |   0.012344119 |
|  8006.0 |   0.012898034 |
|  8012.0 |   0.013643133 |
|  8018.0 |    0.01509406 |
|  8024.0 |   0.016087404 |
|  8030.0 |   0.016883194 |
|  8036.0 |   0.018507466 |
|  8042.0 |   0.020123664 |
|  8048.0 |   0.021986714 |
|  8054.0 |   0.023713285 |
|  8060.0 |   0.025240907 |
|  8066.0 |    0.02669749 |
|  8072.0 |   0.029156353 |
|  8078.0 |   0.030910287 |
|  8084.0 |   0.032969199 |
|  8090.0 |   0.035456024 |
|  8096.0 |   0.037680145 |
|  8102.0 |   0.040329073 |
|  8108.0 |   0.043294225 |
|  8114.0 |   0.046007842 |
|  8120.0 |   0.048738547 |
|  8126.0 |   0.051237263 |
|  8132.0 |   0.054688089 |
|  8138.0 |   0.058414418 |
|  8144.0 |    0.06143852 |
|  8150.0 |   0.064440489 |
|  8156.0 |   0.067427412 |
|  8162.0 |   0.071097754 |
|  8168.0 |   0.074967653 |
|  8174.0 |   0.079835206 |
|  8180.0 |   0.084610291 |
|  8186.0 |   0.089380778 |
|  8192.0 |   0.094610184 |
|  8198.0 |   0.099926241 |
|  8204.0 |    0.10615577 |
|  8210.0 |    0.11314056 |
|  8216.0 |     0.1170137 |
|  8222.0 |    0.12095031 |
|  8228.0 |    0.12560923 |
|  8234.0 |    0.13069572 |
|  8240.0 |    0.13764641 |
|  8246.0 |    0.14477992 |
|  8252.0 |    0.15206352 |
|  8258.0 |    0.16027066 |
|  8264.0 |    0.16698231 |
|  8270.0 |    0.17259674 |
|  8276.0 |    0.17905796 |
|  8282.0 |     0.1851587 |
|  8288.0 |    0.19188276 |
|  8294.0 |     0.1994268 |
|  8300.0 |    0.20652811 |
|  8306.0 |    0.21275261 |
|  8312.0 |    0.21903864 |
|  8318.0 |    0.22610334 |
|  8324.0 |    0.23269306 |
|  8330.0 |    0.24002168 |
|  8336.0 |    0.24757075 |
|  8342.0 |    0.25415802 |
|  8348.0 |    0.26072672 |
|  8354.0 |    0.26756948 |
|  8360.0 |    0.27422822 |
|  8366.0 |    0.28093168 |
|  8372.0 |    0.28801793 |
|  8378.0 |    0.29428416 |
|  8384.0 |    0.29895204 |
|  8390.0 |    0.30382484 |
|  8396.0 |    0.31123236 |
|  8402.0 |    0.31614059 |
|  8408.0 |    0.32175407 |
|  8414.0 |    0.32813725 |
|  8420.0 |    0.33279267 |
|  8426.0 |    0.33726746 |
|  8432.0 |    0.34194404 |
|  8438.0 |    0.34715372 |
|  8444.0 |    0.35233837 |
|  8450.0 |    0.35617241 |
|  8456.0 |    0.36093101 |
|  8462.0 |    0.36470303 |
|  8468.0 |    0.36865622 |
|  8474.0 |    0.37289354 |
|  8480.0 |    0.37720293 |
|  8486.0 |    0.38147879 |
|  8492.0 |    0.38457623 |
|  8498.0 |    0.38723212 |
|  8504.0 |    0.38939857 |
|  8510.0 |    0.39257541 |
|  8516.0 |    0.39562201 |
|  8522.0 |    0.39884689 |
|  8528.0 |    0.40056217 |
|  8534.0 |    0.40266612 |
|  8540.0 |    0.40474877 |
|  8546.0 |    0.40741733 |
|  8552.0 |    0.40854731 |
|  8558.0 |    0.40951103 |
|  8564.0 |    0.41186348 |
|  8570.0 |    0.41309321 |
|  8576.0 |     0.4139578 |
|  8582.0 |    0.41580084 |
|  8588.0 |    0.41742533 |
|  8594.0 |    0.41858652 |
|  8600.0 |     0.4206652 |
|  8606.0 |    0.42095721 |
|  8612.0 |    0.42182413 |
|  8618.0 |    0.42243284 |
|  8624.0 |    0.42288262 |
|  8630.0 |    0.42365843 |
|  8636.0 |    0.42384133 |
|  8642.0 |    0.42401335 |
|  8648.0 |    0.42498863 |
|  8654.0 |    0.42499325 |
|  8660.0 |    0.42479786 |
|  8666.0 |    0.42577869 |
|  8672.0 |    0.42612901 |
|  8678.0 |    0.42656103 |
|  8684.0 |    0.42730838 |
|  8690.0 |    0.42701194 |
|  8696.0 |    0.42582211 |
|  8702.0 |    0.42518726 |
|  8708.0 |    0.42403752 |
|  8714.0 |    0.42330027 |
|  8720.0 |    0.42320094 |
|  8726.0 |     0.4220387 |
|  8732.0 |    0.42160407 |
|  8738.0 |    0.42084348 |
|  8744.0 |    0.41926229 |
|  8750.0 |    0.41917107 |
|  8756.0 |    0.41924959 |
|  8762.0 |    0.41877896 |
|  8768.0 |     0.4187471 |
|  8774.0 |    0.41986141 |
|  8780.0 |    0.41958213 |
|  8786.0 |     0.4169966 |
|  8792.0 |    0.41499087 |
|  8798.0 |    0.41412851 |
|  8804.0 |    0.41334853 |
|  8810.0 |    0.41286758 |
|  8816.0 |    0.41185832 |
|  8822.0 |    0.41054252 |
|  8828.0 |    0.40999976 |
|  8834.0 |    0.40884897 |
|  8840.0 |    0.40773785 |
|  8846.0 |    0.40768731 |
|  8852.0 |    0.40643805 |
|  8858.0 |    0.40396145 |
|  8864.0 |    0.40309075 |
|  8870.0 |    0.40225655 |
|  8876.0 |    0.40083209 |
|  8882.0 |    0.39961448 |
|  8888.0 |    0.39839405 |
|  8894.0 |    0.39733592 |
|  8900.0 |    0.39598599 |
|  8906.0 |    0.39075482 |
|  8912.0 |     0.3872264 |
