# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth
# 
# Bandpass Name(s): B
# 
# Instrument: VLT/FORS
# 
# Determined by: ?
# 
# Date of determination: ?
# 
# Meaning of/Reason for default column: Only available
# 
# Notes:
# 
# FORS B filter curve, convolved with the detector QE+atmosphere; Greg
# Rudnick, 2007-Mar-25, private communication.
# 
# B-band filter for the ESO Distant Clusters Survey (EDisCS) 
# 
# J. Moustakas, 2008-Jul-12, NYU
| lambda |                 pass |
| 3300.0 |     0.00146940304716 |
| 3400.0 |    0.001964970063924 |
| 3500.0 |    0.000656031049266 |
| 3600.0 |    0.012067791848112 |
| 3700.0 |    0.060334676787635 |
| 3800.0 |       0.132118059838 |
| 3900.0 |      0.2323138609008 |
| 4000.0 |       0.273141910472 |
| 4100.0 |    0.307710325769168 |
| 4200.0 |    0.332958867603578 |
| 4300.0 |    0.343237797134985 |
| 4400.0 |    0.328759961413104 |
| 4500.0 |     0.34416822893193 |
| 4600.0 |    0.312246046773288 |
| 4700.0 |     0.21420245549703 |
| 4800.0 |     0.12490011494912 |
| 4900.0 |   0.0537943519871736 |
| 5000.0 |     0.02478098387774 |
| 5100.0 |  0.00725009562207304 |
| 5200.0 |  0.00134131719362477 |
| 5300.0 | 0.000149400201163941 |
| 5400.0 | 9.03991811333072e-05 |
| 5500.0 |  0.00014977598725936 |
| 5600.0 | 0.000337577333539733 |
| 5700.0 |   0.0002150534870848 |
| 5800.0 | 2.08254767348678e-05 |
| 5900.0 | 8.97249074246976e-07 |
