# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth
# 
# Bandpass Name: epsi_753m
# 
# Instrument: Combo-17
# 
# Determined by: Wolf et al
# 
# Date of determination: 2000-2004?
# 
# Meaning of/Reason for default column: Only available
# 
# Notes:
# 
# These are the COMBO-17 filter curves downloaded from:
# 
# http://www.mpia-hd.mpg.de/COMBO/combo_filters.html
# 
# Reference: Wolf et al., 2004, A&A, 421, 913
# 
# David Schiminovich
# 2005-06
# 
| lambda |   pass |
| 7200.0 |   0.01 |
| 7211.0 |  0.013 |
| 7220.0 |  0.015 |
| 7235.0 |  0.021 |
| 7245.0 |  0.026 |
| 7245.8 |  0.027 |
| 7255.0 |  0.033 |
| 7265.0 |   0.04 |
| 7270.0 |  0.045 |
| 7275.0 |  0.052 |
| 7280.0 |  0.058 |
| 7285.0 |  0.066 |
| 7285.5 |  0.067 |
| 7290.0 |  0.075 |
| 7295.0 |  0.085 |
| 7300.0 |  0.097 |
| 7305.0 |  0.112 |
| 7310.0 |  0.129 |
| 7315.0 |  0.148 |
| 7320.0 |  0.172 |
| 7325.0 |  0.198 |
| 7330.0 |  0.231 |
| 7335.0 |   0.27 |
| 7340.0 |  0.317 |
| 7345.0 |  0.374 |
| 7350.0 |  0.445 |
| 7355.0 |   0.53 |
| 7357.0 |  0.574 |
| 7360.0 |  0.637 |
| 7365.0 |  0.769 |
| 7370.0 |   0.93 |
| 7375.0 |  1.138 |
| 7380.0 |  1.401 |
| 7385.0 |  1.731 |
| 7390.0 |  2.152 |
| 7395.0 |  2.696 |
| 7400.0 |  3.399 |
| 7405.0 |  4.256 |
| 7410.0 |  5.319 |
| 7415.0 |   6.66 |
| 7420.0 |  8.321 |
| 7425.0 | 10.504 |
| 7430.0 | 13.236 |
| 7430.1 | 13.301 |
| 7435.0 | 16.485 |
| 7440.0 | 20.222 |
| 7445.0 | 24.222 |
| 7450.0 | 28.228 |
| 7451.5 |  29.28 |
| 7455.0 | 31.857 |
| 7460.0 |  34.89 |
| 7465.0 | 37.195 |
| 7470.0 | 38.812 |
| 7475.0 | 39.864 |
| 7480.0 | 40.466 |
| 7485.0 | 40.755 |
| 7490.0 | 40.876 |
| 7495.0 | 40.907 |
| 7500.0 | 40.909 |
| 7505.0 | 40.865 |
| 7510.0 | 40.826 |
| 7515.0 | 40.765 |
| 7520.0 |  40.68 |
| 7520.9 | 40.663 |
| 7525.0 | 40.581 |
| 7530.0 | 40.428 |
| 7535.0 | 40.254 |
| 7540.0 | 40.067 |
| 7545.0 | 39.889 |
| 7550.0 | 39.727 |
| 7555.0 | 39.613 |
| 7560.0 | 39.548 |
| 7565.0 | 39.537 |
| 7570.0 | 39.593 |
| 7580.0 | 39.543 |
| 7585.0 | 39.264 |
| 7586.0 | 39.132 |
| 7590.0 | 38.606 |
| 7595.0 | 37.419 |
| 7600.0 | 35.525 |
| 7605.0 | 32.911 |
| 7610.0 | 29.599 |
| 7615.0 | 25.921 |
| 7620.0 | 22.176 |
| 7625.0 | 18.664 |
| 7626.2 | 17.914 |
| 7630.0 | 15.545 |
| 7635.0 | 12.623 |
| 7640.0 | 10.096 |
| 7645.0 |  8.013 |
| 7650.0 |  6.321 |
| 7655.0 |  4.997 |
| 7655.4 |  4.912 |
| 7660.0 |  3.961 |
| 7665.0 |  3.147 |
| 7670.0 |  2.514 |
| 7675.0 |  2.023 |
| 7680.0 |  1.646 |
| 7685.0 |  1.345 |
| 7690.0 |  1.105 |
| 7695.0 |  0.915 |
| 7700.0 |  0.759 |
| 7705.0 |  0.635 |
| 7710.0 |  0.537 |
| 7713.4 |  0.482 |
| 7715.0 |  0.455 |
| 7720.0 |  0.389 |
| 7725.0 |  0.333 |
| 7730.0 |  0.287 |
| 7735.0 |  0.249 |
| 7740.0 |  0.216 |
| 7745.0 |  0.189 |
| 7750.0 |  0.166 |
| 7755.0 |  0.146 |
| 7760.0 |  0.128 |
| 7765.0 |  0.114 |
| 7770.0 |  0.101 |
| 7775.0 |   0.09 |
| 7780.0 |   0.08 |
| 7780.6 |  0.079 |
| 7785.0 |  0.072 |
| 7790.0 |  0.064 |
| 7795.0 |  0.058 |
| 7800.0 |  0.052 |
| 7805.0 |  0.047 |
| 7810.0 |  0.043 |
| 7815.0 |   0.04 |
| 7820.0 |  0.036 |
| 7829.2 |   0.03 |
| 7830.0 |   0.03 |
| 7840.0 |  0.025 |
| 7842.3 |  0.025 |
| 7855.0 |   0.02 |
| 7870.0 |  0.016 |
