# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth
# 
# Bandpass Name: epsi_815m
# 
# Instrument: Combo-17
# 
# Determined by: Wolf et al
# 
# Date of determination: 2000-2004?
# 
# Meaning of/Reason for default column: Only available
# 
# Notes:
# 
# These are the COMBO-17 filter curves downloaded from:
# 
# http://www.mpia-hd.mpg.de/COMBO/combo_filters.html
# 
# Reference: Wolf et al., 2004, A&A, 421, 913
# 
# David Schiminovich
# 2005-06
# 
# KFILTER 8223.0    26.283
| lambda |   pass |
| 7809.0 |  0.009 |
| 7829.2 |  0.013 |
| 7833.0 |  0.013 |
| 7842.3 |  0.016 |
| 7845.0 |  0.017 |
| 7854.0 |  0.021 |
| 7863.0 |  0.026 |
| 7869.0 |   0.03 |
| 7875.0 |  0.034 |
| 7881.0 |   0.04 |
| 7887.0 |  0.046 |
| 7887.2 |  0.047 |
| 7890.0 |   0.05 |
| 7893.0 |  0.054 |
| 7896.0 |  0.058 |
| 7899.0 |  0.063 |
| 7902.0 |  0.068 |
| 7905.0 |  0.073 |
| 7908.0 |   0.08 |
| 7911.0 |  0.087 |
| 7914.0 |  0.095 |
| 7917.0 |  0.104 |
| 7920.0 |  0.114 |
| 7923.0 |  0.123 |
| 7926.0 |  0.134 |
| 7929.0 |  0.148 |
| 7932.0 |  0.161 |
| 7935.0 |  0.174 |
| 7938.0 |  0.193 |
| 7941.0 |  0.212 |
| 7944.0 |  0.231 |
| 7947.0 |  0.255 |
| 7948.8 |  0.271 |
| 7950.0 |  0.282 |
| 7953.0 |  0.309 |
| 7956.0 |   0.34 |
| 7959.0 |  0.381 |
| 7962.0 |  0.421 |
| 7965.0 |  0.461 |
| 7968.0 |   0.52 |
| 7971.0 |  0.579 |
| 7974.0 |  0.637 |
| 7977.0 |  0.717 |
| 7980.0 |  0.807 |
| 7983.0 |  0.897 |
| 7986.0 |  1.005 |
| 7989.0 |  1.149 |
| 7992.0 |  1.293 |
| 7995.0 |  1.436 |
| 7998.0 |  2.442 |
| 7998.8 |  2.498 |
| 8000.0 |  2.581 |
| 8001.0 |   2.65 |
| 8004.0 |   2.78 |
| 8007.0 |  2.896 |
| 8010.0 |  3.093 |
| 8013.0 |  3.405 |
| 8016.0 |  3.706 |
| 8019.0 |   4.11 |
| 8022.0 |  4.545 |
| 8025.0 |  4.937 |
| 8028.0 |   5.58 |
| 8031.0 |  6.265 |
| 8034.0 |  6.859 |
| 8037.0 |  7.823 |
| 8040.0 |  8.871 |
| 8043.0 |   9.65 |
| 8046.0 | 10.862 |
| 8049.0 | 12.234 |
| 8051.9 | 13.451 |
| 8052.0 | 13.506 |
| 8055.0 | 14.842 |
| 8058.0 |  16.34 |
| 8061.0 | 17.722 |
| 8064.0 | 19.094 |
| 8067.0 | 20.402 |
| 8070.0 | 21.727 |
| 8073.0 | 22.769 |
| 8076.0 | 23.724 |
| 8077.9 | 24.198 |
| 8079.0 |  24.46 |
| 8082.0 | 25.153 |
| 8085.0 | 25.668 |
| 8088.0 | 26.147 |
| 8091.0 | 26.455 |
| 8094.0 | 26.637 |
| 8097.0 |  26.78 |
| 8100.0 | 26.718 |
| 8103.0 | 26.931 |
| 8105.5 | 26.968 |
| 8106.0 | 26.977 |
| 8109.0 |  26.96 |
| 8112.0 | 26.948 |
| 8115.0 | 27.028 |
| 8118.0 | 27.008 |
| 8121.0 | 27.027 |
| 8124.0 | 27.046 |
| 8127.0 | 27.031 |
| 8130.0 | 27.071 |
| 8136.0 | 27.095 |
| 8139.0 |  27.21 |
| 8142.0 | 27.218 |
| 8145.0 | 27.146 |
| 8148.0 | 27.289 |
| 8151.0 | 27.274 |
| 8154.0 | 27.153 |
| 8157.0 |  27.33 |
| 8160.0 | 27.219 |
| 8163.0 | 27.134 |
| 8166.0 | 27.187 |
| 8169.0 | 27.099 |
| 8172.0 | 27.203 |
| 8175.0 | 27.015 |
| 8178.0 | 26.999 |
| 8180.7 | 26.999 |
| 8181.0 | 26.999 |
| 8184.0 | 26.907 |
| 8187.0 | 26.991 |
| 8190.0 | 26.946 |
| 8193.0 | 26.939 |
| 8196.0 |  26.96 |
| 8199.0 | 26.907 |
| 8202.0 | 26.908 |
| 8205.0 | 26.904 |
| 8208.0 | 26.783 |
| 8211.0 | 26.796 |
| 8214.0 | 26.841 |
| 8217.0 |  26.72 |
| 8220.0 | 26.506 |
| 8223.0 | 26.281 |
| 8226.0 | 26.103 |
| 8229.0 | 25.609 |
| 8232.0 | 25.093 |
| 8235.0 | 24.422 |
| 8238.0 | 23.746 |
| 8241.0 | 22.693 |
| 8244.0 | 21.721 |
| 8247.0 | 20.625 |
| 8250.0 | 19.226 |
| 8253.0 | 17.939 |
| 8256.0 | 16.495 |
| 8259.0 |  14.98 |
| 8262.0 | 13.663 |
| 8265.0 |  12.39 |
| 8268.0 | 11.031 |
| 8271.0 |  9.984 |
| 8274.0 |  8.873 |
| 8277.0 |  7.835 |
| 8280.0 |  6.991 |
| 8280.9 |  6.756 |
| 8283.0 |  6.254 |
| 8286.0 |  5.525 |
| 8289.0 |  4.998 |
| 8292.0 |  4.529 |
| 8295.0 |  3.984 |
| 8298.0 |  3.673 |
| 8301.0 |  3.342 |
| 8304.0 |  3.157 |
| 8307.0 |  2.695 |
| 8310.0 |  2.592 |
| 8313.0 |  2.407 |
| 8316.0 |  2.199 |
| 8319.0 |  2.025 |
| 8319.8 |  2.008 |
| 8322.0 |  1.963 |
| 8325.0 |  1.752 |
| 8328.0 |  1.526 |
| 8346.4 |   1.12 |
| 8351.0 |  1.021 |
| 8362.9 |  0.893 |
| 8374.0 |  0.774 |
| 8391.0 |  0.358 |
