# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth
# 
# Bandpass Name: epsi_B
# 
# Instrument: Combo-17
# 
# Determined by: Wolf et al
# 
# Date of determination: 2000-2004?
# 
# Meaning of/Reason for default column: Only available
# 
# Notes:
# 
# These are the COMBO-17 filter curves downloaded from:
# 
# http://www.mpia-hd.mpg.de/COMBO/combo_filters.html
# 
# Reference: Wolf et al., 2004, A&A, 421, 913
# 
# David Schiminovich
# 2005-06
# 
| lambda |   pass |
| 3920.0 |  0.029 |
| 3925.0 |  0.058 |
| 3930.0 |  0.122 |
| 3935.0 |  0.269 |
| 3937.5 |  0.438 |
| 3940.0 |  0.612 |
| 3945.0 |  1.282 |
| 3950.0 |  2.316 |
| 3955.0 |  3.412 |
| 3960.0 |  4.369 |
| 3961.1 |  4.508 |
| 3965.0 |  5.025 |
| 3970.0 |   5.41 |
| 3975.0 |  5.752 |
| 3980.0 |  6.323 |
| 3985.0 |  7.266 |
| 3990.0 |  8.602 |
| 3995.0 | 10.236 |
| 4000.0 | 12.015 |
| 4003.5 |  13.23 |
| 4005.0 | 13.762 |
| 4010.0 | 15.316 |
| 4015.0 | 16.527 |
| 4020.0 | 17.416 |
| 4025.0 |  18.08 |
| 4025.8 | 18.172 |
| 4030.0 | 18.656 |
| 4035.0 | 19.267 |
| 4040.0 | 20.003 |
| 4045.0 | 20.903 |
| 4050.0 | 21.963 |
| 4055.0 | 23.129 |
| 4060.0 | 24.364 |
| 4065.0 | 25.618 |
| 4070.0 | 26.838 |
| 4075.0 |  27.95 |
| 4080.0 |  28.91 |
| 4085.0 | 29.705 |
| 4087.4 | 30.004 |
| 4090.0 | 30.317 |
| 4095.0 | 30.794 |
| 4100.0 | 31.188 |
| 4101.1 | 31.254 |
| 4105.0 |  31.49 |
| 4110.0 | 31.763 |
| 4115.0 |  32.03 |
| 4120.0 | 32.341 |
| 4125.0 | 32.666 |
| 4130.0 | 33.072 |
| 4135.0 | 33.498 |
| 4140.0 | 33.985 |
| 4145.0 | 34.498 |
| 4150.0 | 35.035 |
| 4155.0 | 35.606 |
| 4160.0 | 36.188 |
| 4165.0 | 36.776 |
| 4170.0 | 37.332 |
| 4175.0 | 37.864 |
| 4180.0 | 38.387 |
| 4182.1 | 38.596 |
| 4185.0 | 38.889 |
| 4190.0 | 39.392 |
| 4195.0 | 39.875 |
| 4200.0 | 40.357 |
| 4202.2 | 40.565 |
| 4205.0 | 40.821 |
| 4210.0 | 41.289 |
| 4215.0 | 41.717 |
| 4220.0 | 42.126 |
| 4225.0 | 42.526 |
| 4230.0 | 42.927 |
| 4235.0 | 43.315 |
| 4240.0 | 43.689 |
| 4245.0 | 44.049 |
| 4250.0 | 44.383 |
| 4255.0 | 44.714 |
| 4260.0 | 45.031 |
| 4265.0 | 45.315 |
| 4270.0 |   45.6 |
| 4271.8 | 45.701 |
| 4275.0 | 45.865 |
| 4280.0 | 46.122 |
| 4285.0 | 46.353 |
| 4290.0 |   46.6 |
| 4295.0 | 46.818 |
| 4300.0 | 47.037 |
| 4302.7 |  47.15 |
| 4305.0 | 47.247 |
| 4310.0 | 47.486 |
| 4315.0 | 47.725 |
| 4320.0 |  47.96 |
| 4325.0 | 48.204 |
| 4330.0 | 48.475 |
| 4335.0 | 48.718 |
| 4340.0 | 49.004 |
| 4345.0 | 49.288 |
| 4350.0 | 49.571 |
| 4355.0 | 49.859 |
| 4360.0 | 50.139 |
| 4365.0 | 50.418 |
| 4370.0 | 50.687 |
| 4375.0 | 50.939 |
| 4380.0 | 51.172 |
| 4385.0 | 51.392 |
| 4390.0 | 51.577 |
| 4390.8 | 51.603 |
