# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth
# 
# Bandpass Name: epsi_I
# 
# Instrument: Combo-17
# 
# Determined by: Wolf et al
# 
# Date of determination: 2000-2004?
# 
# Meaning of/Reason for default column: Only available
# 
# Notes:
# 
# These are the COMBO-17 filter curves downloaded from:
# 
# http://www.mpia-hd.mpg.de/COMBO/combo_filters.html
# 
# Reference: Wolf et al., 2004, A&A, 421, 913
# 
# David Schiminovich
# 2005-06
# 
| lambda |   pass |
| 7305.0 |  0.046 |
| 7315.0 |  0.054 |
| 7325.0 |  0.062 |
| 7330.0 |  0.067 |
| 7335.0 |  0.073 |
| 7340.0 |  0.079 |
| 7345.0 |  0.085 |
| 7350.0 |  0.092 |
| 7355.0 |  0.101 |
| 7357.0 |  0.104 |
| 7360.0 |  0.108 |
| 7365.0 |  0.117 |
| 7370.0 |  0.127 |
| 7375.0 |  0.137 |
| 7380.0 |  0.148 |
| 7385.0 |   0.16 |
| 7390.0 |  0.174 |
| 7395.0 |  0.187 |
| 7400.0 |  0.203 |
| 7405.0 |  0.217 |
| 7410.0 |  0.234 |
| 7415.0 |  0.252 |
| 7420.0 |  0.269 |
| 7425.0 |  0.291 |
| 7430.0 |  0.314 |
| 7430.1 |  0.315 |
| 7435.0 |   0.34 |
| 7440.0 |  0.367 |
| 7445.0 |  0.396 |
| 7450.0 |  0.427 |
| 7451.5 |  0.437 |
| 7455.0 |  0.461 |
| 7460.0 |  0.499 |
| 7465.0 |  0.539 |
| 7470.0 |  0.581 |
| 7475.0 |  0.625 |
| 7480.0 |  0.675 |
| 7485.0 |  0.726 |
| 7490.0 |  0.782 |
| 7495.0 |  0.841 |
| 7500.0 |  0.903 |
| 7505.0 |  0.969 |
| 7510.0 |  1.039 |
| 7515.0 |  1.115 |
| 7520.0 |  1.193 |
| 7520.9 |  1.208 |
| 7525.0 |  1.276 |
| 7530.0 |  1.365 |
| 7535.0 |  1.455 |
| 7540.0 |  1.555 |
| 7545.0 |   1.66 |
| 7550.0 |  1.766 |
| 7555.0 |  1.878 |
| 7560.0 |  1.997 |
| 7565.0 |  2.123 |
| 7570.0 |   2.26 |
| 7575.0 |  2.401 |
| 7580.0 |  2.547 |
| 7585.0 |  2.705 |
| 7586.0 |  2.737 |
| 7590.0 |  2.865 |
| 7595.0 |  3.032 |
| 7600.0 |  3.205 |
| 7605.0 |  3.393 |
| 7610.0 |  3.586 |
| 7615.0 |  3.782 |
| 7620.0 |  3.976 |
| 7625.0 |  4.171 |
| 7626.2 |  4.219 |
| 7630.0 |  4.371 |
| 7635.0 |   4.59 |
| 7640.0 |  4.822 |
| 7645.0 |  5.062 |
| 7650.0 |  5.316 |
| 7655.0 |  5.577 |
| 7655.4 |  5.599 |
| 7660.0 |  5.846 |
| 7665.0 |  6.123 |
| 7670.0 |  6.413 |
| 7675.0 |  6.713 |
| 7680.0 |  7.016 |
| 7685.0 |   7.33 |
| 7690.0 |  7.647 |
| 7695.0 |  7.974 |
| 7700.0 |  8.321 |
| 7705.0 |  8.673 |
| 7710.0 |  9.015 |
| 7713.4 |  9.246 |
| 7715.0 |  9.358 |
| 7720.0 |   9.72 |
| 7725.0 | 10.073 |
| 7730.0 | 10.432 |
| 7735.0 | 10.805 |
| 7740.0 | 11.172 |
| 7745.0 | 11.545 |
| 7750.0 | 11.912 |
| 7755.0 | 12.296 |
| 7760.0 | 12.667 |
| 7765.0 |  13.04 |
| 7770.0 | 13.418 |
| 7775.0 | 13.796 |
| 7780.0 | 14.176 |
| 7780.6 | 14.221 |
| 7785.0 | 14.556 |
| 7790.0 |  14.95 |
| 7795.0 |  15.34 |
| 7800.0 | 15.729 |
| 7805.0 | 16.111 |
| 7810.0 | 16.492 |
| 7815.0 | 16.867 |
| 7820.0 | 17.239 |
| 7825.0 | 17.615 |
| 7829.2 | 17.931 |
| 7830.0 | 17.989 |
| 7835.0 | 18.343 |
| 7840.0 | 18.668 |
| 7842.3 | 18.823 |
| 7845.0 | 19.002 |
| 7850.0 | 19.336 |
| 7855.0 |  19.68 |
| 7860.0 |  20.03 |
| 7865.0 | 20.381 |
| 7870.0 | 20.734 |
| 7875.0 | 21.082 |
| 7880.0 | 21.402 |
| 7885.0 | 21.745 |
| 7887.2 |  21.89 |
| 7890.0 | 22.074 |
| 7895.0 | 22.405 |
| 7900.0 | 22.719 |
| 7905.0 | 23.013 |
| 7910.0 | 23.341 |
| 7915.0 | 23.635 |
| 7920.0 | 23.921 |
| 7925.0 |  24.21 |
| 7930.0 | 24.488 |
| 7935.0 | 24.749 |
| 7940.0 | 24.999 |
| 7945.0 | 25.233 |
| 7948.8 | 25.418 |
| 7950.0 | 25.476 |
| 7955.0 | 25.696 |
| 7960.0 | 25.917 |
| 7965.0 | 26.129 |
| 7970.0 | 26.323 |
| 7975.0 | 26.524 |
| 7980.0 | 26.708 |
| 7985.0 | 26.898 |
| 7990.0 |  27.08 |
| 7995.0 | 26.973 |
| 7998.8 | 26.891 |
| 8000.0 | 26.869 |
| 8005.0 | 27.021 |
| 8010.0 | 27.172 |
| 8015.0 | 27.314 |
| 8020.0 | 27.456 |
| 8025.0 | 27.588 |
| 8030.0 |  27.72 |
| 8035.0 | 27.844 |
| 8040.0 | 27.968 |
| 8045.0 | 28.081 |
| 8050.0 | 28.193 |
| 8051.9 | 28.233 |
| 8055.0 | 28.293 |
| 8060.0 | 28.387 |
| 8065.0 |  28.47 |
| 8070.0 | 28.553 |
| 8075.0 | 28.628 |
| 8077.9 | 28.672 |
| 8080.0 | 28.702 |
| 8085.0 | 28.772 |
| 8090.0 | 28.841 |
| 8095.0 | 28.899 |
| 8100.0 | 28.958 |
| 8105.0 | 29.008 |
| 8105.5 | 29.013 |
| 8110.0 | 29.068 |
| 8115.0 | 29.123 |
| 8120.0 | 29.177 |
| 8125.0 | 29.226 |
| 8130.0 | 29.274 |
| 8135.0 | 29.316 |
| 8140.0 | 29.357 |
| 8145.0 | 29.389 |
| 8150.0 | 29.421 |
| 8155.0 | 29.444 |
| 8160.0 | 29.467 |
| 8165.0 | 29.486 |
| 8170.0 | 29.504 |
| 8175.0 | 29.522 |
| 8180.0 | 29.539 |
| 8180.7 |  29.54 |
| 8185.0 | 29.545 |
| 8190.0 | 29.551 |
| 8195.0 | 29.556 |
| 8200.0 | 29.561 |
| 8205.0 | 29.563 |
| 8210.0 | 29.564 |
| 8215.0 | 29.561 |
| 8220.0 | 29.557 |
| 8223.0 | 29.554 |
| 8225.0 | 29.548 |
| 8230.0 | 29.532 |
| 8235.0 | 29.514 |
| 8240.0 | 29.496 |
| 8245.0 | 29.474 |
| 8250.0 | 29.451 |
| 8255.0 | 29.426 |
| 8260.0 | 29.401 |
| 8265.0 | 29.372 |
| 8270.0 | 29.342 |
| 8275.0 | 29.307 |
