# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth
# 
# Bandpass Name: epsi_R
# 
# Instrument: Combo-17
# 
# Determined by: Wolf et al
# 
# Date of determination: 2000-2004?
# 
# Meaning of/Reason for default column: Only available
# 
# Notes:
# 
# These are the COMBO-17 filter curves downloaded from:
# 
# http://www.mpia-hd.mpg.de/COMBO/combo_filters.html
# 
# Reference: Wolf et al., 2004, A&A, 421, 913
# 
# David Schiminovich
# 2005-06
# 
| lambda |   pass |
| 5550.0 |  0.317 |
| 5555.0 |  0.429 |
| 5560.0 |  0.576 |
| 5565.0 |  0.763 |
| 5570.0 |  1.001 |
| 5575.0 |  1.295 |
| 5580.0 |  1.665 |
| 5585.0 |  2.103 |
| 5588.1 |  2.417 |
| 5590.0 |  2.614 |
| 5595.0 |  3.222 |
| 5600.0 |  3.918 |
| 5605.0 |  4.701 |
| 5610.0 |  5.593 |
| 5610.8 |  5.756 |
| 5615.0 |  6.578 |
| 5620.0 |   7.64 |
| 5625.0 |  8.785 |
| 5630.0 | 10.003 |
| 5635.0 | 11.289 |
| 5640.0 | 12.611 |
| 5645.0 |   14.0 |
| 5650.0 | 15.416 |
| 5655.0 | 16.823 |
| 5660.0 | 18.267 |
| 5661.7 | 18.765 |
| 5665.0 | 19.731 |
| 5670.0 | 21.162 |
| 5675.0 | 22.631 |
| 5680.0 |  24.04 |
| 5685.0 | 25.331 |
| 5690.0 | 26.639 |
| 5692.5 | 27.336 |
| 5695.0 | 28.004 |
| 5700.0 | 29.393 |
| 5705.0 | 30.812 |
| 5710.0 | 32.225 |
| 5710.4 | 32.351 |
| 5715.0 | 33.631 |
| 5720.0 | 35.001 |
| 5725.0 | 36.334 |
| 5730.0 | 37.647 |
| 5735.0 | 38.905 |
| 5740.0 | 40.113 |
| 5745.0 | 41.247 |
| 5750.0 | 42.309 |
| 5755.0 |  43.29 |
| 5760.0 | 44.151 |
| 5765.0 | 44.926 |
| 5770.0 | 45.604 |
| 5773.5 | 46.017 |
| 5775.0 | 46.187 |
| 5780.0 | 46.687 |
| 5785.0 | 47.102 |
| 5790.0 | 47.455 |
| 5795.0 | 47.749 |
| 5800.0 | 47.992 |
| 5805.0 | 48.199 |
| 5808.1 |  48.31 |
| 5810.0 | 48.374 |
| 5811.5 | 48.426 |
| 5815.0 | 48.544 |
| 5820.0 | 48.714 |
| 5825.0 | 48.869 |
| 5830.0 | 49.063 |
| 5835.0 | 49.265 |
| 5840.0 | 49.498 |
| 5845.0 | 49.763 |
| 5850.0 | 50.084 |
| 5855.0 | 50.411 |
| 5860.0 | 50.813 |
| 5863.8 | 51.139 |
| 5865.0 | 51.243 |
| 5870.0 | 51.705 |
| 5875.0 | 52.218 |
| 5880.0 | 52.733 |
| 5885.0 | 53.273 |
| 5890.0 | 53.831 |
| 5895.0 | 54.359 |
| 5900.0 | 54.864 |
| 5905.0 | 55.349 |
| 5906.2 |  55.46 |
| 5910.0 | 55.814 |
| 5915.0 | 56.296 |
| 5920.0 | 56.733 |
| 5925.0 | 57.139 |
| 5930.0 | 57.492 |
| 5935.0 | 57.821 |
| 5940.0 | 58.073 |
| 5945.0 |  58.29 |
| 5950.0 | 58.458 |
| 5955.0 |  58.57 |
| 5957.1 |  58.61 |
| 5960.0 | 58.663 |
| 5965.0 | 58.714 |
| 5970.0 | 58.747 |
| 5971.7 | 58.751 |
| 5975.0 | 58.753 |
| 5980.0 | 58.743 |
| 5985.0 | 58.734 |
| 5990.0 | 58.725 |
| 5995.0 | 58.722 |
| 6000.0 | 58.745 |
| 6005.0 | 58.765 |
| 6010.0 | 58.794 |
| 6015.0 | 58.833 |
| 6016.6 |  58.86 |
| 6020.0 | 58.905 |
| 6025.0 | 58.956 |
| 6030.0 | 59.038 |
| 6035.0 |   59.1 |
| 6040.0 | 59.191 |
| 6045.0 | 59.247 |
| 6050.0 | 59.322 |
| 6055.0 | 59.361 |
| 6060.0 | 59.406 |
| 6065.0 | 59.408 |
| 6066.7 | 59.397 |
| 6073.7 | 59.384 |
| 6075.0 | 59.379 |
| 6080.0 | 59.309 |
| 6085.0 | 59.183 |
| 6090.0 | 59.052 |
| 6095.0 | 58.855 |
| 6100.0 | 58.653 |
| 6105.0 | 58.435 |
| 6110.0 | 58.184 |
| 6115.0 | 57.935 |
| 6120.0 | 57.677 |
| 6125.0 | 57.407 |
| 6130.0 | 57.131 |
| 6134.9 | 56.835 |
| 6135.0 |  56.83 |
| 6140.0 | 56.537 |
| 6145.0 |  56.27 |
| 6150.0 | 56.017 |
| 6155.0 | 55.793 |
| 6160.0 | 55.606 |
| 6165.0 | 55.448 |
| 6180.0 | 55.215 |
| 6185.0 | 55.197 |
| 6190.0 | 55.251 |
| 6195.0 | 55.328 |
| 6200.0 | 55.461 |
| 6200.1 | 55.463 |
| 6205.0 | 55.592 |
| 6210.0 | 55.774 |
| 6215.0 | 55.953 |
| 6220.0 | 56.164 |
| 6225.0 | 56.412 |
| 6230.0 |  56.65 |
| 6232.4 | 56.757 |
| 6235.0 | 56.874 |
| 6240.0 | 57.118 |
| 6245.0 | 57.346 |
| 6250.0 | 57.562 |
| 6255.0 | 57.756 |
| 6260.0 | 57.909 |
| 6261.8 | 57.959 |
| 6265.0 | 58.052 |
| 6270.0 | 58.174 |
| 6275.0 | 58.266 |
| 6280.0 | 58.329 |
| 6285.0 | 58.337 |
| 6290.0 | 58.334 |
| 6295.0 | 58.328 |
| 6300.0 | 58.252 |
| 6305.0 | 58.175 |
| 6310.0 | 58.069 |
| 6313.4 | 57.983 |
| 6315.0 | 57.942 |
| 6320.0 |  57.83 |
| 6325.0 | 57.693 |
| 6330.0 |  57.55 |
| 6335.0 | 57.416 |
| 6340.0 |  57.28 |
| 6345.0 | 57.154 |
| 6350.0 | 57.016 |
| 6355.0 | 56.876 |
| 6360.0 |  56.76 |
| 6365.0 | 56.646 |
| 6370.0 | 56.542 |
| 6373.5 | 56.491 |
| 6375.0 |  56.47 |
| 6380.0 | 56.381 |
