# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth
# 
# Bandpass Name: epsi_U
# 
# Instrument: Combo-17
# 
# Determined by: Wolf et al
# 
# Date of determination: 2000-2004?
# 
# Meaning of/Reason for default column: Only available
# 
# Notes:
# 
# These are the COMBO-17 filter curves downloaded from:
# 
# http://www.mpia-hd.mpg.de/COMBO/combo_filters.html
# 
# Reference: Wolf et al., 2004, A&A, 421, 913
# 
# David Schiminovich
# 2005-06
# 
| lambda |   pass |
| 3200.0 |  0.012 |
| 3208.3 |  0.019 |
| 3216.7 |   0.03 |
| 3225.0 |  0.045 |
| 3231.5 |  0.062 |
| 3233.3 |  0.067 |
| 3241.7 |  0.098 |
| 3250.0 |  0.138 |
| 3258.3 |  0.191 |
| 3266.7 |  0.254 |
| 3272.0 |  0.301 |
| 3275.0 |  0.328 |
| 3283.3 |  0.417 |
| 3291.7 |  0.525 |
| 3300.0 |  0.665 |
| 3308.3 |  0.833 |
| 3316.7 |  1.041 |
| 3325.0 |  1.296 |
| 3331.8 |  1.523 |
| 3333.3 |  1.575 |
| 3341.7 |  1.862 |
| 3350.0 |  2.146 |
| 3358.3 |  2.433 |
| 3366.7 |  2.757 |
| 3375.0 |  3.138 |
| 3383.3 |  3.604 |
| 3384.6 |  3.686 |
| 3391.7 |  4.134 |
| 3400.0 |  4.674 |
| 3408.3 |  5.234 |
| 3416.7 |  5.787 |
| 3425.0 |  6.295 |
| 3429.8 |  6.591 |
| 3433.3 |  6.807 |
| 3441.7 |  7.312 |
| 3450.0 |  7.825 |
| 3450.4 |  7.849 |
| 3458.3 |  8.332 |
| 3466.7 |  8.842 |
| 3475.0 |  9.334 |
| 3483.3 |  9.821 |
| 3491.6 | 10.301 |
| 3491.7 | 10.303 |
| 3500.0 | 10.815 |
| 3508.3 | 11.356 |
| 3516.7 | 11.911 |
| 3525.0 | 12.425 |
| 3533.3 | 12.907 |
| 3541.7 | 13.314 |
| 3550.0 | 13.628 |
| 3550.9 | 13.653 |
| 3558.3 | 13.863 |
| 3562.8 | 13.973 |
| 3566.7 | 14.067 |
| 3575.0 | 14.305 |
| 3583.3 | 14.616 |
| 3591.7 | 15.015 |
| 3600.0 | 15.454 |
| 3608.3 | 16.081 |
| 3616.7 | 16.619 |
| 3625.0 | 17.018 |
| 3627.9 | 17.098 |
| 3633.3 | 17.249 |
| 3641.7 | 17.372 |
| 3650.0 | 17.427 |
| 3658.3 | 17.511 |
| 3658.9 | 17.524 |
| 3666.7 | 17.687 |
| 3675.0 | 17.983 |
| 3683.3 | 18.379 |
| 3691.7 | 18.793 |
| 3700.0 | 19.128 |
| 3708.3 | 19.282 |
| 3716.7 |   19.2 |
| 3725.0 | 18.889 |
| 3733.3 | 18.428 |
| 3741.7 | 17.935 |
| 3748.6 | 17.526 |
| 3750.0 | 17.441 |
| 3758.3 | 17.003 |
| 3761.6 | 16.873 |
| 3766.7 | 16.668 |
| 3775.0 | 16.407 |
| 3783.3 |  16.16 |
| 3791.7 | 15.824 |
| 3800.0 |   15.3 |
| 3808.3 | 14.504 |
| 3816.7 |  13.48 |
| 3825.0 | 12.309 |
| 3833.3 | 11.069 |
| 3841.7 |  9.841 |
| 3850.0 |  8.734 |
| 3858.3 |  7.733 |
| 3866.7 |  6.858 |
| 3871.0 |  6.456 |
| 3875.0 |  6.087 |
| 3883.3 |  5.397 |
| 3891.7 |  4.754 |
| 3900.0 |   4.14 |
| 3908.3 |  3.546 |
| 3916.7 |   2.97 |
| 3925.0 |  2.426 |
| 3933.3 |  1.933 |
| 3937.5 |   1.72 |
| 3941.7 |  1.503 |
| 3950.0 |  1.157 |
| 3958.3 |  0.886 |
| 3961.1 |  0.813 |
| 3966.7 |  0.661 |
| 3975.0 |  0.482 |
| 3983.3 |  0.345 |
| 3991.7 |  0.242 |
| 4000.0 |  0.167 |
