# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth
# 
# Bandpass Name: epsi_V
# 
# Instrument: Combo-17
# 
# Determined by: Wolf et al
# 
# Date of determination: 2000-2004?
# 
# Meaning of/Reason for default column: Only available
# 
# Notes:
# 
# These are the COMBO-17 filter curves downloaded from:
# 
# http://www.mpia-hd.mpg.de/COMBO/combo_filters.html
# 
# Reference: Wolf et al., 2004, A&A, 421, 913
# 
# David Schiminovich
# 2005-06
# 
| lambda |   pass |
| 4800.0 |   0.04 |
| 4805.0 |   0.07 |
| 4809.1 |  0.107 |
| 4810.0 |  0.116 |
| 4815.0 |  0.188 |
| 4820.0 |  0.286 |
| 4824.6 |  0.408 |
| 4825.0 |   0.42 |
| 4830.0 |  0.609 |
| 4835.0 |  0.871 |
| 4840.0 |  1.218 |
| 4845.0 |  1.669 |
| 4850.0 |  2.244 |
| 4855.0 |   2.93 |
| 4860.0 |  3.744 |
| 4865.0 |  4.687 |
| 4870.0 |  5.724 |
| 4875.0 |  6.891 |
| 4876.5 |  7.277 |
| 4880.0 |   8.17 |
| 4885.0 |  9.525 |
| 4890.0 | 10.943 |
| 4895.0 | 12.391 |
| 4900.0 | 13.859 |
| 4905.0 | 15.354 |
| 4910.0 | 16.868 |
| 4915.0 | 18.393 |
| 4920.0 | 19.908 |
| 4925.0 | 21.427 |
| 4930.0 | 22.939 |
| 4935.0 | 24.446 |
| 4935.5 | 24.591 |
| 4940.0 | 25.967 |
| 4945.0 | 27.516 |
| 4947.5 | 28.267 |
| 4950.0 | 29.001 |
| 4955.0 | 30.483 |
| 4960.0 | 31.965 |
| 4965.0 |  33.44 |
| 4970.0 | 34.896 |
| 4975.0 | 36.354 |
| 4980.0 | 37.767 |
| 4985.0 | 39.174 |
| 4990.0 |  40.51 |
| 4995.0 | 41.811 |
| 5000.0 | 43.056 |
| 5005.0 | 44.233 |
| 5010.0 | 45.326 |
| 5015.0 | 46.331 |
| 5020.0 | 47.246 |
| 5025.0 | 48.071 |
| 5030.0 | 48.783 |
| 5035.0 | 49.378 |
| 5040.0 | 49.865 |
| 5041.5 | 49.984 |
| 5045.0 | 50.268 |
| 5050.0 | 50.628 |
| 5055.0 | 50.904 |
| 5060.0 | 51.109 |
| 5065.0 | 51.239 |
| 5070.0 |  51.34 |
| 5075.0 |  51.37 |
| 5080.0 |  51.39 |
| 5090.0 | 51.379 |
| 5092.3 | 51.375 |
| 5095.0 | 51.375 |
| 5100.0 | 51.398 |
| 5105.0 | 51.434 |
| 5110.0 | 51.493 |
| 5112.5 | 51.534 |
| 5115.0 | 51.574 |
| 5120.0 | 51.708 |
| 5125.0 | 51.857 |
| 5130.0 | 52.073 |
| 5135.0 | 52.281 |
| 5140.0 | 52.581 |
| 5145.0 | 52.858 |
| 5150.0 | 53.177 |
| 5155.0 | 53.544 |
| 5160.0 | 53.913 |
| 5165.0 | 54.314 |
| 5170.0 | 54.723 |
| 5175.0 | 55.128 |
| 5180.0 | 55.507 |
| 5185.0 | 55.897 |
| 5187.1 | 56.047 |
| 5190.0 | 56.255 |
| 5195.0 | 56.591 |
| 5200.0 | 56.871 |
| 5205.0 | 57.141 |
| 5210.0 | 57.361 |
| 5215.0 | 57.522 |
| 5220.0 | 57.649 |
| 5225.0 | 57.734 |
| 5230.0 | 57.761 |
| 5235.0 | 57.744 |
| 5240.0 | 57.677 |
| 5245.0 | 57.562 |
| 5250.0 | 57.434 |
| 5255.0 |  57.28 |
| 5260.0 | 57.104 |
| 5265.0 | 56.885 |
| 5266.8 | 56.805 |
| 5268.1 | 56.746 |
| 5270.0 | 56.663 |
| 5275.0 |  56.43 |
| 5280.0 | 56.206 |
| 5285.0 | 55.963 |
| 5290.0 |  55.71 |
| 5295.0 | 55.478 |
| 5300.0 |  55.26 |
| 5305.0 | 55.057 |
| 5310.0 | 54.867 |
| 5315.0 |   54.7 |
| 5320.0 | 54.548 |
| 5325.0 | 54.416 |
| 5330.0 | 54.312 |
| 5335.0 | 54.225 |
| 5340.0 | 54.158 |
| 5341.3 | 54.147 |
| 5345.0 | 54.108 |
| 5350.0 | 54.064 |
| 5355.0 | 54.041 |
| 5360.0 | 54.024 |
| 5365.0 | 54.001 |
| 5370.0 | 54.014 |
| 5380.0 | 54.033 |
| 5390.0 | 54.057 |
| 5395.0 | 54.075 |
| 5400.0 | 54.093 |
| 5407.9 | 54.085 |
| 5410.0 | 54.083 |
| 5415.0 | 54.075 |
| 5420.0 | 54.064 |
| 5425.0 |  54.04 |
| 5430.0 | 54.017 |
| 5435.0 |  53.95 |
| 5440.0 | 53.904 |
| 5445.0 | 53.829 |
| 5450.0 | 53.757 |
| 5453.0 | 53.701 |
| 5455.0 | 53.662 |
| 5460.0 | 53.557 |
| 5465.0 | 53.437 |
| 5470.0 | 53.322 |
| 5475.0 | 53.187 |
| 5480.0 | 53.054 |
| 5485.0 | 52.911 |
| 5490.0 |  52.73 |
| 5495.0 | 52.559 |
| 5500.0 | 52.366 |
| 5505.0 | 52.172 |
| 5510.0 |  51.97 |
| 5515.0 | 51.743 |
| 5520.0 | 51.523 |
| 5525.0 | 51.299 |
| 5530.0 | 51.059 |
| 5535.0 | 50.826 |
| 5540.0 | 50.558 |
| 5543.4 | 50.387 |
| 5545.0 | 50.308 |
| 5550.0 | 50.058 |
| 5555.0 | 49.796 |
| 5560.0 | 49.528 |
| 5565.0 |  49.29 |
| 5570.0 | 49.004 |
| 5575.0 | 48.742 |
| 5580.0 |  48.46 |
| 5585.0 | 48.183 |
| 5588.1 |  48.02 |
| 5590.0 | 47.915 |
| 5595.0 | 47.623 |
| 5600.0 | 47.345 |
| 5605.0 |  47.07 |
| 5610.0 | 46.787 |
| 5610.8 | 46.737 |
| 5615.0 | 46.483 |
| 5620.0 | 46.185 |
| 5625.0 | 45.871 |
| 5630.0 |  45.57 |
| 5635.0 | 45.253 |
| 5640.0 | 44.912 |
| 5645.0 | 44.588 |
| 5650.0 | 44.236 |
| 5655.0 | 43.875 |
| 5660.0 | 43.508 |
| 5661.7 | 43.377 |
| 5665.0 | 43.124 |
| 5670.0 | 42.747 |
| 5675.0 | 42.335 |
| 5680.0 | 41.938 |
| 5685.0 | 41.556 |
| 5690.0 | 41.175 |
| 5692.5 | 40.965 |
| 5695.0 | 40.759 |
| 5700.0 | 40.315 |
| 5705.0 | 39.854 |
| 5710.0 | 39.377 |
| 5710.4 | 39.334 |
| 5715.0 | 38.903 |
| 5720.0 | 38.435 |
| 5725.0 | 37.949 |
| 5730.0 | 37.474 |
| 5735.0 | 36.996 |
| 5740.0 | 36.516 |
| 5745.0 | 36.023 |
| 5750.0 | 35.542 |
| 5755.0 | 35.082 |
| 5760.0 | 34.604 |
| 5765.0 | 34.149 |
| 5770.0 | 33.692 |
| 5773.5 | 33.373 |
| 5775.0 | 33.241 |
| 5780.0 |   32.8 |
| 5785.0 | 32.353 |
| 5790.0 | 31.932 |
| 5795.0 | 31.518 |
| 5800.0 | 31.118 |
| 5805.0 | 30.736 |
| 5808.1 | 30.517 |
| 5810.0 | 30.381 |
| 5811.5 | 30.283 |
| 5815.0 | 30.055 |
| 5820.0 | 29.756 |
| 5825.0 | 29.479 |
| 5830.0 | 29.239 |
| 5835.0 | 29.008 |
| 5840.0 | 28.783 |
| 5845.0 | 28.541 |
| 5850.0 | 28.236 |
| 5855.0 | 27.809 |
| 5860.0 | 27.194 |
| 5863.8 | 26.503 |
| 5865.0 | 26.292 |
| 5870.0 | 25.057 |
| 5875.0 | 23.426 |
