# FLAMINGOS BARR H Band Witness Sample MAN-109-W
# Witness Sample Measured at 77 K
# Peak Transmission (%)         96.85E+00
# Cut-on Wavelength (nm)        1495.20
# Cut-off Wavelength (nm)       1776.00
# Wavelength (nm)        Transmission (%)
    2500.00                -40.00E-04
    2499.50                40.00E-04
    2499.00                04.80E-02
    2498.50                -01.80E-02
    2498.00                05.50E-02
    2497.50                02.20E-02
    2497.00                90.00E-04
    2496.50                70.00E-04
    2496.00                -01.30E-02
    2495.50                40.00E-04
    2495.00                20.00E-04
    2494.50                03.80E-02
    2494.00                -02.00E-02
    2493.50                -02.00E-02
    2493.00                02.40E-02
    2492.50                02.00E-02
    2492.00                03.50E-02
    2491.50                -01.60E-02
    2491.00                02.90E-02
    2490.50                01.50E-02
    2490.00                00.00E+00
    2489.50                03.70E-02
    2489.00                70.00E-04
    2488.50                -03.50E-02
    2488.00                40.00E-04
    2487.50                20.00E-04
    2487.00                -02.70E-02
    2486.50                02.20E-02
    2486.00                -03.50E-02
    2485.50                02.20E-02
    2485.00                40.00E-04
    2484.50                -20.00E-04
    2484.00                01.10E-02
    2483.50                90.00E-04
    2483.00                01.70E-02
    2482.50                01.10E-02
    2482.00                -01.70E-02
    2481.50                -40.00E-04
    2481.00                -03.10E-02
    2480.50                -02.40E-02
    2480.00                -01.10E-02
    2479.50                01.30E-02
    2479.00                01.10E-02
    2478.50                -20.00E-04
    2478.00                04.20E-02
    2477.50                -02.40E-02
    2477.00                -90.00E-04
    2476.50                01.50E-02
    2476.00                40.00E-04
    2475.50                -01.30E-02
    2475.00                02.00E-02
    2474.50                -40.00E-04
    2474.00                02.00E-02
    2473.50                05.60E-02
    2473.00                20.00E-04
    2472.50                -40.00E-04
    2472.00                20.00E-04
    2471.50                -01.30E-02
    2471.00                -03.00E-02
    2470.50                02.20E-02
    2470.00                05.50E-02
    2469.50                -02.50E-02
    2469.00                00.00E+00
    2468.50                -70.00E-04
    2468.00                -01.10E-02
    2467.50                90.00E-04
    2467.00                01.10E-02
    2466.50                02.90E-02
    2466.00                40.00E-04
    2465.50                02.90E-02
    2465.00                02.20E-02
    2464.50                -90.00E-04
    2464.00                -40.00E-04
    2463.50                05.80E-02
    2463.00                02.40E-02
    2462.50                02.40E-02
    2462.00                -04.00E-02
    2461.50                02.00E-02
    2461.00                01.70E-02
    2460.50                20.00E-04
    2460.00                -40.00E-04
    2459.50                01.80E-02
    2459.00                20.00E-04
    2458.50                01.30E-02
    2458.00                -20.00E-04
    2457.50                04.40E-02
    2457.00                01.10E-02
    2456.50                20.00E-04
    2456.00                03.80E-02
    2455.50                -02.20E-02
    2455.00                -90.00E-04
    2454.50                -01.10E-02
    2454.00                90.00E-04
    2453.50                01.50E-02
    2453.00                03.30E-02
    2452.50                -02.00E-02
    2452.00                00.00E+00
    2451.50                03.10E-02
    2451.00                01.60E-02
    2450.50                -90.00E-04
    2450.00                -02.00E-02
    2449.50                -01.80E-02
    2449.00                -50.00E-04
    2448.50                -02.40E-02
    2448.00                -40.00E-04
    2447.50                01.10E-02
    2447.00                02.40E-02
    2446.50                03.40E-02
    2446.00                60.00E-04
    2445.50                04.00E-02
    2445.00                -01.90E-02
    2444.50                02.40E-02
    2444.00                02.40E-02
    2443.50                01.50E-02
    2443.00                -02.90E-02
    2442.50                01.80E-02
    2442.00                01.10E-02
    2441.50                -70.00E-04
    2441.00                -01.60E-02
    2440.50                20.00E-04
    2440.00                20.00E-04
    2439.50                -50.00E-04
    2439.00                -02.50E-02
    2438.50                20.00E-04
    2438.00                05.10E-02
    2437.50                -01.10E-02
    2437.00                70.00E-04
    2436.50                -03.60E-02
    2436.00                -02.20E-02
    2435.50                40.00E-04
    2435.00                01.50E-02
    2434.50                -40.00E-04
    2434.00                -40.00E-04
    2433.50                -03.10E-02
    2433.00                02.00E-02
    2432.50                -01.70E-02
    2432.00                -02.40E-02
    2431.50                -90.00E-04
    2431.00                20.00E-04
    2430.50                -05.70E-02
    2430.00                -01.30E-02
    2429.50                00.00E+00
    2429.00                00.00E+00
    2428.50                00.00E+00
    2428.00                40.00E-04
    2427.50                90.00E-04
    2427.00                -02.90E-02
    2426.50                -03.30E-02
    2426.00                70.00E-04
    2425.50                -40.00E-04
    2425.00                -03.10E-02
    2424.50                -02.90E-02
    2424.00                20.00E-04
    2423.50                40.00E-04
    2423.00                01.10E-02
    2422.50                -03.50E-02
    2422.00                -03.10E-02
    2421.50                -02.00E-02
    2421.00                02.00E-02
    2420.50                -20.00E-04
    2420.00                -02.00E-02
    2419.50                -02.40E-02
    2419.00                -90.00E-04
    2418.50                20.00E-04
    2418.00                -70.00E-04
    2417.50                -02.40E-02
    2417.00                -20.00E-04
    2416.50                -03.70E-02
    2416.00                -04.60E-02
    2415.50                80.00E-04
    2415.00                -01.10E-02
    2414.50                -02.90E-02
    2414.00                02.00E-02
    2413.50                70.00E-04
    2413.00                20.00E-04
    2412.50                -01.80E-02
    2412.00                -03.50E-02
    2411.50                -20.00E-04
    2411.00                -40.00E-04
    2410.50                -90.00E-04
    2410.00                01.50E-02
    2409.50                -01.30E-02
    2409.00                -03.70E-02
    2408.50                90.00E-04
    2408.00                01.60E-02
    2407.50                -50.00E-04
    2407.00                03.50E-02
    2406.50                90.00E-04
    2406.00                01.50E-02
    2405.50                -04.40E-02
    2405.00                02.00E-02
    2404.50                -03.50E-02
    2404.00                -07.30E-02
    2403.50                90.00E-04
    2403.00                01.50E-02
    2402.50                -04.80E-02
    2402.00                -02.90E-02
    2401.50                -02.20E-02
    2401.00                -03.10E-02
    2400.50                -40.00E-04
    2400.00                -20.00E-04
