# FLAMINGOS BARR H-Band Filter MAN-109A					
# Filter Measured at Room Temperature					
# Peak Transmission (%)         97.50E+00				
# Cut-on Wavelength (nm)        1497.00				
# Cut-off Wavelength (nm)       1778.00				
# Wavelength (nm)            Transmission (%)				
    2000.00                    20.97E-04				
    1999.50                    58.83E-04				
    1999.00                    25.01E-04				
    1998.50                    20.11E-04				
    1998.00                    62.55E-04				
    1997.50                    33.46E-04				
    1997.00                    50.39E-04				
    1996.50                    88.71E-04				
    1996.00                    83.68E-04				
    1995.50                    36.56E-04				
    1995.00                    49.67E-04
    1994.50                    58.34E-04
    1994.00                    -59.10E-06
    1993.50                    18.16E-04
    1993.00                    19.84E-04
    1992.50                    27.34E-04
    1992.00                    29.50E-04
    1991.50                    04.31E-04
    1991.00                    23.20E-04
    1990.50                    -27.59E-04
    1990.00                    67.07E-04
    1989.50                    56.07E-04
    1989.00                    10.73E-04
    1988.50                    85.71E-04
    1988.00                    25.40E-04
    1987.50                    21.29E-04
    1987.00                    27.37E-04
    1986.50                    39.41E-04
    1986.00                    07.99E-04
    1985.50                    24.88E-04
    1985.00                    27.29E-04
    1984.50                    94.39E-04
    1984.00                    41.08E-04
    1983.50                    37.03E-04
    1983.00                    11.30E-04
    1982.50                    29.48E-04
    1982.00                    36.55E-04
    1981.50                    12.40E-04
    1981.00                    54.08E-04
    1980.50                    28.40E-04
    1980.00                    50.41E-04
    1979.50                    11.35E-04
    1979.00                    66.63E-04
    1978.50                    32.80E-04
    1978.00                    58.45E-04
    1977.50                    11.85E-04
    1977.00                    59.11E-04
    1976.50                    50.13E-04
    1976.00                    25.17E-04
    1975.50                    63.37E-04
    1975.00                    03.68E-04
    1974.50                    75.88E-04
    1974.00                    20.75E-04
    1973.50                    92.51E-04
    1973.00                    -51.83E-06
    1972.50                    28.72E-04
    1972.00                    33.45E-04
    1971.50                    25.37E-04
    1971.00                    91.92E-04
    1970.50                    -70.11E-06
    1970.00                    16.17E-04
    1969.50                    54.72E-04
    1969.00                    03.60E-04
    1968.50                    25.59E-04
    1968.00                    44.83E-04
    1967.50                    42.03E-04
    1967.00                    79.26E-04
    1966.50                    53.31E-04
    1966.00                    11.73E-04
    1965.50                    41.54E-04
    1965.00                    72.35E-04
    1964.50                    21.12E-04
    1964.00                    -27.11E-04
    1963.50                    28.43E-04
    1963.00                    50.84E-04
    1962.50                    58.58E-04
    1962.00                    37.70E-04
    1961.50                    15.63E-04
    1961.00                    29.14E-04
    1960.50                    54.60E-04
    1960.00                    19.55E-04
    1959.50                    27.60E-04
    1959.00                    28.36E-04
    1958.50                    52.12E-04
    1958.00                    52.43E-04
    1957.50                    53.11E-04
    1957.00                    21.33E-04
    1956.50                    51.40E-04
    1956.00                    23.45E-04
    1955.50                    65.48E-04
    1955.00                    -12.21E-04
    1954.50                    -08.83E-04
    1954.00                    19.75E-04
    1953.50                    57.67E-04
    1953.00                    29.67E-04
    1952.50                    50.79E-04
    1952.00                    30.86E-04
    1951.50                    09.42E-04
    1951.00                    03.95E-04
    1950.50                    -01.21E-04
    1950.00                    53.87E-04
    1949.50                    -04.22E-04
    1949.00                    23.80E-04
    1948.50                    15.65E-04
    1948.00                    40.90E-04
    1947.50                    08.42E-04
    1947.00                    15.04E-04
    1946.50                    06.65E-04
    1946.00                    04.02E-04
    1945.50                    89.87E-04
    1945.00                    -01.92E-04
    1944.50                    11.05E-04
    1944.00                    46.07E-04
    1943.50                    -05.24E-04
    1943.00                    57.21E-04
    1942.50                    22.34E-04
    1942.00                    33.40E-04
    1941.50                    63.86E-04
    1941.00                    34.11E-04
    1940.50                    46.09E-04
    1940.00                    65.12E-04
    1939.50                    -03.39E-04
    1939.00                    13.54E-04
    1938.50                    42.34E-04
    1938.00                    -05.76E-04
    1937.50                    83.76E-04
    1937.00                    -19.28E-04
    1936.50                    66.05E-04
    1936.00                    41.91E-04
    1935.50                    -05.70E-04
    1935.00                    70.83E-04
    1934.50                    59.87E-04
    1934.00                    36.46E-04
    1933.50                    45.14E-04
    1933.00                    16.64E-04
    1932.50                    55.20E-04
    1932.00                    36.97E-04
    1931.50                    45.18E-04
    1931.00                    03.86E-04
    1930.50                    82.38E-04
    1930.00                    16.98E-04
    1929.50                    34.62E-04
    1929.00                    -98.66E-08
    1928.50                    21.15E-04
    1928.00                    34.72E-04
    1927.50                    33.84E-04
    1927.00                    48.60E-04
    1926.50                    02.20E-04
    1926.00                    70.99E-04
    1925.50                    23.90E-04
    1925.00                    19.06E-04
    1924.50                    16.59E-04
    1924.00                    50.42E-04
    1923.50                    03.77E-04
    1923.00                    15.95E-04
    1922.50                    -03.66E-04
    1922.00                    -06.59E-04
    1921.50                    61.44E-04
    1921.00                    54.60E-04
    1920.50                    63.75E-04
    1920.00                    07.56E-04
    1919.50                    66.35E-04
    1919.00                    83.25E-04
    1918.50                    25.36E-04
    1918.00                    56.57E-04
    1917.50                    37.74E-04
    1917.00                    46.48E-04
    1916.50                    18.03E-04
    1916.00                    53.24E-04
    1915.50                    47.15E-04
    1915.00                    58.68E-04
    1914.50                    08.99E-04
    1914.00                    49.90E-04
    1913.50                    51.47E-04
    1913.00                    37.44E-04
    1912.50                    57.23E-04
    1912.00                    40.10E-04
    1911.50                    46.06E-04
    1911.00                    -24.34E-04
    1910.50                    20.97E-04
    1910.00                    52.33E-04
    1909.50                    27.89E-04
    1909.00                    56.82E-04
    1908.50                    -05.14E-04
    1908.00                    19.98E-04
    1907.50                    14.45E-04
    1907.00                    27.01E-04
    1906.50                    60.12E-04
    1906.00                    32.96E-04
    1905.50                    46.10E-04
    1905.00                    89.94E-04
    1904.50                    44.78E-04
    1904.00                    78.35E-04
    1903.50                    30.92E-04
    1903.00                    82.69E-04
    1902.50                    13.49E-04
    1902.00                    61.16E-04
    1901.50                    49.71E-04
    1901.00                    01.11E-04
    1900.50                    71.50E-04
    1900.00                    59.80E-04
    1899.50                    20.90E-04
    1899.00                    24.24E-04
    1898.50                    35.66E-04
    1898.00                    16.32E-04
    1897.50                    34.86E-04
    1897.00                    79.23E-04
    1896.50                    53.77E-04
    1896.00                    35.02E-04
    1895.50                    74.34E-04
    1895.00                    37.30E-04
    1894.50                    29.27E-04
    1894.00                    06.16E-04
    1893.50                    21.68E-04
    1893.00                    73.31E-04
    1892.50                    47.89E-04
    1892.00                    35.64E-04
    1891.50                    69.66E-04
    1891.00                    96.96E-06
    1890.50                    49.99E-04
    1890.00                    32.12E-04
    1889.50                    92.63E-04
    1889.00                    57.87E-04
    1888.50                    23.08E-04
    1888.00                    52.90E-04
    1887.50                    56.22E-04
    1887.00                    44.96E-04
    1886.50                    63.77E-04
    1886.00                    74.95E-04
    1885.50                    23.50E-04
    1885.00                    46.49E-04
    1884.50                    59.08E-04
    1884.00                    60.66E-04
    1883.50                    66.23E-04
    1883.00                    65.22E-04
    1882.50                    24.98E-04
    1882.00                    26.39E-04
    1881.50                    23.29E-04
    1881.00                    49.18E-04
    1880.50                    49.23E-04
    1880.00                    72.18E-04
    1879.50                    70.26E-04
    1879.00                    65.65E-04
    1878.50                    35.86E-04
    1878.00                    19.70E-04
    1877.50                    44.55E-04
    1877.00                    43.12E-04
    1876.50                    24.89E-04
    1876.00                    82.51E-04
    1875.50                    92.39E-04
    1875.00                    19.76E-04
    1874.50                    47.17E-04
    1874.00                    38.38E-04
    1873.50                    77.86E-04
    1873.00                    98.27E-04
    1872.50                    85.05E-04
    1872.00                    63.46E-04
    1871.50                    02.18E-04
    1871.00                    72.57E-04
    1870.50                    01.15E-02
    1870.00                    75.16E-04
    1869.50                    51.51E-04
    1869.00                    46.76E-04
    1868.50                    92.54E-04
    1868.00                    01.09E-02
    1867.50                    94.82E-04
    1867.00                    31.22E-04
    1866.50                    01.14E-02
    1866.00                    90.60E-04
    1865.50                    23.38E-04
    1865.00                    58.32E-04
    1864.50                    57.00E-04
    1864.00                    80.83E-04
    1863.50                    01.22E-02
    1863.00                    98.96E-04
    1862.50                    59.72E-04
    1862.00                    01.24E-02
    1861.50                    70.55E-04
    1861.00                    01.04E-02
    1860.50                    01.03E-02
    1860.00                    87.23E-04
    1859.50                    94.13E-04
    1859.00                    01.16E-02
    1858.50                    01.10E-02
    1858.00                    65.70E-04
    1857.50                    72.75E-04
    1857.00                    01.17E-02
    1856.50                    50.06E-04
    1856.00                    01.17E-02
    1855.50                    01.34E-02
    1855.00                    01.52E-02
    1854.50                    99.68E-04
    1854.00                    99.61E-04
    1853.50                    89.99E-04
    1853.00                    01.26E-02
    1852.50                    86.37E-04
    1852.00                    99.74E-04
    1851.50                    01.49E-02
    1851.00                    01.25E-02
    1850.50                    01.75E-02
    1850.00                    01.02E-02
    1849.50                    01.92E-02
    1849.00                    01.90E-02
    1848.50                    01.42E-02
    1848.00                    01.69E-02
    1847.50                    01.79E-02
    1847.00                    01.81E-02
    1846.50                    02.06E-02
    1846.00                    01.95E-02
    1845.50                    01.99E-02
    1845.00                    01.66E-02
    1844.50                    01.93E-02
    1844.00                    02.14E-02
    1843.50                    01.95E-02
    1843.00                    02.63E-02
    1842.50                    02.74E-02
    1842.00                    02.15E-02
    1841.50                    02.25E-02
    1841.00                    02.47E-02
    1840.50                    02.53E-02
    1840.00                    03.13E-02
    1839.50                    02.49E-02
    1839.00                    02.91E-02
    1838.50                    03.06E-02
    1838.00                    03.16E-02
    1837.50                    03.37E-02
    1837.00                    03.65E-02
    1836.50                    03.76E-02
    1836.00                    03.64E-02
    1835.50                    03.60E-02
    1835.00                    04.30E-02
    1834.50                    04.12E-02
    1834.00                    04.59E-02
    1833.50                    05.07E-02
    1833.00                    04.99E-02
    1832.50                    04.35E-02
    1832.00                    05.15E-02
    1831.50                    05.24E-02
    1831.00                    05.58E-02
    1830.50                    05.56E-02
    1830.00                    06.01E-02
    1829.50                    06.66E-02
    1829.00                    07.02E-02
    1828.50                    06.93E-02
    1828.00                    07.46E-02
    1827.50                    07.59E-02
    1827.00                    08.10E-02
    1826.50                    08.46E-02
    1826.00                    08.87E-02
    1825.50                    09.43E-02
    1825.00                    10.02E-02
    1824.50                    10.58E-02
    1824.00                    11.28E-02
    1823.50                    11.13E-02
    1823.00                    12.10E-02
    1822.50                    12.46E-02
    1822.00                    13.15E-02
    1821.50                    13.78E-02
    1821.00                    15.24E-02
    1820.50                    15.57E-02
    1820.00                    16.75E-02
    1819.50                    17.59E-02
    1819.00                    18.78E-02
    1818.50                    19.56E-02
    1818.00                    20.79E-02
    1817.50                    21.97E-02
    1817.00                    22.76E-02
    1816.50                    24.27E-02
    1816.00                    24.38E-02
    1815.50                    26.62E-02
    1815.00                    28.18E-02
    1814.50                    30.98E-02
    1814.00                    32.18E-02
    1813.50                    33.84E-02
    1813.00                    35.37E-02
    1812.50                    37.11E-02
    1812.00                    39.76E-02
    1811.50                    42.49E-02
    1811.00                    45.43E-02
    1810.50                    47.79E-02
    1810.00                    50.76E-02
    1809.50                    54.10E-02
    1809.00                    57.38E-02
    1808.50                    59.97E-02
    1808.00                    65.26E-02
    1807.50                    68.63E-02
    1807.00                    73.31E-02
    1806.50                    77.55E-02
    1806.00                    82.54E-02
    1805.50                    88.26E-02
    1805.00                    94.75E-02
    1804.50                    01.01E+00
    1804.00                    01.08E+00
    1803.50                    01.14E+00
    1803.00                    01.20E+00
    1802.50                    01.29E+00
    1802.00                    01.38E+00
    1801.50                    01.48E+00
    1801.00                    01.58E+00
    1800.50                    01.69E+00
    1800.00                    01.81E+00
    1799.50                    01.94E+00
    1799.00                    02.09E+00
    1798.50                    02.25E+00
    1798.00                    02.40E+00
    1797.50                    02.57E+00
    1797.00                    02.75E+00
    1796.50                    02.94E+00
    1796.00                    03.19E+00
    1795.50                    03.46E+00
    1795.00                    03.71E+00
    1794.50                    03.99E+00
    1794.00                    04.28E+00
    1793.50                    04.61E+00
    1793.00                    04.97E+00
    1792.50                    05.42E+00
    1792.00                    05.87E+00
    1791.50                    06.33E+00
    1791.00                    06.79E+00
    1790.50                    07.33E+00
    1790.00                    07.96E+00
    1789.50                    08.63E+00
    1789.00                    09.39E+00
    1788.50                    10.16E+00
    1788.00                    10.94E+00
    1787.50                    11.83E+00
    1787.00                    12.77E+00
    1786.50                    14.02E+00
    1786.00                    15.17E+00
    1785.50                    16.45E+00
    1785.00                    17.79E+00
    1784.50                    19.21E+00
    1784.00                    20.81E+00
    1783.50                    22.50E+00
    1783.00                    24.51E+00
    1782.50                    26.39E+00
    1782.00                    28.46E+00
    1781.50                    30.52E+00
    1781.00                    32.76E+00
    1780.50                    35.29E+00
    1780.00                    37.91E+00
    1779.50                    40.74E+00
    1779.00                    43.32E+00
    1778.50                    45.93E+00
    1778.00                    48.94E+00
    1777.50                    51.72E+00
    1777.00                    54.71E+00
    1776.50                    57.89E+00
    1776.00                    60.74E+00
    1775.50                    63.37E+00
    1775.00                    65.96E+00
    1774.50                    68.65E+00
    1774.00                    71.18E+00
    1773.50                    73.74E+00
    1773.00                    76.11E+00
    1772.50                    78.23E+00
    1772.00                    80.06E+00
    1771.50                    81.82E+00
    1771.00                    83.49E+00
    1770.50                    84.97E+00
    1770.00                    86.38E+00
    1769.50                    87.56E+00
    1769.00                    88.50E+00
    1768.50                    89.39E+00
    1768.00                    90.12E+00
    1767.50                    90.86E+00
    1767.00                    91.45E+00
    1766.50                    91.85E+00
    1766.00                    92.26E+00
    1765.50                    92.61E+00
    1765.00                    92.82E+00
    1764.50                    93.06E+00
    1764.00                    93.22E+00
    1763.50                    93.34E+00
    1763.00                    93.49E+00
    1762.50                    93.50E+00
    1762.00                    93.54E+00
    1761.50                    93.62E+00
    1761.00                    93.61E+00
    1760.50                    93.65E+00
    1760.00                    93.67E+00
    1759.50                    93.66E+00
    1759.00                    93.73E+00
    1758.50                    93.72E+00
    1758.00                    93.69E+00
    1757.50                    93.74E+00
    1757.00                    93.73E+00
    1756.50                    93.75E+00
    1756.00                    93.79E+00
    1755.50                    93.74E+00
    1755.00                    93.81E+00
    1754.50                    93.83E+00
    1754.00                    93.82E+00
    1753.50                    93.92E+00
    1753.00                    93.94E+00
    1752.50                    93.93E+00
    1752.00                    94.06E+00
    1751.50                    94.07E+00
    1751.00                    94.09E+00
    1750.50                    94.15E+00
    1750.00                    94.18E+00
    1749.50                    94.25E+00
    1749.00                    94.27E+00
    1748.50                    94.31E+00
    1748.00                    94.39E+00
    1747.50                    94.43E+00
    1747.00                    94.45E+00
    1746.50                    94.58E+00
    1746.00                    94.55E+00
    1745.50                    94.63E+00
    1745.00                    94.70E+00
    1744.50                    94.74E+00
    1744.00                    94.78E+00
    1743.50                    94.85E+00
    1743.00                    94.89E+00
    1742.50                    94.98E+00
    1742.00                    95.04E+00
    1741.50                    95.03E+00
    1741.00                    95.17E+00
    1740.50                    95.18E+00
    1740.00                    95.25E+00
    1739.50                    95.29E+00
    1739.00                    95.33E+00
    1738.50                    95.44E+00
    1738.00                    95.45E+00
    1737.50                    95.50E+00
    1737.00                    95.55E+00
    1736.50                    95.59E+00
    1736.00                    95.67E+00
    1735.50                    95.73E+00
    1735.00                    95.71E+00
    1734.50                    95.80E+00
    1734.00                    95.86E+00
    1733.50                    95.88E+00
    1733.00                    95.94E+00
    1732.50                    95.93E+00
    1732.00                    96.00E+00
    1731.50                    96.07E+00
    1731.00                    96.06E+00
    1730.50                    96.11E+00
    1730.00                    96.15E+00
    1729.50                    96.15E+00
    1729.00                    96.21E+00
    1728.50                    96.21E+00
    1728.00                    96.24E+00
    1727.50                    96.27E+00
    1727.00                    96.26E+00
    1726.50                    96.28E+00
    1726.00                    96.30E+00
    1725.50                    96.27E+00
    1725.00                    96.32E+00
    1724.50                    96.34E+00
    1724.00                    96.27E+00
    1723.50                    96.33E+00
    1723.00                    96.30E+00
    1722.50                    96.29E+00
    1722.00                    96.28E+00
    1721.50                    96.23E+00
    1721.00                    96.21E+00
    1720.50                    96.24E+00
    1720.00                    96.18E+00
    1719.50                    96.16E+00
    1719.00                    96.14E+00
    1718.50                    96.10E+00
    1718.00                    96.12E+00
    1717.50                    96.07E+00
    1717.00                    96.00E+00
    1716.50                    95.99E+00
    1716.00                    95.94E+00
    1715.50                    95.93E+00
    1715.00                    95.90E+00
    1714.50                    95.79E+00
    1714.00                    95.78E+00
    1713.50                    95.74E+00
    1713.00                    95.68E+00
    1712.50                    95.68E+00
    1712.00                    95.57E+00
    1711.50                    95.57E+00
    1711.00                    95.55E+00
    1710.50                    95.46E+00
    1710.00                    95.43E+00
    1709.50                    95.38E+00
    1709.00                    95.32E+00
    1708.50                    95.32E+00
    1708.00                    95.22E+00
    1707.50                    95.17E+00
    1707.00                    95.19E+00
    1706.50                    95.12E+00
    1706.00                    95.11E+00
    1705.50                    95.09E+00
    1705.00                    95.01E+00
    1704.50                    95.02E+00
    1704.00                    94.96E+00
    1703.50                    94.91E+00
    1703.00                    94.91E+00
    1702.50                    94.85E+00
    1702.00                    94.86E+00
    1701.50                    94.88E+00
    1701.00                    94.81E+00
    1700.50                    94.84E+00
    1700.00                    94.83E+00
    1699.50                    94.73E+00
    1699.00                    94.82E+00
    1698.50                    94.70E+00
    1698.00                    94.73E+00
    1697.50                    94.81E+00
    1697.00                    94.77E+00
    1696.50                    94.77E+00
    1696.00                    94.80E+00
    1695.50                    94.80E+00
    1695.00                    94.85E+00
    1694.50                    94.86E+00
    1694.00                    94.85E+00
    1693.50                    94.94E+00
    1693.00                    94.97E+00
    1692.50                    94.96E+00
    1692.00                    95.00E+00
    1691.50                    95.06E+00
    1691.00                    95.12E+00
    1690.50                    95.18E+00
    1690.00                    95.20E+00
    1689.50                    95.28E+00
    1689.00                    95.27E+00
    1688.50                    95.40E+00
    1688.00                    95.43E+00
    1687.50                    95.48E+00
    1687.00                    95.57E+00
    1686.50                    95.63E+00
    1686.00                    95.68E+00
    1685.50                    95.76E+00
    1685.00                    95.84E+00
    1684.50                    95.88E+00
    1684.00                    95.97E+00
    1683.50                    96.05E+00
    1683.00                    96.09E+00
    1682.50                    96.17E+00
    1682.00                    96.26E+00
    1681.50                    96.33E+00
    1681.00                    96.45E+00
    1680.50                    96.42E+00
    1680.00                    96.56E+00
    1679.50                    96.65E+00
    1679.00                    96.67E+00
    1678.50                    96.78E+00
    1678.00                    96.80E+00
    1677.50                    96.88E+00
    1677.00                    96.98E+00
    1676.50                    96.97E+00
    1676.00                    97.08E+00
    1675.50                    97.15E+00
    1675.00                    97.16E+00
    1674.50                    97.28E+00
    1674.00                    97.26E+00
    1673.50                    97.30E+00
    1673.00                    97.36E+00
    1672.50                    97.38E+00
    1672.00                    97.42E+00
    1671.50                    97.43E+00
    1671.00                    97.40E+00
    1670.50                    97.48E+00
    1670.00                    97.47E+00
    1669.50                    97.44E+00
    1669.00                    97.50E+00
    1668.50                    97.47E+00
    1668.00                    97.45E+00
    1667.50                    97.46E+00
    1667.00                    97.39E+00
    1666.50                    97.38E+00
    1666.00                    97.36E+00
    1665.50                    97.27E+00
    1665.00                    97.27E+00
    1664.50                    97.17E+00
    1664.00                    97.13E+00
    1663.50                    97.10E+00
    1663.00                    97.00E+00
    1662.50                    96.89E+00
    1662.00                    96.85E+00
    1661.50                    96.74E+00
    1661.00                    96.67E+00
    1660.50                    96.58E+00
    1660.00                    96.43E+00
    1659.50                    96.33E+00
    1659.00                    96.26E+00
    1658.50                    96.14E+00
    1658.00                    96.02E+00
