# FLAMINGOS BARR Ks Filter MAN-306A-W
# Witness Sample at 77 K	
# Wavelength (nm)	Transmission (%)
    2500.00                15.50E-02
    2499.50                04.50E-02
    2499.00                03.00E-02
    2498.50                02.20E-02
    2498.00                05.40E-02
    2497.50                04.50E-02
    2497.00                07.70E-02
    2496.50                10.50E-02
    2496.00                07.30E-02
    2495.50                09.30E-02
    2495.00                10.60E-02
    2494.50                06.60E-02
    2494.00                08.20E-02
    2493.50                06.60E-02
    2493.00                07.90E-02
    2492.50                07.70E-02
    2492.00                03.40E-02
    2491.50                09.00E-02
    2491.00                05.20E-02
    2490.50                07.00E-02
    2490.00                05.70E-02
    2489.50                03.30E-02
    2489.00                08.10E-02
    2488.50                06.80E-02
    2488.00                02.50E-02
    2487.50                04.20E-02
    2487.00                02.50E-02
    2486.50                04.50E-02
    2486.00                05.20E-02
    2485.50                05.20E-02
    2485.00                09.40E-02
    2484.50                08.60E-02
    2484.00                03.50E-02
    2483.50                09.00E-02
    2483.00                03.40E-02
    2482.50                03.90E-02
    2482.00                05.20E-02
    2481.50                03.90E-02
    2481.00                10.30E-02
    2480.50                04.20E-02
    2480.00                10.10E-02
    2479.50                07.70E-02
    2479.00                10.40E-02
    2478.50                03.50E-02
    2478.00                09.30E-02
    2477.50                06.90E-02
    2477.00                08.70E-02
    2476.50                10.80E-02
    2476.00                07.00E-02
    2475.50                05.70E-02
    2475.00                09.70E-02
    2474.50                06.50E-02
    2474.00                12.10E-02
    2473.50                08.30E-02
    2473.00                09.40E-02
    2472.50                05.80E-02
    2472.00                08.50E-02
    2471.50                03.90E-02
    2471.00                11.50E-02
    2470.50                09.20E-02
    2470.00                05.90E-02
    2469.50                04.50E-02
    2469.00                09.50E-02
    2468.50                08.50E-02
    2468.00                08.90E-02
    2467.50                09.00E-02
    2467.00                11.70E-02
    2466.50                06.50E-02
    2466.00                09.40E-02
    2465.50                08.30E-02
    2465.00                08.20E-02
    2464.50                10.20E-02
    2464.00                10.30E-02
    2463.50                06.70E-02
    2463.00                06.00E-02
    2462.50                08.70E-02
    2462.00                12.90E-02
    2461.50                12.70E-02
    2461.00                07.70E-02
    2460.50                01.20E-02
    2460.00                11.70E-02
    2459.50                08.00E-02
    2459.00                11.80E-02
    2458.50                11.00E-02
    2458.00                11.50E-02
    2457.50                11.90E-02
    2457.00                06.50E-02
    2456.50                10.30E-02
    2456.00                07.60E-02
    2455.50                06.40E-02
    2455.00                11.20E-02
    2454.50                14.60E-02
    2454.00                07.90E-02
    2453.50                15.80E-02
    2453.00                11.00E-02
    2452.50                09.00E-02
    2452.00                08.30E-02
    2451.50                15.30E-02
    2451.00                12.10E-02
    2450.50                15.30E-02
    2450.00                13.30E-02
    2449.50                12.70E-02
    2449.00                08.30E-02
    2448.50                11.40E-02
    2448.00                15.70E-02
    2447.50                17.00E-02
    2447.00                09.00E-02
    2446.50                11.80E-02
    2446.00                10.00E-02
    2445.50                10.40E-02
    2445.00                09.00E-02
    2444.50                09.50E-02
    2444.00                11.90E-02
    2443.50                15.40E-02
    2443.00                13.50E-02
    2442.50                13.70E-02
    2442.00                13.90E-02
    2441.50                14.20E-02
    2441.00                16.10E-02
    2440.50                15.50E-02
    2440.00                11.00E-02
    2439.50                12.00E-02
