# FLAMINGOS BARR Ks Filter MAN-306A
# Filter Measured at Room Temperature	
# Wavelength (nm)	Transmission (%)
    2500.00              38.5E-04
    2499.50              41.4E-04
    2499.00              97.8E-04
    2498.50              34.2E-04
    2498.00              87.9E-04
    2497.50              08.5E-04
    2497.00              64.7E-04
    2496.50              57.8E-04
    2496.00              53.4E-04
    2495.50              50.2E-04
    2495.00              45.7E-04
    2494.50              50.1E-04
    2494.00              33.7E-04
    2493.50              18.7E-04
    2493.00              18.6E-04
    2492.50              -04.0E-04
    2492.00              33.8E-04
    2491.50              45.8E-04
    2491.00              49.3E-04
    2490.50              39.0E-04
    2490.00              59.0E-04
    2489.50              39.9E-04
    2489.00              69.6E-04
    2488.50              07.9E-04
    2488.00              23.0E-04
    2487.50              54.0E-04
    2487.00              48.6E-04
    2486.50              53.3E-04
    2486.00              19.2E-04
    2485.50              26.8E-04
    2485.00              53.2E-04
    2484.50              04.3E-04
    2484.00              94.5E-04
    2483.50              33.3E-04
    2483.00              14.5E-04
    2482.50              83.4E-04
    2482.00              67.9E-04
    2481.50              68.5E-04
    2481.00              01.1E-02
    2480.50              -11.3E-04
    2480.00              40.1E-04
    2479.50              52.7E-04
    2479.00              41.0E-04
    2478.50              56.6E-04
    2478.00              71.7E-04
    2477.50              68.1E-04
    2477.00              64.0E-04
    2476.50              22.4E-04
    2476.00              71.6E-04
    2475.50              45.1E-04
    2475.00              42.8E-04
    2474.50              45.9E-04
    2474.00              80.0E-04
    2473.50              91.6E-04
    2473.00              34.3E-04
    2472.50              49.9E-04
    2472.00              78.9E-04
    2471.50              67.8E-04
    2471.00              01.1E-02
    2470.50              37.3E-04
    2470.00              25.7E-04
    2469.50              31.4E-04
    2469.00              24.6E-04
    2468.50              68.4E-04
    2468.00              -06.4E-04
    2467.50              55.8E-04
    2467.00              18.9E-04
    2466.50              34.3E-04
    2466.00              79.5E-04
    2465.50              49.6E-04
    2465.00              79.4E-04
    2464.50              76.1E-04
    2464.00              57.2E-04
    2463.50              72.1E-04
    2463.00              53.2E-04
    2462.50              33.7E-04
    2462.00              30.6E-04
    2461.50              57.9E-04
    2461.00              10.5E-04
    2460.50              17.3E-04
    2460.00              63.2E-04
    2459.50              60.8E-04
    2459.00              59.3E-04
    2458.50              61.4E-04
    2458.00              79.5E-04
    2457.50              71.4E-04
    2457.00              41.8E-04
    2456.50              38.1E-04
    2456.00              64.0E-04
    2455.50              64.1E-04
    2455.00              45.7E-04
    2454.50              11.7E-04
    2454.00              27.0E-04
    2453.50              56.4E-04
    2453.00              79.5E-04
    2452.50              71.8E-04
    2452.00              37.9E-04
    2451.50              59.8E-04
    2451.00              37.4E-04
    2450.50              86.5E-04
    2450.00              41.4E-04
    2449.50              52.7E-04
    2449.00              35.7E-04
    2448.50              -01.7E-04
    2448.00              49.2E-04
    2447.50              44.8E-04
    2447.00              63.6E-04
    2446.50              63.4E-04
    2446.00              22.7E-04
    2445.50              56.1E-04
    2445.00              63.4E-04
    2444.50              51.8E-04
    2444.00              01.1E-02
    2443.50              01.0E-02
    2443.00              30.3E-04
    2442.50              71.5E-04
    2442.00              69.3E-04
    2441.50              59.4E-04
    2441.00              71.6E-04
    2440.50              56.6E-04
    2440.00              44.9E-04
    2439.50              63.0E-04
    2439.00              56.4E-04
    2438.50              49.1E-04
    2438.00              57.0E-04
    2437.50              23.0E-04
    2437.00              68.3E-04
    2436.50              72.1E-04
    2436.00              53.4E-04
    2435.50              63.5E-04
    2435.00              89.6E-04
    2434.50              01.2E-02
    2434.00              29.5E-04
    2433.50              47.4E-04
    2433.00              19.1E-04
    2432.50              63.7E-04
    2432.00              58.1E-04
    2431.50              55.8E-04
    2431.00              52.3E-04
    2430.50              82.4E-04
    2430.00              74.5E-04
    2429.50              74.1E-04
    2429.00              63.5E-04
    2428.50              01.0E-02
    2428.00              89.0E-04
    2427.50              41.7E-04
    2427.00              81.7E-04
    2426.50              37.8E-04
    2426.00              01.1E-02
    2425.50              01.0E-02
    2425.00              52.3E-04
    2424.50              78.8E-04
    2424.00              59.0E-04
    2423.50              59.8E-04
    2423.00              93.4E-04
    2422.50              01.0E-02
    2422.00              82.3E-04
    2421.50              71.3E-04
    2421.00              93.7E-04
    2420.50              01.0E-02
    2420.00              82.2E-04
    2419.50              82.8E-04
    2419.00              01.0E-02
    2418.50              86.3E-04
    2418.00              01.1E-02
    2417.50              90.4E-04
    2417.00              58.4E-04
    2416.50              01.2E-02
    2416.00              99.3E-04
    2415.50              01.0E-02
    2415.00              01.4E-02
    2414.50              01.4E-02
    2414.00              01.6E-02
    2413.50              01.2E-02
    2413.00              01.3E-02
    2412.50              01.9E-02
    2412.00              01.2E-02
    2411.50              01.7E-02
    2411.00              01.4E-02
    2410.50              01.5E-02
    2410.00              01.5E-02
    2409.50              01.7E-02
    2409.00              01.8E-02
    2408.50              01.4E-02
    2408.00              01.4E-02
    2407.50              01.4E-02
    2407.00              01.3E-02
    2406.50              01.7E-02
    2406.00              02.1E-02
    2405.50              01.7E-02
    2405.00              01.7E-02
    2404.50              01.5E-02
    2404.00              01.4E-02
    2403.50              01.9E-02
    2403.00              01.9E-02
    2402.50              02.5E-02
    2402.00              01.9E-02
    2401.50              02.4E-02
    2401.00              02.1E-02
    2400.50              02.3E-02
    2400.00              02.0E-02
    2399.50              02.3E-02
    2399.00              02.6E-02
    2398.50              02.6E-02
    2398.00              02.6E-02
    2397.50              02.5E-02
    2397.00              02.2E-02
    2396.50              02.9E-02
    2396.00              03.3E-02
    2395.50              03.0E-02
    2395.00              02.8E-02
    2394.50              02.7E-02
    2394.00              03.1E-02
    2393.50              03.2E-02
    2393.00              03.3E-02
