# FLAMINGOS BARR Ks Filter MAN 311A
# Filter measured at room temperature
# Wavelength (nm)    Transmission (%)
    2500.00              72.93E-04
    2499.50              01.11E-02
    2499.00              84.20E-04
    2498.50              53.47E-04
    2498.00              58.98E-04
    2497.50              01.32E-02
    2497.00              66.88E-04
    2496.50              80.59E-04
    2496.00              01.18E-02
    2495.50              86.82E-04
    2495.00              21.27E-04
    2494.50              50.36E-04
    2494.00              96.04E-04
    2493.50              90.59E-04
    2493.00              84.64E-04
    2492.50              58.40E-04
    2492.00              01.17E-02
    2491.50              71.45E-04
    2491.00              72.36E-04
    2490.50              54.91E-04
    2490.00              68.10E-04
    2489.50              90.51E-04
    2489.00              90.67E-04
    2488.50              68.60E-04
    2488.00              85.92E-04
    2487.50              01.31E-02
    2487.00              50.05E-04
    2486.50              86.23E-04
    2486.00              63.79E-04
    2485.50              01.06E-02
    2485.00              01.13E-02
    2484.50              70.15E-04
    2484.00              95.63E-04
    2483.50              92.66E-04
    2483.00              62.56E-04
    2482.50              76.79E-04
    2482.00              59.12E-04
    2481.50              01.14E-02
    2481.00              01.09E-02
    2480.50              01.64E-02
    2480.00              81.53E-04
    2479.50              81.30E-04
    2479.00              01.12E-02
    2478.50              96.71E-04
    2478.00              66.91E-04
    2477.50              01.10E-02
    2477.00              80.34E-04
    2476.50              01.06E-02
    2476.00              51.04E-04
    2475.50              51.28E-04
    2475.00              74.44E-04
    2474.50              01.06E-02
    2474.00              59.12E-04
    2473.50              49.95E-04
    2473.00              88.30E-04
    2472.50              74.26E-04
    2472.00              98.20E-04
    2471.50              01.10E-02
    2471.00              01.03E-02
    2470.50              72.92E-04
    2470.00              76.88E-04
    2469.50              66.98E-04
    2469.00              71.94E-04
    2468.50              69.26E-04
    2468.00              57.48E-04
    2467.50              97.18E-04
    2467.00              94.55E-04
    2466.50              01.11E-02
    2466.00              27.66E-04
    2465.50              01.01E-02
    2465.00              23.43E-04
    2464.50              90.37E-04
    2464.00              58.75E-04
    2463.50              72.48E-04
    2463.00              77.13E-04
    2462.50              01.09E-02
    2462.00              99.38E-04
    2461.50              99.22E-04
    2461.00              01.08E-02
    2460.50              76.17E-04
    2460.00              01.21E-02
    2459.50              01.36E-02
    2459.00              01.04E-02
    2458.50              95.02E-04
    2458.00              56.52E-04
    2457.50              01.17E-02
    2457.00              01.28E-02
    2456.50              63.32E-04
    2456.00              01.15E-02
    2455.50              54.49E-04
    2455.00              76.15E-04
    2454.50              99.08E-04
    2454.00              01.46E-02
    2453.50              98.52E-04
    2453.00              93.85E-04
    2452.50              62.91E-04
    2452.00              01.03E-02
    2451.50              01.07E-02
    2451.00              01.11E-02
    2450.50              66.98E-04
    2450.00              01.19E-02
    2449.50              96.96E-04
    2449.00              01.15E-02
    2448.50              27.16E-04
    2448.00              01.24E-02
    2447.50              86.67E-04
    2447.00              01.23E-02
    2446.50              81.21E-04
    2446.00              93.20E-04
    2445.50              01.34E-02
    2445.00              65.58E-04
    2444.50              01.32E-02
    2444.00              01.32E-02
    2443.50              96.85E-04
    2443.00              74.94E-04
    2442.50              89.24E-04
    2442.00              88.87E-04
    2441.50              69.61E-04
    2441.00              57.75E-04
    2440.50              01.06E-02
    2440.00              82.24E-04
    2439.50              69.98E-04
    2439.00              01.36E-02
    2438.50              01.73E-02
    2438.00              69.83E-04
    2437.50              01.05E-02
    2437.00              84.05E-04
    2436.50              67.07E-04
    2436.00              48.02E-04
    2435.50              91.68E-04
    2435.00              80.32E-04
    2434.50              01.02E-02
    2434.00              01.37E-02
    2433.50              92.17E-04
    2433.00              01.19E-02
    2432.50              01.28E-02
    2432.00              89.04E-04
    2431.50              01.47E-02
    2431.00              01.57E-02
    2430.50              01.07E-02
    2430.00              75.39E-04
    2429.50              84.45E-04
    2429.00              01.33E-02
    2428.50              01.07E-02
    2428.00              01.38E-02
    2427.50              89.51E-04
    2427.00              01.65E-02
    2426.50              88.07E-04
    2426.00              01.07E-02
    2425.50              01.41E-02
    2425.00              01.14E-02
    2424.50              01.52E-02
    2424.00              01.41E-02
    2423.50              01.45E-02
    2423.00              01.28E-02
    2422.50              01.50E-02
    2422.00              01.16E-02
    2421.50              01.21E-02
    2421.00              01.43E-02
    2420.50              01.83E-02
    2420.00              01.34E-02
    2419.50              01.47E-02
    2419.00              01.44E-02
    2418.50              01.22E-02
    2418.00              01.71E-02
    2417.50              01.44E-02
    2417.00              01.75E-02
    2416.50              01.93E-02
    2416.00              01.74E-02
    2415.50              01.75E-02
    2415.00              01.56E-02
    2414.50              01.68E-02
    2414.00              01.74E-02
    2413.50              02.01E-02
    2413.00              01.68E-02
    2412.50              02.11E-02
    2412.00              01.79E-02
    2411.50              01.84E-02
    2411.00              01.75E-02
    2410.50              01.71E-02
    2410.00              01.62E-02
    2409.50              02.35E-02
    2409.00              02.29E-02
    2408.50              01.74E-02
    2408.00              01.78E-02
    2407.50              01.87E-02
    2407.00              01.87E-02
    2406.50              02.03E-02
    2406.00              01.82E-02
    2405.50              02.10E-02
    2405.00              01.71E-02
    2404.50              02.17E-02
    2404.00              02.02E-02
    2403.50              02.69E-02
    2403.00              02.33E-02
    2402.50              02.81E-02
    2402.00              02.61E-02
    2401.50              02.69E-02
    2401.00              02.36E-02
    2400.50              02.69E-02
    2400.00              02.89E-02
    2399.50              02.22E-02
    2399.00              02.58E-02
    2398.50              03.03E-02
    2398.00              03.10E-02
    2397.50              03.28E-02
    2397.00              03.31E-02
    2396.50              03.27E-02
    2396.00              03.67E-02
    2395.50              03.94E-02
    2395.00              03.22E-02
    2394.50              03.49E-02
    2394.00              03.64E-02
    2393.50              03.97E-02
    2393.00              04.31E-02
    2392.50              03.67E-02
    2392.00              04.14E-02
    2391.50              03.88E-02
    2391.00              03.91E-02
    2390.50              04.60E-02
    2390.00              04.71E-02
    2389.50              04.40E-02
    2389.00              04.38E-02
    2388.50              04.56E-02
    2388.00              04.88E-02
    2387.50              05.51E-02
    2387.00              05.08E-02
    2386.50              05.36E-02
    2386.00              05.36E-02
    2385.50              05.58E-02
    2385.00              06.04E-02
    2384.50              06.27E-02
    2384.00              06.47E-02
    2383.50              06.40E-02
    2383.00              06.87E-02
    2382.50              07.06E-02
    2382.00              07.14E-02
    2381.50              07.56E-02
    2381.00              07.70E-02
    2380.50              08.12E-02
    2380.00              07.89E-02
    2379.50              08.44E-02
    2379.00              08.70E-02
    2378.50              09.06E-02
    2378.00              08.98E-02
    2377.50              09.22E-02
    2377.00              10.23E-02
    2376.50              10.71E-02
    2376.00              10.63E-02
    2375.50              11.13E-02
    2375.00              11.37E-02
    2374.50              11.75E-02
    2374.00              11.99E-02
    2373.50              12.41E-02
    2373.00              13.48E-02
    2372.50              13.75E-02
    2372.00              14.49E-02
    2371.50              14.86E-02
    2371.00              15.33E-02
    2370.50              15.64E-02
    2370.00              15.90E-02
    2369.50              16.62E-02
    2369.00              16.93E-02
    2368.50              17.69E-02
    2368.00              18.29E-02
    2367.50              19.31E-02
    2367.00              20.22E-02
    2366.50              20.49E-02
    2366.00              21.39E-02
    2365.50              21.91E-02
    2365.00              23.16E-02
    2364.50              23.90E-02
    2364.00              24.57E-02
    2363.50              26.05E-02
    2363.00              26.88E-02
    2362.50              27.73E-02
    2362.00              28.75E-02
    2361.50              30.50E-02
    2361.00              31.40E-02
    2360.50              32.53E-02
    2360.00              34.49E-02
    2359.50              34.70E-02
    2359.00              36.67E-02
    2358.50              38.31E-02
    2358.00              39.82E-02
    2357.50              40.69E-02
    2357.00              42.94E-02
    2356.50              44.79E-02
    2356.00              46.05E-02
    2355.50              48.32E-02
    2355.00              50.11E-02
    2354.50              52.22E-02
    2354.00              54.70E-02
    2353.50              57.02E-02
    2353.00              59.54E-02
    2352.50              62.26E-02
    2352.00              64.39E-02
    2351.50              67.28E-02
    2351.00              69.95E-02
    2350.50              73.07E-02
    2350.00              76.42E-02
    2349.50              80.04E-02
    2349.00              83.24E-02
    2348.50              87.01E-02
    2348.00              91.03E-02
    2347.50              95.09E-02
    2347.00              99.93E-02
    2346.50              01.04E+00
    2346.00              01.09E+00
    2345.50              01.13E+00
    2345.00              01.19E+00
    2344.50              01.25E+00
    2344.00              01.31E+00
    2343.50              01.37E+00
    2343.00              01.43E+00
    2342.50              01.50E+00
    2342.00              01.57E+00
    2341.50              01.65E+00
    2341.00              01.74E+00
    2340.50              01.82E+00
    2340.00              01.92E+00
    2339.50              02.01E+00
    2339.00              02.10E+00
    2338.50              02.21E+00
    2338.00              02.33E+00
    2337.50              02.46E+00
    2337.00              02.58E+00
    2336.50              02.70E+00
    2336.00              02.84E+00
    2335.50              02.99E+00
    2335.00              03.15E+00
    2334.50              03.33E+00
    2334.00              03.52E+00
    2333.50              03.70E+00
    2333.00              03.89E+00
    2332.50              04.09E+00
    2332.00              04.31E+00
    2331.50              04.58E+00
    2331.00              04.85E+00
    2330.50              05.10E+00
    2330.00              05.39E+00
    2329.50              05.68E+00
    2329.00              06.01E+00
    2328.50              06.36E+00
    2328.00              06.77E+00
    2327.50              07.17E+00
    2327.00              07.57E+00
    2326.50              07.98E+00
    2326.00              08.42E+00
    2325.50              08.98E+00
    2325.00              09.50E+00
    2324.50              10.10E+00
    2324.00              10.71E+00
    2323.50              11.30E+00
    2323.00              11.93E+00
    2322.50              12.65E+00
    2322.00              13.52E+00
    2321.50              14.34E+00
    2321.00              15.18E+00
    2320.50              16.07E+00
    2320.00              17.00E+00
    2319.50              17.99E+00
    2319.00              19.12E+00
    2318.50              20.36E+00
    2318.00              21.56E+00
    2317.50              22.78E+00
    2317.00              24.03E+00
    2316.50              25.36E+00
    2316.00              26.93E+00
    2315.50              28.58E+00
    2315.00              30.18E+00
    2314.50              31.78E+00
    2314.00              33.39E+00
    2313.50              35.20E+00
    2313.00              37.03E+00
    2312.50              39.16E+00
    2312.00              41.21E+00
    2311.50              43.06E+00
    2311.00              45.02E+00
    2310.50              47.02E+00
    2310.00              49.22E+00
    2309.50              51.42E+00
    2309.00              53.79E+00
    2308.50              55.92E+00
    2308.00              57.91E+00
    2307.50              59.93E+00
    2307.00              62.02E+00
    2306.50              64.36E+00
    2306.00              66.35E+00
    2305.50              68.42E+00
    2305.00              70.35E+00
    2304.50              72.06E+00
    2304.00              73.90E+00
    2303.50              75.55E+00
    2303.00              77.43E+00
    2302.50              78.95E+00
    2302.00              80.47E+00
    2301.50              81.76E+00
    2301.00              83.03E+00
    2300.50              84.23E+00
    2300.00              85.38E+00
    2299.50              86.51E+00
    2299.00              87.39E+00
    2298.50              88.22E+00
    2298.00              88.99E+00
    2297.50              89.64E+00
    2297.00              90.31E+00
    2296.50              90.87E+00
    2296.00              91.37E+00
    2295.50              91.76E+00
    2295.00              92.08E+00
    2294.50              92.42E+00
    2294.00              92.68E+00
    2293.50              92.89E+00
    2293.00              93.09E+00
    2292.50              93.20E+00
    2292.00              93.29E+00
    2291.50              93.35E+00
    2291.00              93.36E+00
    2290.50              93.37E+00
    2290.00              93.38E+00
    2289.50              93.33E+00
    2289.00              93.30E+00
    2288.50              93.24E+00
    2288.00              93.14E+00
    2287.50              93.07E+00
    2287.00              93.00E+00
    2286.50              92.86E+00
    2286.00              92.81E+00
    2285.50              92.73E+00
    2285.00              92.58E+00
    2284.50              92.47E+00
    2284.00              92.34E+00
    2283.50              92.27E+00
    2283.00              92.16E+00
    2282.50              92.04E+00
    2282.00              91.94E+00
