# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): H
# 
# Instrument: FLAMINGOS
# 
# Determined by: ???
# 
# Date of determination: July 2003(?)
# 
# Notes:
# 
# Retrieved from http://flamingos.astro.ufl.edu/Filter_Info/index.html
# Filter curve (measured within the dewar) has been convolved with the
# atmosphere (AM=1.0), but does not include the detector QE or telescope
# throughput.
# 
# J. Moustakas, 2008-Jul-12, NYU
|  lambda |           pass |
| 25000.0 | -2.9083269e-05 |
| 24995.0 |  3.0047771e-05 |
| 24990.0 |   0.0003721473 |
| 24985.0 | -0.00014389551 |
| 24980.0 |  0.00044657529 |
| 24975.0 |  0.00017341851 |
| 24970.0 |  6.8811903e-05 |
| 24965.0 |  5.1862131e-05 |
| 24960.0 | -9.3235794e-05 |
| 24955.0 |  2.7740372e-05 |
| 24950.0 |  1.3396402e-05 |
| 24945.0 |  0.00024552975 |
| 24940.0 | -0.00012448835 |
| 24935.0 | -0.00011975051 |
| 24930.0 |  0.00013962528 |
| 24925.0 |  0.00011739905 |
| 24920.0 |  0.00020727648 |
| 24915.0 | -9.5590694e-05 |
| 24910.0 |  0.00017477287 |
| 24905.0 |  9.1183247e-05 |
| 24900.0 |            0.0 |
| 24895.0 |   0.0002287839 |
| 24890.0 |  4.3649074e-05 |
| 24885.0 | -0.00022007349 |
| 24880.0 |  2.5370175e-05 |
| 24875.0 |  1.2811439e-05 |
| 24870.0 | -0.00017466016 |
| 24865.0 |  0.00014370555 |
| 24860.0 | -0.00023083358 |
| 24855.0 |  0.00014648527 |
| 24850.0 |  2.6886388e-05 |
| 24845.0 | -1.3569545e-05 |
| 24840.0 |  7.5327429e-05 |
| 24835.0 |   6.220011e-05 |
| 24830.0 |  0.00011878902 |
| 24825.0 |  7.8199242e-05 |
| 24820.0 | -0.00012291774 |
| 24815.0 | -2.9407556e-05 |
| 24810.0 | -0.00023167297 |
| 24805.0 |  -0.0001822741 |
| 24800.0 | -8.4878062e-05 |
| 24795.0 |  0.00010188906 |
| 24790.0 |   8.754959e-05 |
| 24785.0 | -1.6160975e-05 |
| 24780.0 |  0.00034230173 |
| 24775.0 | -0.00019285385 |
| 24770.0 | -7.1290007e-05 |
| 24765.0 |  0.00011709972 |
| 24760.0 |  3.0768741e-05 |
| 24755.0 | -9.8510369e-05 |
| 24750.0 |  0.00014926514 |
| 24745.0 | -2.9395174e-05 |
| 24740.0 |  0.00014468658 |
| 24735.0 |  0.00039871244 |
| 24730.0 |  1.4152556e-05 |
| 24725.0 | -2.9136389e-05 |
| 24720.0 |  1.4983831e-05 |
| 24715.0 | -0.00010009653 |
| 24710.0 | -0.00023722653 |
| 24705.0 |  0.00017853815 |
| 24700.0 |  0.00045777537 |
| 24695.0 | -0.00021327518 |
| 24690.0 |            0.0 |
| 24685.0 |  -6.262651e-05 |
| 24680.0 | -0.00010003596 |
| 24675.0 |  8.1160018e-05 |
| 24670.0 |  9.8355209e-05 |
| 24665.0 |  0.00025708458 |
| 24660.0 |  3.5154353e-05 |
| 24655.0 |  0.00025265352 |
| 24650.0 |  0.00018998745 |
| 24645.0 | -7.7034558e-05 |
| 24640.0 | -3.3931996e-05 |
| 24635.0 |  0.00048758285 |
| 24630.0 |  0.00020100678 |
| 24625.0 |  0.00020432129 |
| 24620.0 | -0.00034605962 |
| 24615.0 |  0.00017579189 |
| 24610.0 |  0.00015177089 |
| 24605.0 |  1.8131608e-05 |
| 24600.0 | -3.6815632e-05 |
| 24595.0 |  0.00016815618 |
| 24590.0 |  1.8960232e-05 |
| 24585.0 |  0.00012503685 |
| 24580.0 | -1.9392792e-05 |
| 24575.0 |  0.00041978623 |
| 24570.0 |  0.00010323276 |
| 24565.0 |  1.8457997e-05 |
| 24560.0 |  0.00034478153 |
| 24555.0 | -0.00019618279 |
| 24550.0 | -7.8854398e-05 |
| 24545.0 | -9.4663817e-05 |
| 24540.0 |  7.6050012e-05 |
| 24535.0 |  0.00012441304 |
| 24530.0 |  0.00026923945 |
| 24525.0 | -0.00016207642 |
| 24520.0 |            0.0 |
| 24515.0 |  0.00024781158 |
| 24510.0 |  0.00012702357 |
| 24505.0 | -7.0956194e-05 |
| 24500.0 | -0.00015658145 |
| 24495.0 |  -0.0001399342 |
| 24490.0 | -3.8595866e-05 |
| 24485.0 | -0.00018394136 |
| 24480.0 | -3.0570143e-05 |
| 24475.0 |  8.5329222e-05 |
| 24470.0 |  0.00018892487 |
| 24465.0 |  0.00027154226 |
| 24460.0 |  4.8607224e-05 |
| 24455.0 |  0.00032863484 |
| 24450.0 | -0.00015828022 |
| 24445.0 |  0.00020268493 |
| 24440.0 |  0.00020543695 |
| 24435.0 |  0.00013011809 |
| 24430.0 | -0.00025451134 |
| 24425.0 |   0.0001587825 |
| 24420.0 |  9.7528733e-05 |
| 24415.0 |  -6.237872e-05 |
| 24410.0 |  -0.0001432999 |
| 24405.0 |  1.8002482e-05 |
| 24400.0 |  1.8092478e-05 |
| 24395.0 | -4.5456178e-05 |
| 24390.0 | -0.00022840584 |
| 24385.0 |  1.8362463e-05 |
| 24380.0 |  0.00046877071 |
| 24375.0 | -9.9508761e-05 |
| 24370.0 |  6.2306441e-05 |
| 24365.0 | -0.00031520118 |
| 24360.0 | -0.00018942566 |
| 24355.0 |  3.3859702e-05 |
| 24350.0 |  0.00012479389 |
| 24345.0 | -3.2697051e-05 |
| 24340.0 | -3.2115728e-05 |
| 24335.0 | -0.00024439159 |
| 24330.0 |  0.00015586033 |
| 24325.0 | -0.00013536491 |
| 24320.0 | -0.00019517445 |
| 24315.0 | -7.4717034e-05 |
| 24310.0 |   1.694304e-05 |
| 24305.0 | -0.00049254525 |
| 24300.0 | -0.00011454002 |
| 24295.0 |            0.0 |
| 24290.0 |            0.0 |
| 24285.0 |            0.0 |
| 24280.0 |  3.7824371e-05 |
| 24275.0 |  8.4913445e-05 |
| 24270.0 | -0.00027299338 |
| 24265.0 | -0.00030994593 |
| 24260.0 |  6.5597262e-05 |
| 24255.0 | -3.7399095e-05 |
| 24250.0 | -0.00028918381 |
| 24245.0 | -0.00026991015 |
| 24240.0 |  1.8571965e-05 |
| 24235.0 |  3.7058879e-05 |
| 24230.0 |  0.00010154143 |
| 24225.0 | -0.00031978486 |
| 24220.0 |  -0.0002803138 |
| 24215.0 | -0.00017896104 |
| 24210.0 |  0.00017707446 |
