# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth
# 
# Bandpass Name(s): B
# 
# Instrument: CTIO/MOSAIC-II
# 
# Determined by: ?
# 
# Date of determination: ?
# 
# Meaning of/Reason for default column: Only available
# 
# Notes:
# 
# Response function for the Gemini Deep Deep Survey (GDDS) (originally
# from the Las Campanas Redshift Survey, LCRS).  Includes telescope
# throughput, CCD QE, and atmosphere.  Karl Glazebrook, 2006-Oct-23,
# private communication.  [Notes from Glazebrook: filter used in
# HW-C's photo-z code, from Pat McCarthy & HW-C Mar 3rd, 2002 via
# http://www.ociw.edu/lcirs/gdds/calibrations]
# 
# J. Moustakas, 2008-Jul-12, NYU
|  lambda |     pass |
| 3522.45 | 0.000125 |
| 3547.35 | 0.000436 |
| 3572.25 | 0.001223 |
| 3597.15 | 0.002805 |
| 3622.05 | 0.005662 |
| 3646.95 | 0.010228 |
| 3671.85 | 0.016908 |
| 3696.75 | 0.025718 |
| 3721.65 |  0.03659 |
| 3746.55 | 0.049068 |
| 3771.45 | 0.062506 |
| 3796.35 | 0.076423 |
| 3821.25 | 0.090504 |
| 3846.15 |  0.10521 |
| 3871.05 | 0.120734 |
| 3895.95 | 0.136516 |
| 3920.85 | 0.151785 |
| 3945.75 | 0.165872 |
| 3970.65 | 0.178816 |
| 3995.55 | 0.190706 |
| 4020.45 | 0.201894 |
| 4045.35 |  0.21255 |
| 4070.25 |  0.22306 |
| 4095.15 | 0.232877 |
| 4120.05 | 0.242214 |
| 4144.95 | 0.251356 |
| 4169.85 | 0.260149 |
| 4194.75 | 0.268641 |
| 4219.65 | 0.276389 |
| 4244.55 | 0.283207 |
| 4269.45 |  0.28932 |
| 4294.35 | 0.294759 |
| 4319.25 | 0.299557 |
| 4344.15 | 0.303443 |
| 4369.05 | 0.307031 |
| 4393.95 | 0.310066 |
| 4418.85 | 0.312581 |
| 4443.75 | 0.314689 |
| 4468.65 | 0.315416 |
| 4493.55 | 0.315475 |
| 4518.45 | 0.315254 |
| 4543.35 | 0.314893 |
| 4568.25 | 0.313449 |
| 4593.15 |  0.31045 |
| 4618.05 | 0.305988 |
| 4642.95 | 0.299431 |
| 4667.85 | 0.290424 |
| 4692.75 | 0.278975 |
| 4717.65 | 0.265742 |
| 4742.55 | 0.251542 |
| 4767.45 | 0.236388 |
| 4792.35 | 0.220523 |
| 4817.25 | 0.203729 |
| 4842.15 | 0.186478 |
| 4867.05 | 0.169594 |
| 4891.95 |  0.15359 |
| 4916.85 | 0.138988 |
| 4941.75 | 0.125954 |
| 4966.65 | 0.114718 |
| 4991.55 | 0.104621 |
| 5016.45 | 0.094027 |
| 5041.35 |  0.08213 |
| 5066.25 | 0.070105 |
| 5091.15 | 0.059514 |
| 5116.05 | 0.050758 |
| 5140.95 | 0.043131 |
| 5165.85 | 0.036048 |
| 5190.75 | 0.029603 |
| 5215.65 | 0.023854 |
| 5240.55 |  0.01902 |
| 5265.45 |   0.0151 |
| 5290.35 | 0.012178 |
| 5315.25 | 0.010086 |
| 5340.15 | 0.008646 |
| 5365.05 | 0.007737 |
| 5389.95 | 0.007222 |
| 5414.85 | 0.007018 |
| 5439.75 | 0.007179 |
| 5464.65 | 0.007742 |
| 5489.55 | 0.008666 |
| 5514.45 |  0.00993 |
| 5539.35 | 0.011378 |
| 5564.25 | 0.012528 |
| 5589.15 | 0.013156 |
| 5614.05 | 0.012864 |
| 5638.95 |  0.01226 |
| 5663.85 | 0.010927 |
| 5688.75 | 0.009209 |
| 5713.65 | 0.007281 |
| 5738.55 | 0.005428 |
| 5763.45 | 0.003848 |
| 5788.35 | 0.002592 |
| 5813.25 | 0.001657 |
| 5838.15 |  0.00104 |
| 5863.05 | 0.000667 |
| 5887.95 | 0.000431 |
| 5912.85 | 0.000333 |
| 5937.75 | 0.000298 |
| 5962.65 | 0.000298 |
| 5987.55 | 0.000299 |
| 6012.45 | 0.000301 |
