# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth
# 
# Bandpass Name(s): H
# 
# Instrument: du Pont/CIRSI
# 
# Determined by: ?
# 
# Date of determination: ?
# 
# Meaning of/Reason for default column: Only available
# 
# Notes:
# 
# Response function for the Gemini Deep Deep Survey (GDDS) (originally
# from the Las Campanas Redshift Survey, LCRS).  Includes telescope
# throughput, CCD QE, and atmosphere.  Karl Glazebrook, 2006-Oct-23,
# private communication.  [Notes from Glazebrook: filter used in
# HW-C's photo-z code, from Pat McCarthy & HW-C Mar 3rd, 2002 via
# http://www.ociw.edu/lcirs/gdds/calibrations]
# 
# J. Moustakas, 2008-Jul-12, NYU
|  lambda |      pass |
| 14306.0 |  -8.9e-05 |
| 14346.0 | -0.000631 |
| 14386.0 | -0.000232 |
| 14426.0 |  -2.6e-05 |
| 14466.0 |   0.00035 |
| 14506.0 |  0.000894 |
| 14546.0 |  0.004116 |
| 14586.0 |  0.005249 |
| 14626.0 |  0.007054 |
| 14666.0 |  0.004453 |
| 14706.0 |  0.025363 |
| 14746.0 |  0.074789 |
| 14786.0 |  0.068216 |
| 14826.0 |   0.12001 |
| 14866.0 |  0.169142 |
| 14906.0 |  0.290939 |
| 14946.0 |  0.288967 |
| 14986.0 |  0.339813 |
| 15026.0 |  0.425635 |
| 15066.0 |  0.411397 |
| 15106.0 |  0.387437 |
| 15146.0 |  0.420396 |
| 15186.0 |  0.383182 |
| 15226.0 |  0.423381 |
| 15266.0 |  0.430729 |
| 15306.0 |  0.429789 |
| 15346.0 |  0.407689 |
| 15386.0 |  0.418735 |
| 15426.0 |  0.410718 |
| 15466.0 |  0.409808 |
| 15506.0 |  0.409226 |
| 15546.0 |  0.412532 |
| 15586.0 |  0.416817 |
| 15626.0 |  0.423199 |
| 15666.0 |  0.428674 |
| 15706.0 |   0.38391 |
| 15746.0 |  0.435902 |
| 15786.0 |  0.411276 |
| 15826.0 |  0.391248 |
| 15866.0 |   0.42784 |
| 15906.0 |  0.427003 |
| 15946.0 |  0.429536 |
| 15986.0 |  0.432475 |
| 16026.0 |  0.413482 |
| 16066.0 |  0.417771 |
| 16106.0 |  0.431588 |
| 16146.0 |  0.452226 |
| 16186.0 |  0.463662 |
| 16226.0 |  0.462652 |
| 16266.0 |  0.457436 |
| 16306.0 |  0.452512 |
| 16346.0 |  0.446185 |
| 16386.0 |  0.443697 |
| 16426.0 |   0.40592 |
| 16466.0 |  0.434025 |
| 16506.0 |  0.429534 |
| 16546.0 |  0.450579 |
| 16586.0 |  0.457333 |
| 16626.0 |  0.463861 |
| 16666.0 |  0.445458 |
| 16706.0 |  0.475291 |
| 16746.0 |  0.478091 |
| 16786.0 |   0.47725 |
| 16826.0 |  0.479819 |
| 16866.0 |  0.475707 |
| 16906.0 |  0.465332 |
| 16946.0 |  0.455051 |
| 16986.0 |  0.470572 |
| 17026.0 |  0.470224 |
| 17066.0 |  0.461998 |
| 17106.0 |  0.469485 |
| 17146.0 |  0.470004 |
| 17186.0 |  0.464834 |
| 17226.0 |  0.453357 |
| 17266.0 |  0.426548 |
| 17306.0 |  0.451432 |
| 17346.0 |  0.431142 |
| 17386.0 |  0.423108 |
| 17426.0 |   0.41951 |
| 17466.0 |  0.347015 |
| 17506.0 |  0.426717 |
| 17546.0 |   0.41082 |
| 17586.0 |   0.44128 |
| 17626.0 |  0.411603 |
| 17666.0 |  0.257107 |
| 17706.0 |  0.393395 |
| 17746.0 |  0.252914 |
| 17786.0 |  0.199981 |
| 17826.0 |  0.221411 |
| 17866.0 |  0.090254 |
| 17906.0 |  0.065673 |
| 17946.0 |  0.030882 |
| 17986.0 |  0.023279 |
| 18026.0 |  0.009286 |
| 18066.0 |  0.001812 |
| 18106.0 |  0.000189 |
| 18146.0 |    -6e-06 |
| 18186.0 |  -9.5e-05 |
| 18226.0 |  -1.9e-05 |
| 18266.0 |    -7e-06 |
| 18306.0 |    -1e-06 |
