# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth
# 
# Bandpass Name(s): I
# 
# Instrument: CTIO/MOSAIC-II
# 
# Determined by: ?
# 
# Date of determination: ?
# 
# Meaning of/Reason for default column: Only available
# 
# Notes:
# 
# Response function for the Gemini Deep Deep Survey (GDDS) (originally
# from the Las Campanas Redshift Survey, LCRS).  Includes telescope
# throughput, CCD QE, and atmosphere.  Karl Glazebrook, 2006-Oct-23,
# private communication.  [Notes from Glazebrook: filter used in
# HW-C's photo-z code, from Pat McCarthy & HW-C Mar 3rd, 2002 via
# http://www.ociw.edu/lcirs/gdds/calibrations]
# 
# J. Moustakas, 2008-Jul-12, NYU
|  lambda |     pass |
| 6993.54 | 0.001064 |
| 7018.62 | 0.003343 |
|  7043.7 | 0.008518 |
| 7068.78 | 0.018346 |
| 7093.86 | 0.034574 |
| 7118.94 | 0.058331 |
| 7144.02 | 0.089795 |
|  7169.1 | 0.127766 |
| 7194.18 |  0.17042 |
| 7219.26 | 0.215597 |
| 7244.34 | 0.260391 |
| 7269.42 | 0.301595 |
|  7294.5 | 0.339334 |
| 7319.58 | 0.372661 |
| 7344.66 | 0.401813 |
| 7369.74 | 0.428385 |
| 7394.82 | 0.451892 |
|  7419.9 | 0.473328 |
| 7444.98 | 0.491755 |
| 7470.06 | 0.507163 |
| 7495.14 |  0.51948 |
| 7520.22 | 0.527873 |
|  7545.3 |  0.53186 |
| 7570.38 | 0.531682 |
| 7595.46 | 0.530573 |
| 7620.54 | 0.527108 |
| 7645.62 | 0.524532 |
|  7670.7 | 0.521683 |
| 7695.78 | 0.521293 |
| 7720.86 | 0.519055 |
| 7745.94 | 0.518682 |
| 7771.02 | 0.516407 |
|  7796.1 | 0.513285 |
| 7821.18 | 0.509143 |
| 7846.26 | 0.503021 |
| 7871.34 | 0.496264 |
| 7896.42 | 0.488431 |
|  7921.5 | 0.478744 |
| 7946.58 | 0.471118 |
| 7971.66 | 0.464892 |
| 7996.74 | 0.459438 |
| 8021.82 | 0.456565 |
|  8046.9 |  0.45168 |
| 8071.98 | 0.447215 |
| 8097.06 | 0.444998 |
| 8122.14 | 0.442143 |
| 8147.22 | 0.435931 |
|  8172.3 | 0.430243 |
| 8197.38 | 0.423814 |
| 8222.46 | 0.415614 |
| 8247.54 |  0.40959 |
| 8272.62 | 0.402556 |
|  8297.7 | 0.396893 |
| 8322.78 | 0.393429 |
| 8347.86 | 0.388666 |
| 8372.94 | 0.384356 |
| 8398.02 | 0.380212 |
|  8423.1 | 0.374418 |
| 8448.18 | 0.371353 |
| 8473.26 | 0.364931 |
| 8498.34 | 0.359083 |
| 8523.42 |  0.35379 |
|  8548.5 | 0.349737 |
| 8573.58 | 0.344078 |
| 8598.66 | 0.340538 |
| 8623.74 |  0.34127 |
| 8648.82 | 0.337163 |
|  8673.9 | 0.332994 |
| 8698.98 | 0.328252 |
| 8724.06 | 0.322945 |
| 8749.14 | 0.317046 |
| 8774.22 | 0.310423 |
|  8799.3 | 0.303779 |
| 8824.38 | 0.297418 |
| 8849.46 | 0.291801 |
| 8874.54 | 0.287029 |
| 8899.62 | 0.282707 |
|  8924.7 | 0.278324 |
| 8949.78 | 0.272421 |
| 8974.86 | 0.263622 |
| 8999.94 | 0.251409 |
| 9025.02 | 0.235687 |
|  9050.1 | 0.218158 |
| 9075.18 | 0.201273 |
| 9100.26 | 0.186885 |
| 9125.34 | 0.175133 |
| 9150.42 | 0.162894 |
|  9175.5 | 0.143559 |
| 9200.58 | 0.112431 |
| 9225.66 |  0.07473 |
| 9250.74 | 0.042437 |
| 9275.82 | 0.021631 |
|  9300.9 | 0.010764 |
| 9325.98 | 0.005467 |
| 9351.06 |  0.00286 |
| 9376.14 | 0.001549 |
| 9401.22 | 0.000866 |
|  9426.3 |  0.00051 |
| 9451.38 | 0.000298 |
| 9476.46 |  0.00026 |
| 9501.54 |      0.0 |
