# MOSAIC camera atm + tel + optics + filter + CCD response as
# used in HW-C's photo-z code, from Pat McCarthy & HW-C Mar 3rd, 2002
# via http://www.ociw.edu/lcirs/gdds/calibrations/
|  lambda |     pass |
| 19026.0 | 0.000178 |
| 19078.0 | 0.002132 |
| 19130.0 | 0.000706 |
| 19182.0 | 0.004028 |
| 19234.0 | 0.002888 |
| 19286.0 | 0.002911 |
| 19338.0 |      0.0 |
| 19390.0 | 0.000612 |
| 19442.0 | 0.018126 |
| 19494.0 | 0.036238 |
| 19546.0 |   0.0214 |
| 19598.0 | 0.012809 |
| 19650.0 | 0.033653 |
| 19702.0 | 0.039678 |
| 19754.0 | 0.081282 |
| 19806.0 | 0.090109 |
| 19858.0 | 0.188624 |
| 19910.0 | 0.235148 |
| 19962.0 | 0.191562 |
| 20014.0 | 0.051557 |
| 20066.0 | 0.188894 |
| 20118.0 | 0.200861 |
| 20170.0 | 0.183387 |
| 20222.0 | 0.220827 |
| 20274.0 | 0.450036 |
| 20326.0 | 0.458221 |
| 20378.0 | 0.419688 |
| 20430.0 | 0.404213 |
| 20482.0 | 0.423774 |
| 20534.0 | 0.421483 |
| 20586.0 | 0.333636 |
| 20638.0 | 0.380723 |
| 20690.0 | 0.425012 |
| 20742.0 | 0.391037 |
| 20794.0 | 0.440336 |
| 20846.0 | 0.433301 |
| 20898.0 |  0.39638 |
| 20950.0 | 0.466529 |
| 21002.0 | 0.490438 |
| 21054.0 | 0.493256 |
| 21106.0 | 0.490989 |
| 21158.0 | 0.508273 |
| 21210.0 | 0.507928 |
| 21262.0 | 0.513039 |
| 21314.0 | 0.514275 |
| 21366.0 | 0.508016 |
| 21418.0 | 0.513201 |
| 21470.0 | 0.509902 |
| 21522.0 | 0.492078 |
| 21574.0 | 0.507767 |
| 21626.0 | 0.506613 |
| 21678.0 |   0.4979 |
| 21730.0 | 0.492553 |
| 21782.0 |  0.49779 |
| 21834.0 | 0.494139 |
| 21886.0 | 0.500656 |
| 21938.0 | 0.503189 |
| 21990.0 | 0.472785 |
| 22042.0 | 0.460506 |
| 22094.0 | 0.497792 |
| 22146.0 | 0.502667 |
| 22198.0 | 0.498349 |
| 22250.0 | 0.494708 |
| 22302.0 | 0.494984 |
| 22354.0 | 0.481321 |
| 22406.0 | 0.491131 |
| 22458.0 | 0.430046 |
| 22510.0 | 0.471917 |
| 22562.0 | 0.384797 |
| 22614.0 | 0.431585 |
| 22666.0 | 0.483735 |
| 22718.0 | 0.465462 |
| 22770.0 |  0.47772 |
| 22822.0 |  0.45835 |
| 22874.0 | 0.451121 |
| 22926.0 | 0.442617 |
| 22978.0 | 0.394724 |
| 23030.0 | 0.378656 |
| 23082.0 | 0.334538 |
| 23134.0 | 0.284328 |
| 23186.0 | 0.207479 |
| 23238.0 | 0.151318 |
| 23290.0 |  0.11331 |
| 23342.0 |  0.06385 |
| 23394.0 | 0.041924 |
| 23446.0 | 0.038605 |
| 23498.0 | 0.032253 |
| 23550.0 | 0.018277 |
| 23602.0 |  0.01698 |
| 23654.0 | 0.013951 |
| 23706.0 |   0.0072 |
| 23758.0 | 0.006454 |
| 23810.0 | 0.004786 |
| 23862.0 | 0.001912 |
| 23914.0 | 0.002719 |
| 23966.0 | 0.002142 |
| 24018.0 | 0.001255 |
| 24070.0 | 0.000212 |
| 24122.0 |  0.00039 |
| 24174.0 | 0.000216 |
| 24226.0 |      0.0 |
