# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth
# 
# Bandpass Name(s): R
# 
# Instrument: CTIO/MOSAIC-II
# 
# Determined by: ?
# 
# Date of determination: ?
# 
# Meaning of/Reason for default column: Only available
# 
# Notes:
# 
# Response function for the Gemini Deep Deep Survey (GDDS) (originally
# from the Las Campanas Redshift Survey, LCRS).  Includes telescope
# throughput, CCD QE, and atmosphere.  Karl Glazebrook, 2006-Oct-23,
# private communication.  [Notes from Glazebrook: filter used in
# HW-C's photo-z code, from Pat McCarthy & HW-C Mar 3rd, 2002 via
# http://www.ociw.edu/lcirs/gdds/calibrations]
# 
# J. Moustakas, 2008-Jul-12, NYU
| lambda |     pass |
| 5520.0 | 0.001641 |
| 5560.0 | 0.010181 |
| 5600.0 |  0.04659 |
| 5640.0 | 0.132158 |
| 5680.0 | 0.247492 |
| 5720.0 | 0.349935 |
| 5760.0 | 0.421098 |
| 5800.0 | 0.464006 |
| 5840.0 | 0.488347 |
| 5880.0 | 0.501949 |
| 5920.0 | 0.509648 |
| 5960.0 | 0.513497 |
| 6000.0 | 0.515815 |
| 6040.0 | 0.516583 |
| 6080.0 | 0.515867 |
| 6120.0 | 0.514511 |
| 6160.0 | 0.512412 |
| 6200.0 | 0.509121 |
| 6240.0 |  0.50572 |
| 6280.0 | 0.501285 |
| 6320.0 | 0.496417 |
| 6360.0 | 0.490962 |
| 6400.0 | 0.485045 |
| 6440.0 | 0.478802 |
| 6480.0 | 0.472289 |
| 6520.0 | 0.464974 |
| 6560.0 | 0.457162 |
| 6600.0 | 0.449176 |
| 6640.0 | 0.440637 |
| 6680.0 |  0.43159 |
| 6720.0 | 0.421748 |
| 6760.0 | 0.410951 |
| 6800.0 | 0.398923 |
| 6840.0 | 0.386714 |
| 6880.0 | 0.373821 |
| 6920.0 | 0.360632 |
| 6960.0 | 0.347095 |
| 7000.0 | 0.333659 |
| 7040.0 | 0.320066 |
| 7080.0 | 0.306642 |
| 7120.0 | 0.293377 |
| 7160.0 | 0.280311 |
| 7200.0 | 0.267335 |
| 7240.0 | 0.254817 |
| 7280.0 | 0.242589 |
| 7320.0 | 0.230546 |
| 7360.0 | 0.218274 |
| 7400.0 | 0.206788 |
| 7440.0 | 0.195284 |
| 7480.0 | 0.184386 |
| 7520.0 | 0.173195 |
| 7560.0 | 0.162043 |
| 7600.0 |  0.15131 |
| 7640.0 | 0.141349 |
| 7680.0 | 0.131129 |
| 7720.0 | 0.121607 |
| 7760.0 | 0.112366 |
| 7800.0 | 0.103724 |
| 7840.0 | 0.095526 |
| 7880.0 | 0.087689 |
| 7920.0 |  0.08049 |
| 7960.0 | 0.073505 |
| 8000.0 | 0.067048 |
| 8040.0 | 0.061239 |
| 8080.0 | 0.055751 |
| 8120.0 |  0.05069 |
| 8160.0 | 0.045977 |
| 8200.0 | 0.041756 |
| 8240.0 | 0.037754 |
| 8280.0 | 0.034089 |
| 8320.0 | 0.030699 |
| 8360.0 | 0.027816 |
| 8400.0 | 0.024955 |
| 8440.0 | 0.022626 |
| 8480.0 |  0.02027 |
| 8520.0 | 0.018313 |
| 8560.0 | 0.016551 |
| 8600.0 | 0.014766 |
| 8640.0 | 0.013737 |
| 8680.0 | 0.012355 |
| 8720.0 | 0.011005 |
| 8760.0 | 0.009899 |
| 8800.0 |  0.00887 |
| 8840.0 | 0.007962 |
| 8880.0 | 0.007052 |
| 8920.0 | 0.006304 |
| 8960.0 | 0.005626 |
| 9000.0 | 0.004962 |
| 9040.0 | 0.004394 |
| 9080.0 | 0.003872 |
| 9120.0 | 0.003484 |
| 9160.0 |  0.00307 |
| 9200.0 | 0.002695 |
| 9240.0 | 0.002437 |
| 9280.0 | 0.002089 |
| 9320.0 |  0.00186 |
| 9360.0 | 0.001646 |
| 9400.0 | 0.001425 |
| 9440.0 | 0.001253 |
| 9480.0 | 0.001121 |
| 9520.0 | 0.001027 |
