# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth
# 
# Bandpass Name(s): V
# 
# Instrument: CTIO/MOSAIC-II
# 
# Determined by: ?
# 
# Date of determination: ?
# 
# Meaning of/Reason for default column: Only available
# 
# Notes:
# 
# Response function for the Gemini Deep Deep Survey (GDDS) (originally
# from the Las Campanas Redshift Survey, LCRS).  Includes telescope
# throughput, CCD QE, and atmosphere.  Karl Glazebrook, 2006-Oct-23,
# private communication.  [Notes from Glazebrook: filter used in
# HW-C's photo-z code, from Pat McCarthy & HW-C Mar 3rd, 2002 via
# http://www.ociw.edu/lcirs/gdds/calibrations]
# 
# J. Moustakas, 2008-Jul-12, NYU
| lambda |     pass |
| 4711.0 |      0.0 |
| 4733.0 |      0.0 |
| 4755.0 |      0.0 |
| 4777.0 | 0.000227 |
| 4799.0 |  0.00253 |
| 4821.0 | 0.014593 |
| 4843.0 | 0.049597 |
| 4865.0 | 0.112253 |
| 4887.0 |  0.18893 |
| 4909.0 | 0.263133 |
| 4931.0 | 0.323747 |
| 4953.0 | 0.369399 |
| 4975.0 |  0.40204 |
| 4997.0 | 0.425152 |
| 5019.0 | 0.441404 |
| 5041.0 | 0.452888 |
| 5063.0 | 0.461368 |
| 5085.0 | 0.467416 |
| 5107.0 | 0.471813 |
| 5129.0 | 0.475183 |
| 5151.0 | 0.477537 |
| 5173.0 | 0.479427 |
| 5195.0 | 0.480695 |
| 5217.0 |  0.48147 |
| 5239.0 | 0.481985 |
| 5261.0 | 0.482188 |
| 5283.0 | 0.481826 |
| 5305.0 | 0.481157 |
| 5327.0 | 0.480233 |
| 5349.0 |  0.47881 |
| 5371.0 | 0.476958 |
| 5393.0 | 0.474191 |
| 5415.0 | 0.471191 |
| 5437.0 |  0.46724 |
| 5459.0 | 0.462556 |
| 5481.0 | 0.457381 |
| 5503.0 | 0.451116 |
| 5525.0 |   0.4442 |
| 5547.0 | 0.435962 |
| 5569.0 | 0.426898 |
| 5591.0 | 0.417044 |
| 5613.0 |  0.40614 |
| 5635.0 | 0.394907 |
| 5657.0 | 0.382578 |
| 5679.0 | 0.369584 |
| 5701.0 | 0.355939 |
| 5723.0 | 0.342084 |
| 5745.0 | 0.327434 |
| 5767.0 | 0.312834 |
| 5789.0 | 0.297746 |
| 5811.0 |  0.28277 |
| 5833.0 | 0.267641 |
| 5855.0 | 0.252517 |
| 5877.0 | 0.237318 |
| 5899.0 | 0.222476 |
| 5921.0 | 0.207836 |
| 5943.0 | 0.193354 |
| 5965.0 |  0.17942 |
| 5987.0 | 0.165682 |
| 6009.0 | 0.152383 |
| 6031.0 | 0.139693 |
| 6053.0 | 0.127377 |
| 6075.0 | 0.115689 |
| 6097.0 | 0.104591 |
| 6119.0 | 0.094227 |
| 6141.0 | 0.084416 |
| 6163.0 |  0.07535 |
| 6185.0 | 0.066983 |
| 6207.0 | 0.059178 |
| 6229.0 |  0.05211 |
| 6251.0 | 0.045605 |
| 6273.0 |  0.03979 |
| 6295.0 | 0.034558 |
| 6317.0 | 0.029872 |
| 6339.0 | 0.025669 |
| 6361.0 | 0.022001 |
| 6383.0 | 0.018741 |
| 6405.0 | 0.015897 |
| 6427.0 | 0.013422 |
| 6449.0 | 0.011268 |
| 6471.0 | 0.009413 |
| 6493.0 | 0.007851 |
| 6515.0 | 0.006494 |
| 6537.0 | 0.005356 |
| 6559.0 | 0.004405 |
| 6581.0 | 0.003596 |
| 6603.0 | 0.002921 |
| 6625.0 |  0.00236 |
| 6647.0 | 0.001899 |
| 6669.0 | 0.001523 |
| 6691.0 |  0.00122 |
| 6713.0 | 0.000963 |
| 6735.0 | 0.000761 |
| 6757.0 | 0.000583 |
| 6779.0 | 0.000461 |
| 6801.0 | 0.000357 |
| 6823.0 | 0.000269 |
| 6845.0 | 0.000195 |
| 6867.0 | 0.000149 |
| 6889.0 | 0.000102 |
| 6911.0 |      0.0 |
