# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth
# 
# Bandpass Name(s): z
# 
# Instrument: CTIO/MOSAIC-II(?)
# 
# Determined by: ?
# 
# Date of determination: ?
# 
# Meaning of/Reason for default column: Only available
# 
# Notes:
# 
# Response function for the Gemini Deep Deep Survey (GDDS) (originally
# from the Las Campanas Redshift Survey, LCRS).  Includes telescope
# throughput, CCD QE, and atmosphere.  Karl Glazebrook, 2006-Oct-23,
# private communication.  [Notes from Glazebrook: filter used in
# HW-C's photo-z code, from Pat McCarthy & HW-C Mar 3rd, 2002 via
# http://www.ociw.edu/lcirs/gdds/calibrations]
# 
# J. Moustakas, 2008-Jul-12, NYU
|  lambda |     pass |
|  7816.0 |  0.00087 |
|  7848.0 | 0.001288 |
|  7880.0 | 0.002012 |
|  7912.0 | 0.002976 |
|  7944.0 | 0.004529 |
|  7976.0 | 0.006948 |
|  8008.0 | 0.010492 |
|  8040.0 |   0.0157 |
|  8072.0 | 0.023169 |
|  8104.0 | 0.033604 |
|  8136.0 | 0.047705 |
|  8168.0 | 0.065385 |
|  8200.0 | 0.086464 |
|  8232.0 | 0.111529 |
|  8264.0 | 0.137952 |
|  8296.0 | 0.164836 |
|  8328.0 | 0.191904 |
|  8360.0 | 0.217055 |
|  8392.0 | 0.239932 |
|  8424.0 | 0.261189 |
|  8456.0 | 0.276102 |
|  8488.0 | 0.292725 |
|  8520.0 | 0.303908 |
|  8552.0 | 0.312626 |
|  8584.0 | 0.318402 |
|  8616.0 | 0.316874 |
|  8648.0 | 0.320359 |
|  8680.0 | 0.321805 |
|  8712.0 | 0.321984 |
|  8744.0 | 0.320884 |
|  8776.0 |  0.31858 |
|  8808.0 | 0.315599 |
|  8840.0 |    0.312 |
|  8872.0 | 0.307773 |
|  8904.0 |  0.30307 |
|  8936.0 | 0.298006 |
|  8968.0 | 0.292535 |
|  9000.0 | 0.286918 |
|  9032.0 | 0.281134 |
|  9064.0 | 0.275191 |
|  9096.0 | 0.269155 |
|  9128.0 | 0.262836 |
|  9160.0 | 0.256743 |
|  9192.0 | 0.250301 |
|  9224.0 | 0.243923 |
|  9256.0 | 0.237254 |
|  9288.0 | 0.230662 |
|  9320.0 | 0.224025 |
|  9352.0 |  0.21742 |
|  9384.0 | 0.210605 |
|  9416.0 | 0.203866 |
|  9448.0 | 0.197121 |
|  9480.0 | 0.190399 |
|  9512.0 | 0.183614 |
|  9544.0 | 0.176948 |
|  9576.0 | 0.170107 |
|  9608.0 | 0.163297 |
|  9640.0 | 0.156596 |
|  9672.0 | 0.149971 |
|  9704.0 | 0.143262 |
|  9736.0 | 0.136653 |
|  9768.0 | 0.130037 |
|  9800.0 | 0.123483 |
|  9832.0 | 0.116947 |
|  9864.0 | 0.110386 |
|  9896.0 | 0.103875 |
|  9928.0 | 0.097394 |
|  9960.0 | 0.090891 |
|  9992.0 | 0.084419 |
| 10024.0 |  0.07799 |
| 10056.0 | 0.071539 |
| 10088.0 | 0.065225 |
| 10120.0 | 0.058921 |
| 10152.0 | 0.052735 |
| 10184.0 | 0.046719 |
| 10216.0 | 0.040832 |
| 10248.0 | 0.035182 |
| 10280.0 |   0.0297 |
| 10312.0 | 0.024483 |
| 10344.0 | 0.019546 |
| 10376.0 | 0.014884 |
| 10408.0 | 0.010553 |
| 10440.0 | 0.006549 |
| 10472.0 |   0.0029 |
| 10504.0 |      0.0 |
| 10536.0 |      0.0 |
| 10568.0 |      0.0 |
| 10600.0 |      0.0 |
| 10632.0 |      0.0 |
| 10664.0 |      0.0 |
| 10696.0 |      0.0 |
| 10728.0 |      0.0 |
| 10760.0 |      0.0 |
| 10792.0 |      0.0 |
| 10824.0 |      0.0 |
| 10856.0 |      0.0 |
| 10888.0 |      0.0 |
| 10920.0 |      0.0 |
| 10952.0 |      0.0 |
| 10984.0 |      0.0 |
| 11016.0 |      0.0 |
