# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Name(s): H_isaac_etc
# 
# Instrument: GOODS (ACS+ISAAC)
# 
# Determined by: GOODS team (sent by Lexi Moustakas)
# 
# Date of determination: 2004?
# 
# Meaning of/Reason for default column: Only available
# 
# Notes:
# 
# From L. Moustakas:
# 
# "This page provides access to the nominal bandpass functions used for
# GOODS imaging data. The bandpass files are simple ascii tables with
# names *.bp ("bp" = "bandpass"), where * is some descriptive name for the
# filter. The first column gives wavelength in Angstroms (regardless of
# the original source for the information), and the second column gives
# the bandpass transmission. To the extent possible, the transmission
# values are absolutely normalized, and include as many elements of the
# total system throughput (including filter, detector QE, optics, and
# sometimes atmospheric transmission where important) as possible. In some
# cases (e.g., Spitzer/MIPS), the only bandpass functions available were
# pre-normalized to a peak value of 1, and so do not record the actual
# total throughput.
# 
# In many cases, a fair amount of effort has gone into deriving the
# appropriate bandpass functions from various throughput components.
# However, in some cases there is uncertainty about some of the throughput
# elements, or the appropriate procedures for combining them. The links
# from the first column of the table below provide information about where
# the bandpass functions were obtained, or how they were constructed."
# 
# Michael Blanton
# 2005-04-26
# 
|  lambda |     pass |
| 14501.2 |      0.0 |
| 14521.2 | 0.001766 |
| 14541.2 |      0.0 |
| 14561.2 | 0.002112 |
| 14581.2 |  0.00144 |
| 14601.2 | 0.004062 |
| 14621.2 |    1e-06 |
| 14641.2 | 0.005443 |
| 14661.2 | 0.004574 |
| 14681.2 | 0.003188 |
| 14701.2 | 0.004077 |
| 14721.2 | 0.002745 |
| 14741.2 | 0.007252 |
| 14761.2 | 0.006704 |
| 14781.2 | 0.008092 |
| 14801.2 |  0.01156 |
| 14821.2 |  0.01373 |
| 14841.2 | 0.018573 |
| 14861.2 | 0.023103 |
| 14881.2 | 0.029412 |
| 14901.2 | 0.031395 |
| 14921.2 | 0.041883 |
| 14941.2 | 0.052876 |
| 14961.2 | 0.061514 |
| 14981.2 | 0.076726 |
| 15001.2 | 0.092446 |
| 15021.2 | 0.106953 |
| 15041.2 | 0.123842 |
| 15061.2 | 0.141797 |
| 15081.2 | 0.159669 |
| 15101.2 | 0.174328 |
| 15121.2 | 0.189454 |
| 15141.2 | 0.201906 |
| 15161.2 | 0.210738 |
| 15181.2 |  0.22301 |
| 15201.2 | 0.231039 |
| 15221.2 | 0.237114 |
| 15241.2 | 0.241999 |
| 15261.2 | 0.248392 |
| 15281.2 | 0.252099 |
| 15301.2 |  0.25146 |
| 15321.2 | 0.257526 |
| 15341.2 | 0.262362 |
| 15361.2 | 0.267392 |
| 15381.2 | 0.270182 |
| 15401.2 | 0.274366 |
| 15421.2 | 0.274566 |
| 15441.2 | 0.275295 |
| 15461.2 | 0.278206 |
| 15481.2 | 0.279998 |
| 15501.2 | 0.279569 |
| 15521.3 | 0.282397 |
| 15541.3 | 0.281615 |
| 15561.3 | 0.284483 |
| 15581.3 | 0.283755 |
| 15601.3 | 0.285453 |
| 15621.3 | 0.284997 |
| 15641.3 | 0.282626 |
| 15661.3 | 0.284583 |
| 15681.3 | 0.284204 |
| 15701.3 | 0.284641 |
| 15721.3 | 0.287174 |
| 15741.3 | 0.285895 |
| 15761.3 | 0.283834 |
| 15781.3 | 0.282644 |
| 15801.3 | 0.285275 |
| 15821.3 | 0.282853 |
| 15841.3 | 0.282606 |
| 15861.3 | 0.282957 |
| 15881.3 | 0.282945 |
| 15901.3 | 0.283492 |
| 15921.3 |  0.28324 |
| 15941.3 | 0.283638 |
| 15961.3 | 0.283677 |
| 15981.3 | 0.283508 |
| 16001.3 | 0.286525 |
| 16021.3 | 0.284222 |
| 16041.3 | 0.288439 |
| 16061.3 | 0.284674 |
| 16081.3 | 0.288361 |
| 16101.3 | 0.286473 |
| 16121.3 | 0.287334 |
| 16141.3 | 0.285668 |
| 16161.3 | 0.287343 |
| 16181.3 | 0.287692 |
| 16201.3 | 0.285783 |
| 16221.3 | 0.286708 |
| 16241.3 | 0.287329 |
| 16261.3 | 0.288247 |
| 16281.3 | 0.288187 |
| 16301.3 |  0.28704 |
| 16321.3 |  0.28786 |
| 16341.3 | 0.286293 |
| 16361.3 |  0.28696 |
| 16381.3 | 0.287903 |
| 16401.3 | 0.287307 |
| 16421.3 | 0.287257 |
| 16441.3 |  0.28896 |
| 16461.3 | 0.288762 |
| 16481.3 | 0.287088 |
| 16501.3 | 0.288044 |
| 16521.3 | 0.288308 |
| 16541.3 | 0.286954 |
| 16561.3 | 0.285767 |
| 16581.3 | 0.283615 |
| 16601.3 | 0.283237 |
| 16621.3 | 0.282442 |
| 16641.3 | 0.279326 |
| 16661.3 | 0.277717 |
| 16681.3 | 0.277655 |
| 16701.3 | 0.277332 |
| 16721.3 | 0.278542 |
| 16741.3 | 0.275668 |
| 16761.3 | 0.275089 |
| 16781.3 | 0.276464 |
| 16801.3 | 0.278087 |
| 16821.3 | 0.278857 |
| 16841.3 | 0.278289 |
| 16861.3 | 0.281176 |
| 16881.3 | 0.279721 |
| 16901.3 | 0.279392 |
| 16921.3 | 0.277829 |
| 16941.3 | 0.280216 |
| 16961.3 | 0.282142 |
| 16981.3 | 0.280158 |
| 17001.3 | 0.278763 |
| 17021.3 | 0.279729 |
| 17041.3 | 0.276445 |
| 17061.3 | 0.276613 |
| 17081.3 | 0.278593 |
| 17101.3 | 0.278466 |
| 17121.3 | 0.279261 |
| 17141.3 | 0.276951 |
| 17161.3 |  0.27711 |
| 17181.3 |  0.27852 |
| 17201.3 | 0.279512 |
| 17221.3 | 0.278805 |
| 17241.3 | 0.276382 |
| 17261.3 | 0.277471 |
| 17281.3 |  0.27583 |
| 17301.3 | 0.278753 |
| 17321.3 |  0.27706 |
| 17341.3 | 0.276332 |
| 17361.3 | 0.273771 |
| 17381.3 | 0.273232 |
| 17401.3 | 0.273087 |
| 17421.3 | 0.272471 |
| 17441.3 | 0.271341 |
| 17461.3 | 0.273113 |
| 17481.3 | 0.272262 |
| 17501.3 |   0.2755 |
| 17521.4 |  0.27599 |
| 17541.4 | 0.277787 |
| 17561.4 | 0.278091 |
| 17581.4 | 0.284093 |
| 17601.4 | 0.282435 |
| 17621.4 | 0.283869 |
| 17641.4 | 0.285701 |
| 17661.4 | 0.285737 |
| 17681.4 | 0.285076 |
| 17701.4 | 0.285239 |
| 17721.4 | 0.285385 |
| 17741.4 |  0.28274 |
| 17761.4 | 0.281869 |
| 17781.4 | 0.280399 |
| 17801.4 | 0.281421 |
| 17821.4 |  0.28288 |
| 17841.4 | 0.280836 |
| 17861.4 | 0.278879 |
| 17881.4 | 0.277837 |
| 17901.4 | 0.274689 |
| 17921.4 | 0.266452 |
| 17941.4 | 0.251447 |
| 17961.4 | 0.233513 |
| 17981.4 | 0.208686 |
| 18001.4 |  0.18126 |
