# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Name(s): J_isaac_etc
# 
# Instrument: GOODS (ACS+ISAAC)
# 
# Determined by: GOODS team (sent by Lexi Moustakas)
# 
# Date of determination: 2004?
# 
# Meaning of/Reason for default column: Only available
# 
# Notes:
# 
# From L. Moustakas:
# 
# "This page provides access to the nominal bandpass functions used for
# GOODS imaging data. The bandpass files are simple ascii tables with
# names *.bp ("bp" = "bandpass"), where * is some descriptive name for the
# filter. The first column gives wavelength in Angstroms (regardless of
# the original source for the information), and the second column gives
# the bandpass transmission. To the extent possible, the transmission
# values are absolutely normalized, and include as many elements of the
# total system throughput (including filter, detector QE, optics, and
# sometimes atmospheric transmission where important) as possible. In some
# cases (e.g., Spitzer/MIPS), the only bandpass functions available were
# pre-normalized to a peak value of 1, and so do not record the actual
# total throughput.
# 
# In many cases, a fair amount of effort has gone into deriving the
# appropriate bandpass functions from various throughput components.
# However, in some cases there is uncertainty about some of the throughput
# elements, or the appropriate procedures for combining them. The links
# from the first column of the table below provide information about where
# the bandpass functions were obtained, or how they were constructed."
# 
# Michael Blanton
# 2005-04-26
# 
|  lambda |     pass |
| 10001.0 | 0.003223 |
| 10026.0 | 0.014891 |
| 10051.0 |  0.00733 |
| 10076.0 |      0.0 |
| 10101.0 |      0.0 |
| 10126.0 | 0.001583 |
| 10151.0 |      0.0 |
| 10176.0 | 0.000352 |
| 10201.0 | 0.001813 |
| 10226.0 | 0.003959 |
| 10251.0 |      0.0 |
| 10276.0 | 0.000244 |
| 10301.0 |      0.0 |
| 10326.0 | 0.005047 |
| 10351.0 | 0.000603 |
| 10376.0 |      0.0 |
| 10401.0 | 0.002354 |
| 10426.0 |      0.0 |
| 10451.0 |      0.0 |
| 10476.0 | 0.001833 |
| 10501.1 |    7e-06 |
| 10526.1 | 0.004972 |
| 10551.1 |      0.0 |
| 10576.1 | 0.000667 |
| 10601.1 | 0.001582 |
| 10626.1 |      0.0 |
| 10651.1 |      0.0 |
| 10676.1 | 0.002017 |
| 10701.1 | 0.003753 |
| 10726.1 | 0.002618 |
| 10751.1 | 0.002539 |
| 10776.1 | 0.003228 |
| 10801.1 | 0.003914 |
| 10826.1 | 0.008478 |
| 10851.1 | 0.012167 |
| 10876.1 | 0.019551 |
| 10901.1 | 0.022472 |
| 10926.1 | 0.037019 |
| 10951.1 | 0.056999 |
| 10976.1 | 0.068859 |
| 11001.1 | 0.089684 |
| 11026.1 | 0.107203 |
| 11051.1 | 0.121186 |
| 11076.1 | 0.136941 |
| 11101.1 | 0.144263 |
| 11126.1 |  0.15259 |
