# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Name(s): Ks_isaac_etc
# 
# Instrument: GOODS (ACS+ISAAC)
# 
# Determined by: GOODS team (sent by Lexi Moustakas)
# 
# Date of determination: 2004?
# 
# Meaning of/Reason for default column: Only available
# 
# Notes:
# 
# From L. Moustakas:
# 
# "This page provides access to the nominal bandpass functions used for
# GOODS imaging data. The bandpass files are simple ascii tables with
# names *.bp ("bp" = "bandpass"), where * is some descriptive name for the
# filter. The first column gives wavelength in Angstroms (regardless of
# the original source for the information), and the second column gives
# the bandpass transmission. To the extent possible, the transmission
# values are absolutely normalized, and include as many elements of the
# total system throughput (including filter, detector QE, optics, and
# sometimes atmospheric transmission where important) as possible. In some
# cases (e.g., Spitzer/MIPS), the only bandpass functions available were
# pre-normalized to a peak value of 1, and so do not record the actual
# total throughput.
# 
# In many cases, a fair amount of effort has gone into deriving the
# appropriate bandpass functions from various throughput components.
# However, in some cases there is uncertainty about some of the throughput
# elements, or the appropriate procedures for combining them. The links
# from the first column of the table below provide information about where
# the bandpass functions were obtained, or how they were constructed."
# 
# Michael Blanton
# 2005-04-26
# 
|  lambda |     pass |
| 19000.6 |      0.0 |
| 19025.6 | 0.001097 |
| 19050.6 | 0.001209 |
| 19075.6 | 0.000411 |
| 19100.7 | 0.000889 |
| 19125.7 | 0.000965 |
| 19150.7 | 0.000702 |
| 19175.7 | 0.001009 |
| 19200.7 | 0.001185 |
| 19225.7 |  0.00021 |
| 19250.8 | 0.001222 |
| 19275.8 |  8.2e-05 |
| 19300.8 | 0.000503 |
| 19325.8 | 0.001433 |
| 19350.8 | 0.000637 |
| 19375.8 | 0.000813 |
| 19400.9 | 0.000467 |
| 19425.9 |  0.00031 |
| 19450.9 | 0.000899 |
| 19475.9 | 0.000961 |
| 19500.9 | 0.000855 |
| 19525.9 | 0.000518 |
| 19551.0 | 0.001162 |
| 19576.0 | 0.001204 |
| 19601.0 | 0.002199 |
| 19626.0 | 0.001775 |
| 19651.0 | 0.002399 |
| 19676.0 | 0.001649 |
| 19701.0 | 0.002295 |
| 19726.1 | 0.003078 |
| 19751.1 | 0.003553 |
| 19776.1 | 0.003949 |
| 19801.1 | 0.003965 |
| 19826.1 |  0.00582 |
| 19851.1 | 0.007431 |
| 19876.2 | 0.009193 |
| 19901.2 | 0.010135 |
| 19926.2 | 0.012897 |
| 19951.2 | 0.015982 |
| 19976.2 | 0.019765 |
| 20001.2 |  0.02513 |
| 20026.3 | 0.030696 |
| 20051.3 | 0.039156 |
| 20076.3 | 0.048761 |
| 20101.3 |  0.06237 |
| 20126.3 | 0.078198 |
| 20151.3 | 0.097523 |
| 20176.4 | 0.121339 |
| 20201.4 | 0.147644 |
| 20226.4 | 0.176627 |
| 20251.4 | 0.206845 |
| 20276.4 | 0.237714 |
| 20301.4 | 0.266572 |
| 20326.4 | 0.290584 |
| 20351.5 | 0.311136 |
| 20376.5 | 0.326292 |
| 20401.5 | 0.339191 |
| 20426.5 |   0.3479 |
| 20451.5 | 0.353643 |
| 20476.5 | 0.359407 |
| 20501.6 | 0.363245 |
| 20526.6 | 0.366683 |
| 20551.6 | 0.369159 |
| 20576.6 |  0.37238 |
| 20601.6 | 0.374996 |
| 20626.6 |  0.37676 |
| 20651.7 | 0.379775 |
| 20676.7 | 0.381996 |
| 20701.7 |  0.38579 |
| 20726.7 | 0.389039 |
| 20751.7 | 0.390783 |
| 20776.7 |  0.39339 |
| 20801.8 | 0.394774 |
| 20826.8 | 0.396366 |
| 20851.8 |  0.39781 |
| 20876.8 | 0.398327 |
| 20901.8 | 0.398567 |
| 20926.8 | 0.399353 |
| 20951.8 | 0.399341 |
| 20976.9 |  0.39988 |
| 21001.9 |  0.39923 |
| 21026.9 | 0.399854 |
| 21051.9 | 0.399253 |
| 21076.9 | 0.398747 |
| 21101.9 | 0.398177 |
| 21127.0 | 0.398358 |
| 21152.0 | 0.398452 |
| 21177.0 | 0.397972 |
| 21202.0 | 0.397701 |
| 21227.0 | 0.397687 |
| 21252.0 | 0.398482 |
| 21277.1 |  0.39814 |
| 21302.1 | 0.398736 |
| 21327.1 |  0.39947 |
| 21352.1 | 0.399804 |
| 21377.1 | 0.401246 |
| 21402.1 | 0.402234 |
| 21427.2 | 0.402617 |
| 21452.2 | 0.402162 |
| 21477.2 | 0.404026 |
| 21502.2 | 0.404615 |
| 21527.2 | 0.405382 |
| 21552.2 | 0.406254 |
| 21577.2 | 0.406967 |
| 21602.3 | 0.406907 |
| 21627.3 | 0.407026 |
| 21652.3 | 0.406786 |
| 21677.3 | 0.407098 |
| 21702.3 | 0.406542 |
| 21727.3 | 0.405908 |
| 21752.4 | 0.404873 |
| 21777.4 | 0.404551 |
| 21802.4 | 0.403399 |
| 21827.4 | 0.403307 |
| 21852.4 | 0.401343 |
| 21877.4 | 0.400002 |
| 21902.5 | 0.398296 |
| 21927.5 | 0.397053 |
| 21952.5 | 0.395932 |
| 21977.5 | 0.393719 |
| 22002.5 | 0.394005 |
| 22027.5 | 0.393885 |
| 22052.6 | 0.392557 |
| 22077.6 | 0.392392 |
| 22102.6 | 0.392041 |
| 22127.6 | 0.393357 |
| 22152.6 | 0.393753 |
| 22177.6 | 0.395477 |
| 22202.6 |    0.396 |
| 22227.7 | 0.397331 |
| 22252.7 | 0.398606 |
| 22277.7 | 0.400747 |
| 22302.7 | 0.401468 |
| 22327.7 | 0.402124 |
| 22352.7 | 0.403034 |
| 22377.8 | 0.402083 |
| 22402.8 | 0.402396 |
| 22427.8 | 0.401913 |
| 22452.8 | 0.401164 |
| 22477.8 |  0.40053 |
| 22502.8 | 0.400299 |
| 22527.9 | 0.400067 |
| 22552.9 | 0.399371 |
| 22577.9 | 0.399011 |
| 22602.9 | 0.399701 |
| 22627.9 | 0.400252 |
| 22652.9 | 0.401104 |
| 22678.0 | 0.403114 |
| 22703.0 |  0.40427 |
| 22728.0 | 0.405152 |
| 22753.0 | 0.404236 |
| 22778.0 | 0.400369 |
| 22803.0 | 0.393833 |
| 22828.0 | 0.381866 |
| 22853.1 | 0.364772 |
| 22878.1 | 0.343324 |
| 22903.1 | 0.316785 |
| 22928.1 | 0.287566 |
| 22953.1 |  0.25633 |
| 22978.1 | 0.225677 |
| 23003.2 | 0.196167 |
| 23028.2 | 0.167466 |
| 23053.2 | 0.143084 |
| 23078.2 |   0.1208 |
| 23103.2 | 0.101423 |
| 23128.2 | 0.085152 |
| 23153.3 |  0.07093 |
| 23178.3 | 0.058196 |
| 23203.3 | 0.048572 |
| 23228.3 | 0.040337 |
| 23253.3 | 0.033613 |
| 23278.3 | 0.027084 |
| 23303.4 | 0.021875 |
| 23328.4 | 0.018519 |
| 23353.4 | 0.015082 |
| 23378.4 | 0.012132 |
| 23403.4 |  0.00982 |
| 23428.4 | 0.008196 |
| 23453.4 |  0.00686 |
| 23478.5 |  0.00583 |
| 23503.5 | 0.004584 |
| 23528.5 | 0.003973 |
| 23553.5 | 0.003406 |
| 23578.5 | 0.002412 |
| 23603.5 | 0.002537 |
| 23628.6 | 0.001999 |
| 23653.6 |  0.00129 |
| 23678.6 | 0.001119 |
| 23703.6 | 0.001249 |
| 23728.6 | 0.001723 |
| 23753.6 | 0.000924 |
| 23778.7 | 0.000687 |
| 23803.7 | 0.000992 |
| 23828.7 | 0.000998 |
| 23853.7 | 0.001347 |
| 23878.7 |  0.00095 |
| 23903.7 | 0.001073 |
| 23928.8 | 0.000212 |
| 23953.8 | 0.000409 |
| 23978.8 | 0.000539 |
