# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Name(s): acs_f606w
# 
# Instrument: GOODS (ACS+ISAAC)
# 
# Determined by: GOODS team (sent by Lexi Moustakas)
# 
# Date of determination: 2004?
# 
# Meaning of/Reason for default column: Only available
# 
# Notes:
# 
# From L. Moustakas:
# 
# "This page provides access to the nominal bandpass functions used for
# GOODS imaging data. The bandpass files are simple ascii tables with
# names *.bp ("bp" = "bandpass"), where * is some descriptive name for the
# filter. The first column gives wavelength in Angstroms (regardless of
# the original source for the information), and the second column gives
# the bandpass transmission. To the extent possible, the transmission
# values are absolutely normalized, and include as many elements of the
# total system throughput (including filter, detector QE, optics, and
# sometimes atmospheric transmission where important) as possible. In some
# cases (e.g., Spitzer/MIPS), the only bandpass functions available were
# pre-normalized to a peak value of 1, and so do not record the actual
# total throughput.
# 
# In many cases, a fair amount of effort has gone into deriving the
# appropriate bandpass functions from various throughput components.
# However, in some cases there is uncertainty about some of the throughput
# elements, or the appropriate procedures for combining them. The links
# from the first column of the table below provide information about where
# the bandpass functions were obtained, or how they were constructed."
# 
# Michael Blanton
# 2005-04-26
# 
|   lambda |         pass |
|   3000.0 | 2.325569e-35 |
| 3000.376 | 2.034434e-12 |
| 3000.753 |  4.07477e-12 |
| 3001.127 | 6.098531e-12 |
| 3001.503 | 8.132114e-12 |
| 3001.882 | 1.018348e-11 |
| 3002.258 | 1.221827e-11 |
| 3002.632 | 1.424572e-11 |
|  3003.01 | 1.629093e-11 |
| 3003.385 |  1.83286e-11 |
| 3003.761 | 2.036551e-11 |
| 3004.139 | 2.241359e-11 |
| 3004.513 | 2.444506e-11 |
| 3004.889 | 2.648501e-11 |
| 3005.269 | 2.854401e-11 |
| 3005.645 |  3.05863e-11 |
|  3006.02 | 3.262113e-11 |
| 3006.398 | 3.467364e-11 |
| 3006.774 | 3.671735e-11 |
|  3007.15 | 3.876287e-11 |
| 3007.528 | 4.081681e-11 |
| 3007.903 | 4.285397e-11 |
|  3008.28 | 4.490228e-11 |
|  3008.66 | 4.696836e-11 |
| 3009.036 | 4.901627e-11 |
| 3009.411 | 5.105655e-11 |
|  3009.79 | 5.311587e-11 |
| 3010.166 | 5.520213e-11 |
| 3010.543 |  5.73398e-11 |
| 3010.922 | 5.949212e-11 |
| 3011.297 | 6.163265e-11 |
| 3011.674 | 6.378918e-11 |
| 3012.054 |  6.59702e-11 |
| 3012.431 | 6.814072e-11 |
| 3012.807 | 7.030759e-11 |
| 3013.185 | 7.249891e-11 |
| 3013.563 | 7.468787e-11 |
|  3013.94 | 7.688299e-11 |
| 3014.319 | 7.909424e-11 |
| 3014.694 | 8.129307e-11 |
| 3015.072 | 8.350796e-11 |
| 3015.452 | 8.574764e-11 |
|  3015.83 | 8.797472e-11 |
| 3016.206 | 9.019763e-11 |
| 3016.585 | 9.244819e-11 |
| 3016.962 | 9.469316e-11 |
|  3017.34 | 9.694572e-11 |
| 3017.719 | 9.921453e-11 |
| 3018.096 | 1.014702e-10 |
| 3018.473 | 1.037404e-10 |
| 3018.854 | 1.060372e-10 |
| 3019.232 | 1.083208e-10 |
| 3019.609 | 1.105998e-10 |
| 3019.988 | 1.129055e-10 |
| 3020.366 | 1.151659e-10 |
| 3020.744 | 1.174278e-10 |
| 3021.124 | 1.197057e-10 |
| 3021.501 | 1.219671e-10 |
| 3021.879 | 1.242431e-10 |
|  3022.26 | 1.265439e-10 |
| 3022.639 | 1.288297e-10 |
| 3023.016 | 1.311094e-10 |
| 3023.396 | 1.334125e-10 |
| 3023.774 | 1.357125e-10 |
| 3024.153 |  1.38015e-10 |
| 3024.533 | 1.403321e-10 |
|  3024.91 | 1.426338e-10 |
| 3025.288 | 1.449494e-10 |
|  3025.67 | 1.472898e-10 |
| 3026.049 | 1.496134e-10 |
| 3026.426 | 1.519333e-10 |
| 3026.807 | 1.542768e-10 |
| 3027.186 |  1.56615e-10 |
| 3027.564 | 1.589569e-10 |
| 3027.945 | 1.613134e-10 |
| 3028.323 | 1.636534e-10 |
| 3028.702 | 1.660076e-10 |
| 3029.084 | 1.683858e-10 |
| 3029.463 |  1.70749e-10 |
| 3029.841 | 1.731068e-10 |
| 3030.222 | 1.755214e-10 |
| 3030.601 | 1.779551e-10 |
|  3030.98 | 1.803924e-10 |
| 3031.361 | 1.828483e-10 |
| 3031.739 | 1.852889e-10 |
| 3032.119 | 1.877441e-10 |
| 3032.501 | 1.902264e-10 |
| 3032.881 | 1.926933e-10 |
| 3033.259 | 1.951537e-10 |
|  3033.64 | 1.976413e-10 |
|  3034.02 | 2.001242e-10 |
|   3034.4 |   2.0261e-10 |
| 3034.781 | 2.051136e-10 |
|  3035.16 |    2.076e-10 |
|  3035.54 | 2.101032e-10 |
| 3035.923 | 2.126338e-10 |
| 3036.303 | 2.151476e-10 |
| 3036.681 | 2.176547e-10 |
| 3037.063 | 2.201892e-10 |
| 3037.443 | 2.227172e-10 |
| 3037.823 | 2.252499e-10 |
| 3038.206 | 2.278013e-10 |
| 3038.584 | 2.303336e-10 |
| 3038.964 | 2.328837e-10 |
| 3039.348 | 2.354596e-10 |
| 3039.729 | 2.380187e-10 |
| 3040.107 | 2.405022e-10 |
|  3040.49 | 2.428409e-10 |
|  3040.87 | 2.451696e-10 |
| 3041.251 | 2.474988e-10 |
| 3041.633 | 2.498389e-10 |
| 3042.012 |   2.5216e-10 |
| 3042.393 | 2.544895e-10 |
| 3042.776 | 2.568314e-10 |
| 3043.158 | 2.591742e-10 |
| 3043.537 | 2.614969e-10 |
|  3043.92 | 2.638426e-10 |
| 3044.301 | 2.661766e-10 |
| 3044.682 | 2.685125e-10 |
| 3045.065 | 2.708591e-10 |
| 3045.445 | 2.731857e-10 |
| 3045.826 | 2.755216e-10 |
|  3046.21 | 2.778794e-10 |
| 3046.592 | 2.802185e-10 |
| 3046.971 | 2.825474e-10 |
| 3047.354 | 2.848966e-10 |
| 3047.736 | 2.872371e-10 |
| 3048.117 | 2.895781e-10 |
|   3048.5 | 2.919291e-10 |
|  3048.88 | 2.942609e-10 |
| 3049.262 | 2.966042e-10 |
| 3049.646 | 2.989564e-10 |
| 3050.029 |   3.0134e-10 |
| 3050.409 | 3.040881e-10 |
| 3050.792 | 3.068667e-10 |
| 3051.174 | 3.096385e-10 |
| 3051.556 | 3.124178e-10 |
|  3051.94 | 3.152135e-10 |
|  3052.32 |  3.17992e-10 |
