# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Name(s): acs_f850lp
# 
# Instrument: GOODS (ACS+ISAAC)
# 
# Determined by: GOODS team (sent by Lexi Moustakas)
# 
# Date of determination: 2004?
# 
# Meaning of/Reason for default column: Only available
# 
# Notes:
# 
# From L. Moustakas:
# 
# "This page provides access to the nominal bandpass functions used for
# GOODS imaging data. The bandpass files are simple ascii tables with
# names *.bp ("bp" = "bandpass"), where * is some descriptive name for the
# filter. The first column gives wavelength in Angstroms (regardless of
# the original source for the information), and the second column gives
# the bandpass transmission. To the extent possible, the transmission
# values are absolutely normalized, and include as many elements of the
# total system throughput (including filter, detector QE, optics, and
# sometimes atmospheric transmission where important) as possible. In some
# cases (e.g., Spitzer/MIPS), the only bandpass functions available were
# pre-normalized to a peak value of 1, and so do not record the actual
# total throughput.
# 
# In many cases, a fair amount of effort has gone into deriving the
# appropriate bandpass functions from various throughput components.
# However, in some cases there is uncertainty about some of the throughput
# elements, or the appropriate procedures for combining them. The links
# from the first column of the table below provide information about where
# the bandpass functions were obtained, or how they were constructed."
# 
# Michael Blanton
# 2005-04-26
# 
|   lambda |         pass |
|   4000.0 |  1.43574e-07 |
| 4000.405 | 1.435557e-07 |
| 4000.811 | 1.435373e-07 |
| 4001.215 | 1.435189e-07 |
|  4001.62 | 1.435004e-07 |
| 4002.026 | 1.434818e-07 |
| 4002.432 | 1.434631e-07 |
| 4002.834 | 1.434446e-07 |
| 4003.239 | 1.434259e-07 |
| 4003.643 | 1.434072e-07 |
|  4004.05 | 1.433883e-07 |
| 4004.454 | 1.433693e-07 |
| 4004.859 | 1.433504e-07 |
| 4005.263 | 1.433313e-07 |
| 4005.673 | 1.433121e-07 |
| 4006.077 |  1.43293e-07 |
| 4006.482 | 1.432738e-07 |
| 4006.886 | 1.432546e-07 |
| 4007.293 | 1.432352e-07 |
| 4007.698 |  1.43216e-07 |
| 4008.103 | 1.431967e-07 |
| 4008.506 | 1.431775e-07 |
| 4008.913 | 1.431581e-07 |
|  4009.32 | 1.431385e-07 |
| 4009.725 |  1.43119e-07 |
|  4010.13 |  1.43098e-07 |
| 4010.538 | 1.430737e-07 |
| 4010.943 | 1.430495e-07 |
| 4011.348 | 1.430253e-07 |
| 4011.753 | 1.430011e-07 |
|  4012.16 | 1.429767e-07 |
| 4012.566 | 1.429523e-07 |
| 4012.973 | 1.429277e-07 |
| 4013.376 | 1.429034e-07 |
| 4013.784 | 1.428788e-07 |
|  4014.19 | 1.428543e-07 |
| 4014.595 | 1.428298e-07 |
| 4015.001 | 1.428052e-07 |
| 4015.408 | 1.427804e-07 |
| 4015.814 | 1.427557e-07 |
|  4016.22 | 1.427309e-07 |
| 4016.628 | 1.427058e-07 |
| 4017.036 | 1.426806e-07 |
| 4017.441 | 1.426557e-07 |
| 4017.847 | 1.426307e-07 |
| 4018.253 | 1.426057e-07 |
| 4018.661 | 1.425805e-07 |
| 4019.065 | 1.425555e-07 |
| 4019.471 | 1.425304e-07 |
| 4019.877 | 1.425053e-07 |
| 4020.287 | 1.424852e-07 |
| 4020.694 | 1.424676e-07 |
|   4021.1 |   1.4245e-07 |
| 4021.506 | 1.424324e-07 |
| 4021.914 | 1.424146e-07 |
| 4022.321 | 1.423969e-07 |
| 4022.727 | 1.423791e-07 |
| 4023.133 | 1.423613e-07 |
| 4023.542 | 1.423434e-07 |
| 4023.951 | 1.423254e-07 |
| 4024.355 | 1.423075e-07 |
| 4024.761 | 1.422894e-07 |
|  4025.17 | 1.422712e-07 |
| 4025.577 |  1.42253e-07 |
| 4025.983 | 1.422348e-07 |
|  4026.39 | 1.422165e-07 |
| 4026.799 |  1.42198e-07 |
| 4027.206 | 1.421796e-07 |
| 4027.615 | 1.421611e-07 |
| 4028.022 | 1.421426e-07 |
| 4028.431 |  1.42124e-07 |
| 4028.838 | 1.421054e-07 |
| 4029.245 | 1.420868e-07 |
| 4029.652 | 1.420681e-07 |
| 4030.059 | 1.420481e-07 |
| 4030.466 | 1.420211e-07 |
| 4030.873 | 1.419941e-07 |
| 4031.282 |  1.41967e-07 |
| 4031.692 | 1.419399e-07 |
| 4032.099 | 1.419129e-07 |
| 4032.507 | 1.418858e-07 |
| 4032.914 | 1.418586e-07 |
| 4033.323 | 1.418311e-07 |
| 4033.731 | 1.418038e-07 |
| 4034.138 | 1.417764e-07 |
| 4034.546 |  1.41749e-07 |
| 4034.956 | 1.417214e-07 |
| 4035.363 | 1.416939e-07 |
| 4035.771 | 1.416665e-07 |
| 4036.179 | 1.416389e-07 |
| 4036.589 | 1.416111e-07 |
| 4036.996 | 1.415834e-07 |
| 4037.404 | 1.415556e-07 |
| 4037.812 | 1.415278e-07 |
| 4038.222 | 1.414999e-07 |
| 4038.632 | 1.414719e-07 |
|  4039.04 |  1.41444e-07 |
| 4039.448 |  1.41416e-07 |
| 4039.859 | 1.413878e-07 |
