Wavelength     Transmission   Atm. Trans    Tot. Trans.
(micron)       (fractional)   (fractional)  (fractional)
      73.7000   0.00423744     0.943467   0.00399789
      73.8000   0.00463551     0.950718   0.00440706
      73.9000   0.00508540     0.938255   0.00477140
      74.0000   0.00569015     0.917296   0.00521955
      74.1000   0.00620171     0.929495   0.00576446
      74.2000   0.00672535     0.918877   0.00617977
      74.3000   0.00738738     0.902851   0.00666970
      74.4000   0.00800272     0.812070   0.00649877
      74.5000   0.00864547     0.846868   0.00732157
      74.6000   0.00962278     0.778995   0.00749610
      74.7000    0.0104445     0.736898   0.00769652
      74.8000    0.0112904     0.598680   0.00675932
      74.9000    0.0122483     0.105037   0.00128653
      75.0000    0.0136516     0.127653   0.00174267
      75.1000    0.0146746     0.196382   0.00288184
      75.2000    0.0155389    0.0274840  0.000427070
      75.3000    0.0167977      0.00000      0.00000
      75.4000    0.0180077      0.00000      0.00000
      75.5000    0.0191384      0.00000      0.00000
      75.6000    0.0205049    0.0774626   0.00158836
      75.7000    0.0219950     0.227157   0.00499632
      75.8000    0.0233238   0.00282588  6.59102e-05
      75.9000    0.0243541      0.00000      0.00000
      76.0000    0.0258931     0.493869    0.0127878
      76.1000    0.0275536     0.707266    0.0194877
      76.2000    0.0289684     0.780120    0.0225989
      76.3000    0.0305789     0.587077    0.0179522
      76.4000    0.0327625     0.253132   0.00829324
      76.5000    0.0350462     0.794110    0.0278305
      76.6000    0.0369168     0.881559    0.0325444
      76.7000    0.0389596     0.886940    0.0345549
      76.8000    0.0412016     0.906600    0.0373533
      76.9000    0.0436773     0.917942    0.0400933
      77.0000    0.0458247     0.918701    0.0420992
      77.1000    0.0485243     0.917896    0.0445403
      77.2000    0.0515574     0.893217    0.0460519
      77.3000    0.0540055     0.897462    0.0484679
      77.4000    0.0565992     0.894462    0.0506259
      77.5000    0.0598167     0.838312    0.0501451
      77.6000    0.0630588     0.817038    0.0515214
      77.7000    0.0658955     0.656981    0.0432921
      77.8000    0.0693265     0.424253    0.0294120
      77.9000    0.0733960     0.764530    0.0561135
      78.0000    0.0770588     0.746749    0.0575436
      78.1000    0.0805687     0.688225    0.0554494
      78.2000    0.0849797     0.591991    0.0503072
      78.3000    0.0899361     0.464621    0.0417862
      78.4000    0.0949244     0.279883    0.0265677
      78.5000     0.100063    0.0797276   0.00797774
      78.6000     0.105860  0.000690441  7.30898e-05
      78.7000     0.112094      0.00000      0.00000
      78.8000     0.118348      0.00000      0.00000
      78.9000     0.124870      0.00000      0.00000
      79.0000     0.131898    0.0125912   0.00166075
      79.1000     0.139290     0.213917    0.0297964
      79.2000     0.146341     0.413614    0.0605287
      79.3000     0.153381     0.569582    0.0873632
      79.4000     0.161561     0.662278     0.106998
      79.5000     0.170094     0.558446    0.0949884
      79.6000     0.178336     0.748351     0.133458
      79.7000     0.186794     0.783055     0.146270
      79.8000     0.196043     0.850454     0.166726
      79.9000     0.206136     0.873248     0.180008
      80.0000     0.215954     0.887715     0.191705
      80.1000     0.226915     0.894427     0.202958
      80.2000     0.238520     0.774072     0.184631
      80.3000     0.250250     0.899788     0.225172
      80.4000     0.261501     0.906660     0.237093
      80.5000     0.274212     0.865573     0.237350
      80.6000     0.288137     0.831055     0.239458
      80.7000     0.301339     0.895864     0.269959
      80.8000     0.313978     0.735616     0.230968
      80.9000     0.328099     0.875273     0.287176
      81.0000     0.342565     0.841385     0.288229
      81.1000     0.355733     0.745023     0.265029
      81.2000     0.367574  0.000793629  0.000291717
      81.3000     0.379387     0.597736     0.226773
      81.4000     0.391997   0.00159496  0.000625217
      81.5000     0.404507     0.612522     0.247769
      81.6000     0.416425     0.445480     0.185509
      81.7000     0.428325     0.169309    0.0725195
      81.8000     0.439513     0.113420    0.0498498
      81.9000     0.451583   0.00127258  0.000574675
      82.0000     0.463546      0.00000      0.00000
      82.1000     0.476679      0.00000      0.00000
      82.2000     0.488847    0.0179945   0.00879655
      82.3000     0.500524     0.192853    0.0965273
      82.4000     0.513220     0.358410     0.183943
      82.5000     0.526410     0.501236     0.263856
      82.6000     0.538475     0.635744     0.342332
      82.7000     0.548246     0.682367     0.374105
      82.8000     0.558152     0.670983     0.374510
      82.9000     0.567535     0.501871     0.284829
      83.0000     0.577535    0.0720915    0.0416354
      83.1000     0.587538     0.273742     0.160834
      83.2000     0.595899   0.00430801   0.00256714
      83.3000     0.601087      0.00000      0.00000
      83.4000     0.605624    0.0600114    0.0363444
      83.5000     0.608824     0.416301     0.253454
      83.6000     0.612690     0.412744     0.252884
      83.7000     0.617069     0.764809     0.471940
      83.8000     0.621673     0.838595     0.521332
      83.9000     0.625368     0.872620     0.545708
      84.0000     0.628028     0.901424     0.566120
      84.1000     0.630841     0.917156     0.578580
      84.2000     0.634105     0.925628     0.586946
      84.3000     0.637166     0.925537     0.589720
      84.4000     0.639943     0.915688     0.585988
      84.5000     0.643749     0.877283     0.564750
      84.6000     0.648472     0.762408     0.494400
      84.7000     0.652858     0.212948     0.139025
      84.8000     0.658102   0.00294938   0.00194099
      84.9000     0.662638     0.652498     0.432370
      85.0000     0.665878     0.868402     0.578250
      85.1000     0.667569     0.922846     0.616063
      85.2000     0.668291     0.951646     0.635976
      85.3000     0.669938     0.956977     0.641116
      85.4000     0.672389     0.807350     0.542853
      85.5000     0.673772     0.947133     0.638152
      85.6000     0.673496     0.950773     0.640341
      85.7000     0.671424     0.769377     0.516578
      85.8000     0.671061     0.392847     0.263625
      85.9000     0.672026     0.939533     0.631391
      86.0000     0.671733     0.964295     0.647748
      86.1000     0.670264     0.935629     0.627119
      86.2000     0.667134     0.991007     0.661135
      86.3000     0.665361     0.993780     0.661222
      86.4000     0.665658     0.757912     0.504510
      86.5000     0.665862     0.997410     0.664138
      86.6000     0.666147     0.999681     0.665934
      86.7000     0.667415     0.995475     0.664395
      86.8000     0.669169     0.995270     0.666003
      86.9000     0.670623     0.999906     0.670560
      87.0000     0.671086     0.986701     0.662162
      87.1000     0.672571      1.00000     0.672571
      87.2000     0.675375     0.999152     0.674803
      87.3000     0.676830     0.995138     0.673540
      87.4000     0.675970     0.388837     0.262842
      87.5000     0.674030     0.992403     0.668909
      87.6000     0.673754     0.963675     0.649280
      87.7000     0.674340     0.995341     0.671198
      87.8000     0.675980     0.994345     0.672157
      87.9000     0.677304     0.992661     0.672333
      88.0000     0.666095     0.954251     0.635622
      88.1000     0.658720     0.965607     0.636065
      88.2000     0.663419     0.984916     0.653412
      88.3000     0.664710     0.981841     0.652640
      88.4000     0.664256     0.977505     0.649314
      88.5000     0.662691     0.972666     0.644577
      88.6000     0.661185     0.965755     0.638543
      88.7000     0.660040     0.957744     0.632150
      88.8000     0.658255     0.948366     0.624267
      88.9000     0.657588     0.936305     0.615703
      89.0000     0.658397     0.916269     0.603269
      89.1000     0.660369     0.889966     0.587706
      89.2000     0.661451     0.869660     0.575237
      89.3000     0.661646     0.824951     0.545826
      89.4000     0.661839     0.766066     0.507012
      89.5000     0.662082     0.678149     0.448990
      89.6000     0.663694     0.536207     0.355877
      89.7000     0.666802     0.318564     0.212419
      89.8000     0.669109    0.0672669    0.0450088
      89.9000     0.669531      0.00000      0.00000
      90.0000     0.668945      0.00000      0.00000
      90.1000     0.668242  0.000349470  0.000233530
      90.2000     0.668930     0.114054    0.0762943
      90.3000     0.669782     0.362667     0.242907
      90.4000     0.669486     0.547683     0.366666
      90.5000     0.668608     0.627709     0.419692
      90.6000     0.668358     0.771741     0.515800
      90.7000     0.667893     0.824459     0.550650
      90.8000     0.666537     0.850731     0.567044
      90.9000     0.663946     0.780378     0.518129
      91.0000     0.661504     0.871495     0.576497
      91.1000     0.658564     0.921538     0.606892
      91.2000     0.655483     0.934327     0.612435
      91.3000     0.653989     0.944306     0.617565
      91.4000     0.652925     0.945782     0.617525
      91.5000     0.652064     0.951862     0.620675
      91.6000     0.650044     0.957111     0.622164
      91.7000     0.648648     0.957813     0.621284
      91.8000     0.648822     0.944497     0.612811
      91.9000     0.647350     0.878907     0.568960
      92.0000     0.644282     0.955525     0.615628
      92.1000     0.641850     0.951825     0.610929
      92.2000     0.641016     0.939506     0.602238
      92.3000     0.641690     0.927987     0.595480
      92.4000     0.642458     0.867510     0.557339
      92.5000     0.641393     0.865481     0.555113
      92.6000     0.637802     0.780121     0.497563
      92.7000     0.634347     0.444120     0.281726
      92.8000     0.630910      0.00000      0.00000
      92.9000     0.627946     0.276210     0.173445
      93.0000     0.624154     0.726253     0.453293
      93.1000     0.618972     0.832989     0.515597
      93.2000     0.613315     0.838099     0.514019
      93.3000     0.609736     0.638669     0.389420
      93.4000     0.607115    0.0130724   0.00793647
      93.5000     0.603451     0.750158     0.452684
      93.6000     0.597712     0.842614     0.503640
      93.7000     0.590857     0.572047     0.337998
      93.8000     0.585090     0.841953     0.492618
      93.9000     0.581326     0.792198     0.460526
      94.0000     0.578202     0.621598     0.359409
      94.1000     0.574134     0.474737     0.272563
      94.2000     0.568124      0.00000      0.00000
      94.3000     0.561580     0.334661     0.187939
      94.4000     0.557097     0.414359     0.230838
      94.5000     0.554637     0.161759    0.0897175
      94.6000     0.553380      0.00000      0.00000
      94.7000     0.550085      0.00000      0.00000
      94.8000     0.543997    0.0320022    0.0174091
      94.9000     0.537397     0.303512     0.163106
      95.0000     0.531809     0.474375     0.252277
      95.1000     0.527707     0.342515     0.180748
      95.2000     0.524171     0.428639     0.224680
      95.3000     0.517883     0.321830     0.166670
      95.4000     0.510126     0.116840    0.0596032
      95.5000     0.504349   0.00144319  0.000727872
      95.6000     0.499913      0.00000      0.00000
      95.7000     0.495444      0.00000      0.00000
      95.8000     0.490057   0.00948923   0.00465026
      95.9000     0.482452      0.00000      0.00000
      96.0000     0.473481     0.249579     0.118171
