# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth
# 
# Bandpass Name(s): Ks(1)
# 
# Instrument: HAWK-I/
# 
# Determined by: ?
# 
# Date of determination: ?
# 
# Meaning of/Reason for default column: Only available
# 
# Notes:
# 
# ESO/HAWK-I Ks1-band filter curve (T=90K) restricted to 1.8-2.5 microns.
# Does not appear to include detector QE nor atmospheric absorption,
# so use at your own risk!
|  lambda |         pass |
| 18011.3 |  -0.00435187 |
| 18031.2 |  0.000719148 |
| 18051.0 |  0.000427268 |
| 18070.9 |  -0.00163147 |
| 18090.8 | -0.000893372 |
| 18110.7 |  -0.00191421 |
| 18130.6 |   -0.0010615 |
| 18150.4 |  -0.00248995 |
| 18170.3 |  -0.00505922 |
| 18190.2 |  -0.00225707 |
| 18210.1 |  -0.00368454 |
| 18230.0 |  -0.00532934 |
| 18249.8 |  -0.00345603 |
| 18269.7 |  -0.00311514 |
| 18289.6 |   0.00203871 |
| 18309.5 |  -0.00656476 |
| 18329.4 |  -0.00519403 |
| 18349.2 |  -0.00308714 |
| 18369.1 |  -0.00367645 |
| 18389.0 |  -0.00108334 |
| 18408.9 |  -0.00192048 |
| 18428.8 |  -0.00246887 |
| 18448.6 | -0.000656456 |
| 18468.5 |  -0.00296005 |
| 18488.4 |  -0.00437958 |
| 18508.3 |  -0.00092614 |
| 18528.2 |  -0.00453736 |
| 18548.0 |  -0.00040251 |
| 18567.9 |  -0.00509907 |
| 18587.8 |   0.00157213 |
| 18607.7 |   0.00193703 |
| 18627.6 |  -0.00475695 |
| 18647.4 |    -0.001676 |
| 18667.3 |  0.000106955 |
| 18687.2 |  0.000152225 |
| 18707.1 |  -0.00114311 |
| 18727.0 | -0.000460519 |
| 18746.8 |   -0.0030766 |
| 18766.7 |  -0.00437113 |
| 18786.6 |    -7.01e-05 |
| 18806.5 |  -0.00350798 |
| 18826.4 |   0.00900035 |
| 18846.2 |   0.00265412 |
| 18866.1 |  0.000940809 |
| 18886.0 |  -0.00246655 |
| 18905.9 |   0.00663151 |
| 18925.8 |   0.00819167 |
| 18945.6 |    0.0137976 |
| 18965.5 |   0.00959257 |
| 18985.4 |    0.0155695 |
| 19005.3 |    0.0225857 |
| 19025.2 |    0.0270114 |
| 19045.0 |    0.0371689 |
| 19064.9 |    0.0523343 |
| 19084.8 |    0.0654975 |
| 19104.7 |    0.0923104 |
| 19124.6 |     0.109788 |
| 19144.4 |     0.149835 |
| 19164.3 |     0.190114 |
| 19184.2 |     0.238006 |
| 19204.1 |     0.291509 |
| 19224.0 |       0.3499 |
| 19243.8 |     0.409219 |
| 19263.7 |     0.471947 |
| 19283.6 |     0.536276 |
| 19303.5 |     0.597074 |
| 19323.4 |     0.665005 |
| 19343.2 |      0.73998 |
| 19363.1 |     0.818478 |
| 19383.0 |      0.91234 |
| 19402.9 |      1.00839 |
| 19422.8 |      1.13607 |
| 19442.6 |      1.28724 |
| 19462.5 |      1.48028 |
| 19482.4 |      1.69891 |
| 19502.3 |       1.9718 |
| 19522.2 |      2.31701 |
| 19542.0 |       2.7843 |
| 19561.9 |      3.35106 |
| 19581.8 |      4.05346 |
| 19601.7 |      4.97245 |
| 19621.6 |      6.13807 |
| 19641.4 |      7.62993 |
| 19661.3 |        9.562 |
| 19681.2 |       11.992 |
| 19701.1 |      15.1441 |
| 19721.0 |      18.8898 |
| 19740.8 |      23.3436 |
| 19760.7 |      28.3781 |
| 19780.6 |      33.5879 |
