# Copied from sedpy
|     lambda |           pass |
| 10000000.0 |  1.1001752e-07 |
|  9900990.0 |   1.427121e-07 |
|  9803922.0 |  1.6619244e-07 |
|  9718173.0 |  1.8145401e-07 |
|  9624639.0 |  1.9766254e-07 |
|  9532888.0 |  2.0536888e-07 |
|  9442871.0 |  2.5885782e-07 |
|  9363296.0 |  2.9825432e-07 |
|  9276438.0 |   3.496029e-07 |
|  9191176.0 |  0.00014045925 |
|  9107468.0 |  0.00013956947 |
|  9025271.0 |  0.00014893578 |
|  8952552.0 |  0.00015798956 |
|  8873114.0 |  0.00019513797 |
|  8795075.0 |  0.00019969224 |
|  8718396.0 |  0.00021650024 |
|  8643042.0 |  0.00023283206 |
|  8576329.0 |  0.00027409501 |
|  8503401.0 |   0.0003099796 |
|  8431703.0 |   0.0003577916 |
|  8361204.0 |  0.00039516707 |
|  8298755.0 |  0.00040155972 |
|  8230452.5 |  0.00044505388 |
|  8163265.5 |    0.000453496 |
|  8097166.0 |  0.00049854646 |
|  8032128.5 |  0.00053605344 |
|  7974481.5 |  0.00059294293 |
|  7911392.5 |   0.0006062787 |
|  7849293.5 |   0.0006735202 |
|  7788162.0 |   0.0007105021 |
|  7727975.5 |  0.00084297796 |
|  7674597.0 |     0.00095014 |
|  7616146.0 |   0.0009965488 |
|  7558579.0 |   0.0010942296 |
|  7501875.5 |   0.0013067372 |
|  7451565.0 |   0.0014259832 |
|  7396449.5 |   0.0015210026 |
|  7342144.0 |   0.0017042204 |
|  7288629.5 |   0.0018919099 |
|  7235890.0 |   0.0019694187 |
|  7189072.5 |    0.002287129 |
|  7137758.5 |    0.002481457 |
|  7087172.0 |   0.0029005173 |
|  7037297.5 |   0.0031045228 |
|  6988120.0 |    0.003467429 |
|  6944444.5 |   0.0039611417 |
|  6896551.5 |   0.0046952516 |
|  6849315.0 |    0.005464998 |
|  6802721.0 |   0.0061937524 |
|  6761325.0 |   0.0070646615 |
|  6715916.5 |     0.00791725 |
|  6671114.0 |    0.008559484 |
|  6626905.0 |    0.010090503 |
|  6583278.5 |    0.011744495 |
|  6544502.5 |    0.012962973 |
|  6501950.5 |    0.015589732 |
|  6459948.5 |     0.01928171 |
|  6418485.0 |    0.023727369 |
|  6377551.0 |    0.028784612 |
|  6341154.0 |    0.035493746 |
|  6301197.0 |     0.04452188 |
|  6261741.0 |    0.057897642 |
|  6222775.5 |     0.07490269 |
|  6188119.0 |     0.10380729 |
|  6150061.5 |      0.1570897 |
|  6112469.5 |      0.2855913 |
|  6075334.0 |     0.66375893 |
|  6038647.5 |     0.67202026 |
|  6006006.0 |     0.66740525 |
|  5970149.5 |      0.6689186 |
|  5934718.0 |      0.6931115 |
|  5899705.0 |      0.6716155 |
|  5865102.5 |     0.64812416 |
|  5834305.5 |      0.6582322 |
|  5800464.0 |      0.6530232 |
|  5767012.5 |     0.67513776 |
|  5733945.0 |     0.69622666 |
|  5704506.5 |      0.7057882 |
|  5672149.5 |      0.7009354 |
|  5640158.0 |       0.696485 |
|  5608525.0 |     0.65336496 |
|  5577245.0 |      0.6374431 |
|  5549389.5 |     0.66058296 |
|  5518764.0 |      0.6508815 |
|  5488474.0 |     0.66352046 |
|  5458515.5 |     0.69224244 |
|  5431830.5 |      0.6977326 |
|  5402485.0 |      0.7175409 |
|  5373455.0 |       0.714289 |
|  5344735.5 |     0.71109325 |
|  5316321.0 |     0.72516763 |
|  5291005.5 |      0.6935126 |
|  5263158.0 |      0.6779094 |
|  5235602.0 |     0.67890316 |
|  5208333.5 |      0.7064274 |
|  5181347.0 |     0.70805323 |
|  5157297.5 |     0.70324016 |
|  5130836.5 |      0.7263601 |
|  5104645.0 |     0.71813655 |
|  5078720.0 |      0.7106289 |
|  5055611.5 |       0.731696 |
