# Copied from sedpy
|     lambda |           pass |
| 10000000.0 |  5.5384615e-05 |
|  9900990.0 |  5.9569145e-05 |
|  9803922.0 |   6.022409e-05 |
|  9718173.0 |  6.3648695e-05 |
|  9624639.0 |   6.361781e-05 |
|  9532888.0 |   6.253994e-05 |
|  9442871.0 |  6.8071684e-05 |
|  9363296.0 |   7.295139e-05 |
|  9276438.0 |  7.5128955e-05 |
|  9191176.0 |    7.29234e-05 |
|  9107468.0 |   7.210913e-05 |
|  9025271.0 |   5.702781e-06 |
|  8952552.0 |  5.4059637e-06 |
|  8873114.0 |  5.6553918e-06 |
|  8795075.0 |   5.455846e-06 |
|  8718396.0 |  5.2166665e-06 |
|  8643042.0 |  5.0671024e-06 |
|  8576329.0 |  5.5180667e-06 |
|  8503401.0 |  5.7935263e-06 |
|  8431703.0 |   5.957786e-06 |
|  8361204.0 |   5.797714e-06 |
|  8298755.0 |   5.521864e-06 |
|  8230452.5 |   5.268394e-06 |
|  8163265.5 |   4.790312e-06 |
|  8097166.0 |   4.309294e-06 |
|  8032128.5 |  4.0760847e-06 |
|  7974481.5 |   3.848783e-06 |
|  7911392.5 |   3.494488e-06 |
|  7849293.5 |  3.4247935e-06 |
|  7788162.0 |  3.2320872e-06 |
|  7727975.5 |  3.2334358e-06 |
|  7674597.0 |  3.0951396e-06 |
|  7616146.0 |  2.8832553e-06 |
|  7558579.0 |  2.6978314e-06 |
|  7501875.5 |  2.6953167e-06 |
|  7451565.0 |   2.742749e-06 |
|  7396449.5 |  2.8155278e-06 |
|  7342144.0 |   3.110326e-06 |
|  7288629.5 |   3.400426e-06 |
|  7235890.0 |  3.4783957e-06 |
|  7189072.5 |  3.3966394e-06 |
|  7137758.5 |  3.1798322e-06 |
|  7087172.0 |   2.953248e-06 |
|  7037297.5 |    2.62468e-06 |
|  6988120.0 |  2.6055704e-06 |
|  6944444.5 |  2.8411173e-06 |
|  6896551.5 |  3.2231906e-06 |
|  6849315.0 |  3.6655126e-06 |
|  6802721.0 |  4.0928458e-06 |
|  6761325.0 |   4.242546e-06 |
|  6715916.5 |  4.2251236e-06 |
|  6671114.0 |  3.9440215e-06 |
|  6626905.0 |   3.695774e-06 |
|  6583278.5 |  3.2543821e-06 |
|  6544502.5 |   2.973074e-06 |
|  6501950.5 |  3.0852113e-06 |
|  6459948.5 |  3.2580147e-06 |
|  6418485.0 |  3.5724865e-06 |
|  6377551.0 |   3.914134e-06 |
|  6341154.0 |  4.1356866e-06 |
|  6301197.0 |  4.2619636e-06 |
|  6261741.0 |    4.39354e-06 |
|  6222775.5 |  4.2875604e-06 |
|  6188119.0 |  4.1378794e-06 |
|  6150061.5 |   4.021194e-06 |
|  6112469.5 |   3.946237e-06 |
|  6075334.0 |   3.938953e-06 |
|  6038647.5 |  3.9284387e-06 |
|  6006006.0 |   3.864304e-06 |
|  5970149.5 |   3.903559e-06 |
|  5934718.0 |  3.8445232e-06 |
|  5899705.0 |   3.604655e-06 |
|  5865102.5 |  3.4030486e-06 |
|  5834305.5 |  3.3723568e-06 |
|  5800464.0 |  3.2922414e-06 |
|  5767012.5 |  3.4316895e-06 |
|  5733945.0 |  3.6924084e-06 |
|  5704506.5 |  3.8959897e-06 |
|  5672149.5 |  4.0640016e-06 |
|  5640158.0 |  4.1402477e-06 |
|  5608525.0 |   3.898233e-06 |
|  5577245.0 |  3.7539148e-06 |
|  5549389.5 |  3.7412642e-06 |
|  5518764.0 |  3.5326152e-06 |
|  5488474.0 |   3.416726e-06 |
|  5458515.5 |  3.2961034e-06 |
|  5431830.5 |  2.9379637e-06 |
|  5402485.0 |  2.6249547e-06 |
|  5373455.0 |  2.4325218e-06 |
|  5344735.5 |  2.2582976e-06 |
|  5316321.0 |  2.1855337e-06 |
|  5291005.5 |  2.1300657e-06 |
|  5263158.0 |  2.0789473e-06 |
|  5235602.0 |  1.9199124e-06 |
|  5208333.5 |  1.7433608e-06 |
|  5181347.0 |  1.5780334e-06 |
|  5157297.5 |  1.4270412e-06 |
|  5130836.5 |  1.3342994e-06 |
|  5104645.0 |  1.3706814e-06 |
|  5078720.0 |   1.424274e-06 |
|  5055611.5 |  1.5936288e-06 |
|  5030181.0 |  1.8642072e-06 |
|  5005005.0 |  2.1692022e-06 |
|  4980079.5 |  2.5931986e-06 |
|  4955401.5 |  3.1257148e-06 |
|  4933399.0 |  3.6024655e-06 |
|  4909180.0 |    4.00287e-06 |
|  4885198.0 |  4.2946795e-06 |
|  4861448.5 |  4.4500953e-06 |
|  4837929.5 |   4.622615e-06 |
|  4816955.5 |   4.756082e-06 |
|  4793864.0 |  5.2363744e-06 |
|  4770992.5 |   5.657034e-06 |
|  4748338.0 |  6.3998204e-06 |
|  4728132.5 |   7.229886e-06 |
|  4705882.5 |    8.07757e-06 |
|  4683840.5 |   8.834959e-06 |
|  4662004.5 |  9.5571095e-06 |
|  4640371.0 |   9.910507e-06 |
|  4621072.0 |  1.0331397e-05 |
|  4599816.0 |  1.0609905e-05 |
|  4578754.5 |   1.104939e-05 |
|  4557885.0 |  1.2050848e-05 |
|  4537205.0 |  1.3013302e-05 |
|  4518753.0 |  1.4062756e-05 |
|  4498425.5 |  1.5131517e-05 |
|  4478280.5 |   1.658194e-05 |
|  4458315.0 |  1.7294342e-05 |
|  4440497.5 |    1.81914e-05 |
|  4420866.5 |  1.8907705e-05 |
|  4401408.5 |  1.9080831e-05 |
|  4382121.0 |  1.9288555e-05 |
|  4363001.5 |  1.9731795e-05 |
|  4345936.5 |  2.0609768e-05 |
|  4327131.0 |  2.0829668e-05 |
|  4308487.5 |  2.1227588e-05 |
|  4290004.5 |  2.1351021e-05 |
|  4271679.0 |  2.1579019e-05 |
|  4255319.0 |  2.1690437e-05 |
|  4237288.0 |  2.1840659e-05 |
|  4219409.5 |  2.1822692e-05 |
|  4201680.5 |  2.1844122e-05 |
|  4185851.8 |  2.2065418e-05 |
|  4168403.5 |   2.237883e-05 |
|  4151100.0 |   2.213996e-05 |
|  4133939.5 |  2.1950766e-05 |
|  4116920.5 |  2.1184043e-05 |
|  4101722.8 |  1.9424588e-05 |
|  4084967.2 |  1.7556382e-05 |
|  4068348.2 |   1.568773e-05 |
|  4051864.0 |  1.4159261e-05 |
|  4037141.8 |  1.3149547e-05 |
|  4020908.8 |  1.2935396e-05 |
|  4004805.8 |  1.2868189e-05 |
|  3988831.2 |  1.2886993e-05 |
|  3972983.8 |  1.2493069e-05 |
|  3958828.2 |  1.2124455e-05 |
|  3943217.8 |  1.1526329e-05 |
|  3927729.8 |  1.0835786e-05 |
|  3912363.0 |   9.780908e-06 |
|  3897116.0 |   8.616481e-06 |
|  3883495.0 |  7.7264485e-06 |
|  3868472.0 |  7.5966586e-06 |
|  3853564.5 |   8.037435e-06 |
|  3838771.5 |   8.803864e-06 |
|  3825554.8 |  1.0171351e-05 |
|  3810975.5 |  1.1600442e-05 |
|  3796507.2 |  1.2515958e-05 |
|  3782148.2 |  1.3006849e-05 |
|  3767897.5 |  1.3877042e-05 |
|  3755163.2 |  1.5682965e-05 |
|  3741115.0 |   1.758735e-05 |
|  3727171.0 |  1.9608606e-05 |
|  3713331.0 |  2.1484271e-05 |
|  3699593.0 |  2.3173276e-05 |
|  3687315.5 |  2.3521832e-05 |
|  3673769.2 |   2.383913e-05 |
|  3660322.0 |  2.3892651e-05 |
|  3646973.0 |  2.4426705e-05 |
|  3635041.8 |  2.4906029e-05 |
|  3621876.0 |  2.7243674e-05 |
|  3608805.5 |  2.9723074e-05 |
|  3595828.8 |  3.3468867e-05 |
|  3582945.2 |  3.8447757e-05 |
|  3571428.5 |   4.266091e-05 |
|  3558719.0 |   4.467952e-05 |
|  3546099.2 |   4.646949e-05 |
|  3533569.0 |   4.702365e-05 |
|  3521126.8 |  4.8134963e-05 |
|  3510003.5 |  5.0335766e-05 |
|  3497726.5 |  5.5387074e-05 |
|  3485535.0 |   6.197358e-05 |
|  3473428.2 |  6.8915106e-05 |
|  3462604.0 |   7.612021e-05 |
|  3450655.5 |    8.26451e-05 |
|  3438789.5 |  8.7103406e-05 |
|  3427004.8 |   9.064616e-05 |
|  3415300.5 |  9.5140516e-05 |
|  3404835.0 |   0.0001015651 |
|  3393281.2 |  0.00010854771 |
|  3381806.0 |  0.00011823314 |
|  3370407.8 |  0.00012970513 |
|  3359086.2 |  0.00014043564 |
|  3348961.8 |   0.0001508873 |
|  3337783.8 |  0.00015993853 |
|  3326680.0 |  0.00016892955 |
|  3315650.0 |   0.0001808851 |
