# "== FILTER DATA - LAMBDA 9 SPECTROPHOTOMETER =="
# "   KITT PEAK NATIONAL OBSERVATORY - NOAO"
#  ------------------------------------------------
# "FILTER: B SET a                       "
# "DATE: ""10/ 7/92"   "TIME: ""11:10:29"
# " CWL= "  4339.76A  "FWHM= " 1041.08A  "TMAX= "63.53 %
# "TCUTOFF= " 2.00 %  "SLITSIZE= "10 A
# 
# 
# 
# "NPTS= " 261     "DISP= "10.00A/INTERVAL
   3400.00     -.005
   3410.00     -.005
   3420.00     -.005
   3430.00     -.005
   3440.00     -.010
   3450.00     -.005
   3460.00      .000
   3470.00      .000
   3480.00      .005
   3490.00      .025
   3500.00      .060
   3510.00      .120
   3520.00      .205
   3530.00      .355
   3540.00      .565
   3550.00      .870
   3560.00     1.275
   3570.00     1.795
   3580.00     2.435
   3590.00     3.205
   3600.00     4.115
   3610.00     5.155
   3620.00     6.300
   3630.00     7.545
   3640.00     8.900
   3650.00    10.340
   3660.00    11.850
   3670.00    13.415
   3680.00    14.995
   3690.00    16.630
   3700.00    18.245
   3710.00    19.885
   3720.00    21.515
   3730.00    23.090
   3740.00    24.680
   3750.00    26.240
   3760.00    27.725
   3770.00    29.195
   3780.00    30.630
   3790.00    32.100
   3800.00    33.440
   3810.00    34.740
   3820.00    36.040
   3830.00    37.250
   3840.00    38.440
   3850.00    39.605
   3860.00    40.705
   3870.00    41.780
   3880.00    42.810
   3890.00    43.810
   3900.00    44.780
   3910.00    45.685
   3920.00    46.585
   3930.00    47.420
   3940.00    48.215
   3950.00    49.005
   3960.00    49.730
   3970.00    50.445
   3980.00    51.130
   3990.00    51.790
   4000.00    52.405
   4010.00    52.975
   4020.00    53.565
   4030.00    54.090
   4040.00    54.655
   4050.00    55.140
   4060.00    55.675
   4070.00    56.145
   4080.00    56.615
   4090.00    57.090
   4100.00    57.525
   4110.00    57.935
   4120.00    58.325
   4130.00    58.690
   4140.00    59.085
   4150.00    59.450
   4160.00    59.795
   4170.00    60.140
   4180.00    60.500
   4190.00    60.830
   4200.00    61.155
   4210.00    61.435
   4220.00    61.695
   4230.00    61.955
   4240.00    62.120
   4250.00    62.280
   4260.00    62.505
   4270.00    62.615
   4280.00    62.765
   4290.00    62.920
   4300.00    63.035
   4310.00    63.165
   4320.00    63.220
   4330.00    63.320
   4340.00    63.355
   4350.00    63.405
   4360.00    63.445
   4370.00    63.455
   4380.00    63.485
   4390.00    63.525
   4400.00    63.535
   4410.00    63.485
   4420.00    63.445
   4430.00    63.395
   4440.00    63.325
   4450.00    63.145
   4460.00    62.955
   4470.00    62.765
   4480.00    62.525
   4490.00    62.220
   4500.00    61.940
   4510.00    61.645
   4520.00    61.390
   4530.00    61.100
   4540.00    60.785
   4550.00    60.470
   4560.00    60.110
   4570.00    59.675
   4580.00    59.240
   4590.00    58.730
   4600.00    58.200
   4610.00    57.625
   4620.00    56.955
   4630.00    56.255
   4640.00    55.445
   4650.00    54.630
   4660.00    53.655
   4670.00    52.660
   4680.00    51.565
   4690.00    50.415
   4700.00    49.185
   4710.00    47.935
   4720.00    46.680
   4730.00    45.360
   4740.00    44.060
   4750.00    42.720
   4760.00    41.355
   4770.00    39.995
   4780.00    38.630
   4790.00    37.285
   4800.00    35.875
   4810.00    34.430
   4820.00    33.015
   4830.00    31.600
   4840.00    30.190
   4850.00    28.840
   4860.00    27.485
   4870.00    26.190
   4880.00    24.930
   4890.00    23.725
   4900.00    22.565
   4910.00    21.470
   4920.00    20.430
   4930.00    19.450
   4940.00    18.525
   4950.00    17.675
   4960.00    16.860
   4970.00    16.130
   4980.00    15.425
   4990.00    14.725
   5000.00    14.015
   5010.00    13.300
   5020.00    12.555
   5030.00    11.790
   5040.00    11.005
   5050.00    10.225
   5060.00     9.465
   5070.00     8.755
   5080.00     8.100
   5090.00     7.485
   5100.00     6.930
   5110.00     6.425
   5120.00     5.955
   5130.00     5.505
   5140.00     5.090
   5150.00     4.680
   5160.00     4.295
   5170.00     3.935
   5180.00     3.585
   5190.00     3.260
   5200.00     2.945
   5210.00     2.660
   5220.00     2.395
   5230.00     2.150
   5240.00     1.925
   5250.00     1.725
   5260.00     1.545
   5270.00     1.390
   5280.00     1.255
   5290.00     1.140
   5300.00     1.035
   5310.00      .945
   5320.00      .870
   5330.00      .805
   5340.00      .755
   5350.00      .710
   5360.00      .675
   5370.00      .645
   5380.00      .625
   5390.00      .605
   5400.00      .590
   5410.00      .590
   5420.00      .590
   5430.00      .590
   5440.00      .600
   5450.00      .620
   5460.00      .640
   5470.00      .665
   5480.00      .700
   5490.00      .740
   5500.00      .790
   5510.00      .845
   5520.00      .900
   5530.00      .960
   5540.00     1.015
   5550.00     1.070
   5560.00     1.120
   5570.00     1.160
   5580.00     1.190
   5590.00     1.200
   5600.00     1.205
   5610.00     1.195
   5620.00     1.175
   5630.00     1.150
   5640.00     1.105
   5650.00     1.060
   5660.00     1.000
   5670.00      .940
   5680.00      .865
   5690.00      .795
   5700.00      .720
   5710.00      .640
   5720.00      .570
   5730.00      .500
   5740.00      .430
   5750.00      .370
   5760.00      .315
   5770.00      .265
   5780.00      .220
   5790.00      .180
   5800.00      .145
   5810.00      .120
   5820.00      .095
   5830.00      .075
   5840.00      .065
   5850.00      .050
   5860.00      .035
   5870.00      .030
   5880.00      .025
   5890.00      .025
   5900.00      .020
   5910.00      .015
   5920.00      .015
   5930.00      .015
   5940.00      .015
   5950.00      .010
   5960.00      .015
   5970.00      .010
   5980.00      .010
   5990.00      .015
   6000.00      .025
