# "== FILTER DATA - LAMBDA 9 SPECTROPHOTOMETER =="
# "   KITT PEAK NATIONAL OBSERVATORY - NOAO"
#  ------------------------------------------------
# "FILTER: I SET a                       "
# "DATE: ""10/ 7/92"   "TIME: ""11:11:37"
# " CWL= "  8816.91A  "FWHM= " 3135.51A  "TMAX= "96.19 %
# "TCUTOFF= " 2.00 %  "SLITSIZE= "10 A
# 
# 
# 
# 
# "NPTS= " 531     "DISP= "10.00A/INTERVAL
   6700.00     -.005
   6710.00     -.005
   6720.00     -.005
   6730.00     -.005
   6740.00     -.005
   6750.00     -.005
   6760.00     -.010
   6770.00     -.005
   6780.00     -.005
   6790.00     -.005
   6800.00     -.010
   6810.00     -.005
   6820.00     -.005
   6830.00     -.005
   6840.00     -.005
   6850.00     -.005
   6860.00     -.005
   6870.00     -.005
   6880.00     -.005
   6890.00     -.005
   6900.00     -.005
   6910.00     -.005
   6920.00      .000
   6930.00      .000
   6940.00      .000
   6950.00      .010
   6960.00      .020
   6970.00      .045
   6980.00      .080
   6990.00      .150
   7000.00      .245
   7010.00      .390
   7020.00      .600
   7030.00      .890
   7040.00     1.285
   7050.00     1.795
   7060.00     2.445
   7070.00     3.255
   7080.00     4.230
   7090.00     5.390
   7100.00     6.770
   7110.00     8.310
   7120.00    10.045
   7130.00    11.965
   7140.00    14.075
   7150.00    16.315
   7160.00    18.745
   7170.00    21.295
   7180.00    23.900
   7190.00    26.680
   7200.00    29.540
   7210.00    32.420
   7220.00    35.300
   7230.00    38.230
   7240.00    41.195
   7250.00    44.010
   7260.00    46.810
   7270.00    49.550
   7280.00    52.295
   7290.00    54.960
   7300.00    57.475
   7310.00    60.025
   7320.00    62.305
   7330.00    64.635
   7340.00    66.705
   7350.00    68.770
   7360.00    70.720
   7370.00    72.545
   7380.00    74.250
   7390.00    75.990
   7400.00    77.355
   7410.00    78.865
   7420.00    80.210
   7430.00    81.505
   7440.00    82.700
   7450.00    83.710
   7460.00    84.800
   7470.00    85.705
   7480.00    86.655
   7490.00    87.385
   7500.00    87.985
   7510.00    88.810
   7520.00    89.505
   7530.00    90.125
   7540.00    90.490
   7550.00    90.905
   7560.00    91.390
   7570.00    92.080
   7580.00    92.275
   7590.00    92.705
   7600.00    92.980
   7610.00    93.245
   7620.00    93.615
   7630.00    93.735
   7640.00    93.925
   7650.00    94.265
   7660.00    94.445
   7670.00    94.485
   7680.00    94.865
   7690.00    94.865
   7700.00    95.085
   7710.00    95.130
   7720.00    95.375
   7730.00    95.480
   7740.00    95.490
   7750.00    95.550
   7760.00    95.525
   7770.00    95.795
   7780.00    95.840
   7790.00    95.835
   7800.00    95.840
   7810.00    95.880
   7820.00    95.900
   7830.00    95.845
