#  Table ccd.tab  Fri 15:08:38 04-Apr-97
#
#      WAVELENGTH      THROUGHPUT
#       angstroms                
#
            1150.    8.125043E-21
         1151.299    9.032134E-21
         1152.599    9.972720E-21
         1153.901    1.094665E-20
         1155.204    1.195412E-20
         1156.508    1.299535E-20
         1157.814    1.407023E-20
         1159.122    1.517909E-20
         1160.432    1.624063E-20
         1161.742    1.716169E-20
         1163.053    1.810529E-20
         1164.367    1.907229E-20
         1165.682    2.006235E-20
         1166.999    2.107609E-20
         1168.317    2.211247E-20
         1169.636    2.317221E-20
         1170.957    2.436450E-20
         1172.279    2.562271E-20
         1173.604    2.690753E-20
         1174.929    2.821704E-20
         1176.256    2.955217E-20
         1177.584    3.091286E-20
         1178.914    3.229932E-20
         1180.246    3.370396E-20
         1181.578    3.509778E-20
         1182.913    3.651215E-20
         1184.249    3.794728E-20
         1185.586    3.940308E-20
         1186.925    4.087962E-20
         1188.266    4.237712E-20
         1189.608    4.389562E-20
         1190.951    4.549806E-20
         1192.296    4.714096E-20
         1193.642    4.879714E-20
         1194.991    5.046723E-20
         1196.341    5.214991E-20
         1197.691    5.384491E-20
         1199.044    5.555426E-20
         1200.398    5.735054E-20
         1201.754    5.933859E-20
         1203.111    6.133955E-20
          1204.47    6.335455E-20
          1205.83    6.538341E-20
         1207.191    6.742526E-20
         1208.555    6.948327E-20
          1209.92    7.155437E-20
         1211.287    7.405828E-20
         1212.655    7.660606E-20
         1214.024    7.917214E-20
         1215.395    8.175638E-20
         1216.768    8.435926E-20
         1218.142    8.698037E-20
         1219.518    8.961978E-20
         1220.895    9.253286E-20
         1222.274    9.560449E-20
         1223.654    9.869372E-20
         1225.036    1.018044E-19
         1226.419    1.049358E-19
         1227.804    1.080875E-19
         1229.192    1.112613E-19
          1230.58    1.146853E-19
          1231.97    1.184516E-19
          1233.36    1.222366E-19
         1234.753    1.260431E-19
         1236.148    1.298697E-19
         1237.544    1.337186E-19
         1238.942    1.375857E-19
         1240.341    1.414485E-19
         1241.742    1.452503E-19
         1243.144    1.490649E-19
         1244.548    1.528982E-19
         1245.954    1.567443E-19
         1247.361    1.606052E-19
          1248.77    1.644811E-19
          1250.18    1.684426E-19
         1251.592    1.729018E-19
         1253.005    1.773728E-19
          1254.42    1.818556E-19
         1255.837    1.863503E-19
         1257.255    1.908572E-19
         1258.676    1.953780E-19
         1260.096    1.998947E-19
          1261.52    2.042611E-19
         1262.944    2.086346E-19
          1264.37    2.130151E-19
         1265.799    2.174049E-19
         1267.229    2.218000E-19
          1268.66    2.262020E-19
         1270.092    2.306454E-19
         1271.526    2.356308E-19
         1272.963    2.406229E-19
           1274.4    2.456170E-19
          1275.84    2.506155E-19
         1277.281    2.556177E-19
         1278.723    2.606244E-19
         1280.167    2.656385E-19
         1281.613    2.706804E-19
          1283.06    2.757242E-19
         1284.509    2.807699E-19
          1285.96    2.858167E-19
         1287.412    2.908654E-19
         1288.866    2.959160E-19
         1290.322    3.011128E-19
         1291.779    3.068207E-19
         1293.238    3.125292E-19
         1294.699    3.182410E-19
          1296.16    3.239471E-19
         1297.624    3.296561E-19
          1299.09    3.353655E-19
         1300.557    3.411028E-19
         1302.026    3.468877E-19
         1303.497    3.526694E-19
         1304.969    3.584505E-19
         1306.443    3.642315E-19
         1307.917    3.700064E-19
         1309.395    3.757921E-19
         1310.874    3.820051E-19
         1312.354    3.885177E-19
         1313.836    3.950310E-19
          1315.32    4.015439E-19
         1316.805    4.080563E-19
         1318.293    4.145693E-19
         1319.781    4.210818E-19
         1321.272    4.276302E-19
         1322.764    4.341852E-19
         1324.258    4.407402E-19
         1325.753    4.472963E-19
         1327.251    4.538522E-19
          1328.75    4.604085E-19
          1330.25    4.670884E-19
         1331.752    4.743854E-19
         1333.256    4.816831E-19
         1334.761    4.889772E-19
          1336.27    4.962797E-19
         1337.778    5.035757E-19
         1339.289    5.108787E-19
         1340.802    5.181314E-19
         1342.316    5.253415E-19
         1343.832    5.325525E-19
         1345.349    5.397602E-19
         1346.869    5.469757E-19
          1348.39    5.541876E-19
         1349.913    5.614005E-19
         1351.438    5.692924E-19
         1352.964    5.772259E-19
         1354.492    5.851597E-19
         1356.021    5.930939E-19
         1357.553    6.010282E-19
         1359.086    6.089630E-19
         1360.621    6.169679E-19
         1362.157    6.250751E-19
         1363.696    6.331825E-19
         1365.236    6.412900E-19
         1366.778    6.493984E-19
         1368.321    6.575067E-19
         1369.866    6.656152E-19
         1371.413    6.744119E-19
