# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): H
# 
# collected by: Guangtun Zhu
# 
# from http://www.ociw.edu/instrumentation/wirc/wirc.html
# 
# on July 11th 2008, NYU:
# 
# Note 1: I only include Q.E. between 14440.0 AA and 18100.0 AA
# 
# Note 2: I think this includes atmospheric extinction.
# 
# Note 3:
# 
|  lambda |          pass |
| 14440.0 | 9.9999997e-05 |
| 14450.0 | 0.00019999999 |
| 14460.0 | 0.00019999999 |
| 14470.0 | 0.00060000003 |
| 14480.0 |         0.001 |
| 14490.0 |  0.0012999999 |
| 14500.0 | 0.00069999998 |
| 14510.0 | 0.00050000002 |
| 14520.0 |        0.0015 |
| 14530.0 |  0.0017999999 |
| 14540.0 |  0.0024999999 |
| 14550.0 |  0.0020999999 |
| 14560.0 |  0.0027000001 |
| 14570.0 |  0.0027999999 |
| 14580.0 |         0.003 |
| 14590.0 |  0.0035000001 |
| 14600.0 |  0.0024999999 |
| 14610.0 |  0.0037999998 |
| 14620.0 |        0.0044 |
| 14630.0 |  0.0027999999 |
| 14640.0 |        0.0074 |
| 14650.0 |  0.0070000002 |
| 14660.0 |  0.0075999997 |
| 14670.0 |  0.0076999995 |
| 14680.0 |         0.015 |
| 14690.0 |        0.0188 |
| 14700.0 |        0.0135 |
| 14710.0 |   0.011299999 |
| 14720.0 |   0.019400001 |
| 14730.0 |        0.0273 |
| 14740.0 |   0.037700001 |
| 14750.0 |   0.057399996 |
| 14760.0 |   0.037500001 |
| 14770.0 |   0.037700001 |
| 14780.0 |   0.050900001 |
| 14790.0 |   0.062899999 |
| 14800.0 |   0.045199998 |
| 14810.0 |   0.074100003 |
| 14820.0 |   0.056799997 |
| 14830.0 |        0.1028 |
| 14840.0 |   0.098399997 |
| 14850.0 |        0.1032 |
| 14860.0 |        0.1168 |
| 14870.0 |   0.093599997 |
| 14880.0 |        0.1286 |
| 14890.0 |         0.178 |
| 14900.0 |        0.1865 |
| 14910.0 |    0.21600001 |
| 14920.0 |    0.21129999 |
| 14930.0 |        0.2332 |
| 14940.0 |    0.26390001 |
| 14950.0 |    0.25690001 |
| 14960.0 |        0.2586 |
| 14970.0 |        0.3028 |
| 14980.0 |        0.2879 |
