# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): J
# 
# collected by: Guangtun Zhu
# 
# from http://www.ociw.edu/instrumentation/wirc/wirc.html
# 
# on July 11th 2008, NYU:
# 
# Note 1: I only include Q.E. between 11080.0 AA and 13910.0 AA
# 
# Note 2: I think this includes atmospheric extinction.
# 
# Note 3:
# 
|  lambda |          pass |
| 11080.0 | 9.9999997e-05 |
| 11090.0 | 0.00030000001 |
| 11100.0 | 0.00069999998 |
| 11110.0 | 0.00089999993 |
| 11120.0 |        0.0016 |
| 11130.0 |        0.0016 |
| 11140.0 |  0.0024000001 |
| 11150.0 |         0.003 |
| 11160.0 |        0.0029 |
| 11170.0 |  0.0030999999 |
| 11180.0 |  0.0037999998 |
| 11190.0 |         0.003 |
| 11200.0 |  0.0035999997 |
| 11210.0 |  0.0043000001 |
| 11220.0 |  0.0031999999 |
| 11230.0 |  0.0040000002 |
| 11240.0 |        0.0041 |
| 11250.0 |  0.0059000002 |
| 11260.0 |  0.0049999999 |
| 11270.0 |  0.0099999998 |
| 11280.0 |  0.0087000001 |
| 11290.0 |        0.0139 |
| 11300.0 |   0.012499999 |
| 11310.0 |   0.030599998 |
| 11320.0 |   0.032200001 |
| 11330.0 |   0.030399999 |
| 11340.0 |   0.023600001 |
| 11350.0 |   0.014199999 |
| 11360.0 |   0.045799997 |
| 11370.0 |   0.089099996 |
| 11380.0 |   0.088200003 |
| 11390.0 |    0.11449999 |
| 11400.0 |    0.12630001 |
| 11410.0 |        0.1242 |
| 11420.0 |    0.14470001 |
| 11430.0 |         0.189 |
| 11440.0 |    0.12359999 |
| 11450.0 |    0.15530001 |
| 11460.0 |         0.221 |
| 11470.0 |        0.1208 |
| 11480.0 |        0.2599 |
| 11490.0 |    0.23139998 |
| 11500.0 |    0.18449998 |
| 11510.0 |        0.2218 |
| 11520.0 |    0.24299999 |
| 11530.0 |        0.2538 |
| 11540.0 |    0.22569999 |
| 11550.0 |    0.25130001 |
| 11560.0 |    0.26359999 |
| 11570.0 |        0.2906 |
| 11580.0 |    0.29499999 |
| 11590.0 |         0.308 |
| 11600.0 |    0.28670001 |
| 11610.0 |    0.31940001 |
| 11620.0 |    0.32260001 |
| 11630.0 |        0.3427 |
| 11640.0 |    0.33790001 |
| 11650.0 |    0.34240001 |
| 11660.0 |        0.3443 |
| 11670.0 |    0.34439999 |
| 11680.0 |    0.34599999 |
| 11690.0 |    0.34380001 |
| 11700.0 |        0.3495 |
| 11710.0 |        0.3493 |
| 11720.0 |    0.35389999 |
| 11730.0 |        0.3554 |
| 11740.0 |    0.32879999 |
| 11750.0 |        0.3581 |
| 11760.0 |    0.36509997 |
| 11770.0 |    0.36709997 |
| 11780.0 |        0.3396 |
| 11790.0 |    0.37380001 |
| 11800.0 |    0.36770001 |
| 11810.0 |    0.37630001 |
| 11820.0 |    0.33139998 |
| 11830.0 |    0.37920001 |
| 11840.0 |    0.36689997 |
| 11850.0 |    0.36189997 |
| 11860.0 |    0.38940001 |
| 11870.0 |    0.37940001 |
| 11880.0 |    0.34130001 |
| 11890.0 |        0.3721 |
| 11900.0 |    0.37689999 |
| 11910.0 |    0.36959997 |
| 11920.0 |    0.37380001 |
| 11930.0 |    0.36829996 |
| 11940.0 |    0.36950001 |
| 11950.0 |    0.36319998 |
| 11960.0 |    0.35869998 |
| 11970.0 |    0.36619997 |
| 11980.0 |    0.35979998 |
| 11990.0 |    0.34240001 |
| 12000.0 |    0.35909998 |
| 12010.0 |    0.35389999 |
| 12020.0 |    0.35409999 |
| 12030.0 |    0.36129996 |
| 12040.0 |    0.32589999 |
| 12050.0 |        0.3506 |
| 12060.0 |    0.36689997 |
| 12070.0 |    0.35849997 |
| 12080.0 |    0.36139998 |
| 12090.0 |    0.36149997 |
| 12100.0 |    0.36189997 |
| 12110.0 |    0.36669996 |
| 12120.0 |    0.36409998 |
| 12130.0 |        0.3829 |
| 12140.0 |    0.37729999 |
| 12150.0 |        0.3759 |
| 12160.0 |    0.38730001 |
| 12170.0 |    0.38909999 |
| 12180.0 |    0.39269999 |
| 12190.0 |    0.38800001 |
| 12200.0 |    0.39419997 |
| 12210.0 |    0.39799997 |
| 12220.0 |    0.39429998 |
| 12230.0 |    0.39589998 |
| 12240.0 |    0.39449996 |
| 12250.0 |    0.39959997 |
| 12260.0 |    0.40029997 |
| 12270.0 |    0.39339998 |
| 12280.0 |    0.39849997 |
| 12290.0 |    0.39699998 |
| 12300.0 |    0.39429998 |
| 12310.0 |    0.39439997 |
| 12320.0 |    0.39229998 |
| 12330.0 |    0.38819999 |
| 12340.0 |    0.38889998 |
| 12350.0 |    0.38730001 |
| 12360.0 |    0.38620001 |
| 12370.0 |        0.3854 |
| 12380.0 |        0.3856 |
| 12390.0 |    0.38609999 |
| 12400.0 |        0.3872 |
| 12410.0 |    0.38909999 |
| 12420.0 |    0.39129999 |
| 12430.0 |    0.39309996 |
| 12440.0 |    0.39349997 |
| 12450.0 |    0.39409998 |
| 12460.0 |    0.39359999 |
| 12470.0 |    0.39259997 |
| 12480.0 |    0.39099997 |
| 12490.0 |        0.3899 |
| 12500.0 |    0.38819999 |
| 12510.0 |        0.3863 |
| 12520.0 |        0.3865 |
| 12530.0 |    0.38429999 |
| 12540.0 |    0.38209999 |
| 12550.0 |    0.38429999 |
| 12560.0 |    0.38060001 |
| 12570.0 |    0.38069999 |
| 12580.0 |    0.38260001 |
| 12590.0 |    0.37720001 |
| 12600.0 |          0.38 |
| 12610.0 |    0.37180001 |
| 12620.0 |    0.36819997 |
| 12630.0 |    0.36700001 |
| 12640.0 |    0.36049998 |
| 12650.0 |    0.36889997 |
| 12660.0 |    0.36629996 |
| 12670.0 |          0.37 |
| 12680.0 |    0.36499998 |
| 12690.0 |    0.30829996 |
| 12700.0 |    0.37380001 |
| 12710.0 |    0.38060001 |
| 12720.0 |        0.3822 |
| 12730.0 |        0.3831 |
| 12740.0 |    0.38519999 |
| 12750.0 |        0.3881 |
| 12760.0 |    0.39179999 |
| 12770.0 |        0.3906 |
| 12780.0 |    0.39759997 |
| 12790.0 |    0.39749998 |
| 12800.0 |    0.39860001 |
| 12810.0 |    0.39959997 |
| 12820.0 |    0.40540001 |
| 12830.0 |    0.40439999 |
| 12840.0 |    0.40490001 |
| 12850.0 |    0.40400001 |
| 12860.0 |        0.4068 |
| 12870.0 |        0.4052 |
| 12880.0 |    0.40169996 |
| 12890.0 |    0.38909999 |
| 12900.0 |    0.39529997 |
| 12910.0 |    0.39639997 |
| 12920.0 |        0.3786 |
| 12930.0 |    0.38749999 |
| 12940.0 |        0.3813 |
| 12950.0 |         0.375 |
| 12960.0 |    0.36489996 |
| 12970.0 |        0.3545 |
| 12980.0 |        0.3556 |
| 12990.0 |    0.37259999 |
| 13000.0 |    0.34439999 |
| 13010.0 |    0.34819999 |
| 13020.0 |    0.36849996 |
| 13030.0 |    0.34419999 |
| 13040.0 |    0.31349999 |
| 13050.0 |    0.35729998 |
| 13060.0 |    0.36079997 |
| 13070.0 |    0.31560001 |
| 13080.0 |    0.32879999 |
| 13090.0 |    0.35639998 |
| 13100.0 |        0.2933 |
| 13110.0 |    0.34740001 |
| 13120.0 |    0.34819999 |
| 13130.0 |    0.33680001 |
| 13140.0 |    0.29980001 |
| 13150.0 |    0.31400001 |
| 13160.0 |    0.34549999 |
| 13170.0 |    0.32319999 |
| 13180.0 |    0.35639998 |
| 13190.0 |    0.31760001 |
| 13200.0 |    0.28839999 |
| 13210.0 |    0.32499999 |
| 13220.0 |    0.34369999 |
| 13230.0 |        0.3019 |
| 13240.0 |    0.33610001 |
| 13250.0 |    0.36219996 |
| 13260.0 |    0.34310001 |
| 13270.0 |        0.3152 |
| 13280.0 |        0.2987 |
| 13290.0 |         0.249 |
| 13300.0 |        0.2931 |
| 13310.0 |    0.22929999 |
| 13320.0 |    0.22139999 |
| 13330.0 |    0.27680001 |
| 13340.0 |        0.2402 |
| 13350.0 |    0.29969999 |
| 13360.0 |    0.25819999 |
| 13370.0 |    0.24509999 |
| 13380.0 |    0.24799998 |
| 13390.0 |    0.30309999 |
| 13400.0 |        0.2491 |
| 13410.0 |    0.27880001 |
| 13420.0 |        0.3116 |
| 13430.0 |    0.27649996 |
| 13440.0 |    0.19969998 |
| 13450.0 |    0.25229999 |
| 13460.0 |    0.21509999 |
| 13470.0 |        0.1772 |
| 13480.0 |   0.061099995 |
| 13490.0 |        0.1718 |
| 13500.0 |        0.1155 |
| 13510.0 |   0.066699997 |
| 13520.0 |        0.0592 |
| 13530.0 |        0.0274 |
| 13540.0 |   0.024799999 |
| 13550.0 |  0.0061999997 |
| 13560.0 |        0.0352 |
| 13570.0 |   0.020999998 |
| 13580.0 |  0.0041999999 |
| 13590.0 |        0.0022 |
| 13600.0 |        0.0034 |
| 13610.0 |  0.0012000001 |
| 13630.0 |  0.0041999999 |
| 13640.0 |  0.0040000002 |
| 13660.0 |  0.0065000001 |
| 13670.0 |        0.0015 |
| 13690.0 |  0.0018999999 |
| 13700.0 | 0.00069999998 |
| 13710.0 | 9.9999997e-05 |
| 13720.0 | 0.00060000003 |
| 13730.0 |  0.0020999999 |
| 13740.0 |  0.0031999999 |
| 13750.0 |  0.0012999999 |
| 13760.0 |  0.0020000001 |
| 13770.0 | 0.00060000003 |
| 13780.0 |        0.0017 |
| 13790.0 | 0.00030000001 |
| 13800.0 | 0.00039999999 |
| 13820.0 | 9.9999997e-05 |
| 13840.0 | 9.9999997e-05 |
| 13860.0 | 9.9999997e-05 |
| 13870.0 | 0.00019999999 |
| 13890.0 | 0.00019999999 |
| 13900.0 | 9.9999997e-05 |
| 13910.0 | 9.9999997e-05 |
