# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): Ks
# 
# collected by: Guangtun Zhu
# 
# from http://www.ociw.edu/instrumentation/wirc/wirc.html
# 
# on July 11th 2008, NYU:
# 
# Note 1: I only include Q.E. between 19040.0 AA and 24180.0 AA
# 
# Note 2: I think this includes atmospheric extinction.
# 
# Note 3:
# 
|  lambda |          pass |
| 19040.0 | 9.9999997e-05 |
| 19080.0 | 0.00030000001 |
| 19090.0 | 0.00019999999 |
| 19100.0 | 0.00019999999 |
| 19130.0 | 9.9999997e-05 |
| 19150.0 | 9.9999997e-05 |
| 19160.0 | 9.9999997e-05 |
| 19170.0 | 9.9999997e-05 |
| 19180.0 |         0.001 |
| 19190.0 | 0.00050000002 |
| 19220.0 | 0.00079999998 |
| 19230.0 |  0.0012000001 |
| 19240.0 | 9.9999997e-05 |
| 19250.0 |  0.0012000001 |
| 19260.0 |        0.0017 |
| 19270.0 | 0.00030000001 |
| 19280.0 | 0.00060000003 |
| 19290.0 | 0.00079999998 |
| 19300.0 | 0.00069999998 |
| 19310.0 | 0.00030000001 |
| 19320.0 | 0.00089999993 |
| 19330.0 | 0.00069999998 |
| 19340.0 | 0.00030000001 |
| 19350.0 |  0.0012000001 |
| 19360.0 | 0.00060000003 |
| 19370.0 | 0.00079999998 |
| 19380.0 | 0.00089999993 |
| 19390.0 | 0.00079999998 |
| 19400.0 |  0.0020000001 |
| 19410.0 |         0.003 |
| 19420.0 |  0.0070999996 |
| 19430.0 |        0.0126 |
| 19440.0 |        0.0082 |
| 19450.0 |  0.0091000004 |
| 19460.0 |   0.017100001 |
| 19470.0 |        0.0177 |
| 19480.0 |   0.017200001 |
| 19490.0 |        0.0185 |
| 19500.0 |   0.022899998 |
| 19510.0 |        0.0254 |
| 19520.0 |        0.0295 |
| 19530.0 |        0.0141 |
| 19540.0 |        0.0148 |
| 19550.0 |   0.014499999 |
| 19560.0 |        0.0107 |
| 19570.0 |  0.0093999999 |
| 19580.0 |  0.0094999997 |
| 19590.0 |        0.0074 |
| 19600.0 |        0.0126 |
| 19610.0 |        0.0122 |
| 19620.0 |        0.0122 |
| 19630.0 |         0.011 |
| 19640.0 |   0.011399999 |
| 19650.0 |        0.0176 |
| 19660.0 |   0.016899999 |
| 19670.0 |        0.0261 |
| 19680.0 |   0.026399998 |
| 19690.0 |   0.030299999 |
| 19700.0 |   0.041399997 |
| 19710.0 |   0.037599999 |
| 19720.0 |   0.035700001 |
| 19730.0 |        0.0526 |
| 19740.0 |   0.048500001 |
| 19750.0 |   0.060999997 |
| 19760.0 |   0.063900001 |
| 19770.0 |        0.0757 |
| 19780.0 |   0.081200004 |
| 19790.0 |   0.083199993 |
| 19800.0 |   0.059300002 |
| 19810.0 |   0.090699993 |
| 19820.0 |        0.1125 |
| 19830.0 |        0.1107 |
| 19840.0 |        0.1311 |
| 19850.0 |        0.1293 |
| 19860.0 |        0.1384 |
