# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth
# 
# Bandpass Name(s): g
# 
# Instrument: MMT/Megacam 
# 
# Determined by: 
# 
# Date of determination: ???
# 
# Meaning of/Reason for default column: Only column available
# 
# Notes:
# 
# See the documentation in the MMT_MEGACAM directory
# 
# These curves correspond to the total transmission, a product
# of the T(transmission)*QE(CCD Quantum efficience)*ref(Telescope
# throughput) plus atmosphere at 1.2 airmass.
# 
# J. Moustakas, UCSD 2010-01-13
| lambda |        pass |
| 3505.0 | 3.47394e-05 |
| 3510.0 | 4.59814e-06 |
| 3515.0 | 2.87067e-05 |
| 3520.0 | 7.79262e-06 |
| 3525.0 | 1.58219e-05 |
| 3530.0 | 2.86855e-05 |
| 3535.0 | 3.81149e-06 |
| 3540.0 | 1.45259e-05 |
| 3545.0 | 7.58162e-07 |
| 3550.0 | 1.13865e-05 |
| 3555.0 | 3.66046e-06 |
| 3560.0 | 5.90351e-06 |
| 3565.0 | 1.45735e-05 |
| 3570.0 | 1.70615e-05 |
| 3575.0 | 4.51123e-05 |
| 3580.0 | 2.49165e-05 |
| 3585.0 | 3.37015e-05 |
| 3590.0 | 1.97105e-05 |
| 3595.0 | 2.63941e-05 |
| 3600.0 | 4.66321e-06 |
| 3605.0 | 1.29989e-06 |
| 3610.0 | 9.72738e-07 |
| 3615.0 | 2.12592e-07 |
| 3620.0 | 7.41559e-06 |
| 3625.0 |  8.6546e-07 |
| 3630.0 | 3.05849e-06 |
| 3635.0 | 1.06829e-06 |
| 3640.0 | 3.20848e-07 |
| 3645.0 | 1.15439e-05 |
| 3650.0 | 4.69804e-06 |
| 3655.0 | 7.01261e-06 |
| 3660.0 | 1.37175e-05 |
| 3665.0 | 1.30531e-05 |
| 3670.0 | 4.62391e-06 |
| 3675.0 | 1.21887e-05 |
| 3680.0 | 5.13889e-06 |
| 3685.0 | 2.93448e-06 |
| 3690.0 | 5.04112e-06 |
| 3695.0 | 1.85039e-06 |
| 3700.0 | 5.08005e-06 |
| 3705.0 | 3.94696e-06 |
| 3710.0 | 8.91499e-06 |
| 3715.0 | 6.51777e-07 |
| 3720.0 | 9.65074e-07 |
| 3725.0 | 1.18566e-06 |
| 3730.0 | 1.04761e-07 |
| 3735.0 | 2.56269e-06 |
| 3740.0 | 6.71454e-06 |
| 3745.0 | 7.05626e-06 |
| 3750.0 | 3.99038e-06 |
| 3755.0 | 7.37932e-06 |
| 3760.0 | 1.96142e-06 |
| 3765.0 | 7.12197e-07 |
| 3770.0 |  8.8918e-06 |
| 3775.0 | 1.05291e-05 |
| 3780.0 | 7.97307e-06 |
| 3785.0 | 7.15054e-06 |
| 3790.0 | 2.00186e-05 |
| 3795.0 |  1.6319e-05 |
| 3800.0 | 2.31923e-05 |
| 3805.0 | 3.00182e-05 |
