# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth
# 
# Bandpass Name(s): i
# 
# Instrument: MMT/Megacam 
# 
# Determined by: 
# 
# Date of determination: ???
# 
# Meaning of/Reason for default column: Only column available
# 
# Notes:
# 
# See the documentation in the MMT_MEGACAM directory
# 
# These curves correspond to the total transmission, a product
# of the T(transmission)*QE(CCD Quantum efficience)*ref(Telescope
# throughput) plus atmosphere at 1.2 airmass.
# 
# J. Moustakas, UCSD 2010-01-13
| lambda |        pass |
| 6505.0 | 0.000147049 |
| 6510.0 | 0.000156373 |
| 6515.0 | 0.000159111 |
| 6520.0 | 0.000168657 |
| 6525.0 | 0.000177269 |
| 6530.0 | 0.000185553 |
| 6535.0 | 0.000196336 |
| 6540.0 | 0.000197672 |
| 6545.0 | 0.000209059 |
| 6550.0 | 0.000222665 |
| 6555.0 | 0.000227965 |
| 6560.0 |   0.0002375 |
| 6565.0 | 0.000249858 |
| 6570.0 | 0.000264154 |
| 6575.0 | 0.000275829 |
| 6580.0 | 0.000285195 |
| 6585.0 | 0.000297521 |
| 6590.0 | 0.000318409 |
| 6595.0 | 0.000335341 |
| 6600.0 | 0.000347604 |
| 6605.0 | 0.000358206 |
| 6610.0 | 0.000379083 |
| 6615.0 | 0.000390896 |
| 6620.0 | 0.000409954 |
| 6625.0 | 0.000423874 |
| 6630.0 | 0.000458541 |
| 6635.0 | 0.000471435 |
| 6640.0 | 0.000501525 |
| 6645.0 | 0.000529129 |
| 6650.0 | 0.000549801 |
| 6655.0 | 0.000577507 |
| 6660.0 | 0.000608404 |
| 6665.0 | 0.000643604 |
| 6670.0 | 0.000674043 |
| 6675.0 | 0.000704736 |
| 6680.0 | 0.000746003 |
| 6685.0 | 0.000787081 |
| 6690.0 | 0.000828667 |
| 6695.0 | 0.000870125 |
| 6700.0 | 0.000922946 |
| 6705.0 | 0.000971326 |
| 6710.0 |  0.00102106 |
| 6715.0 |  0.00108222 |
| 6720.0 |  0.00114181 |
| 6725.0 |  0.00120548 |
| 6730.0 |  0.00126827 |
| 6735.0 |   0.0013434 |
| 6740.0 |   0.0014215 |
| 6745.0 |  0.00149614 |
| 6750.0 |  0.00158529 |
| 6755.0 |  0.00168749 |
| 6760.0 |   0.0017833 |
| 6765.0 |   0.0018959 |
| 6770.0 |  0.00200236 |
| 6775.0 |  0.00213536 |
| 6780.0 |  0.00225187 |
| 6785.0 |  0.00239755 |
| 6790.0 |  0.00254715 |
| 6795.0 |  0.00271268 |
| 6800.0 |  0.00286785 |
| 6805.0 |  0.00306187 |
| 6810.0 |  0.00325145 |
| 6815.0 |  0.00345627 |
| 6820.0 |   0.0036897 |
| 6825.0 |  0.00392381 |
| 6830.0 |   0.0041911 |
| 6835.0 |   0.0044572 |
| 6840.0 |  0.00475262 |
| 6845.0 |  0.00507865 |
| 6850.0 |  0.00543396 |
| 6855.0 |  0.00580238 |
| 6860.0 |  0.00622349 |
| 6865.0 |  0.00665753 |
| 6870.0 |  0.00716355 |
| 6875.0 |  0.00767493 |
| 6880.0 |   0.0082295 |
| 6885.0 |  0.00883215 |
| 6890.0 |  0.00948386 |
| 6895.0 |   0.0101778 |
| 6900.0 |   0.0109549 |
| 6905.0 |   0.0117769 |
| 6910.0 |   0.0126907 |
| 6915.0 |   0.0136766 |
| 6920.0 |   0.0147244 |
| 6925.0 |   0.0158851 |
| 6930.0 |   0.0171385 |
| 6935.0 |   0.0185229 |
| 6940.0 |   0.0200693 |
| 6945.0 |   0.0216997 |
| 6950.0 |   0.0235199 |
| 6955.0 |   0.0254839 |
| 6960.0 |   0.0276109 |
| 6965.0 |   0.0299812 |
| 6970.0 |   0.0325285 |
| 6975.0 |   0.0353496 |
| 6980.0 |   0.0384919 |
| 6985.0 |   0.0418514 |
| 6990.0 |   0.0455492 |
| 6995.0 |   0.0495934 |
| 7000.0 |   0.0539705 |
| 7005.0 |   0.0588398 |
| 7010.0 |   0.0640643 |
| 7015.0 |   0.0697029 |
| 7020.0 |   0.0760584 |
| 7025.0 |   0.0827382 |
| 7030.0 |   0.0900524 |
| 7035.0 |   0.0980904 |
| 7040.0 |    0.106529 |
| 7045.0 |    0.115789 |
| 7050.0 |    0.125535 |
| 7055.0 |    0.136097 |
| 7060.0 |    0.147626 |
| 7065.0 |    0.159611 |
| 7070.0 |     0.17264 |
| 7075.0 |    0.186154 |
| 7080.0 |    0.200197 |
| 7085.0 |    0.215223 |
| 7090.0 |     0.23015 |
| 7095.0 |    0.245229 |
| 7100.0 |    0.260313 |
| 7105.0 |    0.275105 |
| 7110.0 |    0.289712 |
| 7115.0 |    0.304001 |
| 7120.0 |    0.317545 |
| 7125.0 |     0.33065 |
| 7130.0 |    0.342584 |
| 7135.0 |    0.353485 |
| 7140.0 |    0.363345 |
| 7145.0 |    0.372085 |
| 7150.0 |    0.379766 |
| 7155.0 |    0.386303 |
| 7160.0 |    0.391526 |
| 7165.0 |    0.395687 |
| 7170.0 |     0.39885 |
| 7175.0 |    0.401166 |
| 7180.0 |    0.402691 |
| 7185.0 |    0.403263 |
| 7190.0 |    0.403265 |
| 7195.0 |    0.402964 |
| 7200.0 |    0.402194 |
| 7205.0 |    0.401102 |
| 7210.0 |    0.399777 |
| 7215.0 |    0.398155 |
