# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth
# 
# Bandpass Name(s): r
# 
# Instrument: MMT/Megacam 
# 
# Determined by: 
# 
# Date of determination: ???
# 
# Meaning of/Reason for default column: Only column available
# 
# Notes:
# 
# See the documentation in the MMT_MEGACAM directory
# 
# These curves correspond to the total transmission, a product
# of the T(transmission)*QE(CCD Quantum efficience)*ref(Telescope
# throughput) plus atmosphere at 1.2 airmass.
# 
# J. Moustakas, UCSD 2010-01-13
| lambda |        pass |
| 5005.0 | 2.90275e-05 |
| 5010.0 | 3.11969e-05 |
| 5015.0 | 3.57954e-05 |
| 5020.0 | 3.25545e-05 |
| 5025.0 | 3.71431e-05 |
| 5030.0 | 2.53587e-05 |
| 5035.0 | 3.08487e-05 |
| 5040.0 | 2.97847e-05 |
| 5045.0 | 3.42207e-05 |
| 5050.0 | 3.20792e-05 |
| 5055.0 | 2.88252e-05 |
| 5060.0 | 3.50066e-05 |
| 5065.0 | 3.78857e-05 |
| 5070.0 | 3.43742e-05 |
| 5075.0 | 4.54105e-05 |
| 5080.0 | 4.56526e-05 |
| 5085.0 | 4.85223e-05 |
| 5090.0 | 4.93865e-05 |
| 5095.0 | 5.13636e-05 |
| 5100.0 | 4.87097e-05 |
| 5105.0 | 5.33306e-05 |
| 5110.0 | 5.55095e-05 |
| 5115.0 | 5.23896e-05 |
| 5120.0 |  5.8728e-05 |
| 5125.0 |  5.4947e-05 |
| 5130.0 | 5.72986e-05 |
| 5135.0 | 5.59143e-05 |
| 5140.0 | 6.06568e-05 |
| 5145.0 | 6.31784e-05 |
| 5150.0 | 6.10853e-05 |
| 5155.0 | 6.24946e-05 |
| 5160.0 | 6.01903e-05 |
| 5165.0 | 6.59276e-05 |
| 5170.0 |  6.5591e-05 |
| 5175.0 | 7.15031e-05 |
| 5180.0 | 6.81119e-05 |
| 5185.0 |  7.3742e-05 |
| 5190.0 | 7.78715e-05 |
| 5195.0 | 8.54065e-05 |
| 5200.0 | 8.62789e-05 |
| 5205.0 | 9.09822e-05 |
| 5210.0 | 0.000107619 |
| 5215.0 | 0.000111675 |
| 5220.0 | 0.000121012 |
| 5225.0 | 0.000136628 |
| 5230.0 | 0.000140812 |
| 5235.0 | 0.000160018 |
| 5240.0 | 0.000183373 |
| 5245.0 | 0.000194781 |
| 5250.0 | 0.000218101 |
| 5255.0 | 0.000247717 |
| 5260.0 | 0.000271966 |
| 5265.0 | 0.000293904 |
| 5270.0 |  0.00033038 |
| 5275.0 |  0.00036556 |
| 5280.0 | 0.000407686 |
| 5285.0 | 0.000447343 |
| 5290.0 | 0.000498779 |
| 5295.0 | 0.000551415 |
| 5300.0 | 0.000613794 |
| 5305.0 | 0.000680444 |
| 5310.0 | 0.000753441 |
| 5315.0 | 0.000843048 |
| 5320.0 | 0.000934302 |
| 5325.0 |  0.00103991 |
| 5330.0 |  0.00115737 |
