# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth
# 
# Bandpass Name(s): u
# 
# Instrument: MMT/Megacam 
# 
# Determined by: 
# 
# Date of determination: ???
# 
# Meaning of/Reason for default column: Only column available
# 
# Notes:
# 
# See the documentation in the MMT_MEGACAM directory
# 
# These curves correspond to the total transmission, a product
# of the T(transmission)*QE(CCD Quantum efficience)*ref(Telescope
# throughput) plus atmosphere at 1.2 airmass.
# 
# J. Moustakas, UCSD 2010-01-13
| lambda |        pass |
| 3005.0 |         0.0 |
| 3010.0 |         0.0 |
| 3015.0 |         0.0 |
| 3020.0 |         0.0 |
| 3025.0 |         0.0 |
| 3030.0 |         0.0 |
| 3035.0 |         0.0 |
| 3040.0 |         0.0 |
| 3045.0 |         0.0 |
| 3050.0 |         0.0 |
| 3055.0 |         0.0 |
| 3060.0 |         0.0 |
| 3065.0 |         0.0 |
| 3070.0 |         0.0 |
| 3075.0 |         0.0 |
| 3080.0 |         0.0 |
| 3085.0 |         0.0 |
| 3090.0 |         0.0 |
| 3095.0 |         0.0 |
| 3100.0 |         0.0 |
| 3105.0 |         0.0 |
| 3110.0 |         0.0 |
| 3115.0 |         0.0 |
| 3120.0 |         0.0 |
| 3125.0 |         0.0 |
| 3130.0 |         0.0 |
| 3135.0 |         0.0 |
| 3140.0 |         0.0 |
| 3145.0 |         0.0 |
| 3150.0 |         0.0 |
| 3155.0 |         0.0 |
| 3160.0 |         0.0 |
| 3165.0 |         0.0 |
| 3170.0 |         0.0 |
| 3175.0 |         0.0 |
| 3180.0 |         0.0 |
| 3185.0 |         0.0 |
| 3190.0 |         0.0 |
| 3195.0 |         0.0 |
| 3200.0 |         0.0 |
| 3205.0 |  1.1443e-05 |
| 3210.0 | 4.54795e-05 |
| 3215.0 | 0.000135001 |
| 3220.0 | 0.000344888 |
| 3225.0 | 0.000705979 |
| 3230.0 |  0.00131206 |
| 3235.0 |  0.00230263 |
| 3240.0 |  0.00393967 |
| 3245.0 |  0.00649283 |
| 3250.0 |  0.00992038 |
| 3255.0 |    0.013775 |
| 3260.0 |   0.0171701 |
| 3265.0 |   0.0192231 |
| 3270.0 |   0.0201226 |
| 3275.0 |   0.0203299 |
| 3280.0 |   0.0208115 |
| 3285.0 |   0.0217666 |
| 3290.0 |   0.0232633 |
| 3295.0 |   0.0252805 |
| 3300.0 |    0.028246 |
| 3305.0 |   0.0317942 |
| 3310.0 |   0.0363058 |
| 3315.0 |   0.0406716 |
| 3320.0 |   0.0443099 |
| 3325.0 |   0.0473069 |
| 3330.0 |   0.0498207 |
| 3335.0 |   0.0529358 |
| 3340.0 |   0.0563847 |
| 3345.0 |   0.0590596 |
| 3350.0 |   0.0611457 |
| 3355.0 |   0.0629661 |
| 3360.0 |   0.0651345 |
| 3365.0 |   0.0676097 |
| 3370.0 |   0.0696816 |
| 3375.0 |   0.0709684 |
| 3380.0 |   0.0718014 |
| 3385.0 |   0.0733615 |
| 3390.0 |     0.07651 |
| 3395.0 |   0.0810699 |
| 3400.0 |   0.0862329 |
| 3405.0 |   0.0902491 |
| 3410.0 |   0.0934761 |
| 3415.0 |   0.0960779 |
| 3420.0 |   0.0993586 |
| 3425.0 |    0.103142 |
| 3430.0 |    0.106855 |
| 3435.0 |    0.108915 |
| 3440.0 |    0.110213 |
| 3445.0 |     0.11139 |
| 3450.0 |    0.113998 |
| 3455.0 |    0.117849 |
| 3460.0 |      0.1234 |
| 3465.0 |    0.130477 |
| 3470.0 |    0.135154 |
| 3475.0 |    0.139828 |
| 3480.0 |    0.142861 |
| 3485.0 |    0.147012 |
| 3490.0 |    0.150343 |
| 3495.0 |    0.152121 |
| 3500.0 |    0.149332 |
| 3505.0 |    0.149126 |
| 3510.0 |    0.148372 |
| 3515.0 |    0.149231 |
| 3520.0 |    0.150162 |
| 3525.0 |    0.151934 |
| 3530.0 |    0.154165 |
| 3535.0 |    0.155401 |
| 3540.0 |     0.15574 |
| 3545.0 |    0.156037 |
| 3550.0 |    0.156231 |
| 3555.0 |    0.156672 |
| 3560.0 |    0.157076 |
| 3565.0 |    0.157475 |
| 3570.0 |    0.158403 |
| 3575.0 |    0.159436 |
| 3580.0 |     0.16095 |
| 3585.0 |    0.160967 |
| 3590.0 |    0.160358 |
| 3595.0 |    0.159153 |
| 3600.0 |     0.15819 |
| 3605.0 |    0.157607 |
| 3610.0 |    0.158762 |
| 3615.0 |    0.161091 |
| 3620.0 |    0.164882 |
| 3625.0 |    0.169295 |
| 3630.0 |    0.172199 |
| 3635.0 |    0.174036 |
| 3640.0 |    0.175031 |
| 3645.0 |    0.175363 |
| 3650.0 |    0.175462 |
| 3655.0 |    0.175852 |
| 3660.0 |    0.175418 |
| 3665.0 |    0.173897 |
| 3670.0 |    0.171015 |
| 3675.0 |    0.167778 |
| 3680.0 |    0.165033 |
| 3685.0 |    0.164268 |
| 3690.0 |    0.166446 |
| 3695.0 |    0.171096 |
| 3700.0 |     0.17814 |
| 3705.0 |     0.18658 |
| 3710.0 |    0.195318 |
| 3715.0 |    0.203678 |
| 3720.0 |    0.210482 |
| 3725.0 |    0.215566 |
| 3730.0 |    0.219538 |
| 3735.0 |    0.221937 |
| 3740.0 |     0.22311 |
| 3745.0 |    0.223887 |
| 3750.0 |    0.224753 |
| 3755.0 |    0.226568 |
| 3760.0 |    0.228723 |
| 3765.0 |    0.230727 |
| 3770.0 |    0.231538 |
| 3775.0 |    0.230368 |
| 3780.0 |     0.22603 |
| 3785.0 |    0.219759 |
| 3790.0 |    0.211541 |
| 3795.0 |     0.20145 |
| 3800.0 |     0.18917 |
| 3805.0 |     0.17298 |
| 3810.0 |    0.153259 |
| 3815.0 |    0.130876 |
| 3820.0 |    0.106291 |
| 3825.0 |    0.083709 |
| 3830.0 |   0.0642595 |
| 3835.0 |   0.0489306 |
| 3840.0 |   0.0378069 |
| 3845.0 |    0.029611 |
| 3850.0 |   0.0236069 |
| 3855.0 |   0.0191137 |
| 3860.0 |   0.0126205 |
| 3865.0 |   0.0101947 |
| 3870.0 |  0.00914124 |
| 3875.0 |  0.00771944 |
| 3880.0 |  0.00659903 |
| 3885.0 |  0.00573592 |
| 3890.0 |   0.0050399 |
| 3895.0 |  0.00428925 |
| 3900.0 |  0.00368847 |
| 3905.0 |  0.00311347 |
| 3910.0 |   0.0026753 |
| 3915.0 |  0.00223026 |
| 3920.0 |  0.00188667 |
| 3925.0 |  0.00161488 |
| 3930.0 |  0.00140766 |
| 3935.0 |  0.00124451 |
| 3940.0 |  0.00112793 |
| 3945.0 |  0.00109836 |
| 3950.0 | 0.000980494 |
| 3955.0 | 0.000853375 |
| 3960.0 | 0.000786744 |
| 3965.0 | 0.000696988 |
| 3970.0 | 0.000592146 |
| 3975.0 | 0.000497552 |
| 3980.0 | 0.000456113 |
| 3985.0 | 0.000345133 |
| 3990.0 | 0.000282769 |
| 3995.0 | 0.000169559 |
