# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth
# 
# Bandpass Name(s): z
# 
# Instrument: MMT/Megacam 
# 
# Determined by: 
# 
# Date of determination: ???
# 
# Meaning of/Reason for default column: Only column available
# 
# Notes:
# 
# See the documentation in the MMT_MEGACAM directory
# 
# These curves correspond to the total transmission, a product
# of the T(transmission)*QE(CCD Quantum efficience)*ref(Telescope
# throughput) plus atmosphere at 1.2 airmass.
# 
# J. Moustakas, UCSD 2010-01-13
|  lambda |         pass |
|  7505.0 | -1.69812e-05 |
|  7510.0 | -1.63394e-05 |
|  7515.0 |  3.93249e-06 |
|  7520.0 |  9.17903e-06 |
|  7525.0 |  4.30139e-06 |
|  7530.0 |  1.70366e-05 |
|  7535.0 |  4.64439e-05 |
|  7540.0 |  4.05496e-05 |
|  7545.0 |  5.51902e-05 |
|  7550.0 |  5.92307e-05 |
|  7555.0 |  5.61591e-05 |
|  7560.0 |  3.11393e-05 |
|  7565.0 |  3.47392e-05 |
|  7570.0 |  1.25908e-05 |
|  7575.0 | -5.83649e-06 |
|  7580.0 | -1.89817e-05 |
|  7585.0 | -3.19421e-05 |
|  7590.0 | -4.06719e-05 |
|  7595.0 | -3.03238e-05 |
|  7600.0 | -2.83077e-05 |
|  7605.0 | -1.04537e-05 |
|  7610.0 |   4.2359e-05 |
|  7615.0 |  5.44935e-05 |
|  7620.0 |  4.80182e-05 |
|  7625.0 |  4.87632e-05 |
|  7630.0 |  4.54344e-05 |
|  7635.0 |  2.79084e-05 |
|  7640.0 |  3.45124e-05 |
|  7645.0 |  2.16104e-05 |
|  7650.0 |  2.11243e-05 |
|  7655.0 | -8.74247e-06 |
|  7660.0 | -2.40381e-05 |
|  7665.0 | -1.84281e-05 |
|  7670.0 |   5.5631e-06 |
|  7675.0 |  3.65529e-05 |
|  7680.0 |  8.04996e-05 |
|  7685.0 |  7.42441e-05 |
|  7690.0 |  8.05274e-05 |
|  7695.0 |  8.38928e-05 |
|  7700.0 |  8.01555e-05 |
|  7705.0 |  8.02412e-05 |
|  7710.0 |  8.92026e-05 |
|  7715.0 |  8.48583e-05 |
|  7720.0 |  6.94543e-05 |
|  7725.0 |  5.45628e-05 |
|  7730.0 |  2.48065e-05 |
|  7735.0 |  2.00459e-05 |
|  7740.0 |  1.80593e-06 |
|  7745.0 | -6.67083e-06 |
|  7750.0 | -7.11693e-06 |
|  7755.0 |  1.47849e-05 |
|  7760.0 |  1.07224e-05 |
|  7765.0 |  7.59917e-05 |
|  7770.0 |   7.0223e-05 |
|  7775.0 |  6.49751e-05 |
|  7780.0 |  9.53793e-05 |
|  7785.0 |  0.000109076 |
|  7790.0 |  0.000130275 |
|  7795.0 |  0.000126421 |
|  7800.0 |  0.000120672 |
|  7805.0 |  0.000103797 |
|  7810.0 |  8.98625e-05 |
|  7815.0 |  6.86691e-05 |
|  7820.0 |  7.46237e-05 |
|  7825.0 |  5.88422e-05 |
|  7830.0 |  7.41955e-05 |
|  7835.0 |  8.55531e-05 |
|  7840.0 |  0.000101882 |
|  7845.0 |  0.000115854 |
|  7850.0 |  0.000168644 |
|  7855.0 |   0.00019798 |
|  7860.0 |  0.000218731 |
|  7865.0 |  0.000227303 |
|  7870.0 |   0.00025676 |
|  7875.0 |  0.000278429 |
|  7880.0 |  0.000262473 |
|  7885.0 |  0.000263823 |
|  7890.0 |  0.000257607 |
|  7895.0 |  0.000242651 |
|  7900.0 |  0.000278187 |
|  7905.0 |  0.000260224 |
|  7910.0 |  0.000260128 |
|  7915.0 |  0.000281962 |
|  7920.0 |  0.000341232 |
|  7925.0 |  0.000368514 |
|  7930.0 |  0.000415859 |
|  7935.0 |  0.000455001 |
|  7940.0 |  0.000491135 |
