# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth
# 
# Bandpass Name(s): K
# 
# Instrument: Subaru/MOIRCS
# 
# Determined by: ?
# 
# Date of determination: ?
# 
# Meaning of/Reason for default column: Only available
# 
# Notes:
# 
# Downloaded http://svo2.cab.inta-csic.es/svo/theory/fps3/index.php?id=Subaru/MOIRCS.K&&mode=browse&gname=Subaru&gname2=MOIRCS#filter 
# Atmosphere was included as follows:
#   oke, filter.lambda, 1., 1.3, ext
#   filter.pass=filter.pass*10.^(-0.4*ext)
|  lambda |     pass |
| 19450.0 | 0.004203 |
| 19452.0 | 0.004003 |
| 19454.0 | 0.004109 |
| 19456.0 | 0.004167 |
| 19458.0 | 0.004262 |
| 19460.0 | 0.004258 |
| 19462.0 | 0.004401 |
| 19464.0 | 0.004506 |
| 19466.0 | 0.004376 |
| 19468.0 | 0.004555 |
| 19470.0 | 0.004704 |
| 19472.0 | 0.004738 |
| 19474.0 | 0.004831 |
| 19476.0 | 0.004839 |
| 19478.0 | 0.004872 |
| 19480.0 | 0.004969 |
| 19482.0 | 0.004955 |
| 19484.0 | 0.005117 |
| 19486.0 | 0.005199 |
| 19488.0 | 0.005243 |
| 19490.0 | 0.005334 |
| 19492.0 | 0.005367 |
| 19494.0 | 0.005529 |
| 19496.0 | 0.005488 |
| 19498.0 | 0.005662 |
| 19500.0 | 0.005732 |
| 19502.0 | 0.005836 |
| 19504.0 | 0.005847 |
| 19506.0 | 0.005957 |
| 19508.0 | 0.006078 |
| 19510.0 | 0.006094 |
| 19512.0 | 0.006163 |
| 19514.0 |  0.00634 |
| 19516.0 | 0.006382 |
| 19518.0 | 0.006427 |
| 19520.0 | 0.006559 |
| 19522.0 |   0.0066 |
| 19524.0 |   0.0067 |
| 19526.0 | 0.006911 |
| 19528.0 | 0.007058 |
| 19530.0 | 0.007045 |
| 19532.0 |  0.00722 |
| 19534.0 | 0.007212 |
| 19536.0 | 0.007408 |
| 19538.0 | 0.007474 |
| 19540.0 | 0.007689 |
| 19542.0 | 0.007691 |
| 19544.0 | 0.007828 |
| 19546.0 | 0.007942 |
| 19548.0 | 0.008018 |
| 19550.0 | 0.008293 |
| 19552.0 | 0.008403 |
| 19554.0 | 0.008359 |
| 19556.0 | 0.008527 |
| 19558.0 | 0.008731 |
| 19560.0 | 0.008868 |
| 19562.0 | 0.008895 |
| 19564.0 | 0.009073 |
| 19566.0 | 0.009371 |
| 19568.0 | 0.009396 |
| 19570.0 |  0.00944 |
| 19572.0 | 0.009534 |
| 19574.0 | 0.009859 |
| 19576.0 | 0.010058 |
| 19578.0 | 0.010054 |
| 19580.0 | 0.010246 |
| 19582.0 | 0.010415 |
| 19584.0 | 0.010618 |
| 19586.0 | 0.010706 |
| 19588.0 | 0.010973 |
| 19590.0 | 0.011081 |
| 19592.0 | 0.011299 |
| 19594.0 | 0.011475 |
| 19596.0 |  0.01167 |
| 19598.0 |   0.0118 |
| 19600.0 | 0.011981 |
| 19602.0 | 0.012096 |
| 19604.0 | 0.012409 |
| 19606.0 | 0.012536 |
| 19608.0 | 0.012745 |
| 19610.0 | 0.013026 |
