# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth
# 
# Bandpass Name(s): MzLS-z
# 
# Instrument: Mayall/MOSAIC-3
# 
# Determined by: 
# 
# Date of determination: Unknown
# 
# Meaning of/Reason for default column: Only column available
# 
# Notes:
# 
# Taken from https://speclite.readthedocs.io/en/stable/filters.html#desi-imaging-survey-filters
# See also https://desi.lbl.gov/trac/wiki/ImagingStandardBandpass
# 
# Filter measured at a mean airmass of 1.1.
# 
# J. Moustakas, 2018-Oct 5, Siena College
|  lambda |          pass |
|  7999.0 |           0.0 |
|  8000.0 | 3.3663357e-05 |
|  8010.0 |   3.69263e-05 |
|  8020.0 | 4.0342326e-05 |
|  8030.0 | 4.3866814e-05 |
|  8040.0 | 4.7604088e-05 |
|  8050.0 | 5.2055377e-05 |
|  8060.0 |  5.691871e-05 |
|  8070.0 | 6.2244115e-05 |
|  8080.0 |  6.803103e-05 |
|  8090.0 |  7.455655e-05 |
|  8100.0 | 8.2223545e-05 |
|  8110.0 | 9.1222406e-05 |
|  8120.0 | 0.00010182148 |
|  8130.0 | 0.00011387925 |
|  8140.0 |  0.0001280822 |
|  8150.0 | 0.00014475272 |
|  8160.0 | 0.00016436017 |
|  8170.0 | 0.00019043793 |
|  8180.0 | 0.00022239487 |
|  8190.0 | 0.00026228806 |
|  8200.0 | 0.00031470414 |
|  8210.0 |  0.0003804768 |
|  8220.0 | 0.00044692995 |
|  8230.0 |  0.0005154392 |
|  8240.0 |  0.0006396389 |
|  8250.0 |  0.0007850782 |
|  8260.0 | 0.00094366615 |
|  8270.0 |  0.0011355454 |
|  8280.0 |  0.0013530984 |
|  8290.0 |  0.0016452871 |
|  8300.0 |  0.0019956443 |
|  8310.0 |  0.0024109636 |
|  8320.0 |  0.0029057167 |
|  8330.0 |  0.0035135408 |
|  8340.0 |  0.0042572026 |
|  8350.0 |  0.0051631248 |
|  8360.0 |  0.0062252185 |
|  8370.0 |   0.007537162 |
|  8380.0 |   0.009179723 |
|  8390.0 |   0.011223915 |
|  8400.0 |    0.01373421 |
|  8410.0 |   0.016858252 |
|  8420.0 |    0.02088621 |
|  8430.0 |   0.026084216 |
|  8440.0 |     0.0327219 |
|  8450.0 |    0.04120645 |
|  8460.0 |    0.05207221 |
|  8470.0 |   0.066197604 |
|  8480.0 |    0.08387412 |
|  8490.0 |    0.10625729 |
|  8500.0 |    0.13383326 |
|  8510.0 |    0.16668862 |
|  8520.0 |    0.20505199 |
|  8530.0 |     0.2475593 |
|  8540.0 |    0.29181162 |
|  8550.0 |    0.33597326 |
|  8560.0 |    0.37716013 |
|  8570.0 |    0.41327173 |
|  8580.0 |    0.44238195 |
|  8590.0 |    0.46556306 |
