# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth
# 
# Bandpass Name(s): Bw
# 
# Instrument: KPNO/MOSAIC-I
# 
# Determined by: ?
# 
# Date of determination: ?
# 
# Meaning of/Reason for default column: Only available
# 
# Notes:
# 
# NDWFS Bw filter curve, convolved with the transmission of the
# Mayall+MOSAIC QE+atmosphere (AM=1.0).  Arjun Dey, 2006-Feb-21,
# private communication.
# 
# Bw-band filter for the NOAO Deep Wide-Field Survey.
# 
# J. Moustakas, 2008-Jul-12, NYU
| lambda |        pass |
| 3390.0 |         0.0 |
| 3392.0 |         0.0 |
| 3394.0 |         0.0 |
| 3396.0 |         0.0 |
| 3398.0 |  0.00072333 |
| 3400.0 | 0.000731655 |
| 3402.0 | 0.000370007 |
| 3404.0 |  0.00149682 |
| 3406.0 |  0.00113526 |
| 3408.0 |  0.00114795 |
| 3410.0 | 0.000773796 |
| 3412.0 |  0.00195581 |
| 3414.0 |  0.00237266 |
| 3416.0 |  0.00359767 |
| 3418.0 |  0.00444459 |
| 3420.0 |  0.00571736 |
| 3422.0 |  0.00784182 |
| 3424.0 |  0.00834176 |
| 3426.0 |    0.011801 |
| 3428.0 |   0.0166083 |
| 3430.0 |   0.0236644 |
| 3432.0 |   0.0299931 |
| 3434.0 |   0.0382033 |
| 3436.0 |   0.0514539 |
| 3438.0 |   0.0685491 |
| 3440.0 |     0.09548 |
| 3442.0 |    0.122477 |
| 3444.0 |    0.159683 |
| 3446.0 |    0.216704 |
| 3448.0 |    0.287044 |
| 3450.0 |    0.383414 |
| 3452.0 |    0.508929 |
| 3454.0 |    0.685202 |
| 3456.0 |     0.89015 |
| 3458.0 |     1.15954 |
| 3460.0 |     1.51699 |
| 3462.0 |     1.96484 |
| 3464.0 |     2.46281 |
| 3466.0 |      3.0387 |
| 3468.0 |     3.59162 |
| 3470.0 |     4.17179 |
| 3472.0 |     4.66138 |
| 3474.0 |     5.07842 |
| 3476.0 |     5.40206 |
| 3478.0 |     5.63726 |
| 3480.0 |     5.78482 |
| 3482.0 |     5.94789 |
| 3484.0 |      6.0448 |
| 3486.0 |     6.11349 |
| 3488.0 |     6.16618 |
| 3490.0 |     6.24221 |
| 3492.0 |      6.2952 |
| 3494.0 |      6.4054 |
| 3496.0 |     6.54511 |
| 3498.0 |      6.5747 |
| 3500.0 |     6.74713 |
| 3502.0 |     6.74191 |
| 3504.0 |     6.89868 |
| 3506.0 |     7.02254 |
| 3508.0 |      7.1261 |
| 3510.0 |      7.3061 |
| 3512.0 |     7.33735 |
| 3514.0 |     7.46381 |
| 3516.0 |     7.51833 |
| 3518.0 |     7.62037 |
| 3520.0 |     7.77616 |
| 3522.0 |      7.8742 |
| 3524.0 |     8.00981 |
| 3526.0 |     8.10215 |
| 3528.0 |      8.1937 |
| 3530.0 |     8.36061 |
| 3532.0 |     8.51442 |
| 3534.0 |     8.62792 |
| 3536.0 |      8.7625 |
| 3538.0 |     8.95133 |
| 3540.0 |     9.12687 |
| 3542.0 |     9.29504 |
| 3544.0 |     9.41045 |
| 3546.0 |     9.54692 |
| 3548.0 |     9.64777 |
| 3550.0 |      9.8564 |
| 3552.0 |     9.94408 |
| 3554.0 |     9.99973 |
| 3556.0 |     10.1365 |
| 3558.0 |     10.2305 |
| 3560.0 |     10.2963 |
| 3562.0 |     10.2832 |
| 3564.0 |     10.4744 |
| 3566.0 |     10.5094 |
| 3568.0 |     10.5508 |
| 3570.0 |     10.6285 |
| 3572.0 |     10.7987 |
| 3574.0 |     10.9136 |
| 3576.0 |     10.9797 |
| 3578.0 |     11.1347 |
| 3580.0 |     11.2344 |
| 3582.0 |     11.4426 |
| 3584.0 |     11.6059 |
| 3586.0 |     11.7194 |
| 3588.0 |     11.8496 |
| 3590.0 |     11.9888 |
| 3592.0 |     12.1817 |
| 3594.0 |      12.247 |
| 3596.0 |     12.4177 |
| 3598.0 |     12.5268 |
| 3600.0 |     12.5657 |
| 3602.0 |     12.6009 |
| 3604.0 |     12.7385 |
| 3606.0 |     12.7847 |
| 3608.0 |     12.8783 |
| 3610.0 |     12.9551 |
| 3612.0 |     13.0811 |
| 3614.0 |      13.148 |
| 3616.0 |     13.2419 |
| 3618.0 |     13.3737 |
| 3620.0 |     13.5662 |
| 3622.0 |     13.6865 |
| 3624.0 |     13.9313 |
| 3626.0 |     14.0803 |
| 3628.0 |     14.2887 |
| 3630.0 |     14.5957 |
| 3632.0 |     14.7418 |
| 3634.0 |     14.9887 |
| 3636.0 |     15.1839 |
| 3638.0 |     15.4555 |
| 3640.0 |     15.5723 |
| 3642.0 |     15.5639 |
| 3644.0 |      15.676 |
| 3646.0 |      15.941 |
| 3648.0 |     15.8773 |
| 3650.0 |     15.8867 |
| 3652.0 |     15.8914 |
| 3654.0 |     15.8915 |
| 3656.0 |       15.84 |
| 3658.0 |     15.8566 |
| 3660.0 |     15.8567 |
| 3662.0 |     15.9221 |
| 3664.0 |     15.9497 |
| 3666.0 |     16.0685 |
| 3668.0 |      16.021 |
| 3670.0 |     16.1185 |
| 3672.0 |     16.1381 |
| 3674.0 |     16.3281 |
| 3676.0 |     16.4629 |
| 3678.0 |     16.3719 |
| 3680.0 |     16.6161 |
| 3682.0 |     16.6261 |
| 3684.0 |     16.7888 |
| 3686.0 |     16.8159 |
| 3688.0 |     16.9351 |
| 3690.0 |     16.9891 |
| 3692.0 |     16.9991 |
| 3694.0 |     17.0138 |
| 3696.0 |     16.9634 |
| 3698.0 |     16.8858 |
| 3700.0 |     16.8143 |
| 3702.0 |     16.7621 |
| 3704.0 |     16.8453 |
| 3706.0 |     16.6264 |
| 3708.0 |     16.8075 |
