# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth
# 
# Bandpass Name(s): I
# 
# Instrument: KPNO/MOSAIC
# 
# Determined by: ?
# 
# Date of determination: ?
# 
# Meaning of/Reason for default column: Only available
# 
# Notes:
# 
# NDWFS I filter curve, convolved with the transmission of the
# Mayall+MOSAIC QE+atmosphere (AM=1.0).  Arjun Dey, 2006-Feb-21,
# private communication.  Negative transmission values below 6970 A
# have been removed.
# 
# I-band filter for the NOAO Deep Wide-Field Survey.
# 
# J. Moustakas, 2008-Jul-12, NYU
| lambda |       pass |
| 6971.0 |        0.0 |
| 6972.0 |        0.0 |
| 6973.0 |        0.0 |
| 6974.0 |   0.010595 |
| 6975.0 |  0.0105938 |
| 6976.0 |  0.0158888 |
| 6977.0 |  0.0211827 |
| 6978.0 |  0.0264752 |
| 6979.0 |  0.0264721 |
| 6980.0 |  0.0317628 |
| 6981.0 |  0.0370522 |
| 6982.0 |  0.0423403 |
| 6983.0 |  0.0423352 |
| 6984.0 |  0.0476213 |
| 6985.0 |  0.0529061 |
| 6986.0 |  0.0528996 |
| 6987.0 |  0.0581824 |
| 6988.0 |  0.0634639 |
| 6989.0 |  0.0687439 |
| 6990.0 |  0.0687353 |
| 6991.0 |  0.0740133 |
| 6992.0 |  0.0792899 |
| 6993.0 |  0.0792798 |
| 6994.0 |  0.0845543 |
| 6995.0 |  0.0898274 |
| 6996.0 |   0.095099 |
| 6997.0 |   0.100369 |
| 6998.0 |   0.105638 |
| 6999.0 |   0.110905 |
| 7000.0 |   0.116171 |
| 7001.0 |   0.121435 |
| 7002.0 |   0.126698 |
| 7003.0 |    0.13196 |
| 7004.0 |   0.142497 |
| 7005.0 |   0.147755 |
| 7006.0 |   0.153011 |
| 7007.0 |   0.163541 |
| 7008.0 |   0.168794 |
| 7009.0 |   0.179319 |
| 7010.0 |   0.184567 |
| 7011.0 |   0.195087 |
| 7012.0 |   0.200331 |
| 7013.0 |   0.210845 |
| 7014.0 |   0.221357 |
| 7015.0 |   0.226595 |
