# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth
# 
# Bandpass Name(s): K
# 
# Instrument: KPNO/ONIS
# 
# Determined by: ?
# 
# Date of determination: ?
# 
# Meaning of/Reason for default column: Only available
# 
# Notes:
# 
# NDWFS K-band filter curve (Arjun Dey, 2006-Feb-21, private 
# communication).  Filter response function has been convolved 
# with the atmosphere (AM=1.0), but does not include the 
# detector QE or telescope throughput.
# 
# K-band filter for the NOAO Deep Wide-Field Survey
# 
# J. Moustakas, 2008-Jul-12, NYU
|   lambda |    pass |
|  19200.0 |     0.0 |
| 19386.03 | 0.00695 |
| 19433.02 | 0.01199 |
| 19495.69 | 0.01549 |
| 19542.66 | 0.01768 |
| 19581.79 | 0.02115 |
| 19620.91 | 0.02986 |
| 19667.86 | 0.04245 |
| 19706.92 | 0.05949 |
| 19745.97 | 0.07959 |
| 19784.97 | 0.10679 |
| 19816.15 | 0.13241 |
| 19839.44 | 0.15943 |
| 19870.58 | 0.17693 |
| 19901.72 | 0.20253 |
| 19924.98 | 0.23558 |
| 19956.08 | 0.21895 |
|  19971.5 | 0.21349 |
| 19994.74 | 0.18431 |
|  20018.0 | 0.14356 |
|  20041.2 | 0.14384 |
| 20056.61 | 0.17681 |
| 20079.87 | 0.22255 |
| 20103.12 | 0.22709 |
| 20126.35 | 0.23185 |
| 20149.63 |    0.27 |
|  20149.6 | 0.27149 |
| 20163.56 | 0.29244 |
| 20202.74 | 0.39348 |
| 20234.08 | 0.49593 |
| 20273.26 | 0.60191 |
| 20312.44 | 0.65437 |
| 20359.45 |  0.6873 |
| 20406.46 | 0.69798 |
| 20453.48 | 0.66955 |
| 20500.49 | 0.59232 |
| 20555.34 |  0.5593 |
| 20602.35 | 0.58063 |
| 20649.36 | 0.58611 |
| 20696.38 | 0.62114 |
| 20751.22 |  0.6899 |
| 20798.24 | 0.73736 |
| 20845.25 | 0.74537 |
|  20900.1 | 0.76472 |
| 20947.11 | 0.77809 |
| 20994.12 | 0.78721 |
| 21048.97 | 0.79085 |
| 21095.98 |  0.7918 |
|  21143.0 | 0.79677 |
| 21197.85 | 0.79846 |
| 21244.86 | 0.80128 |
| 21299.71 | 0.79949 |
| 21346.72 | 0.80463 |
| 21393.73 | 0.80782 |
| 21448.58 | 0.80768 |
| 21495.59 | 0.80052 |
| 21542.61 | 0.79295 |
| 21597.45 | 0.79079 |
| 21644.47 | 0.79008 |
| 21691.48 | 0.79645 |
| 21746.33 | 0.79552 |
| 21793.34 | 0.78967 |
| 21840.35 | 0.78634 |
|  21895.2 | 0.78942 |
| 21942.21 | 0.78118 |
| 21989.23 | 0.75536 |
| 22044.07 | 0.76371 |
| 22091.09 | 0.78004 |
|  22138.1 | 0.77786 |
| 22192.95 | 0.77789 |
| 22239.96 | 0.77397 |
| 22286.97 | 0.77246 |
| 22341.82 | 0.76598 |
| 22388.83 | 0.76568 |
| 22443.68 | 0.76195 |
|  22490.7 | 0.75654 |
| 22537.71 | 0.75106 |
| 22592.56 | 0.74493 |
| 22639.57 | 0.73559 |
| 22686.58 | 0.73602 |
| 22741.43 | 0.73013 |
| 22788.44 | 0.73759 |
| 22835.46 | 0.72611 |
|  22890.3 | 0.72941 |
| 22937.32 | 0.71759 |
| 22992.16 | 0.71001 |
| 23039.18 | 0.72038 |
| 23086.19 | 0.73951 |
| 23141.04 | 0.73091 |
| 23188.05 | 0.66329 |
| 23235.06 | 0.72737 |
| 23289.91 | 0.73019 |
| 23336.92 | 0.71608 |
| 23383.94 | 0.69367 |
| 23438.79 | 0.68678 |
|  23485.8 | 0.65682 |
| 23532.81 |  0.6652 |
| 23587.66 | 0.69731 |
| 23634.67 | 0.70878 |
| 23681.69 | 0.63792 |
| 23736.53 | 0.67225 |
| 23783.54 | 0.69365 |
| 23830.56 | 0.69987 |
| 23877.57 | 0.72571 |
| 23932.42 | 0.72935 |
| 23979.43 | 0.72329 |
| 24026.45 | 0.70889 |
| 24057.79 | 0.67389 |
| 24068.55 | 0.64647 |
| 24081.29 | 0.64455 |
| 24084.39 |  0.6234 |
| 24108.18 | 0.58315 |
| 24124.15 | 0.54556 |
| 24147.98 | 0.50774 |
| 24163.95 | 0.47559 |
| 24187.77 | 0.45069 |
| 24203.77 | 0.43483 |
| 24219.77 | 0.41676 |
| 24243.56 | 0.39927 |
| 24259.56 | 0.36788 |
| 24275.57 | 0.33599 |
| 24299.37 | 0.28632 |
| 24315.37 | 0.23837 |
| 24339.15 | 0.20594 |
| 24362.95 | 0.19604 |
| 24386.72 | 0.18035 |
| 24410.46 | 0.15333 |
| 24442.06 | 0.12274 |
| 24473.63 | 0.09368 |
| 24513.03 |  0.0781 |
| 24552.39 | 0.07106 |
| 24591.74 |  0.0593 |
| 24631.04 | 0.04315 |
| 24678.18 | 0.03672 |
| 24733.14 |   0.023 |
|  24756.7 | 0.02109 |
| 24811.64 | 0.01581 |
| 24858.71 | 0.01193 |
| 24913.61 | 0.00982 |
| 24976.39 | 0.00793 |
|  25000.0 |     0.0 |
