# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth
# 
# Bandpass Name(s): R
# 
# Instrument: KPNO/MOSAIC
# 
# Determined by: ?
# 
# Date of determination: ?
# 
# Meaning of/Reason for default column: Only available
# 
# Notes:
# 
# NDWFS R filter curve, convolved with the transmission of the
# Mayall+MOSAIC QE+atmosphere (AM=1.0).  Arjun Dey, 2006-Feb-21,
# private communication.
# 
# R-band filter for the NOAO Deep Wide-Field Survey.
# 
# J. Moustakas, 2008-Jul-12, NYU
| lambda |      pass |
| 5300.0 |       0.0 |
| 5500.0 | 0.0560265 |
| 5510.0 | 0.0896689 |
| 5520.0 |  0.142467 |
| 5530.0 |  0.227558 |
| 5540.0 |  0.361663 |
| 5550.0 |   0.57014 |
| 5560.0 |  0.883999 |
| 5570.0 |   1.34295 |
| 5580.0 |   1.98533 |
| 5590.0 |   2.88202 |
| 5600.0 |   4.04947 |
| 5610.0 |   5.49253 |
| 5620.0 |   7.19325 |
| 5630.0 |   9.24948 |
| 5640.0 |   11.5108 |
| 5650.0 |   13.9459 |
| 5660.0 |   16.4919 |
| 5670.0 |    19.066 |
| 5680.0 |   21.6212 |
| 5690.0 |    24.102 |
| 5700.0 |   26.4774 |
| 5710.0 |   28.6802 |
| 5720.0 |   30.6682 |
| 5730.0 |   32.5284 |
| 5740.0 |   34.2077 |
| 5750.0 |   35.7028 |
| 5760.0 |   37.0307 |
| 5770.0 |   38.2273 |
| 5780.0 |    39.264 |
| 5790.0 |   40.1867 |
| 5800.0 |   41.0092 |
| 5810.0 |   41.7266 |
| 5820.0 |   42.3319 |
| 5830.0 |   42.8982 |
| 5840.0 |   43.3753 |
| 5850.0 |   43.7814 |
| 5860.0 |   44.1423 |
| 5870.0 |   44.4265 |
| 5880.0 |   44.6603 |
| 5890.0 |   44.8595 |
| 5900.0 |   45.0162 |
| 5910.0 |   45.1804 |
| 5920.0 |   45.2754 |
| 5930.0 |   45.3603 |
| 5940.0 |    45.403 |
| 5950.0 |     45.44 |
| 5960.0 |   45.4361 |
| 5970.0 |   45.4689 |
| 5980.0 |   45.4483 |
| 5990.0 |   45.4224 |
| 6000.0 |   45.4041 |
| 6010.0 |   45.3686 |
| 6020.0 |   45.3141 |
| 6030.0 |   45.2752 |
| 6040.0 |   45.2368 |
| 6050.0 |   45.1533 |
| 6060.0 |   45.1128 |
| 6070.0 |   45.0678 |
| 6080.0 |   45.0003 |
| 6090.0 |   44.9359 |
| 6100.0 |   44.8997 |
| 6110.0 |   44.8275 |
| 6120.0 |   44.7601 |
| 6130.0 |   44.6736 |
| 6140.0 |   44.5936 |
| 6150.0 |   44.5136 |
| 6160.0 |   44.4445 |
| 6170.0 |   44.3213 |
| 6180.0 |   44.2333 |
| 6190.0 |   44.1087 |
| 6200.0 |   43.9958 |
| 6210.0 |   43.9086 |
| 6220.0 |   43.7642 |
| 6230.0 |   43.6552 |
| 6240.0 |   43.5305 |
| 6250.0 |   43.4061 |
| 6260.0 |   43.2341 |
| 6270.0 |   43.1094 |
| 6280.0 |   42.9771 |
| 6290.0 |   42.8123 |
| 6300.0 |   42.6876 |
| 6310.0 |    42.532 |
| 6320.0 |   42.3823 |
| 6330.0 |   42.2131 |
| 6340.0 |   42.0662 |
| 6350.0 |    41.906 |
| 6360.0 |   41.7359 |
| 6370.0 |   41.5667 |
| 6380.0 |   41.4219 |
| 6390.0 |   41.2529 |
| 6400.0 |   41.0556 |
| 6410.0 |   40.9103 |
| 6420.0 |   40.7339 |
| 6430.0 |    40.547 |
| 6440.0 |    40.364 |
| 6450.0 |   40.1976 |
| 6460.0 |     40.02 |
| 6470.0 |    39.845 |
| 6480.0 |   39.6663 |
| 6490.0 |   39.4801 |
| 6500.0 |   39.2895 |
| 6510.0 |   39.0815 |
| 6520.0 |   38.8949 |
| 6530.0 |    38.685 |
| 6540.0 |   38.4839 |
| 6550.0 |   38.2974 |
| 6560.0 |   38.0862 |
