# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): H
# 
# Instrument: NEWFIRM
# 
# Determined by: ???
# 
# Date of determination: ???
# 
# Notes:
#   From	Michael Brown <Michael.Brown@sci.monash.edu.au>
#   sender-time	Sent at 7:32 PM (GMT+11:00)
#   date	Wed, Dec 16, 2009 at 7:32 PM
#   subject	Re: NDWFS+NEWFIRM+SDWFS
# 
#  Hi,
#  
# I'm using these, which I copied out of some excel spreadsheets
# available on the NEWFIRM/NOAO website. I don't think the include
# the detector or the telescope, but they are probably a decent
# starting point.
#  
#  Cheers,
#  Michael.
# 
# ED628	MKO Ks 2150/320nm  (HP's 1990-2310nm)			
# 1" cold test witness				
# This is for correlation purposes ONLY and is a witness from the same coating 				
# 				
# 	298K	77K	shift to 77K	Correlated to 65K
# peak T%	95.62358856	95.54402161	-0.07956695	-0.08
# Cut-on:	1468.02	1466.96	-1.06	-1.12
# Cut-off:	1771.02	1770.96	-0.06	-0.06
# Cut-on slope:	1.40%	1.30%	-0.10%	-0.10%
# Cut-off slope:	1.32%	1.03%	-0.29%	-0.29%
# Slope: ABS[lamda80%(peak)-lamda5%(peak)/lamda5%(peak)]*100				
# wl(nm)	T%	T%		
# 
# J. Moustakas, 2010-Jan-04, UCSD
|  lambda |         pass |
| 19000.0 |  0.007833592 |
| 18995.0 |   -0.0103217 |
| 18990.0 | -0.001778959 |
| 18985.0 | -0.003030371 |
| 18980.0 | -0.003697274 |
| 18975.0 | -0.002130382 |
| 18970.0 | -0.015275258 |
| 18965.0 |   0.00349457 |
| 18960.0 | -0.002202057 |
| 18955.0 |  0.014460694 |
| 18950.0 |  0.002593274 |
| 18945.0 | -0.007660538 |
| 18940.0 | -0.013374635 |
| 18935.0 | -0.003303949 |
| 18930.0 | -0.006462869 |
| 18925.0 | -0.009642855 |
| 18920.0 | -0.005292723 |
| 18915.0 |  -0.00377952 |
| 18910.0 |  0.006878177 |
| 18905.0 | -0.000609712 |
| 18900.0 | -0.004123029 |
| 18895.0 | -0.000681932 |
| 18890.0 |  0.001308136 |
| 18885.0 | -0.010382719 |
| 18880.0 |  0.011475706 |
| 18875.0 | -0.004943624 |
| 18870.0 |   0.00340794 |
| 18865.0 | -0.004337369 |
| 18860.0 | -0.009804748 |
| 18855.0 |  0.000480785 |
| 18850.0 | -0.006586558 |
| 18845.0 | -0.008018616 |
| 18840.0 | -0.007312661 |
| 18835.0 | -0.007525872 |
| 18830.0 | -0.011873953 |
| 18825.0 | -0.003274042 |
| 18820.0 |  -0.00587872 |
| 18815.0 |  0.003276103 |
| 18810.0 | -0.000323806 |
| 18805.0 |  0.005091664 |
| 18800.0 | -0.008031994 |
| 18795.0 | -0.007550942 |
| 18790.0 |  0.007127573 |
| 18785.0 | -0.018858606 |
| 18780.0 |  0.000848963 |
| 18775.0 |  0.001353534 |
| 18770.0 | -0.006754946 |
| 18765.0 | -0.003700495 |
| 18760.0 |  -0.00250803 |
| 18755.0 | -0.005488998 |
| 18750.0 | -0.005395247 |
| 18745.0 | -0.002887079 |
| 18740.0 | -0.001923138 |
| 18735.0 | -0.005749311 |
| 18730.0 | -0.003671267 |
| 18725.0 | -0.004239134 |
| 18720.0 | -0.008055104 |
| 18715.0 | -0.015371502 |
| 18710.0 | -0.098155215 |
| 18705.0 |  0.043549582 |
| 18700.0 |  0.017917991 |
| 18695.0 |  0.004582988 |
| 18690.0 |  0.006795632 |
| 18685.0 | -0.001543357 |
| 18680.0 | -0.003805694 |
| 18675.0 |  0.002086701 |
| 18670.0 | -0.011522164 |
| 18665.0 |  0.002407589 |
| 18660.0 | -0.010572598 |
| 18655.0 | -0.003185417 |
| 18650.0 |  0.006241272 |
| 18645.0 |  -0.01048714 |
| 18640.0 | -0.004627796 |
| 18635.0 |   0.00544349 |
| 18630.0 | -0.007746201 |
| 18625.0 | -0.010643578 |
| 18620.0 |  0.010196934 |
| 18615.0 |   0.00058044 |
| 18610.0 | -0.003394367 |
| 18605.0 | -0.013995991 |
| 18600.0 | -0.001706652 |
| 18595.0 |  0.008109451 |
| 18590.0 |   -0.0098257 |
| 18585.0 | -0.009061595 |
| 18580.0 |     0.000495 |
| 18575.0 | -0.000519119 |
| 18570.0 |  -0.00514531 |
| 18565.0 | -0.000211375 |
| 18560.0 | -0.001322625 |
| 18555.0 |  0.002860081 |
| 18550.0 | -0.003442901 |
| 18545.0 | -0.002928046 |
| 18540.0 | -0.000414046 |
| 18535.0 |  0.007915534 |
| 18530.0 | -0.004177351 |
| 18525.0 | -0.002738615 |
| 18520.0 |  0.001003425 |
| 18515.0 | -0.011497452 |
| 18510.0 |  0.008335805 |
| 18505.0 |  0.013800103 |
| 18500.0 |  0.047419958 |
| 18495.0 | -0.080616467 |
| 18490.0 | -0.030795801 |
| 18485.0 |  0.001917964 |
| 18480.0 | -0.006940107 |
| 18475.0 | -0.001904633 |
| 18470.0 |  0.002849288 |
| 18465.0 | -0.011625988 |
| 18460.0 |   0.00715398 |
| 18455.0 |  0.001968283 |
| 18450.0 | -0.001145959 |
| 18445.0 |  0.008598493 |
| 18440.0 | -0.009015733 |
| 18435.0 |  0.001566402 |
| 18430.0 |  0.009373907 |
| 18425.0 |  0.001735311 |
| 18420.0 |  0.004148828 |
| 18415.0 |  0.006540614 |
| 18410.0 |  0.008232953 |
| 18405.0 | -0.002905013 |
| 18400.0 | -0.003811015 |
| 18395.0 |   0.01352932 |
| 18390.0 | -0.008858996 |
| 18385.0 |  0.005485351 |
| 18380.0 |  0.002044019 |
| 18375.0 |  0.021065524 |
| 18370.0 | -0.005346502 |
| 18365.0 | -0.002017796 |
| 18360.0 |   0.00702014 |
| 18355.0 | -0.005118874 |
| 18350.0 |  0.007652597 |
| 18345.0 |  0.003309937 |
| 18340.0 | -0.010226724 |
| 18335.0 |  0.012971688 |
| 18330.0 |  0.012489905 |
| 18325.0 |  0.004795425 |
| 18320.0 | -0.005990858 |
| 18315.0 |  0.017472614 |
| 18310.0 |  0.007589997 |
| 18305.0 |  0.019167373 |
| 18300.0 |    0.0030189 |
| 18295.0 |  0.016728153 |
| 18290.0 |  0.022564111 |
| 18285.0 | -7.73416e-05 |
| 18280.0 |    0.0183329 |
| 18275.0 | -0.002969134 |
| 18270.0 |  0.036980938 |
| 18265.0 |  0.006037465 |
| 18260.0 |  0.023467269 |
| 18255.0 |  0.017850831 |
| 18250.0 |  0.008853491 |
| 18245.0 |  0.020394146 |
| 18240.0 |  0.002315405 |
| 18235.0 |   0.03567664 |
| 18230.0 |  0.025161454 |
| 18225.0 |   0.02082213 |
| 18220.0 |  0.025662085 |
| 18215.0 |  0.001518393 |
| 18210.0 |   0.02502395 |
| 18205.0 |  0.032031916 |
| 18200.0 |  0.029707499 |
| 18195.0 |  0.020579778 |
| 18190.0 |  0.034051742 |
| 18185.0 |  0.023640979 |
| 18180.0 |  0.039541144 |
| 18175.0 |   0.04342249 |
| 18170.0 |  0.032275919 |
| 18165.0 |  0.036280677 |
| 18160.0 |  0.048705079 |
| 18155.0 |  0.049523242 |
| 18150.0 |  0.055060647 |
| 18145.0 |  0.058517057 |
| 18140.0 |  0.048050161 |
| 18135.0 |  0.055610888 |
| 18130.0 |  0.058577426 |
| 18125.0 |  0.070367098 |
| 18120.0 |  0.065130979 |
| 18115.0 |  0.062648654 |
| 18110.0 |  0.084225498 |
| 18105.0 |  0.081261657 |
| 18100.0 |  0.097266048 |
| 18095.0 |  0.099366598 |
| 18090.0 |  0.096211635 |
| 18085.0 |  0.108959444 |
| 18080.0 |  0.115093388 |
| 18075.0 |  0.122156881 |
| 18070.0 |  0.126031771 |
| 18065.0 |  0.139977962 |
| 18060.0 |  0.141757354 |
| 18055.0 |  0.155679435 |
| 18050.0 |  0.162212104 |
| 18045.0 |   0.16991052 |
| 18040.0 |  0.203563839 |
| 18035.0 |  0.193602845 |
| 18030.0 |  0.219980925 |
| 18025.0 |  0.247549713 |
| 18020.0 |  0.248979807 |
| 18015.0 |  0.274682075 |
| 18010.0 |  0.285543442 |
| 18005.0 |  0.310982764 |
| 18000.0 |  0.345344365 |
| 17995.0 |  0.365270466 |
| 17990.0 |  0.391303271 |
| 17985.0 |  0.426058561 |
| 17980.0 |  0.470649302 |
| 17975.0 |  0.509545326 |
| 17970.0 |  0.559964418 |
| 17965.0 |  0.595656574 |
| 17960.0 |  0.643175781 |
| 17955.0 |   0.68626523 |
| 17950.0 |   0.75475204 |
| 17945.0 |  0.808631837 |
| 17940.0 |  0.865311265 |
| 17935.0 |  0.946472943 |
| 17930.0 |  1.041073322 |
| 17925.0 |  1.127895951 |
| 17920.0 |  1.235737443 |
| 17915.0 |  1.347808599 |
| 17910.0 |  1.482533813 |
| 17905.0 |  1.614893913 |
| 17900.0 |  1.769204021 |
| 17895.0 |  1.907333136 |
| 17890.0 |  2.105312824 |
| 17885.0 |  2.354273796 |
| 17880.0 |  2.514025927 |
| 17875.0 |  2.700339079 |
| 17870.0 |  3.026925325 |
| 17865.0 |  3.269691706 |
| 17860.0 |  3.619278669 |
| 17855.0 |  3.927085638 |
| 17850.0 |  4.314595222 |
| 17845.0 |  4.821420193 |
| 17840.0 |  5.263361931 |
| 17835.0 |   5.77364254 |
| 17830.0 |  6.392662048 |
| 17825.0 |  6.878520489 |
| 17820.0 |  7.337944031 |
| 17815.0 |  8.497030258 |
| 17810.0 |  9.165626526 |
| 17805.0 |  9.677199364 |
| 17800.0 |   10.8119812 |
| 17795.0 |  11.76321507 |
| 17790.0 |  12.88925552 |
| 17785.0 |  14.31597137 |
| 17780.0 |  15.67324543 |
| 17775.0 |  16.88549232 |
| 17770.0 |   18.4467144 |
| 17765.0 |  20.14645004 |
| 17760.0 |  22.28040123 |
| 17755.0 |  23.98485756 |
| 17750.0 |  25.32040787 |
| 17745.0 |  28.11511803 |
| 17740.0 |  30.36041832 |
| 17735.0 |  32.72682571 |
| 17730.0 |  35.40834045 |
| 17725.0 |   38.3338089 |
| 17720.0 |  41.09993362 |
| 17715.0 |  44.45019531 |
| 17710.0 |   47.2203064 |
| 17705.0 |  50.14316559 |
| 17700.0 |  53.48918533 |
| 17695.0 |  57.88788223 |
| 17690.0 |  60.31151962 |
| 17685.0 |  62.53884888 |
| 17680.0 |  66.43857574 |
| 17675.0 |  69.31343842 |
| 17670.0 |  72.10610962 |
| 17665.0 |  74.59715271 |
| 17660.0 |  77.31809998 |
| 17655.0 |  79.79684448 |
| 17650.0 |  81.77140808 |
| 17645.0 |   83.5743103 |
| 17640.0 |  85.13417053 |
| 17635.0 |  86.06277466 |
| 17630.0 |  86.97605133 |
| 17625.0 |  87.67979431 |
| 17620.0 |  87.91630554 |
| 17615.0 |  88.01113129 |
| 17610.0 |  87.90989685 |
| 17605.0 |  87.61371613 |
| 17600.0 |  87.15073395 |
| 17595.0 |  86.68731689 |
| 17590.0 |  85.75963593 |
| 17585.0 |  84.99308777 |
| 17580.0 |   84.1531601 |
| 17575.0 |   83.2244873 |
| 17570.0 |  82.27321625 |
| 17565.0 |   81.3261261 |
| 17560.0 |  80.68331146 |
| 17555.0 |  79.55893707 |
| 17550.0 |  78.72121429 |
| 17545.0 |   77.9395752 |
| 17540.0 |   77.1311264 |
| 17535.0 |  76.40684509 |
| 17530.0 |  75.72015381 |
| 17525.0 |   75.0736084 |
| 17520.0 |  74.61391449 |
| 17515.0 |   74.1031723 |
| 17510.0 |  73.69979858 |
| 17505.0 |   73.2682724 |
| 17500.0 |  73.05136871 |
| 17495.0 |  72.91455841 |
| 17490.0 |   72.7408371 |
| 17485.0 |  72.66332245 |
| 17480.0 |  72.64889526 |
| 17475.0 |  72.67637634 |
| 17470.0 |  72.76113129 |
| 17465.0 |  72.92512512 |
| 17460.0 |  73.10419464 |
| 17455.0 |  73.35089111 |
| 17450.0 |  73.67495728 |
| 17445.0 |  73.95658875 |
| 17440.0 |  74.33133698 |
| 17435.0 |  74.82613373 |
| 17430.0 |  75.18183899 |
| 17425.0 |  75.57846069 |
| 17420.0 |  76.06452179 |
| 17415.0 |  76.61175537 |
| 17410.0 |  77.02132416 |
| 17405.0 |  77.37187195 |
| 17400.0 |  78.13007355 |
| 17395.0 |  78.60520172 |
| 17390.0 |  79.13137054 |
| 17385.0 |  79.66875458 |
| 17380.0 |  80.18624115 |
| 17375.0 |  80.76318359 |
| 17370.0 |  81.30030823 |
| 17365.0 |  81.78336334 |
| 17360.0 |  82.19367218 |
| 17355.0 |  82.66087341 |
| 17350.0 |  83.27006531 |
| 17345.0 |  83.58575439 |
| 17340.0 |   83.9907608 |
| 17335.0 |  84.39355469 |
| 17330.0 |   84.7180481 |
| 17325.0 |  85.06222534 |
| 17320.0 |  85.38355255 |
| 17315.0 |  85.85440826 |
| 17310.0 |   86.0642395 |
| 17305.0 |  86.23534393 |
| 17300.0 |  86.55145264 |
| 17295.0 |  86.78784943 |
| 17290.0 |  87.02872467 |
| 17285.0 |  87.17339325 |
| 17280.0 |  87.45639038 |
| 17275.0 |  87.66074371 |
| 17270.0 |   87.8130722 |
| 17265.0 |  88.09390259 |
| 17260.0 |  88.27398682 |
| 17255.0 |  88.46681976 |
| 17250.0 |  88.68215179 |
| 17245.0 |  88.95579529 |
| 17240.0 |  89.08158112 |
| 17235.0 |  89.28121185 |
| 17230.0 |  89.52255249 |
| 17225.0 |  89.79774475 |
| 17220.0 |  89.98940277 |
| 17215.0 |  90.14724731 |
| 17210.0 |  90.46261597 |
| 17205.0 |  90.69424438 |
| 17200.0 |   90.9376297 |
| 17195.0 |  91.19711304 |
| 17190.0 |  91.50041199 |
| 17185.0 |  91.76777649 |
| 17180.0 |  92.04404449 |
| 17175.0 |  92.27082062 |
| 17170.0 |  92.50315094 |
| 17165.0 |  92.73865509 |
| 17160.0 |   93.0615387 |
| 17155.0 |  93.21780396 |
| 17150.0 |  93.35962677 |
| 17145.0 |  93.61044312 |
| 17140.0 |  93.78009796 |
| 17135.0 |  93.92623901 |
| 17130.0 |  94.04366302 |
| 17125.0 |  94.15668488 |
| 17120.0 |  94.26016998 |
| 17115.0 |   94.3134613 |
| 17110.0 |   94.3377533 |
| 17105.0 |  94.32570648 |
| 17100.0 |  94.29459381 |
| 17095.0 |  94.26145172 |
| 17090.0 |  94.14858246 |
| 17085.0 |  94.04000854 |
| 17080.0 |  93.92861938 |
| 17075.0 |  93.73420715 |
| 17070.0 |  93.53218079 |
| 17065.0 |  93.31002045 |
