# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): J
# 
# Instrument: NEWFIRM
# 
# Determined by: ???
# 
# Date of determination: ???
# 
# Notes:
#   From	Michael Brown <Michael.Brown@sci.monash.edu.au>
#   sender-time	Sent at 7:32 PM (GMT+11:00)
#   date	Wed, Dec 16, 2009 at 7:32 PM
#   subject	Re: NDWFS+NEWFIRM+SDWFS
# 
#  Hi,
#  
# I'm using these, which I copied out of some excel spreadsheets
# available on the NEWFIRM/NOAO website. I don't think the include
# the detector or the telescope, but they are probably a decent
# starting point.
#  
#  Cheers,
#  Michael.
# 
# Customer Name:  Aura Inc.				
# Purchase Order #:  P60515A				
# Barr # 48132				
# Lot #: 0907				
# Part Description:  Bandpass filter -  1187/11.8nm; 124mm diameter	
# CWL=1242.58nm;  SP=1332.44nm;  LP=1152.72nm			
# @ 77K, Witness pc.			
# Wavelength (nm)	%T		
# 
# 
# J. Moustakas, 2010-Jan-04, UCSD
|  lambda |         pass |
| 11000.0 |  0.046482664 |
| 11005.0 |  0.133354947 |
| 11010.0 | -0.050445687 |
| 11015.0 |  0.065024883 |
| 11020.0 | -0.002930793 |
| 11025.0 |  0.323068619 |
| 11030.0 |  0.140325949 |
| 11035.0 |  -0.05229342 |
| 11040.0 |  0.010614436 |
| 11045.0 |   0.17755644 |
| 11050.0 |   0.20075655 |
| 11055.0 |  0.028656553 |
| 11060.0 |  0.184697047 |
| 11065.0 |  0.154381692 |
| 11070.0 | -0.017104397 |
| 11075.0 |  0.080614574 |
| 11080.0 |  0.207985193 |
| 11085.0 |  0.246920198 |
| 11090.0 | -0.056730457 |
| 11095.0 |  0.087443061 |
| 11100.0 |   0.14550966 |
| 11105.0 |   0.04478582 |
| 11110.0 |  0.097502381 |
| 11115.0 |  0.189910322 |
| 11120.0 |  0.137997627 |
| 11125.0 |  0.158184752 |
| 11130.0 |  0.018753594 |
| 11135.0 |  0.179253757 |
| 11140.0 |  0.205800355 |
| 11145.0 |  0.245367765 |
| 11150.0 |  0.142386675 |
| 11155.0 |  0.160051838 |
| 11160.0 | -0.062238112 |
| 11165.0 |  0.177816227 |
| 11170.0 |  0.064753518 |
| 11175.0 |  0.027790491 |
| 11180.0 |  0.113499291 |
| 11185.0 |  0.112907879 |
| 11190.0 |  0.162604749 |
| 11195.0 |  0.269275725 |
| 11200.0 |  0.228646264 |
| 11205.0 |    0.1820658 |
| 11210.0 |  0.180104777 |
| 11215.0 |  0.099815406 |
| 11220.0 |  0.171881661 |
| 11225.0 |  0.176025927 |
| 11230.0 |  0.148772374 |
| 11235.0 |  0.346662134 |
| 11240.0 |  0.279086888 |
| 11245.0 |  0.265657872 |
| 11250.0 |  0.299284399 |
| 11255.0 |  0.422998995 |
| 11260.0 |  0.414737403 |
| 11265.0 |  0.371235341 |
| 11270.0 |  0.492072374 |
| 11275.0 |  0.414997578 |
| 11280.0 |  0.631513536 |
| 11285.0 |  0.414414525 |
| 11290.0 |  0.597239077 |
| 11295.0 |    0.5567137 |
| 11300.0 |  0.704183042 |
| 11305.0 |  0.846040726 |
