# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): Ks
# 
# Instrument: NEWFIRM
# 
# Determined by: ???
# 
# Date of determination: ???
# 
# Notes:
#   From	Michael Brown <Michael.Brown@sci.monash.edu.au>
#   sender-time	Sent at 7:32 PM (GMT+11:00)
#   date	Wed, Dec 16, 2009 at 7:32 PM
#   subject	Re: NDWFS+NEWFIRM+SDWFS
# 
#  Hi,
#  
# I'm using these, which I copied out of some excel spreadsheets
# available on the NEWFIRM/NOAO website. I don't think the include
# the detector or the telescope, but they are probably a decent
# starting point.
#  
#  Cheers,
#  Michael.
# 
# ED614	MKO Ks 2150/320nm  (HP's 1990-2310nm)			
# 1" cold test witness				
# This is for correlation purposes ONLY and is a witness from the same coating 	#			
# 				
# 	298K	77K	shift to 77K	Correlated to 65K
# peak T%	87.47777557	86.28314972	-1.19462585	-1.19
# Cut-on:	2004.09	2002.92	-1.17	-1.23
# Cut-off:	2329.89	2329.22	-0.67	-0.71
# Cut-on slope:	1.51%	1.51%	0.00%	0.00%
# Cut-off slope:	1.62%	1.55%	-0.07%	-0.07%1890		-0.00665705
# 
# 
# J. Moustakas, 2010-Jan-04, UCSD
|  lambda |         pass |
| 24100.0 |  0.055353735 |
| 24095.0 |  0.078997381 |
| 24090.0 |  0.042007536 |
| 24085.0 |  0.051776703 |
| 24080.0 |  0.060151983 |
| 24075.0 |  0.067384861 |
| 24070.0 |  0.059119403 |
| 24065.0 |  0.069186479 |
| 24060.0 |  0.068160273 |
| 24055.0 |  0.070959106 |
| 24050.0 |  0.070491582 |
| 24045.0 |  0.075870082 |
| 24040.0 |   0.08724127 |
| 24035.0 |   0.08436887 |
| 24030.0 |   0.08665625 |
| 24025.0 |  0.104013175 |
| 24020.0 |  0.090699628 |
| 24015.0 |  0.102771275 |
| 24010.0 |  0.097539477 |
| 24005.0 |  0.109695852 |
| 24000.0 |  0.103777379 |
| 23995.0 |  0.115075834 |
| 23990.0 |  0.104455635 |
| 23985.0 |  0.112847492 |
| 23980.0 |   0.12529105 |
| 23975.0 |  0.130035281 |
| 23970.0 |  0.130219832 |
| 23965.0 |  0.131785691 |
| 23960.0 |   0.13603814 |
| 23955.0 |   0.14493309 |
| 23950.0 |  0.157591447 |
| 23945.0 |  0.147620291 |
| 23940.0 |  0.158292815 |
| 23935.0 |  0.168775946 |
| 23930.0 |  0.165363148 |
| 23925.0 |  0.180953443 |
| 23920.0 |  0.187301144 |
| 23915.0 |  0.194237575 |
| 23910.0 |  0.201141343 |
| 23905.0 |  0.202306762 |
| 23900.0 |  0.214590699 |
| 23895.0 |    0.2228892 |
| 23890.0 |  0.244533807 |
| 23885.0 |  0.243685111 |
| 23880.0 |   0.25269267 |
| 23875.0 |  0.259265125 |
| 23870.0 |  0.271371484 |
| 23865.0 |  0.285632432 |
| 23860.0 |  0.293789953 |
| 23855.0 |  0.300844163 |
| 23850.0 |  0.310555637 |
| 23845.0 |  0.332351267 |
| 23840.0 |  0.336921424 |
| 23835.0 |  0.361023903 |
| 23830.0 |  0.368424237 |
| 23825.0 |  0.382788032 |
| 23820.0 |  0.407155037 |
| 23815.0 |  0.411663592 |
| 23810.0 |  0.432730317 |
| 23805.0 |  0.461383402 |
| 23800.0 |  0.469988018 |
| 23795.0 |  0.478538305 |
| 23790.0 |  0.506884992 |
| 23785.0 |  0.524511159 |
| 23780.0 |  0.554329038 |
| 23775.0 |  0.569055378 |
| 23770.0 |  0.592149258 |
| 23765.0 |  0.623273552 |
| 23760.0 |  0.652309477 |
| 23755.0 |  0.665736914 |
| 23750.0 |  0.724688709 |
| 23745.0 |  0.750460386 |
| 23740.0 |  0.758302927 |
| 23735.0 |  0.815392017 |
| 23730.0 |  0.844450951 |
| 23725.0 |  0.868532181 |
| 23720.0 |  0.914708316 |
| 23715.0 |  0.947421432 |
| 23710.0 |  0.996139288 |
| 23705.0 |  1.038779497 |
| 23700.0 |  1.099492669 |
| 23695.0 |  1.142208576 |
| 23690.0 |  1.204756618 |
| 23685.0 |   1.25719583 |
| 23680.0 |  1.310389638 |
| 23675.0 |  1.366534591 |
| 23670.0 |  1.415610909 |
| 23665.0 |  1.506660819 |
| 23660.0 |  1.563831449 |
| 23655.0 |  1.630952954 |
| 23650.0 |  1.720249414 |
| 23645.0 |  1.803159475 |
| 23640.0 |  1.880407333 |
| 23635.0 |  1.982420683 |
| 23630.0 |  2.088766098 |
| 23625.0 |  2.163770437 |
| 23620.0 |  2.270856142 |
| 23615.0 |  2.408884764 |
| 23610.0 |  2.519445181 |
| 23605.0 |  2.597450733 |
| 23600.0 |  2.747752428 |
| 23595.0 |  2.879799128 |
| 23590.0 |  3.018080473 |
| 23585.0 |  3.114258766 |
| 23580.0 |  3.318716526 |
| 23575.0 |  3.488570452 |
| 23570.0 |  3.678600073 |
| 23565.0 |  3.843775034 |
| 23560.0 |  4.053330898 |
| 23555.0 |  4.234201431 |
| 23550.0 |  4.434155464 |
| 23545.0 |  4.724914074 |
| 23540.0 |  4.901760578 |
| 23535.0 |  5.116008282 |
| 23530.0 |  5.376900196 |
| 23525.0 |  5.677303314 |
| 23520.0 |  5.913782597 |
| 23515.0 |  6.112148762 |
| 23510.0 |  6.546438694 |
| 23505.0 |  6.853440285 |
| 23500.0 |  7.146926403 |
| 23495.0 |   7.51536417 |
| 23490.0 |  7.910182476 |
| 23485.0 |   8.33038044 |
| 23480.0 |  8.612064362 |
| 23475.0 |  9.125413895 |
| 23470.0 |  9.567247391 |
| 23465.0 |   9.99789238 |
| 23460.0 |   10.5080328 |
| 23455.0 |  11.02540684 |
| 23450.0 |  11.58078861 |
| 23445.0 |  12.20430279 |
| 23440.0 |  12.67913914 |
| 23435.0 |  13.29331589 |
| 23430.0 |  13.90690041 |
| 23425.0 |  14.87846375 |
| 23420.0 |  15.41018009 |
| 23415.0 |  15.87931633 |
| 23410.0 |  16.83230209 |
| 23405.0 |  17.53381729 |
| 23400.0 |  18.34763527 |
| 23395.0 |  18.94169617 |
| 23390.0 |  20.09640694 |
| 23385.0 |  21.02407455 |
| 23380.0 |  21.70393753 |
| 23375.0 |  22.87661171 |
| 23370.0 |  23.80482101 |
| 23365.0 |  24.83070755 |
| 23360.0 |   26.0514431 |
| 23355.0 |  27.42679214 |
| 23350.0 |  28.24999046 |
| 23345.0 |    29.341856 |
| 23340.0 |  30.49634743 |
| 23335.0 |  31.91006088 |
| 23330.0 |  32.93764114 |
| 23325.0 |  33.78821564 |
| 23320.0 |  35.51122665 |
| 23315.0 |   36.8119812 |
| 23310.0 |  37.97730255 |
| 23305.0 |  39.40987396 |
| 23300.0 |  40.79852295 |
| 23295.0 |  42.33239746 |
| 23290.0 |  43.77470398 |
| 23285.0 |  45.10036469 |
| 23280.0 |  46.35029602 |
| 23275.0 |   47.7168541 |
| 23270.0 |  49.73675156 |
| 23265.0 |  50.68932724 |
| 23260.0 |    51.628582 |
| 23255.0 |  53.37647247 |
| 23250.0 |    54.620327 |
| 23245.0 |  55.97267914 |
| 23240.0 |  57.16733932 |
| 23235.0 |  58.58014297 |
| 23230.0 |   59.9071312 |
| 23225.0 |   61.1206131 |
| 23220.0 |  62.30222702 |
| 23215.0 |  63.62900543 |
| 23210.0 |  64.53940582 |
| 23205.0 |  65.30979919 |
| 23200.0 |  67.02192688 |
| 23195.0 |  67.76493835 |
| 23190.0 |  68.38812256 |
| 23185.0 |  69.56913757 |
| 23180.0 |  70.40419006 |
| 23175.0 |  71.29533386 |
| 23170.0 |  72.21140289 |
| 23165.0 |  73.00190735 |
| 23160.0 |  73.64984131 |
| 23155.0 |  74.31993866 |
| 23150.0 |  74.99304962 |
| 23145.0 |  75.71227264 |
| 23140.0 |  76.24493408 |
| 23135.0 |  76.58119965 |
| 23130.0 |  77.25846863 |
| 23125.0 |  77.74191284 |
| 23120.0 |   78.1163559 |
| 23115.0 |  78.57052612 |
| 23110.0 |  78.98690796 |
| 23105.0 |  79.35458374 |
| 23100.0 |  79.68859863 |
| 23095.0 |  79.94582367 |
| 23090.0 |  80.20214081 |
| 23085.0 |  80.44386292 |
| 23080.0 |  80.74874115 |
| 23075.0 |  80.88250732 |
| 23070.0 |  80.99578094 |
| 23065.0 |  81.20227814 |
| 23060.0 |  81.32148743 |
| 23055.0 |  81.46246338 |
| 23050.0 |  81.51825714 |
| 23045.0 |  81.66204834 |
| 23040.0 |  81.76224518 |
| 23035.0 |  81.85353851 |
| 23030.0 |  81.92642212 |
| 23025.0 |  81.99493408 |
| 23020.0 |  82.06053925 |
| 23015.0 |  82.09397888 |
| 23010.0 |   82.1615448 |
| 23005.0 |  82.19049835 |
| 23000.0 |   82.2396698 |
| 22995.0 |  82.27773285 |
| 22990.0 |  82.29810333 |
| 22985.0 |  82.33004761 |
| 22980.0 |  82.37167358 |
| 22975.0 |  82.42375946 |
| 22970.0 |  82.45137024 |
| 22965.0 |  82.47782898 |
| 22960.0 |  82.50779724 |
| 22955.0 |  82.54223633 |
| 22950.0 |  82.56791687 |
| 22945.0 |  82.55932617 |
| 22940.0 |  82.61003113 |
| 22935.0 |  82.63191223 |
| 22930.0 |  82.63780975 |
| 22925.0 |  82.66894531 |
| 22920.0 |  82.67384338 |
| 22915.0 |  82.70368958 |
| 22910.0 |  82.70154572 |
| 22905.0 |  82.71975708 |
| 22900.0 |  82.76219177 |
| 22895.0 |   82.7684021 |
| 22890.0 |  82.77622223 |
| 22885.0 |  82.80224609 |
| 22880.0 |   82.8074646 |
| 22875.0 |  82.81829834 |
| 22870.0 |  82.83103943 |
| 22865.0 |  82.84134674 |
| 22860.0 |  82.87588501 |
| 22855.0 |  82.86833191 |
| 22850.0 |  82.87664032 |
| 22845.0 |  82.85181427 |
| 22840.0 |  82.88936615 |
| 22835.0 |  82.89643097 |
| 22830.0 |  82.89416504 |
| 22825.0 |  82.92012787 |
| 22820.0 |  82.88957977 |
| 22815.0 |  82.87542725 |
| 22810.0 |  82.87513733 |
| 22805.0 |  82.83987427 |
| 22800.0 |  82.82408142 |
| 22795.0 |  82.78705597 |
| 22790.0 |  82.75775909 |
| 22785.0 |  82.73112488 |
| 22780.0 |  82.69969177 |
| 22775.0 |  82.65209198 |
| 22770.0 |  82.61420441 |
| 22765.0 |  82.55618286 |
| 22760.0 |  82.50432587 |
| 22755.0 |  82.45005035 |
| 22750.0 |  82.40917206 |
| 22745.0 |  82.36008453 |
| 22740.0 |  82.33563232 |
| 22735.0 |  82.25880432 |
| 22730.0 |  82.20431519 |
| 22725.0 |  82.16136932 |
| 22720.0 |  82.13142395 |
| 22715.0 |  82.07312012 |
| 22710.0 |  82.02866364 |
| 22705.0 |  81.98725891 |
| 22700.0 |  81.90330505 |
| 22695.0 |  81.85581207 |
| 22690.0 |  81.83713531 |
| 22685.0 |  81.79084015 |
| 22680.0 |  81.74688721 |
| 22675.0 |   81.7130127 |
| 22670.0 |  81.68235779 |
| 22665.0 |  81.61888885 |
| 22660.0 |  81.58786774 |
| 22655.0 |  81.55548096 |
| 22650.0 |  81.51789093 |
| 22645.0 |  81.47651672 |
| 22640.0 |  81.43808746 |
| 22635.0 |  81.39729309 |
| 22630.0 |  81.34061432 |
| 22625.0 |  81.30342865 |
| 22620.0 |  81.26056671 |
| 22615.0 |  81.22261047 |
| 22610.0 |  81.18080139 |
| 22605.0 |  81.14878082 |
| 22600.0 |  81.12324524 |
| 22595.0 |  81.07317352 |
| 22590.0 |  81.01868439 |
| 22585.0 |  80.98686981 |
| 22580.0 |  80.93474579 |
| 22575.0 |  80.90249634 |
| 22570.0 |  80.84667969 |
| 22565.0 |  80.79699707 |
| 22560.0 |  80.75188446 |
| 22555.0 |  80.68600464 |
| 22550.0 |  80.67156982 |
| 22545.0 |  80.59092712 |
| 22540.0 |  80.56022644 |
| 22535.0 |  80.52330017 |
| 22530.0 |  80.45014954 |
| 22525.0 |  80.43535614 |
| 22520.0 |  80.35966492 |
| 22515.0 |  80.31388855 |
| 22510.0 |  80.26985168 |
| 22505.0 |  80.21889496 |
| 22500.0 |  80.15094757 |
| 22495.0 |  80.09947968 |
| 22490.0 |  80.06159973 |
| 22485.0 |  80.04281616 |
| 22480.0 |  79.97983551 |
| 22475.0 |  79.92482758 |
| 22470.0 |  79.88477325 |
| 22465.0 |  79.82598877 |
| 22460.0 |  79.79141998 |
| 22455.0 |  79.73332214 |
| 22450.0 |  79.69979858 |
| 22445.0 |  79.69166565 |
| 22440.0 |  79.60899353 |
| 22435.0 |  79.55799103 |
| 22430.0 |  79.52216339 |
| 22425.0 |  79.48573303 |
| 22420.0 |  79.42694092 |
| 22415.0 |  79.40437317 |
| 22410.0 |  79.37998962 |
| 22405.0 |  79.31160736 |
| 22400.0 |  79.27773285 |
| 22395.0 |  79.25740814 |
| 22390.0 |  79.22029877 |
| 22385.0 |  79.17893982 |
| 22380.0 |  79.14308167 |
| 22375.0 |  79.11231995 |
| 22370.0 |  79.10071564 |
| 22365.0 |  79.06945038 |
| 22360.0 |  79.03538513 |
| 22355.0 |  79.01157379 |
| 22350.0 |  79.00675964 |
| 22345.0 |  78.99763489 |
| 22340.0 |  78.96426392 |
| 22335.0 |  78.96529388 |
| 22330.0 |  78.92744446 |
| 22325.0 |  78.91448975 |
| 22320.0 |  78.93283081 |
| 22315.0 |  78.93906403 |
| 22310.0 |  78.93915558 |
| 22305.0 |  78.92645264 |
| 22300.0 |  78.94142151 |
| 22295.0 |  78.93798065 |
| 22290.0 |  78.92899323 |
| 22285.0 |  78.96411133 |
| 22280.0 |  78.97633362 |
| 22275.0 |  78.98633575 |
| 22270.0 |  79.01921844 |
| 22265.0 |  79.04219818 |
| 22260.0 |  79.03721619 |
| 22255.0 |  79.06593323 |
| 22250.0 |    79.087677 |
| 22245.0 |  79.08592224 |
| 22240.0 |  79.15013885 |
| 22235.0 |  79.13968658 |
| 22230.0 |  79.17689514 |
| 22225.0 |  79.18848419 |
| 22220.0 |  79.22162628 |
| 22215.0 |  79.23067474 |
| 22210.0 |  79.25193787 |
| 22205.0 |  79.26055908 |
| 22200.0 |  79.29815674 |
| 22195.0 |  79.31164551 |
| 22190.0 |  79.33058167 |
