# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth (for airmass 1.3)
#  "pass_1_[069]" are the contribution to the signal for airmasses
#         1.0, 1.6, and 1.9 respectively
# 
# Bandpass Name(s): Ks
# 
# Instrument: Palomar Ks band on WIRC on 5m
# 
# Determined by: Kevin Bundy (passed through Kick Konidaris)
# 
# Date of determination: ???
# 
# Meaning of/Reason for default column: only available
# 
|  lambda |        pass |
| 18995.0 |  0.00159657 |
| 19045.0 |  0.00117868 |
| 19095.0 |  0.00144656 |
| 19145.0 |  0.00226092 |
| 19195.0 |  0.00221806 |
| 19245.0 |  0.00245379 |
| 19295.0 |   0.0028824 |
| 19345.0 |  0.00380391 |
| 19395.0 |    0.004779 |
| 19445.0 |  0.00621484 |
| 19495.0 |  0.00934369 |
| 19545.0 |   0.0165658 |
| 19595.0 |   0.0297134 |
| 19645.0 |   0.0559657 |
| 19695.0 |    0.110581 |
| 19745.0 |     0.21678 |
| 19795.0 |    0.385781 |
| 19845.0 |     0.59415 |
| 19895.0 |    0.772494 |
| 19945.0 |     0.88345 |
| 19995.0 |    0.930169 |
| 20045.0 |    0.947431 |
| 20095.0 |    0.953967 |
| 20145.0 |    0.953239 |
| 20195.0 |     0.95221 |
| 20245.0 |    0.953914 |
| 20295.0 |    0.957643 |
| 20345.0 |    0.961243 |
| 20395.0 |    0.962036 |
| 20445.0 |    0.964318 |
| 20495.0 |    0.969365 |
| 20545.0 |    0.977177 |
| 20595.0 |    0.983091 |
| 20645.0 |    0.987549 |
| 20695.0 |    0.990549 |
| 20745.0 |    0.991792 |
| 20795.0 |    0.993185 |
| 20845.0 |    0.993635 |
| 20895.0 |    0.996271 |
| 20945.0 |    0.998103 |
| 20995.0 |    0.999014 |
| 21045.0 |    0.998682 |
| 21095.0 |    0.997343 |
| 21145.0 |    0.995221 |
| 21195.0 |    0.993303 |
| 21245.0 |    0.992564 |
| 21295.0 |    0.992617 |
| 21345.0 |    0.993742 |
| 21395.0 |    0.993078 |
| 21445.0 |    0.991856 |
| 21495.0 |    0.988824 |
| 21545.0 |    0.987335 |
| 21595.0 |    0.986456 |
| 21645.0 |    0.985663 |
| 21695.0 |    0.985299 |
| 21745.0 |    0.981302 |
| 21795.0 |    0.974873 |
| 21845.0 |    0.965658 |
| 21895.0 |    0.956046 |
| 21945.0 |    0.950281 |
| 21995.0 |    0.946327 |
| 22045.0 |    0.946767 |
| 22095.0 |    0.951171 |
| 22145.0 |    0.957953 |
| 22195.0 |    0.963622 |
| 22245.0 |    0.967854 |
| 22295.0 |    0.971337 |
| 22345.0 |    0.970651 |
| 22395.0 |    0.966258 |
| 22445.0 |    0.960932 |
| 22495.0 |    0.955639 |
| 22545.0 |    0.951685 |
| 22595.0 |    0.949413 |
| 22645.0 |    0.951374 |
| 22695.0 |     0.95685 |
| 22745.0 |    0.956914 |
| 22795.0 |    0.944634 |
| 22845.0 |    0.909413 |
| 22895.0 |    0.842315 |
| 22945.0 |    0.734037 |
| 22995.0 |    0.572515 |
| 23045.0 |     0.37543 |
| 23095.0 |    0.212355 |
| 23145.0 |    0.114353 |
| 23195.0 |   0.0614626 |
| 23245.0 |   0.0338923 |
| 23295.0 |   0.0201982 |
| 23345.0 |   0.0128797 |
| 23395.0 |  0.00854005 |
| 23445.0 |  0.00545406 |
| 23495.0 |  0.00385749 |
| 23545.0 |  0.00282882 |
| 23595.0 |  0.00201447 |
| 23645.0 |  0.00234664 |
| 23695.0 |  0.00153228 |
| 23745.0 |  0.00101795 |
| 23795.0 |  0.00154299 |
| 23845.0 | 0.000964372 |
| 23895.0 |  0.00110367 |
| 23945.0 |  0.00100723 |
| 23995.0 |  0.00133941 |
