# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth (for airmass 1.3)
#  "pass_1_[069]" are the contribution to the signal for airmasses
#         1.0, 1.6, and 1.9 respectively
# 
# Bandpass Name(s): r
# 
# Instrument: SDSS telescope at APO Column 3
# 
# Determined by: Jim Gunn, Mamoru Doi, Daniel Eisenstein
# 
# Date of determination: 2001-12-18
# 
# Meaning of/Reason for default column: 1.3 airmass; SDSS magnitudes are
#   calibrated to this airmass
# 
# Notes:
# 
#  Keep in mind that SDSS pipelines are output in the MAYBE magnitude 
#  system, which is currently (2002-08-19) thought to be related to
#  the AB magnitude system by the offsets:
# 
#    u(AB,2.5m) = u(MAYBE,2.5m) - 0.042
#    g(AB,2.5m) = g(MAYBE,2.5m) + 0.036
#    r(AB,2.5m) = r(MAYBE,2.5m) + 0.015
#    i(AB,2.5m) = i(MAYBE,2.5m) + 0.013
#    z(AB,2.5m) = z(MAYBE,2.5m) - 0.002
# 
#  See sdss-general/2486 or contact David W. Hogg for details.
# 
#  The following notes come from Jim Gunn:
# 
#    These files are the response functions as measured by Mamoru Jan 2001,
#    interpolated to fill in the sharp corner near the red cutoff using model
#    filters and then splined to a standard wavelengh set, shared by all of
#    the files in this set of response functions for all the telescopes.
#  
#    The files indexed 0 are the response functions averaged over the six
#    columns of the camera.
#    
#    The file sdssav.lis is a list of magnitudes (V=0) and colors for these
#    (average) response functions at 1.3 airmasses run against the
#    Gunn-Stryker spectrophotometric atlas stars and the AB95 standards. 
#    These are AB magnitudes, note, not whatever system we will come up with. 
#    To transform from USNO magnitudes to a natural SDSS AB system, the
#    best-guess transformations as of this writing are
#  
#    u_AB = u' - 0.04 - 0.003*(u'-g')
#    
#    g_AB = g'        + 0.069*(g'-r') 
#    
#    r_AB = r'        + 0.038*(r'-i') 
#    
#    i_AB = i'        + 0.049*(r'-i')
#    
#    z_AB = z' - 0.01 + 0.011*(i'-z')
#    
#    but these are based ENTIRELY on calculations, and should be much better
#    determined by observations shortly.
#    
#    jeg011218
# 
| lambda | vacuum_pass | pass_1_0 |   pass | pass_1_6 | pass_1_9 |
| 5230.0 |         0.0 |      0.0 |    0.0 |      0.0 |      0.0 |
| 5280.0 |      0.0019 |   0.0013 | 0.0013 |   0.0012 |   0.0012 |
| 5330.0 |      0.0016 |   0.0011 | 0.0011 |    0.001 |    0.001 |
| 5380.0 |       0.002 |   0.0014 | 0.0013 |   0.0013 |   0.0012 |
| 5430.0 |      0.0359 |   0.0246 | 0.0238 |   0.0229 |   0.0221 |
| 5480.0 |        0.13 |   0.0894 | 0.0863 |   0.0833 |   0.0804 |
| 5530.0 |       0.258 |   0.1775 | 0.1714 |   0.1655 |   0.1599 |
| 5580.0 |      0.3842 |   0.2644 | 0.2554 |   0.2467 |   0.2383 |
| 5630.0 |      0.4893 |   0.3368 | 0.3254 |   0.3144 |   0.3038 |
| 5680.0 |      0.5624 |   0.3873 | 0.3743 |   0.3617 |   0.3495 |
| 5730.0 |      0.6084 |   0.4193 | 0.4053 |   0.3918 |   0.3787 |
| 5780.0 |      0.6359 |   0.4386 | 0.4242 |   0.4102 |   0.3967 |
| 5830.0 |      0.6514 |   0.4501 | 0.4355 |   0.4214 |   0.4078 |
| 5880.0 |      0.6607 |   0.4575 | 0.4431 |   0.4291 |   0.4155 |
| 5930.0 |      0.6673 |   0.4635 | 0.4493 |   0.4356 |   0.4223 |
| 5980.0 |      0.6733 |   0.4694 | 0.4557 |   0.4423 |   0.4294 |
| 6030.0 |      0.6767 |   0.4739 | 0.4607 |    0.448 |   0.4355 |
| 6080.0 |      0.6758 |   0.4755 | 0.4631 |    0.451 |   0.4392 |
| 6130.0 |      0.6748 |   0.4767 | 0.4649 |   0.4535 |   0.4423 |
| 6180.0 |       0.678 |   0.4802 |  0.469 |   0.4579 |   0.4472 |
| 6230.0 |       0.684 |   0.4853 | 0.4744 |   0.4636 |   0.4531 |
| 6280.0 |      0.6902 |   0.4902 | 0.4795 |    0.469 |   0.4587 |
| 6330.0 |      0.6945 |   0.4937 | 0.4832 |   0.4729 |   0.4629 |
| 6380.0 |      0.6958 |   0.4949 | 0.4847 |   0.4746 |   0.4648 |
| 6430.0 |      0.6942 |    0.494 |  0.484 |   0.4743 |   0.4647 |
