# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth
# 
# Bandpass Name(s): BandA
# 
# Instrument: Sofia/HAWC
# 
# Determined by: HAWC Instrument Team
# 
# Date of determination: Unknown
# 
# Meaning of/Reason for default column: Only column available
# 
# Notes:
# 
# 
# Obtained from Ravi Sankrit at the Sofia helpdesk on 2015-May-19 on 
# behalf of the HAWC Instrument Team.  Transmission includes the effect
# of the atmosphere but it is not clear if it includes the CCD QE.
# 
# J. Moustakas, 2015-May-19, Siena College
|   lambda |        pass |
| 445000.0 |   0.0050299 |
| 445600.0 |  0.00542516 |
| 446200.0 |  0.00552542 |
| 446800.0 | 0.000855154 |
| 447400.0 |  0.00417805 |
| 448000.0 |  0.00770183 |
| 448600.0 |  0.00873243 |
| 449200.0 |  0.00910214 |
| 449800.0 |  0.00845683 |
| 450400.0 |  0.00446842 |
| 451000.0 |         0.0 |
| 451600.0 |  0.00155566 |
| 452200.0 |  0.00980617 |
| 452800.0 |   0.0136803 |
| 453400.0 |   0.0161338 |
| 454000.0 |   0.0179473 |
| 454600.0 |   0.0195301 |
| 455200.0 |   0.0207919 |
| 455800.0 |   0.0223005 |
| 456400.0 |   0.0230535 |
| 457000.0 |   0.0246884 |
| 457600.0 |   0.0258049 |
| 458200.0 |   0.0271364 |
| 458800.0 |   0.0284178 |
| 459400.0 |   0.0297803 |
| 460000.0 |   0.0311603 |
| 460600.0 |   0.0322127 |
| 461200.0 |   0.0335685 |
| 461800.0 |   0.0350315 |
| 462400.0 |    0.036868 |
| 463000.0 |   0.0379578 |
| 463600.0 |   0.0391143 |
| 464200.0 |   0.0395029 |
| 464800.0 | 6.33732e-05 |
| 465400.0 | 0.000226924 |
| 466000.0 |  0.00508657 |
| 466600.0 |    0.040675 |
| 467200.0 |   0.0119484 |
| 467800.0 |   0.0215157 |
| 468400.0 |   0.0482306 |
| 469000.0 |   0.0552735 |
| 469600.0 |   0.0582468 |
| 470200.0 |    0.024875 |
| 470800.0 |   0.0590538 |
| 471400.0 |   0.0659805 |
| 472000.0 |   0.0699226 |
| 472600.0 |   0.0734848 |
| 473200.0 |   0.0753601 |
| 473800.0 |   0.0740953 |
| 474400.0 |   0.0613257 |
| 475000.0 |   0.0838273 |
| 475600.0 |   0.0881052 |
| 476200.0 |   0.0887822 |
| 476800.0 |   0.0876899 |
| 477400.0 |    0.081755 |
| 478000.0 |   0.0667704 |
| 478600.0 |   0.0335476 |
| 479200.0 | 0.000341831 |
| 479800.0 |         0.0 |
| 480400.0 |  0.00400742 |
| 481000.0 |   0.0530414 |
| 481600.0 |   0.0941721 |
| 482200.0 |    0.120248 |
| 482800.0 |   0.0479443 |
| 483400.0 |    0.150663 |
| 484000.0 |    0.162597 |
| 484600.0 |    0.172097 |
| 485200.0 |    0.179941 |
| 485800.0 |    0.188289 |
| 486400.0 |    0.195088 |
| 487000.0 |     0.20014 |
| 487600.0 |    0.204171 |
| 488200.0 |    0.206616 |
| 488800.0 |    0.200965 |
| 489400.0 |    0.198652 |
| 490000.0 |    0.183446 |
| 490600.0 |    0.154022 |
| 491200.0 |    0.104136 |
| 491800.0 |   0.0343148 |
| 492400.0 |   5.801e-05 |
| 493000.0 |         0.0 |
| 493600.0 |         0.0 |
| 494200.0 |         0.0 |
| 494800.0 |   0.0244879 |
| 495400.0 |     0.10996 |
| 496000.0 |    0.185266 |
| 496600.0 |    0.234955 |
| 497200.0 |    0.285494 |
| 497800.0 |    0.317342 |
| 498400.0 |    0.315778 |
| 499000.0 |    0.287769 |
| 499600.0 |    0.336892 |
| 500200.0 |    0.373338 |
| 500800.0 |    0.405659 |
| 501400.0 |    0.414744 |
| 502000.0 |    0.416267 |
| 502600.0 |    0.442747 |
| 503200.0 |    0.449064 |
| 503800.0 |    0.460718 |
| 504400.0 |    0.467391 |
| 505000.0 |    0.135854 |
| 505600.0 |    0.453455 |
| 506200.0 |    0.140684 |
