# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth
# 
# Bandpass Name(s): BandC
# 
# Instrument: Sofia/HAWC
# 
# Determined by: HAWC Instrument Team
# 
# Date of determination: Unknown
# 
# Meaning of/Reason for default column: Only column available
# 
# Notes:
# 
# 
# Obtained from Ravi Sankrit at the Sofia helpdesk on 2015-May-19 on 
# behalf of the HAWC Instrument Team.  Transmission includes the effect
# of the atmosphere but it is not clear if it includes the CCD QE.
# 
# J. Moustakas, 2015-May-19, Siena College
|    lambda |        pass |
|  737000.0 |  0.00399789 |
|  738000.0 |  0.00440706 |
|  739000.0 |   0.0047714 |
|  740000.0 |  0.00521955 |
|  741000.0 |  0.00576446 |
|  742000.0 |  0.00617977 |
|  743000.0 |   0.0066697 |
|  744000.0 |  0.00649877 |
|  745000.0 |  0.00732157 |
|  746000.0 |   0.0074961 |
|  747000.0 |  0.00769652 |
|  748000.0 |  0.00675932 |
|  749000.0 |  0.00128653 |
|  750000.0 |  0.00174267 |
|  751000.0 |  0.00288184 |
|  752000.0 |  0.00042707 |
|  753000.0 |         0.0 |
|  754000.0 |         0.0 |
|  755000.0 |         0.0 |
|  756000.0 |  0.00158836 |
|  757000.0 |  0.00499632 |
|  758000.0 | 6.59102e-05 |
|  759000.0 |         0.0 |
|  760000.0 |   0.0127878 |
|  761000.0 |   0.0194877 |
|  762000.0 |   0.0225989 |
|  763000.0 |   0.0179522 |
|  764000.0 |  0.00829324 |
|  765000.0 |   0.0278305 |
|  766000.0 |   0.0325444 |
|  767000.0 |   0.0345549 |
|  768000.0 |   0.0373533 |
|  769000.0 |   0.0400933 |
|  770000.0 |   0.0420992 |
|  771000.0 |   0.0445403 |
|  772000.0 |   0.0460519 |
|  773000.0 |   0.0484679 |
|  774000.0 |   0.0506259 |
|  775000.0 |   0.0501451 |
|  776000.0 |   0.0515214 |
|  777000.0 |   0.0432921 |
|  778000.0 |    0.029412 |
|  779000.0 |   0.0561135 |
|  780000.0 |   0.0575436 |
|  781000.0 |   0.0554494 |
|  782000.0 |   0.0503072 |
|  783000.0 |   0.0417862 |
|  784000.0 |   0.0265677 |
|  785000.0 |  0.00797774 |
|  786000.0 | 7.30898e-05 |
|  787000.0 |         0.0 |
|  788000.0 |         0.0 |
|  789000.0 |         0.0 |
|  790000.0 |  0.00166075 |
|  791000.0 |   0.0297964 |
|  792000.0 |   0.0605287 |
|  793000.0 |   0.0873632 |
|  794000.0 |    0.106998 |
|  795000.0 |   0.0949884 |
|  796000.0 |    0.133458 |
|  797000.0 |     0.14627 |
|  798000.0 |    0.166726 |
|  799000.0 |    0.180008 |
|  800000.0 |    0.191705 |
|  801000.0 |    0.202958 |
|  802000.0 |    0.184631 |
|  803000.0 |    0.225172 |
|  804000.0 |    0.237093 |
|  805000.0 |     0.23735 |
|  806000.0 |    0.239458 |
|  807000.0 |    0.269959 |
|  808000.0 |    0.230968 |
|  809000.0 |    0.287176 |
|  810000.0 |    0.288229 |
|  811000.0 |    0.265029 |
|  812000.0 | 0.000291717 |
|  813000.0 |    0.226773 |
