# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth
# 
# Bandpass Name(s): BandD
# 
# Instrument: Sofia/HAWC
# 
# Determined by: HAWC Instrument Team
# 
# Date of determination: Unknown
# 
# Meaning of/Reason for default column: Only column available
# 
# Notes:
# 
# 
# Obtained from Ravi Sankrit at the Sofia helpdesk on 2015-May-19 on 
# behalf of the HAWC Instrument Team.  Transmission includes the effect
# of the atmosphere but it is not clear if it includes the CCD QE.
# 
# J. Moustakas, 2015-May-19, Siena College
|    lambda |        pass |
| 1188000.0 |  0.00124994 |
| 1190200.0 |  0.00397418 |
| 1192400.0 |  0.00402938 |
| 1194600.0 |  0.00225319 |
| 1196800.0 |  0.00383396 |
| 1199000.0 |  0.00369127 |
| 1201200.0 |  0.00439386 |
| 1203400.0 |  0.00451699 |
| 1205600.0 |  0.00432101 |
| 1207800.0 |  0.00448845 |
| 1210000.0 |  0.00379039 |
| 1212200.0 |  0.00227602 |
| 1214400.0 | 0.000974328 |
| 1216600.0 |         0.0 |
| 1218800.0 | 3.13898e-05 |
| 1221000.0 |  0.00237087 |
| 1223200.0 |  0.00279802 |
| 1225400.0 |  0.00182044 |
| 1227600.0 |  0.00586002 |
| 1229800.0 |  0.00637089 |
| 1232000.0 |  0.00679287 |
| 1234200.0 | 1.82945e-05 |
| 1236400.0 |  0.00735442 |
| 1238600.0 |  0.00783606 |
| 1240800.0 |  0.00813583 |
| 1243000.0 |  0.00724567 |
| 1245200.0 |  0.00756223 |
| 1247400.0 |  0.00591513 |
| 1249600.0 |  0.00231934 |
| 1251800.0 | 3.90156e-06 |
| 1254000.0 |         0.0 |
| 1256200.0 | 0.000388056 |
| 1258400.0 |   0.0043752 |
| 1260600.0 |  0.00829789 |
| 1262800.0 |  0.00907982 |
| 1265000.0 |  0.00432147 |
| 1267200.0 |         0.0 |
| 1269400.0 |  0.00575687 |
| 1271600.0 |    0.013246 |
| 1273800.0 |   0.0155735 |
| 1276000.0 |   0.0143322 |
| 1278200.0 | 0.000124829 |
| 1280400.0 |  0.00892108 |
| 1282600.0 |   0.0197222 |
| 1284800.0 |   0.0234084 |
| 1287000.0 |   0.0254721 |
| 1289200.0 |   0.0269458 |
| 1291400.0 |   0.0271891 |
| 1293600.0 |  0.00976646 |
| 1295800.0 |   0.0309544 |
| 1298000.0 |   0.0318238 |
| 1300200.0 |   0.0326236 |
| 1302400.0 |    0.031426 |
| 1304600.0 |   0.0336714 |
| 1306800.0 |   0.0349267 |
| 1309000.0 |   0.0360585 |
| 1311200.0 |   0.0355785 |
| 1313400.0 |   0.0369747 |
| 1315600.0 |   0.0336406 |
| 1317800.0 |   0.0268532 |
| 1320000.0 |   0.0115587 |
| 1322200.0 | 1.54095e-05 |
| 1324400.0 |         0.0 |
| 1326600.0 |  0.00112253 |
| 1328800.0 |    0.021163 |
| 1331000.0 |   0.0371849 |
| 1333200.0 |   0.0532841 |
| 1335400.0 |   0.0267232 |
| 1337600.0 |   0.0590427 |
| 1339800.0 |   0.0705911 |
| 1342000.0 |   0.0672933 |
| 1344200.0 |   0.0514899 |
| 1346400.0 |   0.0141619 |
| 1348600.0 |         0.0 |
| 1350800.0 | 5.44885e-05 |
| 1353000.0 |   0.0271506 |
| 1355200.0 |   0.0654663 |
| 1357400.0 |   0.0795388 |
| 1359600.0 |   0.0671102 |
| 1361800.0 |   0.0154545 |
| 1364000.0 |         0.0 |
| 1366200.0 |         0.0 |
| 1368400.0 |   0.0332723 |
| 1370600.0 |   0.0942431 |
| 1372800.0 |    0.125568 |
| 1375000.0 |     0.13407 |
| 1377200.0 |   0.0818094 |
| 1379400.0 |   0.0770505 |
| 1381600.0 |   0.0137134 |
| 1383800.0 |         0.0 |
| 1386000.0 |         0.0 |
| 1388200.0 |  0.00241073 |
| 1390400.0 |   0.0437224 |
| 1392600.0 |    0.144559 |
| 1394800.0 |    0.203755 |
| 1397000.0 |     0.25976 |
| 1399200.0 |    0.293252 |
| 1401400.0 |    0.339452 |
| 1403600.0 |    0.321242 |
| 1405800.0 |    0.391931 |
| 1408000.0 |    0.410518 |
| 1410200.0 |    0.426659 |
| 1412400.0 |    0.394028 |
| 1414600.0 |    0.458682 |
| 1416800.0 |     0.43769 |
| 1419000.0 |    0.478622 |
| 1421200.0 |    0.493231 |
| 1423400.0 |    0.506633 |
| 1425600.0 |    0.506745 |
| 1427800.0 |    0.467949 |
| 1430000.0 |    0.311315 |
| 1432200.0 |    0.185717 |
| 1434400.0 |    0.512239 |
| 1436600.0 |    0.515927 |
| 1438800.0 |    0.490677 |
| 1441000.0 |    0.407245 |
| 1443200.0 |   0.0254503 |
| 1445400.0 |         0.0 |
| 1447600.0 |    0.197465 |
| 1449800.0 |    0.435964 |
| 1452000.0 |     0.46146 |
| 1454200.0 |    0.549141 |
| 1456400.0 |    0.564248 |
| 1458600.0 |    0.565386 |
| 1460800.0 |    0.331284 |
| 1463000.0 |    0.500349 |
| 1465200.0 |    0.381278 |
| 1467400.0 |   0.0587622 |
| 1469600.0 |         0.0 |
| 1471800.0 |    0.202894 |
| 1474000.0 |    0.429359 |
| 1476200.0 |    0.518954 |
| 1478400.0 |    0.565627 |
| 1480600.0 |    0.608529 |
| 1482800.0 |    0.608655 |
| 1485000.0 |    0.585473 |
| 1487200.0 |   0.0665544 |
| 1489400.0 |    0.599077 |
| 1491600.0 |    0.208303 |
| 1493800.0 |    0.651653 |
| 1496000.0 |    0.657093 |
| 1498200.0 |    0.663055 |
| 1500400.0 |    0.665753 |
| 1502600.0 |    0.665477 |
| 1504800.0 |    0.664177 |
| 1507000.0 |    0.657233 |
| 1509200.0 |    0.596652 |
| 1511400.0 |     0.22049 |
| 1513600.0 |    0.645209 |
| 1515800.0 |    0.630053 |
| 1518000.0 |    0.643644 |
| 1520200.0 |    0.640953 |
| 1522400.0 |    0.643344 |
| 1524600.0 |    0.381264 |
| 1526800.0 |    0.675534 |
| 1529000.0 |    0.669858 |
| 1531200.0 |    0.679289 |
| 1533400.0 |    0.680769 |
| 1535600.0 |   0.0992896 |
| 1537800.0 |    0.650742 |
| 1540000.0 |    0.659715 |
| 1542200.0 |    0.269657 |
| 1544400.0 |    0.621163 |
| 1546600.0 |    0.628914 |
| 1548800.0 |    0.601536 |
| 1551000.0 |    0.567346 |
| 1553200.0 |    0.499744 |
| 1555400.0 |   0.0408245 |
| 1557600.0 |    0.198035 |
| 1559800.0 |  0.00980689 |
| 1562000.0 |         0.0 |
| 1564200.0 |    0.005411 |
| 1566400.0 |    0.223869 |
| 1568600.0 |    0.426574 |
| 1570800.0 |    0.512727 |
| 1573000.0 |    0.565652 |
| 1575200.0 |    0.600819 |
| 1577400.0 |    0.624906 |
| 1579600.0 |    0.626527 |
| 1581800.0 |    0.609288 |
| 1584000.0 |    0.596486 |
| 1586200.0 |    0.650541 |
| 1588400.0 |    0.647941 |
| 1590600.0 |    0.451265 |
| 1592800.0 |    0.601706 |
| 1595000.0 |    0.557078 |
| 1597200.0 |   0.0168491 |
| 1599400.0 |    0.374729 |
| 1601600.0 |    0.123891 |
| 1603800.0 |         0.0 |
| 1606000.0 |         0.0 |
| 1608200.0 |   0.0902116 |
| 1610400.0 |    0.353364 |
| 1612600.0 |    0.334876 |
| 1614800.0 |    0.572698 |
| 1617000.0 |    0.608986 |
| 1619200.0 |    0.574408 |
| 1621400.0 |    0.648208 |
| 1623600.0 |    0.657787 |
| 1625800.0 |    0.619168 |
| 1628000.0 |    0.662925 |
| 1630200.0 |    0.677202 |
| 1632400.0 |    0.688766 |
| 1634600.0 |    0.603348 |
| 1636800.0 |    0.684235 |
| 1639000.0 |    0.677001 |
| 1641200.0 |    0.143433 |
| 1643400.0 |    0.654208 |
| 1645600.0 |     0.64165 |
| 1647800.0 |    0.601783 |
| 1650000.0 |   0.0142366 |
| 1652200.0 |    0.448837 |
| 1654400.0 | 3.77472e-05 |
| 1656600.0 |    0.514947 |
| 1658800.0 |    0.565698 |
| 1661000.0 |    0.558835 |
| 1663200.0 |    0.416267 |
| 1665400.0 |    0.298231 |
| 1667600.0 | 5.61084e-05 |
| 1669800.0 |         0.0 |
| 1672000.0 |    0.089537 |
| 1674200.0 |    0.397934 |
| 1676400.0 |    0.489259 |
| 1678600.0 |    0.517753 |
| 1680800.0 |    0.526621 |
| 1683000.0 |    0.532786 |
| 1685200.0 |     0.33081 |
| 1687400.0 |    0.407587 |
| 1689600.0 |    0.509758 |
| 1691800.0 |    0.481661 |
| 1694000.0 |    0.454915 |
| 1696200.0 |    0.333897 |
| 1698400.0 |    0.270263 |
| 1700600.0 |  0.00172379 |
| 1702800.0 |   0.0642198 |
| 1705000.0 |   0.0506625 |
| 1707200.0 |    0.358588 |
| 1709400.0 |    0.344293 |
| 1711600.0 |   0.0271828 |
| 1713800.0 |    0.355043 |
| 1716000.0 |    0.358345 |
| 1718200.0 |    0.336245 |
| 1720400.0 |    0.151621 |
| 1722600.0 |    0.291316 |
| 1724800.0 |     0.27309 |
| 1727000.0 |     0.24545 |
| 1729200.0 |    0.213863 |
| 1731400.0 |    0.175622 |
| 1733600.0 |    0.130777 |
| 1735800.0 |   0.0819422 |
| 1738000.0 |   0.0352273 |
| 1740200.0 |  0.00526873 |
| 1742400.0 |         0.0 |
| 1744600.0 |         0.0 |
| 1746800.0 |         0.0 |
| 1749000.0 |         0.0 |
| 1751200.0 | 0.000464906 |
| 1753400.0 |   0.0120132 |
| 1755600.0 |   0.0383942 |
| 1757800.0 |   0.0582975 |
| 1760000.0 |   0.0864885 |
| 1762200.0 |   0.0870138 |
| 1764400.0 |   0.0967063 |
| 1766600.0 |   0.0959694 |
| 1768800.0 |    0.110532 |
| 1771000.0 |    0.067996 |
| 1773200.0 |   0.0999262 |
| 1775400.0 |   0.0893415 |
| 1777600.0 |   0.0757484 |
| 1779800.0 |   0.0591163 |
| 1782000.0 |   0.0421169 |
| 1784200.0 |   0.0210825 |
| 1786400.0 |  0.00875202 |
| 1788600.0 |  0.00101571 |
| 1790800.0 |         0.0 |
| 1793000.0 |         0.0 |
| 1795200.0 |         0.0 |
| 1797400.0 |         0.0 |
| 1799600.0 |         0.0 |
| 1801800.0 |         0.0 |
| 1804000.0 |         0.0 |
| 1806200.0 |         0.0 |
| 1808400.0 | 7.73146e-05 |
| 1810600.0 |  0.00126368 |
| 1812800.0 |   0.0132616 |
| 1815000.0 |   0.0234111 |
| 1817200.0 |  0.00239798 |
| 1819400.0 |   0.0362742 |
| 1821600.0 |   0.0429015 |
| 1823800.0 |   0.0473578 |
| 1826000.0 |   0.0438207 |
| 1828200.0 |   0.0525272 |
| 1830400.0 |   0.0534407 |
| 1832600.0 |   0.0526485 |
| 1834800.0 |   0.0408828 |
| 1837000.0 |   0.0478336 |
| 1839200.0 |   0.0499957 |
| 1841400.0 |   0.0483694 |
| 1843600.0 |   0.0444466 |
| 1845800.0 |   0.0443299 |
| 1848000.0 |   0.0436359 |
| 1850200.0 |   0.0417946 |
| 1852400.0 |   0.0397143 |
| 1854600.0 |    0.037233 |
| 1856800.0 |   0.0361603 |
| 1859000.0 |   0.0338598 |
| 1861200.0 |   0.0306849 |
| 1863400.0 |   0.0252417 |
| 1865600.0 |   0.0144743 |
| 1867800.0 |  0.00370058 |
| 1870000.0 |         0.0 |
| 1872200.0 |         0.0 |
| 1874400.0 |   0.0032276 |
| 1876600.0 |   0.0136422 |
| 1878800.0 |   0.0193608 |
| 1881000.0 |   0.0195861 |
| 1883200.0 | 2.03547e-06 |
| 1885400.0 |   0.0150324 |
| 1887600.0 |   0.0230472 |
| 1889800.0 |   0.0237395 |
| 1892000.0 |   0.0238277 |
| 1894200.0 |   0.0218731 |
| 1896400.0 |  0.00965427 |
| 1898600.0 |   0.0180376 |
| 1900800.0 |   0.0201481 |
| 1903000.0 |    0.021662 |
| 1905200.0 |   0.0215579 |
| 1907400.0 |   0.0215483 |
| 1909600.0 |   0.0208745 |
| 1911800.0 |   0.0200871 |
| 1914000.0 |   0.0190348 |
| 1916200.0 |   0.0192689 |
| 1918400.0 |   0.0190249 |
| 1920600.0 |   0.0185025 |
| 1922800.0 |   0.0179824 |
| 1925000.0 |    0.016764 |
| 1927200.0 |   0.0172066 |
| 1929400.0 |   0.0168064 |
| 1931600.0 |   0.0163233 |
| 1933800.0 |    0.015778 |
| 1936000.0 |   0.0149145 |
| 1938200.0 |   0.0147424 |
| 1940400.0 |   0.0140183 |
| 1942600.0 |   0.0122908 |
| 1944800.0 |  0.00684628 |
| 1947000.0 |   0.0123932 |
| 1949200.0 |   0.0124664 |
| 1951400.0 |   0.0122699 |
| 1953600.0 |   0.0121734 |
| 1955800.0 |   0.0114904 |
| 1958000.0 |  0.00486105 |
| 1960200.0 |   0.0105642 |
| 1962400.0 |   0.0109397 |
| 1964600.0 |  0.00652138 |
| 1966800.0 |  0.00655987 |
| 1969000.0 |   0.0102426 |
| 1971200.0 |   0.0105276 |
| 1973400.0 |   0.0101357 |
| 1975600.0 |  0.00985732 |
| 1977800.0 |  0.00951625 |
| 1980000.0 |  0.00937703 |
| 1982200.0 |  0.00878515 |
| 1984400.0 |  0.00864015 |
| 1986600.0 |  0.00837487 |
| 1988800.0 |  0.00748609 |
| 1991000.0 |  0.00783856 |
| 1993200.0 |  0.00779912 |
| 1995400.0 |  0.00772543 |
| 1997600.0 |  0.00754109 |
| 1999800.0 |  0.00716536 |
| 2002000.0 |  0.00712116 |
| 2004200.0 |   0.0072848 |
| 2006400.0 |  0.00735468 |
| 2008600.0 |  0.00726477 |
| 2010800.0 |  0.00696736 |
| 2013000.0 |  0.00768536 |
| 2015200.0 |  0.00761494 |
| 2017400.0 |  0.00717831 |
| 2019600.0 |   0.0070934 |
| 2021800.0 |  0.00440527 |
| 2024000.0 |  0.00463762 |
| 2026200.0 |  0.00676616 |
| 2028400.0 |  0.00687969 |
| 2030600.0 |  0.00687434 |
| 2032800.0 |  0.00680499 |
| 2035000.0 |  0.00670142 |
| 2037200.0 |   0.0065707 |
| 2039400.0 |  0.00613779 |
| 2041600.0 |  0.00411631 |
| 2043800.0 |         0.0 |
| 2046000.0 |  0.00380016 |
| 2048200.0 |  0.00583072 |
| 2050400.0 |  0.00607311 |
| 2052600.0 |  0.00599618 |
| 2054800.0 |  0.00582582 |
| 2057000.0 |  0.00534874 |
| 2059200.0 |  0.00549177 |
| 2061400.0 |  0.00541446 |
| 2063600.0 |  0.00530802 |
| 2065800.0 |  0.00520223 |
| 2068000.0 |  0.00487036 |
| 2070200.0 |  0.00493829 |
| 2072400.0 |  0.00481843 |
| 2074600.0 |  0.00463462 |
| 2076800.0 |   0.0043358 |
| 2079000.0 |  0.00416431 |
| 2081200.0 |   0.0029363 |
| 2083400.0 |  0.00310114 |
| 2085600.0 |  0.00408922 |
| 2087800.0 |  0.00390187 |
| 2090000.0 |   0.0039268 |
| 2092200.0 |  0.00382601 |
| 2094400.0 |  0.00360225 |
| 2096600.0 |  0.00369873 |
| 2098800.0 |  0.00366606 |
| 2101000.0 |   0.0034046 |
| 2103200.0 |  0.00256428 |
