# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth
# 
# Bandpass Name(s): BandE
# 
# Instrument: Sofia/HAWC
# 
# Determined by: HAWC Instrument Team
# 
# Date of determination: Unknown
# 
# Meaning of/Reason for default column: Only column available
# 
# Notes:
# 
# 
# Obtained from Ravi Sankrit at the Sofia helpdesk on 2015-May-19 on 
# behalf of the HAWC Instrument Team.  Transmission includes the effect
# of the atmosphere but it is not clear if it includes the CCD QE.
# 
# J. Moustakas, 2015-May-19, Siena College
|    lambda |        pass |
| 1720800.0 |  0.00150643 |
| 1723400.0 |  0.00169272 |
| 1726000.0 |   0.0018148 |
| 1728600.0 |  0.00184404 |
| 1731200.0 |  0.00171256 |
| 1733800.0 |  0.00142969 |
| 1736400.0 | 0.000819956 |
| 1739000.0 |  0.00027773 |
| 1741600.0 | 5.47455e-06 |
| 1744200.0 |         0.0 |
| 1746800.0 |         0.0 |
| 1749400.0 |         0.0 |
| 1752000.0 | 7.92194e-05 |
| 1754600.0 | 0.000960134 |
| 1757200.0 |  0.00228905 |
| 1759800.0 |   0.0041896 |
| 1762400.0 |  0.00330962 |
| 1765000.0 |  0.00403959 |
| 1767600.0 |  0.00772338 |
| 1770200.0 |  0.00850656 |
| 1772800.0 |  0.00899039 |
| 1775400.0 |  0.00887263 |
| 1778000.0 |  0.00809259 |
| 1780600.0 |  0.00659512 |
| 1783200.0 |  0.00413225 |
| 1785800.0 |  0.00188363 |
| 1788400.0 | 0.000238911 |
| 1791000.0 |         0.0 |
| 1793600.0 |         0.0 |
| 1796200.0 |         0.0 |
| 1798800.0 |         0.0 |
| 1801400.0 |         0.0 |
| 1804000.0 |         0.0 |
| 1806600.0 |         0.0 |
| 1809200.0 | 0.000189153 |
| 1811800.0 |  0.00284735 |
| 1814400.0 |  0.00860312 |
| 1817000.0 |  0.00423684 |
| 1819600.0 |   0.0175824 |
| 1822200.0 |   0.0228324 |
| 1824800.0 |   0.0229637 |
| 1827400.0 |   0.0308481 |
| 1830000.0 |   0.0344991 |
| 1832600.0 |   0.0373664 |
| 1835200.0 |   0.0262354 |
| 1837800.0 |   0.0357141 |
| 1840400.0 |   0.0470947 |
| 1843000.0 |   0.0489154 |
| 1845600.0 |   0.0511332 |
| 1848200.0 |   0.0550795 |
| 1850800.0 |   0.0552701 |
| 1853400.0 |   0.0496043 |
| 1856000.0 |   0.0602273 |
| 1858600.0 |   0.0602906 |
| 1861200.0 |   0.0572753 |
| 1863800.0 |   0.0470499 |
| 1866400.0 |   0.0218219 |
| 1869000.0 | 0.000398924 |
| 1871600.0 |         0.0 |
| 1874200.0 |  0.00656354 |
| 1876800.0 |   0.0439886 |
| 1879400.0 |   0.0676894 |
| 1882000.0 |    0.055281 |
| 1884600.0 |  0.00476815 |
| 1887200.0 |   0.0967869 |
| 1889800.0 |    0.109346 |
| 1892400.0 |    0.117064 |
| 1895000.0 |   0.0522622 |
| 1897600.0 |    0.104832 |
| 1900200.0 |    0.096657 |
| 1902800.0 |    0.140733 |
| 1905400.0 |    0.150366 |
| 1908000.0 |    0.157961 |
| 1910600.0 |    0.167255 |
| 1913200.0 |  0.00662147 |
| 1915800.0 |    0.183242 |
| 1918400.0 |    0.193267 |
| 1921000.0 |    0.195635 |
| 1923600.0 |    0.174502 |
| 1926200.0 |    0.211227 |
| 1928800.0 |    0.229235 |
| 1931400.0 |     0.23893 |
| 1934000.0 |    0.248914 |
| 1936600.0 |    0.258049 |
| 1939200.0 |    0.268352 |
| 1941800.0 |    0.268458 |
| 1944400.0 |   0.0151402 |
| 1947000.0 |    0.293944 |
| 1949600.0 |    0.314715 |
| 1952200.0 |    0.328973 |
| 1954800.0 |    0.335459 |
| 1957400.0 |    0.269132 |
| 1960000.0 |    0.316236 |
| 1962600.0 |    0.347743 |
| 1965200.0 |   0.0305215 |
| 1967800.0 |    0.338895 |
| 1970400.0 |    0.400804 |
| 1973000.0 |    0.422259 |
| 1975600.0 |    0.427677 |
| 1978200.0 |    0.442349 |
| 1980800.0 |    0.451111 |
| 1983400.0 |    0.467196 |
| 1986000.0 |     0.48061 |
| 1988600.0 |    0.462598 |
| 1991200.0 |    0.488608 |
| 1993800.0 |    0.513109 |
| 1996400.0 |    0.519944 |
| 1999000.0 |    0.506089 |
| 2001600.0 |    0.496656 |
| 2004200.0 |    0.521105 |
| 2006800.0 |    0.520971 |
| 2009400.0 |    0.482977 |
| 2012000.0 |    0.547344 |
| 2014600.0 |    0.548885 |
| 2017200.0 |    0.556922 |
| 2019800.0 |    0.542941 |
| 2022400.0 |   0.0415296 |
| 2025000.0 |    0.522367 |
| 2027600.0 |    0.580624 |
| 2030200.0 |    0.586271 |
| 2032800.0 |     0.58587 |
| 2035400.0 |    0.554572 |
| 2038000.0 |    0.555383 |
| 2040600.0 |     0.46914 |
| 2043200.0 |  0.00159625 |
| 2045800.0 |    0.288335 |
| 2048400.0 |    0.538215 |
| 2051000.0 |    0.585984 |
| 2053600.0 |    0.602922 |
| 2056200.0 |     0.60662 |
| 2058800.0 |    0.601003 |
| 2061400.0 |    0.613969 |
| 2064000.0 |    0.614321 |
| 2066600.0 |     0.60684 |
| 2069200.0 |    0.612776 |
| 2071800.0 |    0.609316 |
| 2074400.0 |     0.60513 |
| 2077000.0 |    0.583453 |
| 2079600.0 |    0.514177 |
| 2082200.0 |    0.550611 |
| 2084800.0 |    0.596441 |
| 2087400.0 |    0.568029 |
| 2090000.0 |    0.595235 |
| 2092600.0 |    0.572888 |
| 2095200.0 |    0.572348 |
| 2097800.0 |    0.564983 |
| 2100400.0 |    0.535533 |
| 2103000.0 |    0.422432 |
| 2105600.0 | 5.72402e-05 |
| 2108200.0 |    0.345413 |
| 2110800.0 |    0.430529 |
| 2113400.0 |    0.371142 |
| 2116000.0 |    0.276441 |
| 2118600.0 |    0.146534 |
| 2121200.0 |    0.014418 |
| 2123800.0 |         0.0 |
| 2126400.0 |         0.0 |
| 2129000.0 |  0.00826835 |
| 2131600.0 |         0.0 |
| 2134200.0 |    0.252639 |
| 2136800.0 |    0.295999 |
| 2139400.0 |    0.432545 |
| 2142000.0 |    0.453064 |
| 2144600.0 |    0.118937 |
| 2147200.0 |    0.415179 |
| 2149800.0 |    0.358788 |
| 2152400.0 |    0.468764 |
| 2155000.0 |    0.506538 |
| 2157600.0 |    0.531686 |
| 2160200.0 |    0.571446 |
| 2162800.0 |    0.566221 |
| 2165400.0 |    0.575712 |
| 2168000.0 |     0.57342 |
| 2170600.0 |    0.548928 |
| 2173200.0 |      0.3593 |
| 2175800.0 |    0.565711 |
| 2178400.0 |    0.578521 |
| 2181000.0 |    0.581472 |
| 2183600.0 |    0.559622 |
| 2186200.0 |    0.578192 |
| 2188800.0 |    0.540388 |
| 2191400.0 |     0.56966 |
| 2194000.0 |    0.567685 |
| 2196600.0 |    0.532668 |
| 2199200.0 |    0.021437 |
| 2201800.0 |    0.537325 |
| 2204400.0 |    0.561681 |
| 2207000.0 |    0.562246 |
| 2209600.0 |    0.446563 |
| 2212200.0 |    0.560238 |
| 2214800.0 |    0.559049 |
| 2217400.0 |    0.561974 |
| 2220000.0 |    0.557528 |
| 2222600.0 |    0.555627 |
| 2225200.0 |    0.555217 |
| 2227800.0 |    0.531621 |
| 2230400.0 |    0.538289 |
| 2233000.0 |     0.36969 |
| 2235600.0 |    0.542113 |
| 2238200.0 |     0.54452 |
| 2240800.0 |    0.544511 |
| 2243400.0 |    0.540473 |
| 2246000.0 |    0.537358 |
| 2248600.0 |    0.533742 |
| 2251200.0 |    0.451734 |
| 2253800.0 |    0.519849 |
| 2256400.0 |    0.516439 |
| 2259000.0 |    0.505679 |
| 2261600.0 |    0.484416 |
| 2264200.0 |    0.425674 |
| 2266800.0 |   0.0919936 |
| 2269400.0 |    0.261005 |
| 2272000.0 |    0.391354 |
| 2274600.0 |    0.465664 |
| 2277200.0 |    0.454441 |
| 2279800.0 |       0.111 |
| 2282400.0 |    0.372265 |
| 2285000.0 |    0.470667 |
| 2287600.0 |    0.472868 |
| 2290200.0 |    0.479409 |
| 2292800.0 |    0.472444 |
| 2295400.0 |     0.31409 |
