Transmission for IRAC band        2
 
Wavelength   Transmiss   Trans(P)    Trans(S)
----------   ---------   ---------   ---------
   3.5880    0.000327    0.000322    0.000331
   3.5970    0.000383    0.000316    0.000455
   3.6060    0.001294    0.001164    0.001431
   3.6150    0.001160    0.000554    0.001804
   3.6240    0.001266    0.000521    0.002045
   3.6340    0.001355    0.000512    0.002211
   3.6430    0.001352    0.000551    0.002133
   3.6520    0.000821    0.000237    0.001354
   3.6610    0.000776    0.000722    0.000815
   3.6700    0.000625    0.000748    0.000512
   3.6790    0.000229    0.000242    0.000215
   3.6880    0.000651    0.000049    0.001263
   3.6980    0.000682    0.000472    0.000915
   3.7070    0.000556    0.000357    0.000791
   3.7160    0.000460    0.000406    0.000506
   3.7250    0.000627    0.000592    0.000627
   3.7340    0.000858    0.000645    0.001097
   3.7430    0.000743    0.000704    0.000749
   3.7520    0.000831    0.000144    0.001696
   3.7610    0.000534    0.000546    0.000508
   3.7710    0.000523    0.000472    0.000577
   3.7800    0.000293    0.000228    0.000365
   3.7890    0.000442    0.000307    0.000586
   3.7980    0.000197    0.000219    0.000173
   3.8070    0.000451    0.000421    0.000482
   3.8160    0.000082    0.000008    0.000159
   3.8250    0.000354    0.000466    0.000239
   3.8350    0.000268    0.000389    0.000146
   3.8440    0.000191    0.000140    0.000243
   3.8530    0.000142    0.000173    0.000110
   3.8620    0.000466    0.000535    0.000397
   3.8710    0.000512    0.000602    0.000422
   3.8800    0.000830    0.000918    0.000743
   3.8890    0.001123    0.001242    0.001005
   3.8980    0.002191    0.002422    0.001963
   3.9080    0.003262    0.003362    0.003162
   3.9170    0.005645    0.005594    0.005694
   3.9260    0.008842    0.008487    0.009191
   3.9350    0.013890    0.013030    0.014740
   3.9440    0.021030    0.019700    0.022320
   3.9530    0.031740    0.029170    0.034250
   3.9620    0.048070    0.043700    0.052340
   3.9720    0.074580    0.066950    0.082050
   3.9810    0.121100    0.107600    0.134300
   3.9900    0.196400    0.175400    0.217000
   3.9990    0.302800    0.275600    0.329200
   4.0080    0.418200    0.394300    0.441300
   4.0170    0.504800    0.492300    0.516800
   4.0260    0.544100    0.542400    0.545700
   4.0350    0.548500    0.552500    0.544500
   4.0450    0.539900    0.545800    0.534000
   4.0540    0.523800    0.529200    0.518300
   4.0630    0.507000    0.511800    0.502100
   4.0720    0.489400    0.493000    0.485800
   4.0810    0.473800    0.475900    0.471500
   4.0900    0.463200    0.463700    0.462500
   4.0990    0.457700    0.457000    0.458300
   4.1090    0.459500    0.457600    0.461300
   4.1180    0.466700    0.465200    0.468100
   4.1270    0.480900    0.479400    0.482200
   4.1360    0.500700    0.499300    0.502000
   4.1450    0.525300    0.524700    0.525800
   4.1540    0.556200    0.555800    0.556400
   4.1630    0.582000    0.582000    0.581800
   4.1730    0.607500    0.607300    0.607600
   4.1820    0.628200    0.628800    0.627400
   4.1910    0.647400    0.648500    0.646200
   4.2000    0.658600    0.659800    0.657400
   4.2090    0.668400    0.669700    0.667000
   4.2180    0.673800    0.674600    0.672900
   4.2270    0.674400    0.675000    0.673800
   4.2360    0.672400    0.673600    0.671200
   4.2460    0.668200    0.669400    0.666900
   4.2550    0.658600    0.659200    0.657900
   4.2640    0.649700    0.650100    0.649200
   4.2730    0.642000    0.642600    0.641300
   4.2820    0.638800    0.638800    0.638800
   4.2910    0.637000    0.635700    0.638200
   4.3000    0.644600    0.643400    0.645700
   4.3100    0.652600    0.650500    0.654700
   4.3190    0.662400    0.660400    0.664300
   4.3280    0.671500    0.669500    0.673500
   4.3370    0.680700    0.678300    0.683100
   4.3460    0.687100    0.684100    0.690000
   4.3550    0.691100    0.688100    0.694100
   4.3640    0.694800    0.691600    0.698000
   4.3730    0.699900    0.696600    0.703300
   4.3830    0.705000    0.701500    0.708400
   4.3920    0.710500    0.707600    0.713300
   4.4010    0.717800    0.715100    0.720500
   4.4100    0.724000    0.721500    0.726400
   4.4190    0.729600    0.727300    0.731800
   4.4280    0.733200    0.730700    0.735700
   4.4370    0.736500    0.734400    0.738600
   4.4470    0.736400    0.734600    0.738100
   4.4560    0.736100    0.733800    0.738400
   4.4650    0.735700    0.733400    0.737900
   4.4740    0.732500    0.730100    0.734800
   4.4830    0.730100    0.729500    0.730800
   4.4920    0.726400    0.725900    0.726900
   4.5010    0.718300    0.717000    0.719600
   4.5110    0.711000    0.710200    0.711800
   4.5200    0.704400    0.703400    0.705400
   4.5290    0.696900    0.695900    0.698000
   4.5380    0.690600    0.688900    0.692300
   4.5470    0.686800    0.684700    0.689000
   4.5560    0.681900    0.680100    0.683600
   4.5650    0.680500    0.678200    0.682800
   4.5740    0.677000    0.674100    0.679800
   4.5840    0.674000    0.671100    0.676900
   4.5930    0.668500    0.664200    0.672800
   4.6020    0.664500    0.659800    0.669300
   4.6110    0.656700    0.650800    0.662700
   4.6200    0.647400    0.640800    0.654100
   4.6290    0.637500    0.628600    0.646400
   4.6380    0.632000    0.623100    0.641000
   4.6480    0.632700    0.624600    0.640800
   4.6570    0.634000    0.626800    0.641300
   4.6660    0.639800    0.633000    0.646600
   4.6750    0.644300    0.638700    0.650000
   4.6840    0.650700    0.645800    0.655600
   4.6930    0.656000    0.651600    0.660400
   4.7020    0.662000    0.658700    0.665300
   4.7110    0.666100    0.662800    0.669400
   4.7210    0.665000    0.661400    0.668600
   4.7300    0.664400    0.661100    0.667600
   4.7390    0.657900    0.655300    0.660500
   4.7480    0.654000    0.650600    0.657400
   4.7570    0.646500    0.644000    0.649000
   4.7660    0.638500    0.635500    0.641500
   4.7750    0.632300    0.629700    0.634800
   4.7850    0.621400    0.619100    0.623700
   4.7940    0.615400    0.613400    0.617500
   4.8030    0.610200    0.608500    0.612000
   4.8120    0.604300    0.602600    0.605900
   4.8210    0.602000    0.600200    0.603700
   4.8300    0.597900    0.596700    0.599100
   4.8390    0.598500    0.597300    0.599700
   4.8490    0.597900    0.596500    0.599300
   4.8580    0.597100    0.595000    0.599200
   4.8670    0.596600    0.594900    0.598400
   4.8760    0.595800    0.594600    0.597000
   4.8850    0.595400    0.594600    0.596200
   4.8940    0.595500    0.594000    0.597000
   4.9030    0.596500    0.595700    0.597300
   4.9120    0.595700    0.594300    0.597100
   4.9220    0.593000    0.590800    0.595300
   4.9310    0.586100    0.582400    0.589700
   4.9400    0.569700    0.564500    0.574900
   4.9490    0.550100    0.543400    0.556800
   4.9580    0.526400    0.519500    0.533300
   4.9670    0.506000    0.500900    0.511100
   4.9760    0.495500    0.493700    0.497200
   4.9860    0.498800    0.500400    0.497200
   4.9950    0.511200    0.511500    0.510800
   5.0040    0.498000    0.484100    0.512000
   5.0130    0.411700    0.378800    0.444700
   5.0220    0.265200    0.229000    0.301600
   5.0310    0.134500    0.110700    0.158300
   5.0400    0.059720    0.048020    0.071530
   5.0490    0.026100    0.020560    0.031710
   5.0590    0.012080    0.009210    0.014980
   5.0680    0.005874    0.004188    0.007583
   5.0770    0.002938    0.001919    0.003972
   5.0860    0.001501    0.000819    0.002196
   5.0950    0.000814    0.000335    0.001303
   5.1040    0.000401    0.000075    0.000735
   5.1130    0.000511    0.000475    0.000549
   5.1230    0.000407    0.000418    0.000395
   5.1320    0.000272    0.000399    0.000140
   5.1410    0.000188    0.000277    0.000096
   5.1500    0.000133    0.000131    0.000135
   5.1590    0.000085    0.000081    0.000089
   5.1680    0.000119    0.000144    0.000092
   5.1770    0.000138    0.000185    0.000087
   5.1870    0.000113    0.000144    0.000080
   5.1960    0.000103    0.000131    0.000072
   5.2050    0.000117    0.000153    0.000078
   5.2140    0.000135    0.000113    0.000158
   5.2230    0.000142    0.000133    0.000153
   5.2320    0.000168    0.000167    0.000169
   5.2410    0.000138    0.000131    0.000145
   5.2500    0.000070    0.000062    0.000078
   5.2600    0.000033    0.000037    0.000028
   5.2690    0.000000    0.000000    0.000000
   5.2780    0.000000    0.000000    0.000000
   5.2870    0.000000    0.000000    0.000000
   5.2960    0.000000    0.000000    0.000000
