# Units:
#   "lambda" is in Angstroms
#   "pass"   is *probably* the contribution to the detector signal
#            per photon
# Bandpass Name:
#   ch1
# Instrument:
#   Spitzer IRAC
# Notes:
#   - Original data from
#     "http://ssc.spitzer.caltech.edu/irac/spectral_response.html"
#   - ".par" file built automatically by processspitzer.
|  lambda |     pass |
| 28850.0 | 0.000431 |
| 28920.0 | 0.000668 |
| 28980.0 | 0.000546 |
| 29050.0 | 0.000401 |
| 29120.0 | 0.000378 |
| 29190.0 | 0.000288 |
| 29250.0 | 0.000567 |
| 29320.0 |  0.00114 |
| 29390.0 | 0.001161 |
| 29460.0 | 0.000589 |
| 29520.0 | 0.001088 |
| 29590.0 | 0.000848 |
| 29660.0 | 0.001153 |
| 29730.0 | 0.000509 |
| 29790.0 | 0.001334 |
| 29860.0 | 0.001132 |
| 29930.0 |  0.00154 |
| 30000.0 | 0.000905 |
| 30060.0 | 0.000194 |
| 30130.0 | 0.000719 |
| 30200.0 | 0.000697 |
| 30270.0 | 0.000671 |
| 30330.0 |  0.00086 |
| 30400.0 | 0.000453 |
| 30470.0 | 0.000735 |
| 30540.0 | 0.000416 |
| 30600.0 | 0.000563 |
| 30670.0 | 0.000855 |
| 30740.0 | 0.000568 |
| 30810.0 | 0.000468 |
| 30870.0 | 0.000241 |
| 30940.0 | 0.000532 |
| 31010.0 | 0.000497 |
| 31080.0 | 0.001367 |
| 31140.0 |  0.00216 |
| 31210.0 | 0.003529 |
| 31280.0 | 0.005852 |
| 31350.0 | 0.008984 |
| 31410.0 |  0.01603 |
| 31480.0 |  0.02689 |
| 31550.0 |  0.04927 |
| 31620.0 |  0.08875 |
| 31680.0 |   0.1548 |
| 31750.0 |   0.2487 |
| 31820.0 |   0.3549 |
| 31890.0 |   0.4469 |
| 31950.0 |   0.5073 |
| 32020.0 |   0.5301 |
| 32090.0 |   0.5296 |
| 32160.0 |   0.5155 |
| 32220.0 |   0.5016 |
| 32290.0 |   0.4906 |
| 32360.0 |   0.4879 |
| 32430.0 |   0.4924 |
| 32490.0 |   0.5058 |
| 32560.0 |   0.5227 |
| 32630.0 |   0.5417 |
| 32700.0 |   0.5588 |
| 32760.0 |   0.5747 |
| 32830.0 |   0.5838 |
| 32900.0 |    0.586 |
| 32970.0 |   0.5857 |
| 33030.0 |   0.5815 |
| 33100.0 |   0.5766 |
| 33170.0 |   0.5726 |
| 33240.0 |   0.5682 |
| 33300.0 |   0.5673 |
| 33370.0 |   0.5696 |
| 33440.0 |   0.5698 |
| 33510.0 |   0.5707 |
| 33570.0 |   0.5682 |
| 33640.0 |   0.5658 |
| 33710.0 |   0.5609 |
| 33780.0 |   0.5618 |
| 33840.0 |   0.5617 |
| 33910.0 |   0.5702 |
| 33980.0 |   0.5808 |
| 34050.0 |   0.5926 |
| 34110.0 |   0.6025 |
| 34180.0 |   0.6067 |
| 34250.0 |   0.6123 |
| 34320.0 |   0.6056 |
| 34380.0 |   0.6005 |
| 34450.0 |   0.5904 |
| 34520.0 |   0.5825 |
| 34590.0 |   0.5769 |
| 34650.0 |   0.5771 |
| 34720.0 |   0.5777 |
| 34790.0 |   0.5853 |
| 34860.0 |    0.596 |
| 34920.0 |   0.6065 |
| 34990.0 |   0.6183 |
| 35060.0 |   0.6256 |
| 35130.0 |   0.6352 |
| 35190.0 |   0.6407 |
| 35260.0 |   0.6427 |
| 35330.0 |   0.6452 |
| 35400.0 |   0.6394 |
| 35460.0 |   0.6364 |
| 35530.0 |   0.6341 |
| 35600.0 |   0.6295 |
| 35670.0 |   0.6286 |
| 35730.0 |   0.6237 |
| 35800.0 |   0.6243 |
| 35870.0 |   0.6254 |
| 35940.0 |   0.6296 |
| 36000.0 |   0.6315 |
| 36070.0 |   0.6313 |
| 36140.0 |    0.634 |
| 36210.0 |   0.6326 |
| 36270.0 |   0.6321 |
| 36340.0 |   0.6264 |
| 36410.0 |   0.6218 |
| 36480.0 |   0.6152 |
| 36540.0 |   0.6091 |
| 36610.0 |   0.6042 |
| 36680.0 |   0.6018 |
| 36750.0 |   0.6029 |
| 36810.0 |   0.6045 |
| 36880.0 |   0.6084 |
| 36950.0 |   0.6164 |
| 37020.0 |   0.6227 |
| 37080.0 |   0.6305 |
| 37150.0 |    0.639 |
| 37220.0 |   0.6414 |
| 37290.0 |    0.647 |
| 37350.0 |   0.6491 |
| 37420.0 |   0.6511 |
| 37490.0 |   0.6503 |
| 37560.0 |   0.6488 |
| 37620.0 |    0.644 |
| 37690.0 |   0.6414 |
| 37760.0 |   0.6369 |
| 37830.0 |   0.6332 |
| 37890.0 |   0.6307 |
