# Units:
#   "lambda" is in Angstroms
#   "pass"   is *probably* the contribution to the detector signal
#            per photon
# Bandpass Name:
#   ch4
# Instrument:
#   Spitzer IRAC
# Notes:
#   - Original data from
#     "http://ssc.spitzer.caltech.edu/irac/spectral_response.html"
#   - ".par" file built automatically by processspitzer.
|   lambda |     pass |
|  56120.0 | 0.000352 |
|  56360.0 | 0.000152 |
|  56590.0 | 0.000141 |
|  56830.0 | 0.000169 |
|  57060.0 | 0.000147 |
|  57290.0 | 0.000243 |
|  57530.0 | 0.000179 |
|  57760.0 | 0.000101 |
|  58000.0 | 0.000187 |
|  58230.0 |  0.00021 |
|  58470.0 | 0.000197 |
|  58700.0 | 0.000354 |
|  58940.0 | 0.000265 |
|  59170.0 | 0.000248 |
|  59400.0 | 0.000383 |
|  59640.0 | 0.000335 |
|  59870.0 |  7.1e-05 |
|  60110.0 | 0.000271 |
|  60340.0 |  0.00059 |
|  60580.0 | 0.000262 |
|  60810.0 | 0.000343 |
|  61040.0 | 0.000515 |
|  61280.0 | 0.000303 |
|  61510.0 |  0.00024 |
|  61750.0 | 0.000271 |
|  61980.0 |  0.00035 |
|  62220.0 | 0.000243 |
|  62450.0 | 0.000347 |
|  62690.0 | 0.000495 |
|  62920.0 | 0.000755 |
|  63150.0 | 0.001001 |
|  63390.0 | 0.002506 |
|  63620.0 |  0.01168 |
|  63860.0 |  0.04544 |
|  64090.0 |    0.101 |
|  64330.0 |   0.1628 |
|  64560.0 |   0.2263 |
|  64800.0 |   0.2501 |
|  65030.0 |   0.2716 |
|  65260.0 |   0.2956 |
|  65500.0 |   0.3108 |
|  65730.0 |   0.3152 |
|  65970.0 |   0.3192 |
|  66200.0 |   0.3185 |
|  66440.0 |    0.316 |
|  66670.0 |   0.3129 |
|  66900.0 |   0.2985 |
|  67140.0 |   0.3013 |
|  67370.0 |   0.3199 |
|  67610.0 |   0.3238 |
|  67840.0 |   0.3275 |
|  68080.0 |   0.3366 |
|  68310.0 |   0.3428 |
|  68550.0 |   0.3441 |
|  68780.0 |   0.3445 |
|  69010.0 |   0.3446 |
|  69250.0 |   0.3413 |
|  69480.0 |   0.3392 |
|  69720.0 |   0.3444 |
|  69950.0 |    0.343 |
|  70190.0 |   0.3319 |
|  70420.0 |   0.3294 |
|  70660.0 |   0.3349 |
|  70890.0 |   0.3323 |
|  71120.0 |   0.3302 |
|  71360.0 |    0.337 |
|  71590.0 |   0.3419 |
|  71830.0 |   0.3341 |
|  72060.0 |   0.3308 |
|  72300.0 |   0.3375 |
|  72530.0 |   0.3491 |
|  72760.0 |   0.3534 |
|  73000.0 |     0.35 |
|  73230.0 |   0.3464 |
|  73470.0 |   0.3467 |
|  73700.0 |    0.352 |
|  73940.0 |   0.3577 |
|  74170.0 |   0.3602 |
|  74410.0 |   0.3558 |
|  74640.0 |   0.3484 |
|  74870.0 |   0.3491 |
|  75110.0 |    0.365 |
|  75340.0 |   0.3799 |
|  75580.0 |   0.3865 |
|  75810.0 |   0.3903 |
|  76050.0 |    0.395 |
|  76280.0 |   0.3929 |
|  76520.0 |   0.3852 |
|  76750.0 |   0.3837 |
|  76980.0 |   0.3927 |
|  77220.0 |   0.3989 |
|  77450.0 |   0.3951 |
|  77690.0 |   0.3901 |
|  77920.0 |   0.3902 |
|  78160.0 |   0.3932 |
|  78390.0 |   0.3938 |
|  78620.0 |   0.3977 |
|  78860.0 |   0.4067 |
|  79090.0 |   0.4128 |
|  79330.0 |   0.4108 |
|  79560.0 |   0.4034 |
|  79800.0 |   0.3995 |
|  80030.0 |    0.402 |
|  80270.0 |   0.4079 |
|  80500.0 |   0.4143 |
|  80730.0 |   0.4149 |
|  80970.0 |   0.4148 |
|  81200.0 |   0.4186 |
|  81440.0 |   0.4234 |
|  81670.0 |   0.4222 |
|  81910.0 |   0.4171 |
|  82140.0 |    0.414 |
|  82380.0 |   0.4186 |
|  82610.0 |   0.4246 |
|  82840.0 |   0.4264 |
|  83080.0 |   0.4236 |
|  83310.0 |   0.4246 |
|  83550.0 |   0.4264 |
|  83780.0 |   0.4258 |
|  84020.0 |   0.4178 |
|  84250.0 |   0.4137 |
|  84480.0 |   0.4165 |
|  84720.0 |    0.425 |
|  84950.0 |   0.4277 |
|  85190.0 |   0.4252 |
|  85420.0 |   0.4197 |
|  85660.0 |   0.4196 |
|  85890.0 |   0.4219 |
|  86130.0 |   0.4215 |
|  86360.0 |   0.4214 |
|  86590.0 |   0.4205 |
|  86830.0 |   0.4165 |
|  87060.0 |   0.4054 |
|  87300.0 |   0.3925 |
|  87530.0 |   0.3865 |
|  87770.0 |   0.3882 |
